product_name,product_price,product_url
"KEYWAY 聯府 經典文書櫃 附輪 DG-007 355 x 275 x 727mm 35L, 7層",$750,https://www.tw.coupang.com/products/KEYWAY-%E8%81%AF%E5%BA%9C-%E7%B6%93%E5%85%B8%E6%96%87%E6%9B%B8%E6%AB%83-%E9%99%84%E8%BC%AA-DG-007-355-x-275-x-727mm-35L-455937630355462?itemId=455937630339077&vendorItemId=455937630355460&sourceType=search&rank=&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
"Double A A4活頁紙 方格內頁, 80張, 2包",$148,https://www.tw.coupang.com/products/Double-A-A4%E6%B4%BB%E9%A0%81%E7%B4%99-%E6%96%B9%E6%A0%BC%E5%85%A7%E9%A0%81-214581947383816?itemId=382412945047556&vendorItemId=382412945063937&sourceType=search&rank=1&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
"作文書 iPad 保護殼, 黑色",$793,https://www.tw.coupang.com/products/%E4%BD%9C%E6%96%87%E6%9B%B8-iPad-%E4%BF%9D%E8%AD%B7%E6%AE%BC-21005353217636?itemId=21017584593914&vendorItemId=21089732900354&sourceType=search&rank=2&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
"ECO Chungwoon 7層分格風琴夾, 透明, 1本",$128,https://www.tw.coupang.com/products/ECO-Chungwoon-7%E5%B1%A4%E5%88%86%E6%A0%BC%E9%A2%A8%E7%90%B4%E5%A4%BE-169018723909649?itemId=169018241531916&vendorItemId=169018723909636&sourceType=search&rank=3&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
"O.B. 歐布德 三角筆桿 自動原子筆 0.7mm 300, 黑, 3支",$21,https://www.tw.coupang.com/products/O.B.-%E6%AD%90%E5%B8%83%E5%BE%B7-%E4%B8%89%E8%A7%92%E7%AD%86%E6%A1%BF-%E8%87%AA%E5%8B%95%E5%8E%9F%E5%AD%90%E7%AD%86-0.7mm-300-153691948548127?itemId=423720434728968&vendorItemId=423720434728961&sourceType=search&rank=4&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
"3M Scotch 牛皮紙膠帶 48mm*40Y, 2捲",$130,https://www.tw.coupang.com/products/3M-Scotch-%E7%89%9B%E7%9A%AE%E7%B4%99%E8%86%A0%E5%B8%B6-48mm*40Y-156523401543687?itemId=395804036530189&vendorItemId=395804036513796&sourceType=search&rank=5&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
"heemangnote 迪士尼造型原子筆套組 0.5mm x 3支 + 紙膠帶, 腦筋急轉彎款C款, 1組",$226,https://www.tw.coupang.com/products/heemangnote-%E8%BF%AA%E5%A3%AB%E5%B0%BC%E9%80%A0%E5%9E%8B%E5%8E%9F%E5%AD%90%E7%AD%86%E5%A5%97%E7%B5%84-0.5mm-x-3%E6%94%AF-%2B-%E7%B4%99%E8%86%A0%E5%B8%B6-153659753054215?itemId=153660151545857&vendorItemId=153660147351555&sourceType=search&rank=6&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
"KOKUYO B5活頁紙 學習/文組用 #6896, 100張, 3包",$156,https://www.tw.coupang.com/products/KOKUYO-B5%E6%B4%BB%E9%A0%81%E7%B4%99-%E5%AD%B8%E7%BF%92%2F%E6%96%87%E7%B5%84%E7%94%A8-%236896-247520877821962?itemId=434945558282242&vendorItemId=434945558265857&sourceType=search&rank=7&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
"ZEBRA 斑馬牌 SARASA 3色多功能原子筆 SJ3 0.5mm, 透明, 2支",$276,https://www.tw.coupang.com/products/ZEBRA-%E6%96%91%E9%A6%AC%E7%89%8C-SARASA-3%E8%89%B2%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%8E%9F%E5%AD%90%E7%AD%86-SJ3-0.5mm-247234482356233?itemId=428430365540357&vendorItemId=428430365523968&sourceType=search&rank=8&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
"O.B. 歐布德 自動原子筆 #100 0.7mm 50支, 藍色, 1盒",$315,https://www.tw.coupang.com/products/O.B.-%E6%AD%90%E5%B8%83%E5%BE%B7-%E8%87%AA%E5%8B%95%E5%8E%9F%E5%AD%90%E7%AD%86-%23100-0.7mm-50%E6%94%AF-166347744952326?itemId=166348659326979&vendorItemId=166348214747136&sourceType=search&rank=9&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
"ECO Chungwoon 7層分格風琴夾, 天藍色, 1本",$128,https://www.tw.coupang.com/products/ECO-Chungwoon-7%E5%B1%A4%E5%88%86%E6%A0%BC%E9%A2%A8%E7%90%B4%E5%A4%BE-169018723909649?itemId=169018723909650&vendorItemId=169018723909641&sourceType=search&rank=10&searchId=27894734ae444a89bdd34164a4f12e09&q=%E6%96%87%E6%9B%B8
