product_name,product_price,product_url
"LIVING AT HOME 不鏽鋼料理盤+托盤+瀝油架, 1套",$477,https://www.tw.coupang.com/products/LIVING-AT-HOME-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%96%99%E7%90%86%E7%9B%A4%2B%E6%89%98%E7%9B%A4%2B%E7%80%9D%E6%B2%B9%E6%9E%B6-21000218502782?itemId=21000676542181&vendorItemId=21004743447960&sourceType=search&rank=&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"七廚純陶瓷壞盤套組, 料理盤+濾網",$431,https://www.tw.coupang.com/products/%E4%B8%83%E5%BB%9A%E7%B4%94%E9%99%B6%E7%93%B7%E5%A3%9E%E7%9B%A4%E5%A5%97%E7%B5%84-21007043425497?itemId=21017425912204&vendorItemId=21084595034920&sourceType=search&rank=1&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"giaretti 珈樂堤 多功能陶瓷不挑鍋料理盤 章魚烤盤 GT-MF-OB, 1個",$623,https://www.tw.coupang.com/products/giaretti-%E7%8F%88%E6%A8%82%E5%A0%A4-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%99%B6%E7%93%B7%E4%B8%8D%E6%8C%91%E9%8D%8B%E6%96%99%E7%90%86%E7%9B%A4-%E7%AB%A0%E9%AD%9A%E7%83%A4%E7%9B%A4-GT-MF-OB-452701422829568?itemId=452701422829569&vendorItemId=452701422845952&sourceType=search&rank=2&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"Gosu 迷你韓國料理盤, 檸檬黃",$186,https://www.tw.coupang.com/products/Gosu-%E8%BF%B7%E4%BD%A0%E9%9F%93%E5%9C%8B%E6%96%99%E7%90%86%E7%9B%A4-21006569782883?itemId=21014743516523&vendorItemId=21081983959729&sourceType=search&rank=3&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"粉彩兒童零食盤 5 件套, 沙米色 3p + 黑色 2p, 1套",$288,https://www.tw.coupang.com/products/%E7%B2%89%E5%BD%A9%E5%85%92%E7%AB%A5%E9%9B%B6%E9%A3%9F%E7%9B%A4-5-%E4%BB%B6%E5%A5%97-21006402922969?itemId=21013697855657&vendorItemId=21080949335092&sourceType=search&rank=4&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"PRELUDE 義式料理陶瓷碗 10cm 2入+14cm 2入, 白色的, 1套",$304,https://www.tw.coupang.com/products/PRELUDE-%E7%BE%A9%E5%BC%8F%E6%96%99%E7%90%86%E9%99%B6%E7%93%B7%E7%A2%97-10cm-2%E5%85%A5%2B14cm-2%E5%85%A5-21005264090726?itemId=21007485463988&vendorItemId=21074776257084&sourceType=search&rank=5&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"QUEEN SENSE 不鏽鋼攪拌碗+盤子, 單色",$697,https://www.tw.coupang.com/products/QUEEN-SENSE-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%94%AA%E6%8B%8C%E7%A2%97%2B%E7%9B%A4%E5%AD%90-21006732146240?itemId=21015689060766&vendorItemId=21082903943009&sourceType=search&rank=6&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"白色料理盤 2入, 2件, 板 2p","$1,546",https://www.tw.coupang.com/products/%E7%99%BD%E8%89%B2%E6%96%99%E7%90%86%E7%9B%A4-2%E5%85%A5-21000104142617?itemId=21000315971067&vendorItemId=21003776083376&sourceType=search&rank=7&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"Gosu 迷你韓國料理盤, 香草冰激凌",$186,https://www.tw.coupang.com/products/Gosu-%E8%BF%B7%E4%BD%A0%E9%9F%93%E5%9C%8B%E6%96%99%E7%90%86%E7%9B%A4-21006569782883?itemId=21014743516529&vendorItemId=21081983959737&sourceType=search&rank=8&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"粉彩兒童零食盤 5 件套, 沙灰色 3p + 天藍色 2p, 1套",$288,https://www.tw.coupang.com/products/%E7%B2%89%E5%BD%A9%E5%85%92%E7%AB%A5%E9%9B%B6%E9%A3%9F%E7%9B%A4-5-%E4%BB%B6%E5%A5%97-21006402922969?itemId=21013697855682&vendorItemId=21080949335171&sourceType=search&rank=9&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"MINIMAL LIFE STYLE 多功能料理盤, RSF-1024TW","$1,682",https://www.tw.coupang.com/products/MINIMAL-LIFE-STYLE-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%96%99%E7%90%86%E7%9B%A4-21001132626867?itemId=21002101260062&vendorItemId=21070100095005&sourceType=search&rank=10&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"Gosu 迷你韓國料理盤, 純白",$186,https://www.tw.coupang.com/products/Gosu-%E8%BF%B7%E4%BD%A0%E9%9F%93%E5%9C%8B%E6%96%99%E7%90%86%E7%9B%A4-21006569782883?itemId=21014743516538&vendorItemId=21081983959747&sourceType=search&rank=11&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"粉彩兒童零食盤 5 件套, 橄欖綠 5p, 1套",$288,https://www.tw.coupang.com/products/%E7%B2%89%E5%BD%A9%E5%85%92%E7%AB%A5%E9%9B%B6%E9%A3%9F%E7%9B%A4-5-%E4%BB%B6%E5%A5%97-21006402922969?itemId=21013697855679&vendorItemId=21080949335143&sourceType=search&rank=12&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"Gosu 韓國料理盤 + 面 2p 套餐, 桃粉色",$339,https://www.tw.coupang.com/products/Gosu-%E9%9F%93%E5%9C%8B%E6%96%99%E7%90%86%E7%9B%A4-%2B-%E9%9D%A2-2p-%E5%A5%97%E9%A4%90-21007246211931?itemId=21018422156991&vendorItemId=21085564051371&sourceType=search&rank=13&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"Gosu 迷你韓國料理盤, 翡翠薄荷",$186,https://www.tw.coupang.com/products/Gosu-%E8%BF%B7%E4%BD%A0%E9%9F%93%E5%9C%8B%E6%96%99%E7%90%86%E7%9B%A4-21006569782883?itemId=21014743516526&vendorItemId=21081983959734&sourceType=search&rank=14&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"粉彩兒童零食盤 5 件套, 沙灰色 3p + 沙米色 2p, 1套",$288,https://www.tw.coupang.com/products/%E7%B2%89%E5%BD%A9%E5%85%92%E7%AB%A5%E9%9B%B6%E9%A3%9F%E7%9B%A4-5-%E4%BB%B6%E5%A5%97-21006402922969?itemId=21013697855685&vendorItemId=21080949335195&sourceType=search&rank=15&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
"Gosu 迷你韓國料理盤, 鱷梨薄荷",$186,https://www.tw.coupang.com/products/Gosu-%E8%BF%B7%E4%BD%A0%E9%9F%93%E5%9C%8B%E6%96%99%E7%90%86%E7%9B%A4-21006569782883?itemId=21014743516532&vendorItemId=21081983959742&sourceType=search&rank=16&searchId=87d825c850c44e78a1c6b4b66ccd40f4&q=%E6%96%99%E7%90%86%E7%9B%A4%E5%AD%90
