product_name,product_price,product_url
"Yeoni Land 古董方盒斜挎包手提包, 黑色的",$839,https://www.tw.coupang.com/products/Yeoni-Land-%E5%8F%A4%E8%91%A3%E6%96%B9%E7%9B%92%E6%96%9C%E6%8C%8E%E5%8C%85%E6%89%8B%E6%8F%90%E5%8C%85-21006938703540?itemId=21016818586004&vendorItemId=21087695514082&sourceType=search&rank=&searchId=f8667d7be2bc41159a3cdda9ddbe7e84&q=%E6%96%B9%E7%9B%92%E5%8C%85
"Yeoni Land 古董方盒斜挎包手提包, 棕色的",$832,https://www.tw.coupang.com/products/Yeoni-Land-%E5%8F%A4%E8%91%A3%E6%96%B9%E7%9B%92%E6%96%9C%E6%8C%8E%E5%8C%85%E6%89%8B%E6%8F%90%E5%8C%85-21006938703540?itemId=21016818586006&vendorItemId=21087695514096&sourceType=search&rank=1&searchId=f8667d7be2bc41159a3cdda9ddbe7e84&q=%E6%96%B9%E7%9B%92%E5%8C%85
"Yeoniland 方盒斜背包, 白色",$518,https://www.tw.coupang.com/products/Yeoniland-%E6%96%B9%E7%9B%92%E6%96%9C%E8%83%8C%E5%8C%85-21007421056702?itemId=21019250336891&vendorItemId=21087694733522&sourceType=search&rank=2&searchId=f8667d7be2bc41159a3cdda9ddbe7e84&q=%E6%96%B9%E7%9B%92%E5%8C%85
"Lalla L桌折疊購物車推車蓋一體式, 1個, 心情灰 x 奶油色","$1,180",https://www.tw.coupang.com/products/Lalla-L%E6%A1%8C%E6%8A%98%E7%96%8A%E8%B3%BC%E7%89%A9%E8%BB%8A%E6%8E%A8%E8%BB%8A%E8%93%8B%E4%B8%80%E9%AB%94%E5%BC%8F-21007362203481?itemId=21019226852506&vendorItemId=21087299283753&sourceType=search&rank=3&searchId=f8667d7be2bc41159a3cdda9ddbe7e84&q=%E6%96%B9%E7%9B%92%E5%8C%85
"Yeoniland 方盒斜背包, 黑色",$527,https://www.tw.coupang.com/products/Yeoniland-%E6%96%B9%E7%9B%92%E6%96%9C%E8%83%8C%E5%8C%85-21007421056702?itemId=21019250336894&vendorItemId=21087694733510&sourceType=search&rank=4&searchId=f8667d7be2bc41159a3cdda9ddbe7e84&q=%E6%96%B9%E7%9B%92%E5%8C%85
"五月花 面紙 直立式, 96張, 60盒","$1,005",https://www.tw.coupang.com/products/%E4%BA%94%E6%9C%88%E8%8A%B1-%E9%9D%A2%E7%B4%99-%E7%9B%B4%E7%AB%8B%E5%BC%8F-258067568476160?itemId=258068549976065&vendorItemId=258068549976064&sourceType=search&rank=5&searchId=f8667d7be2bc41159a3cdda9ddbe7e84&q=%E6%96%B9%E7%9B%92%E5%8C%85
"五月花 面紙 直立式, 96張, 120盒","$2,310",https://www.tw.coupang.com/products/%E4%BA%94%E6%9C%88%E8%8A%B1-%E9%9D%A2%E7%B4%99-%E7%9B%B4%E7%AB%8B%E5%BC%8F-258067568476160?itemId=426245347049478&vendorItemId=426245347033091&sourceType=search&rank=6&searchId=f8667d7be2bc41159a3cdda9ddbe7e84&q=%E6%96%B9%E7%9B%92%E5%8C%85
"方盒迷你包 GH14_RD_1229, 黑色的",$469,https://www.tw.coupang.com/products/%E6%96%B9%E7%9B%92%E8%BF%B7%E4%BD%A0%E5%8C%85-GH14_RD_1229-21006079483046?itemId=21011262271075&vendorItemId=21078539233773&sourceType=search&rank=7&searchId=f8667d7be2bc41159a3cdda9ddbe7e84&q=%E6%96%B9%E7%9B%92%E5%8C%85
"方盒迷你包 GH14_RD_1229, 淺褐色的",$469,https://www.tw.coupang.com/products/%E6%96%B9%E7%9B%92%E8%BF%B7%E4%BD%A0%E5%8C%85-GH14_RD_1229-21006079483046?itemId=21011262271085&vendorItemId=21078539233811&sourceType=search&rank=8&searchId=f8667d7be2bc41159a3cdda9ddbe7e84&q=%E6%96%B9%E7%9B%92%E5%8C%85
"方盒迷你包 GH14_RD_1229, 淺藍",$469,https://www.tw.coupang.com/products/%E6%96%B9%E7%9B%92%E8%BF%B7%E4%BD%A0%E5%8C%85-GH14_RD_1229-21006079483046?itemId=21011262271082&vendorItemId=21078539233789&sourceType=search&rank=9&searchId=f8667d7be2bc41159a3cdda9ddbe7e84&q=%E6%96%B9%E7%9B%92%E5%8C%85
