product_name,product_price,product_url
"PiYOPiYO 黃色小鴨 兩用水溫計, 黃色, 1個",$129,https://www.tw.coupang.com/products/PiYOPiYO-%E9%BB%83%E8%89%B2%E5%B0%8F%E9%B4%A8-%E5%85%A9%E7%94%A8%E6%B0%B4%E6%BA%AB%E8%A8%88-288088991416348?itemId=212800026673167&vendorItemId=245798356877312&sourceType=search&rank=&searchId=a0e6624e991c4938bc84f36aefe441c1&q=%E6%99%BA%E6%85%A7%E6%84%9F%E6%BA%AB
"Nuby 智能調乳七段式水溫器 365 x 220 x 290mm 5L 3.15kg, 純淨白, 1個","$3,766",https://www.tw.coupang.com/products/Nuby-%E6%99%BA%E8%83%BD%E8%AA%BF%E4%B9%B3%E4%B8%83%E6%AE%B5%E5%BC%8F%E6%B0%B4%E6%BA%AB%E5%99%A8-365-x-220-x-290mm-5L-3.15kg-220059788066817?itemId=220059788066818&vendorItemId=220060559851520&sourceType=search&rank=1&searchId=a0e6624e991c4938bc84f36aefe441c1&q=%E6%99%BA%E6%85%A7%E6%84%9F%E6%BA%AB
"Snow Bear 小白熊 智育多功能溫奶器, 1組","$1,155",https://www.tw.coupang.com/products/Snow-Bear-%E5%B0%8F%E7%99%BD%E7%86%8A-%E6%99%BA%E8%82%B2%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%BA%AB%E5%A5%B6%E5%99%A8-238136445599744?itemId=238136445599745&vendorItemId=238134788833280&sourceType=search&rank=2&searchId=a0e6624e991c4938bc84f36aefe441c1&q=%E6%99%BA%E6%85%A7%E6%84%9F%E6%BA%AB
"3合1智慧型液晶溫濕度計 RTS-10, 單色, 1個",$154,https://www.tw.coupang.com/products/3%E5%90%881%E6%99%BA%E6%85%A7%E5%9E%8B%E6%B6%B2%E6%99%B6%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88-RTS-10-21005859916051?itemId=21010221710629&vendorItemId=21005198267926&sourceType=search&rank=3&searchId=a0e6624e991c4938bc84f36aefe441c1&q=%E6%99%BA%E6%85%A7%E6%84%9F%E6%BA%AB
"Nuby 智能七段定溫調乳器 36.5*22*29cm 3.15kg 5L, 甜心粉, 1個","$3,688",https://www.tw.coupang.com/products/Nuby-%E6%99%BA%E8%83%BD%E4%B8%83%E6%AE%B5%E5%AE%9A%E6%BA%AB%E8%AA%BF%E4%B9%B3%E5%99%A8-36.5*22*29cm-3.15kg-5L-220059796455426?itemId=220060572434433&vendorItemId=220059796455424&sourceType=search&rank=4&searchId=a0e6624e991c4938bc84f36aefe441c1&q=%E6%99%BA%E6%85%A7%E6%84%9F%E6%BA%AB
"OWC 1985 ORIENT 微型數字溫度計 OT1585, 白色, 1個",$186,https://www.tw.coupang.com/products/OWC-1985-ORIENT-%E5%BE%AE%E5%9E%8B%E6%95%B8%E5%AD%97%E6%BA%AB%E5%BA%A6%E8%A8%88-OT1585-161982850252805?itemId=161983273861125&vendorItemId=161982409818112&sourceType=search&rank=5&searchId=a0e6624e991c4938bc84f36aefe441c1&q=%E6%99%BA%E6%85%A7%E6%84%9F%E6%BA%AB
"CAS 小熊數位水溫計 T4, 混色",$264,https://www.tw.coupang.com/products/CAS-%E5%B0%8F%E7%86%8A%E6%95%B8%E4%BD%8D%E6%B0%B4%E6%BA%AB%E8%A8%88-T4-21000166067603?itemId=21000475847803&vendorItemId=21004193352266&sourceType=search&rank=6&searchId=a0e6624e991c4938bc84f36aefe441c1&q=%E6%99%BA%E6%85%A7%E6%84%9F%E6%BA%AB
"FORONEMILLION 智能防水溫度計, 1組",$300,https://www.tw.coupang.com/products/FORONEMILLION-%E6%99%BA%E8%83%BD%E9%98%B2%E6%B0%B4%E6%BA%AB%E5%BA%A6%E8%A8%88-21005504952644?itemId=21008563360628&vendorItemId=21077588216721&sourceType=search&rank=7&searchId=a0e6624e991c4938bc84f36aefe441c1&q=%E6%99%BA%E6%85%A7%E6%84%9F%E6%BA%AB
"LCD數字溫濕度計標準型, 混色, 1個",$140,https://www.tw.coupang.com/products/LCD%E6%95%B8%E5%AD%97%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88%E6%A8%99%E6%BA%96%E5%9E%8B-21005624149414?itemId=21009127405242&vendorItemId=21076413448501&sourceType=search&rank=8&searchId=a0e6624e991c4938bc84f36aefe441c1&q=%E6%99%BA%E6%85%A7%E6%84%9F%E6%BA%AB
"水溫溫度計, 薄荷色",$104,https://www.tw.coupang.com/products/%E6%B0%B4%E6%BA%AB%E6%BA%AB%E5%BA%A6%E8%A8%88-21006137224723?itemId=21011744917998&vendorItemId=21079018815387&sourceType=search&rank=9&searchId=a0e6624e991c4938bc84f36aefe441c1&q=%E6%99%BA%E6%85%A7%E6%84%9F%E6%BA%AB
