product_name,product_price,product_url
"dana Airsum韓國製C型口罩 KF94 L號, 50片, 2盒, 灰色",$828,https://www.tw.coupang.com/products/dana-Airsum%E9%9F%93%E5%9C%8B%E8%A3%BDC%E5%9E%8B%E5%8F%A3%E7%BD%A9-KF94-L%E8%99%9F-21007038169118?itemId=21018038857670&vendorItemId=21085193217908&sourceType=search&rank=&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"dana Airsum韓國製C型口罩 KF94 L號, 50片, 1盒, 灰色",$434,https://www.tw.coupang.com/products/dana-Airsum%E9%9F%93%E5%9C%8B%E8%A3%BDC%E5%9E%8B%E5%8F%A3%E7%BD%A9-KF94-L%E8%99%9F-21007038169118?itemId=21014999600611&vendorItemId=21082222480355&sourceType=search&rank=1&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"AMUSE X-Leather 金屬 iPhone 充電線 NCB-06, NCB-06 (金棕色), 1個",$266,https://www.tw.coupang.com/products/AMUSE-X-Leather-%E9%87%91%E5%B1%AC-iPhone-%E5%85%85%E9%9B%BB%E7%B7%9A-NCB-06-21000064538032?itemId=21000218606862&vendorItemId=21003528457072&sourceType=search&rank=2&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"dana Airsum韓國製C型口罩 KF94 L號, 50片, 3盒, 灰色","$1,241",https://www.tw.coupang.com/products/dana-Airsum%E9%9F%93%E5%9C%8B%E8%A3%BDC%E5%9E%8B%E5%8F%A3%E7%BD%A9-KF94-L%E8%99%9F-21007038169118?itemId=21018038858292&vendorItemId=21085193218600&sourceType=search&rank=3&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"dana Airsum韓國製C型口罩 KF94 L號, 50片, 5盒, 灰色","$2,068",https://www.tw.coupang.com/products/dana-Airsum%E9%9F%93%E5%9C%8B%E8%A3%BDC%E5%9E%8B%E5%8F%A3%E7%BD%A9-KF94-L%E8%99%9F-21007038169118?itemId=21018038858288&vendorItemId=21085193218601&sourceType=search&rank=4&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"dana Airsum韓國製C型口罩 KF94 L號, 50片, 4盒, 灰色","$1,655",https://www.tw.coupang.com/products/dana-Airsum%E9%9F%93%E5%9C%8B%E8%A3%BDC%E5%9E%8B%E5%8F%A3%E7%BD%A9-KF94-L%E8%99%9F-21007038169118?itemId=21018038857737&vendorItemId=21085193218001&sourceType=search&rank=5&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"DAYSTAR HOUSE 智能 LED 廚房燈 1st 30W LG Innotek Chip KS 認證, 白色的","$1,417",https://www.tw.coupang.com/products/DAYSTAR-HOUSE-%E6%99%BA%E8%83%BD-LED-%E5%BB%9A%E6%88%BF%E7%87%88-1st-30W-LG-Innotek-Chip-KS-%E8%AA%8D%E8%AD%89-21000040714897?itemId=21000148933644&vendorItemId=21003337632697&sourceType=search&rank=6&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"Bone 蹦克 USB充電傳輸鑰匙圈, 美國隊長, 1個",$273,https://www.tw.coupang.com/products/Bone-%E8%B9%A6%E5%85%8B-USB%E5%85%85%E9%9B%BB%E5%82%B3%E8%BC%B8%E9%91%B0%E5%8C%99%E5%9C%88-21000014312388?itemId=21000059130150&vendorItemId=21003092700698&sourceType=search&rank=7&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"CAREX 金屬避雷線 Apple 官方認證, 1條",$56,https://www.tw.coupang.com/products/CAREX-%E9%87%91%E5%B1%AC%E9%81%BF%E9%9B%B7%E7%B7%9A-Apple-%E5%AE%98%E6%96%B9%E8%AA%8D%E8%AD%89-21000086931165?itemId=21000273194299&vendorItemId=21004180814732&sourceType=search&rank=8&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"LINE FRIENDS 造型8pin快速充電傳輸線, KCL-AWC001 (恐龍棕), 1個, 1m",$170,https://www.tw.coupang.com/products/LINE-FRIENDS-%E9%80%A0%E5%9E%8B8pin%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%82%B3%E8%BC%B8%E7%B7%9A-21000108369745?itemId=21000328030980&vendorItemId=21003804281987&sourceType=search&rank=9&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"LINE FRIENDS 造型8pin快速充電傳輸線, KCL-AWC002（小豬棕）, 1個, 1m",$288,https://www.tw.coupang.com/products/LINE-FRIENDS-%E9%80%A0%E5%9E%8B8pin%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%82%B3%E8%BC%B8%E7%B7%9A-21000108369745?itemId=21000328030985&vendorItemId=21003804281994&sourceType=search&rank=10&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"Jingaro 智能快充 DL-922, 黑色",$220,https://www.tw.coupang.com/products/Jingaro-%E6%99%BA%E8%83%BD%E5%BF%AB%E5%85%85-DL-922-21000019955346?itemId=21000079359590&vendorItemId=21003134180437&sourceType=search&rank=11&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"LINE FRIENDS 造型8pin快速充電傳輸線, KCL-AWC003（雞莎莉）, 1個, 1m",$170,https://www.tw.coupang.com/products/LINE-FRIENDS-%E9%80%A0%E5%9E%8B8pin%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%82%B3%E8%BC%B8%E7%B7%9A-21000108369745?itemId=21000328030991&vendorItemId=21003804281999&sourceType=search&rank=12&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
"spigen Apple 8pin Lightning USB 傳輸線 C10LS, 1個, 1m",$430,https://www.tw.coupang.com/products/spigen-Apple-8pin-Lightning-USB-%E5%82%B3%E8%BC%B8%E7%B7%9A-C10LS-21000015699786?itemId=21000064476404&vendorItemId=21003101563643&sourceType=search&rank=13&searchId=88a0a313dfd34355abe088107e409afd&q=%E6%99%BA%E8%83%BD%E8%AA%8D%E8%AD%89
