product_name,product_price,product_url
"ecco DIY木製方形吧台椅, 淺木色",$744,https://www.tw.coupang.com/products/ecco-DIY%E6%9C%A8%E8%A3%BD%E6%96%B9%E5%BD%A2%E5%90%A7%E5%8F%B0%E6%A4%85-21004588904023?itemId=21000011066278&vendorItemId=21003016641248&sourceType=search&rank=&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"FRANCOIS 木製吧台椅, 洋槐木",$717,https://www.tw.coupang.com/products/FRANCOIS-%E6%9C%A8%E8%A3%BD%E5%90%A7%E5%8F%B0%E6%A4%85-21001440738566?itemId=21002484577358&vendorItemId=21070477850147&sourceType=search&rank=1&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"ecco DIY木製圓形吧台椅, 淺木色",$549,https://www.tw.coupang.com/products/ecco-DIY%E6%9C%A8%E8%A3%BD%E5%9C%93%E5%BD%A2%E5%90%A7%E5%8F%B0%E6%A4%85-21006697204321?itemId=21000007035056&vendorItemId=21003009382378&sourceType=search&rank=2&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"OLIVING 多功能3層木製置物架, 單色",$453,https://www.tw.coupang.com/products/OLIVING-%E5%A4%9A%E5%8A%9F%E8%83%BD3%E5%B1%A4%E6%9C%A8%E8%A3%BD%E7%BD%AE%E7%89%A9%E6%9E%B6-21000050550944?itemId=21000178229332&vendorItemId=21003426225643&sourceType=search&rank=3&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"DURO 可伸縮木製鋼琴椅 DPC10S, 白色",$884,https://www.tw.coupang.com/products/DURO-%E5%8F%AF%E4%BC%B8%E7%B8%AE%E6%9C%A8%E8%A3%BD%E9%8B%BC%E7%90%B4%E6%A4%85-DPC10S-21001609373838?itemId=21002748650480&vendorItemId=21070738619867&sourceType=search&rank=4&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"DHOLIC Tori實木三層高度可調式可愛嬰兒椅, 1個, 粉色","$1,106",https://www.tw.coupang.com/products/DHOLIC-Tori%E5%AF%A6%E6%9C%A8%E4%B8%89%E5%B1%A4%E9%AB%98%E5%BA%A6%E5%8F%AF%E8%AA%BF%E5%BC%8F%E5%8F%AF%E6%84%9B%E5%AC%B0%E5%85%92%E6%A4%85-21007905275027?itemId=21021676759331&vendorItemId=21089520599074&sourceType=search&rank=5&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"FOREST CUBE 木製休閒椅, 混色, 1個","$2,703",https://www.tw.coupang.com/products/FOREST-CUBE-%E6%9C%A8%E8%A3%BD%E4%BC%91%E9%96%92%E6%A4%85-21005019267273?itemId=21006728081558&vendorItemId=21074021042447&sourceType=search&rank=6&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"Duro 可伸縮木製鋼琴椅 DPC10S, 紅木",$848,https://www.tw.coupang.com/products/Duro-%E5%8F%AF%E4%BC%B8%E7%B8%AE%E6%9C%A8%E8%A3%BD%E9%8B%BC%E7%90%B4%E6%A4%85-DPC10S-21001609373838?itemId=21002398254727&vendorItemId=21070393293102&sourceType=search&rank=7&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"DHOLIC 孩童木製4段高度調節椅子, 黃色","$1,021",https://www.tw.coupang.com/products/DHOLIC-%E5%AD%A9%E7%AB%A5%E6%9C%A8%E8%A3%BD4%E6%AE%B5%E9%AB%98%E5%BA%A6%E8%AA%BF%E7%AF%80%E6%A4%85%E5%AD%90-21005189858904?itemId=21007202682509&vendorItemId=21074494325723&sourceType=search&rank=8&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"DHOLIC 孩童木製4段高度調節椅子, 紅色",$868,https://www.tw.coupang.com/products/DHOLIC-%E5%AD%A9%E7%AB%A5%E6%9C%A8%E8%A3%BD4%E6%AE%B5%E9%AB%98%E5%BA%A6%E8%AA%BF%E7%AF%80%E6%A4%85%E5%AD%90-21006058471162?itemId=21007202682576&vendorItemId=21074494325725&sourceType=search&rank=9&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"tender leaf 童話森林 幼兒椅, 浣熊椅 TL8824, 1個","$2,580",https://www.tw.coupang.com/products/tender-leaf-%E7%AB%A5%E8%A9%B1%E6%A3%AE%E6%9E%97-%E5%B9%BC%E5%85%92%E6%A4%85-237078671507468?itemId=237078671507470&vendorItemId=237079447437321&sourceType=search&rank=10&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"GAPANG 鐵靠背折疊椅, 木材 5804",$432,https://www.tw.coupang.com/products/GAPANG-%E9%90%B5%E9%9D%A0%E8%83%8C%E6%8A%98%E7%96%8A%E6%A4%85-21001731387709?itemId=21002947221040&vendorItemId=21070935684725&sourceType=search&rank=11&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"GAPANG 木製折疊椅 B 大, 單色","$1,392",https://www.tw.coupang.com/products/GAPANG-%E6%9C%A8%E8%A3%BD%E6%8A%98%E7%96%8A%E6%A4%85-B-%E5%A4%A7-21002151200494?itemId=21003653221625&vendorItemId=21071638683554&sourceType=search&rank=12&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"tender leaf 無尾熊椅, 無尾熊, 1個","$2,580",https://www.tw.coupang.com/products/tender-leaf-%E7%84%A1%E5%B0%BE%E7%86%8A%E6%A4%85-237079468408832?itemId=237077824225281&vendorItemId=237077824225280&sourceType=search&rank=13&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"GAPANG 木製折疊椅 A 小, 單色","$1,032",https://www.tw.coupang.com/products/GAPANG-%E6%9C%A8%E8%A3%BD%E6%8A%98%E7%96%8A%E6%A4%85-A-%E5%B0%8F-21002151200439?itemId=21003653221583&vendorItemId=21071638683533&sourceType=search&rank=14&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"GAPANG 便攜蘑菇形折疊椅 G, 紅色的",$798,https://www.tw.coupang.com/products/GAPANG-%E4%BE%BF%E6%94%9C%E8%98%91%E8%8F%87%E5%BD%A2%E6%8A%98%E7%96%8A%E6%A4%85-G-21002151295186?itemId=21003653367893&vendorItemId=21071638829038&sourceType=search&rank=15&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"GAPANG 鐵靠背折疊椅, 黑色5802",$432,https://www.tw.coupang.com/products/GAPANG-%E9%90%B5%E9%9D%A0%E8%83%8C%E6%8A%98%E7%96%8A%E6%A4%85-21001731387709?itemId=21002947221041&vendorItemId=21070935684735&sourceType=search&rank=16&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"GAPANG 低便攜靠背折疊椅C, 綠色, 1個",$760,https://www.tw.coupang.com/products/GAPANG-%E4%BD%8E%E4%BE%BF%E6%94%9C%E9%9D%A0%E8%83%8C%E6%8A%98%E7%96%8A%E6%A4%85C-21002145912403?itemId=21003643759945&vendorItemId=21071629274909&sourceType=search&rank=17&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"GAPANG 鐵靠背折疊椅, 白色5805",$432,https://www.tw.coupang.com/products/GAPANG-%E9%90%B5%E9%9D%A0%E8%83%8C%E6%8A%98%E7%96%8A%E6%A4%85-21001700349545?itemId=21002894056497&vendorItemId=21070883059955&sourceType=search&rank=18&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"情感野營木製折疊椅, 1個, 象牙白","$2,013",https://www.tw.coupang.com/products/%E6%83%85%E6%84%9F%E9%87%8E%E7%87%9F%E6%9C%A8%E8%A3%BD%E6%8A%98%E7%96%8A%E6%A4%85-21002250006824?itemId=21003845780023&vendorItemId=21071830583698&sourceType=search&rank=19&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"GAPANG 鐵質圓形折疊椅, 白色5823",$552,https://www.tw.coupang.com/products/GAPANG-%E9%90%B5%E8%B3%AA%E5%9C%93%E5%BD%A2%E6%8A%98%E7%96%8A%E6%A4%85-21001700349554?itemId=21002894056512&vendorItemId=21070883059974&sourceType=search&rank=20&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"ecco 木製可收納梳妝椅, 自然色",$739,https://www.tw.coupang.com/products/ecco-%E6%9C%A8%E8%A3%BD%E5%8F%AF%E6%94%B6%E7%B4%8D%E6%A2%B3%E5%A6%9D%E6%A4%85-21000001611558?itemId=21000007035057&vendorItemId=21003009382379&sourceType=search&rank=21&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"GAPANG 低折疊椅, 粉紅色 B",$840,https://www.tw.coupang.com/products/GAPANG-%E4%BD%8E%E6%8A%98%E7%96%8A%E6%A4%85-21002154007281?itemId=21003658456467&vendorItemId=21071643900885&sourceType=search&rank=22&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
"GAPANG 低折疊椅 C, 綠色",$840,https://www.tw.coupang.com/products/GAPANG-%E4%BD%8E%E6%8A%98%E7%96%8A%E6%A4%85-C-21002145917866?itemId=21003643767182&vendorItemId=21071629281991&sourceType=search&rank=23&searchId=6a16a313e56b42e8bd581c1b5ae06364&q=%E6%9C%A8%E8%A3%BD%E6%A4%85
