product_name,product_price,product_url
PUKU 藍色企鵝 紗布反袖印花肚衣,$165,https://www.tw.coupang.com/products/PUKU-%E8%97%8D%E8%89%B2%E4%BC%81%E9%B5%9D-%E7%B4%97%E5%B8%83%E5%8F%8D%E8%A2%96%E5%8D%B0%E8%8A%B1%E8%82%9A%E8%A1%A3-316066261598210?itemId=316063849857027&vendorItemId=316063849857026&sourceType=search&rank=&searchId=353f273a2695487dac0f2108f2a2da33&q=%E6%AD%A3%E5%8F%8D%E9%9D%A2%E5%85%A9%E7%A9%BF
KU.KU Duckbill 酷咕鴨 小森林紗布反手袖肚衣,$119,https://www.tw.coupang.com/products/KU.KU-Duckbill-%E9%85%B7%E5%92%95%E9%B4%A8-%E5%B0%8F%E6%A3%AE%E6%9E%97%E7%B4%97%E5%B8%83%E5%8F%8D%E6%89%8B%E8%A2%96%E8%82%9A%E8%A1%A3-151927086088194?itemId=151927086088195&vendorItemId=151927081893890&sourceType=search&rank=1&searchId=353f273a2695487dac0f2108f2a2da33&q=%E6%AD%A3%E5%8F%8D%E9%9D%A2%E5%85%A9%E7%A9%BF
PUKU 藍色企鵝 典雅反袖口紗布長肚衣60cm,$200,https://www.tw.coupang.com/products/PUKU-%E8%97%8D%E8%89%B2%E4%BC%81%E9%B5%9D-%E5%85%B8%E9%9B%85%E5%8F%8D%E8%A2%96%E5%8F%A3%E7%B4%97%E5%B8%83%E9%95%B7%E8%82%9A%E8%A1%A360cm-316066265792512?itemId=316066265792513&vendorItemId=316065309507584&sourceType=search&rank=2&searchId=353f273a2695487dac0f2108f2a2da33&q=%E6%AD%A3%E5%8F%8D%E9%9D%A2%E5%85%A9%E7%A9%BF
臉部緊緻帶,$151,https://www.tw.coupang.com/products/%E8%87%89%E9%83%A8%E7%B7%8A%E7%B7%BB%E5%B8%B6-21001440190421?itemId=21002483858070&vendorItemId=21075620787246&sourceType=search&rank=3&searchId=353f273a2695487dac0f2108f2a2da33&q=%E6%AD%A3%E5%8F%8D%E9%9D%A2%E5%85%A9%E7%A9%BF
經典佩斯利系列 10 手動領帶,$422,https://www.tw.coupang.com/products/%E7%B6%93%E5%85%B8%E4%BD%A9%E6%96%AF%E5%88%A9%E7%B3%BB%E5%88%97-10-%E6%89%8B%E5%8B%95%E9%A0%98%E5%B8%B6-21005856647706?itemId=21010206726106&vendorItemId=21086214757012&sourceType=search&rank=4&searchId=353f273a2695487dac0f2108f2a2da33&q=%E6%AD%A3%E5%8F%8D%E9%9D%A2%E5%85%A9%E7%A9%BF
KnitPro 亞娜正念捲尺 36634,$604,https://www.tw.coupang.com/products/KnitPro-%E4%BA%9E%E5%A8%9C%E6%AD%A3%E5%BF%B5%E6%8D%B2%E5%B0%BA-36634-21008135282971?itemId=21023108319153&vendorItemId=21090401955237&sourceType=search&rank=5&searchId=353f273a2695487dac0f2108f2a2da33&q=%E6%AD%A3%E5%8F%8D%E9%9D%A2%E5%85%A9%E7%A9%BF
"魔鬼氈束帶 B型黑色 1.2*14.3 cm 10個, 黑色, 10條",$150,https://www.tw.coupang.com/products/%E9%AD%94%E9%AC%BC%E6%B0%88%E6%9D%9F%E5%B8%B6-B%E5%9E%8B%E9%BB%91%E8%89%B2-1.2*14.3-cm-10%E5%80%8B-21004699063036?itemId=21005915663974&vendorItemId=21073213715959&sourceType=search&rank=6&searchId=353f273a2695487dac0f2108f2a2da33&q=%E6%AD%A3%E5%8F%8D%E9%9D%A2%E5%85%A9%E7%A9%BF
心想事成、財源滾滾、招財進寶手鍊,$116,https://www.tw.coupang.com/products/%E5%BF%83%E6%83%B3%E4%BA%8B%E6%88%90%E3%80%81%E8%B2%A1%E6%BA%90%E6%BB%BE%E6%BB%BE%E3%80%81%E6%8B%9B%E8%B2%A1%E9%80%B2%E5%AF%B6%E6%89%8B%E9%8D%8A-21007863599346?itemId=21023239423453&vendorItemId=21090435773914&sourceType=search&rank=7&searchId=353f273a2695487dac0f2108f2a2da33&q=%E6%AD%A3%E5%8F%8D%E9%9D%A2%E5%85%A9%E7%A9%BF
PEACE MOTOR SECRET 黑色穿孔安全帶夾,$260,https://www.tw.coupang.com/products/PEACE-MOTOR-SECRET-%E9%BB%91%E8%89%B2%E7%A9%BF%E5%AD%94%E5%AE%89%E5%85%A8%E5%B8%B6%E5%A4%BE-21002000410843?itemId=21003404139659&vendorItemId=21074368326698&sourceType=search&rank=8&searchId=353f273a2695487dac0f2108f2a2da33&q=%E6%AD%A3%E5%8F%8D%E9%9D%A2%E5%85%A9%E7%A9%BF
PINHIGHPRO 預防體重運動,"$1,536",https://www.tw.coupang.com/products/PINHIGHPRO-%E9%A0%90%E9%98%B2%E9%AB%94%E9%87%8D%E9%81%8B%E5%8B%95-21001763223320?itemId=21003002778664&vendorItemId=21074614635161&sourceType=search&rank=9&searchId=353f273a2695487dac0f2108f2a2da33&q=%E6%AD%A3%E5%8F%8D%E9%9D%A2%E5%85%A9%E7%A9%BF
