product_name,product_price,product_url
"品格教育繪本:親子溝通/時間概念 再5分鐘, 1本",$182,https://www.tw.coupang.com/products/%E5%93%81%E6%A0%BC%E6%95%99%E8%82%B2%E7%B9%AA%E6%9C%AC%3A%E8%A6%AA%E5%AD%90%E6%BA%9D%E9%80%9A%2F%E6%99%82%E9%96%93%E6%A6%82%E5%BF%B5-%E5%86%8D5%E5%88%86%E9%90%98-323262219239425?itemId=323262219223041&vendorItemId=323262219239424&sourceType=search&rank=&searchId=5d2fe7e6bdd548ecbfb8708e370f1be3&q=%E6%AF%8F%E8%81%B2%E9%81%93
"風車圖書 FOOD超人創意磁力片 極速滾球百變滑道 3歲以上 125片, 1組",$621,https://www.tw.coupang.com/products/%E9%A2%A8%E8%BB%8A%E5%9C%96%E6%9B%B8-FOOD%E8%B6%85%E4%BA%BA%E5%89%B5%E6%84%8F%E7%A3%81%E5%8A%9B%E7%89%87-%E6%A5%B5%E9%80%9F%E6%BB%BE%E7%90%83%E7%99%BE%E8%AE%8A%E6%BB%91%E9%81%93-3%E6%AD%B2%E4%BB%A5%E4%B8%8A-125%E7%89%87-244960129417217?itemId=244958405541888&vendorItemId=244958401347586&sourceType=search&rank=1&searchId=5d2fe7e6bdd548ecbfb8708e370f1be3&q=%E6%AF%8F%E8%81%B2%E9%81%93
"Janod 寶寶異想世界 森林形狀屋, 1盒",$537,https://www.tw.coupang.com/products/Janod-%E5%AF%B6%E5%AF%B6%E7%95%B0%E6%83%B3%E4%B8%96%E7%95%8C-%E6%A3%AE%E6%9E%97%E5%BD%A2%E7%8B%80%E5%B1%8B-288825922240516?itemId=288827956494338&vendorItemId=288826983432193&sourceType=search&rank=2&searchId=5d2fe7e6bdd548ecbfb8708e370f1be3&q=%E6%AF%8F%E8%81%B2%E9%81%93
"ToP BRIGHT 特寶兒 數字積木認知時鐘, 1組",$349,https://www.tw.coupang.com/products/ToP-BRIGHT-%E7%89%B9%E5%AF%B6%E5%85%92-%E6%95%B8%E5%AD%97%E7%A9%8D%E6%9C%A8%E8%AA%8D%E7%9F%A5%E6%99%82%E9%90%98-235912306868224?itemId=235911442808844&vendorItemId=235913074409475&sourceType=search&rank=3&searchId=5d2fe7e6bdd548ecbfb8708e370f1be3&q=%E6%AF%8F%E8%81%B2%E9%81%93
"學習傾聽-我有好多話要「說」!, 1本",$181,https://www.tw.coupang.com/products/%E5%AD%B8%E7%BF%92%E5%82%BE%E8%81%BD-%E6%88%91%E6%9C%89%E5%A5%BD%E5%A4%9A%E8%A9%B1%E8%A6%81%E3%80%8C%E8%AA%AA%E3%80%8D!-323296327335942?itemId=323296327303174&vendorItemId=323296327335941&sourceType=search&rank=4&searchId=5d2fe7e6bdd548ecbfb8708e370f1be3&q=%E6%AF%8F%E8%81%B2%E9%81%93
"風車圖書 Baby感覺統合音樂跳跳馬 新版 紅色, 3歲以上, 1盒",$550,https://www.tw.coupang.com/products/%E9%A2%A8%E8%BB%8A%E5%9C%96%E6%9B%B8-Baby%E6%84%9F%E8%A6%BA%E7%B5%B1%E5%90%88%E9%9F%B3%E6%A8%82%E8%B7%B3%E8%B7%B3%E9%A6%AC-%E6%96%B0%E7%89%88-%E7%B4%85%E8%89%B2-241083791409152?itemId=241082105282561&vendorItemId=241083787214858&sourceType=search&rank=5&searchId=5d2fe7e6bdd548ecbfb8708e370f1be3&q=%E6%AF%8F%E8%81%B2%E9%81%93
"木頭時鐘拼圖組 YMF5023, 隨機發貨",$101,https://www.tw.coupang.com/products/%E6%9C%A8%E9%A0%AD%E6%99%82%E9%90%98%E6%8B%BC%E5%9C%96%E7%B5%84-YMF5023-21006631359309?itemId=21015118636761&vendorItemId=21082340396817&sourceType=search&rank=6&searchId=5d2fe7e6bdd548ecbfb8708e370f1be3&q=%E6%AF%8F%E8%81%B2%E9%81%93
"上人文化 好棒的時鐘遊戲 木製玩具 8歲以上, 1盒",$186,https://www.tw.coupang.com/products/%E4%B8%8A%E4%BA%BA%E6%96%87%E5%8C%96-%E5%A5%BD%E6%A3%92%E7%9A%84%E6%99%82%E9%90%98%E9%81%8A%E6%88%B2-%E6%9C%A8%E8%A3%BD%E7%8E%A9%E5%85%B7-8%E6%AD%B2%E4%BB%A5%E4%B8%8A-239622818856967?itemId=239622030344200&vendorItemId=239622818856961&sourceType=search&rank=7&searchId=5d2fe7e6bdd548ecbfb8708e370f1be3&q=%E6%AF%8F%E8%81%B2%E9%81%93
"LEGO 10422 三合一太空梭歷險 3in1 Space Shuttle Adventure 3歲以上, 1盒","$1,414",https://www.tw.coupang.com/products/LEGO-10422-%E4%B8%89%E5%90%88%E4%B8%80%E5%A4%AA%E7%A9%BA%E6%A2%AD%E6%AD%B7%E9%9A%AA-3in1-Space-Shuttle-Adventure-3%E6%AD%B2%E4%BB%A5%E4%B8%8A-455172375396361?itemId=455172375412743&vendorItemId=455172375379972&sourceType=search&rank=8&searchId=5d2fe7e6bdd548ecbfb8708e370f1be3&q=%E6%AF%8F%E8%81%B2%E9%81%93
"New Classic Toys 寶寶 形狀學習時鐘拼圖 #18252, 1組",$415,https://www.tw.coupang.com/products/New-Classic-Toys-%E5%AF%B6%E5%AF%B6-%E5%BD%A2%E7%8B%80%E5%AD%B8%E7%BF%92%E6%99%82%E9%90%98%E6%8B%BC%E5%9C%96-%2318252-222844688515072?itemId=222845393141760&vendorItemId=222843899953152&sourceType=search&rank=9&searchId=5d2fe7e6bdd548ecbfb8708e370f1be3&q=%E6%AF%8F%E8%81%B2%E9%81%93
