product_name,product_price,product_url
"台灣 COSMOS B 斜口毛拔 款式隨機, 3支",$56,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3-COSMOS-B-%E6%96%9C%E5%8F%A3%E6%AF%9B%E6%8B%94-%E6%AC%BE%E5%BC%8F%E9%9A%A8%E6%A9%9F-168600203657224?itemId=375090231361540&vendorItemId=375090231345153&sourceType=search&rank=&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"Fashina 飛詩娜 絕美自黏髮捲大, 6.3*3.5*3.5cm, 2入, 3包",$74,https://www.tw.coupang.com/products/Fashina-%E9%A3%9B%E8%A9%A9%E5%A8%9C-%E7%B5%95%E7%BE%8E%E8%87%AA%E9%BB%8F%E9%AB%AE%E6%8D%B2%E5%A4%A7-277599494307843?itemId=390364347203595&vendorItemId=390364347203589&sourceType=search&rank=1&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"隨身滾輪黏毛器 S號+專用捲紙補充裝 2入, 1套",$128,https://www.tw.coupang.com/products/%E9%9A%A8%E8%BA%AB%E6%BB%BE%E8%BC%AA%E9%BB%8F%E6%AF%9B%E5%99%A8-S%E8%99%9F%2B%E5%B0%88%E7%94%A8%E6%8D%B2%E7%B4%99%E8%A3%9C%E5%85%85%E8%A3%9D-2%E5%85%A5-21000080623405?itemId=21000257608495&vendorItemId=21003626455571&sourceType=search&rank=2&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"Juvera 睫毛捲髮器電池型號 MR-2017-1, 紫色, 先生-2017-1",$481,https://www.tw.coupang.com/products/Juvera-%E7%9D%AB%E6%AF%9B%E6%8D%B2%E9%AB%AE%E5%99%A8%E9%9B%BB%E6%B1%A0%E5%9E%8B%E8%99%9F-MR-2017-1-21007473184320?itemId=21019504206076&vendorItemId=21086613263101&sourceType=search&rank=3&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"gloss&glow 尖尾捲, 棕色, 1入",$129,https://www.tw.coupang.com/products/gloss%26glow-%E5%B0%96%E5%B0%BE%E6%8D%B2-21006853236286?itemId=21016335021529&vendorItemId=21083526950955&sourceType=search&rank=4&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"Sanrio Kuromi Love 發卷 大號, 1個, 紫色",$104,https://www.tw.coupang.com/products/Sanrio-Kuromi-Love-%E7%99%BC%E5%8D%B7-%E5%A4%A7%E8%99%9F-21007895825058?itemId=21021627374882&vendorItemId=21089780576956&sourceType=search&rank=5&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"在實驗室巨型捲發器上, 粉色的, 2個",$139,https://www.tw.coupang.com/products/%E5%9C%A8%E5%AF%A6%E9%A9%97%E5%AE%A4%E5%B7%A8%E5%9E%8B%E6%8D%B2%E7%99%BC%E5%99%A8%E4%B8%8A-21001280576081?itemId=21002288565406&vendorItemId=21070285633949&sourceType=search&rank=6&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"OA 陶瓷捲髮器, WH-003 OHA, 混合顏色",$963,https://www.tw.coupang.com/products/OA-%E9%99%B6%E7%93%B7%E6%8D%B2%E9%AB%AE%E5%99%A8-21008104048795?itemId=21022932851021&vendorItemId=21073053338132&sourceType=search&rank=7&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"Lash Up Color Rod U 捲曲 5 x 2p 套組, 混色, 1套",$320,https://www.tw.coupang.com/products/Lash-Up-Color-Rod-U-%E6%8D%B2%E6%9B%B2-5-x-2p-%E5%A5%97%E7%B5%84-21005816220034?itemId=21010024345352&vendorItemId=21077307305006&sourceType=search&rank=8&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"SPARROW HOUSE 滾輪黏毛器 10cm+膠帶替換裝 10入, 1套（白色）",$597,https://www.tw.coupang.com/products/SPARROW-HOUSE-%E6%BB%BE%E8%BC%AA%E9%BB%8F%E6%AF%9B%E5%99%A8-10cm%2B%E8%86%A0%E5%B8%B6%E6%9B%BF%E6%8F%9B%E8%A3%9D-10%E5%85%A5-21006614677118?itemId=21015014157682&vendorItemId=21086703216570&sourceType=search&rank=9&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"Vivre 手提式迷你耳毛鼻毛修剪器 VNT9000, 黑色",$320,https://www.tw.coupang.com/products/Vivre-%E6%89%8B%E6%8F%90%E5%BC%8F%E8%BF%B7%E4%BD%A0%E8%80%B3%E6%AF%9B%E9%BC%BB%E6%AF%9B%E4%BF%AE%E5%89%AA%E5%99%A8-VNT9000-21008087313820?itemId=21022829126301&vendorItemId=21086717595939&sourceType=search&rank=10&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"Unix Easy 魔法捲髮棒 UCI-A2530, 白色",$832,https://www.tw.coupang.com/products/Unix-Easy-%E9%AD%94%E6%B3%95%E6%8D%B2%E9%AB%AE%E6%A3%92-UCI-A2530-21007560892464?itemId=21019919193916&vendorItemId=21087931632600&sourceType=search&rank=11&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"BaByliss 波浪離子電棒捲, 粉色, 2289K",$785,https://www.tw.coupang.com/products/BaByliss-%E6%B3%A2%E6%B5%AA%E9%9B%A2%E5%AD%90%E9%9B%BB%E6%A3%92%E6%8D%B2-21008314913874?itemId=21020496167690&vendorItemId=21087574633858&sourceType=search&rank=12&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"Fashina 飛詩娜 絕美自黏髮捲 小 6.3*2.3*2.3cm 2入, 4組",$148,https://www.tw.coupang.com/products/Fashina-%E9%A3%9B%E8%A9%A9%E5%A8%9C-%E7%B5%95%E7%BE%8E%E8%87%AA%E9%BB%8F%E9%AB%AE%E6%8D%B2-%E5%B0%8F-6.3*2.3*2.3cm-2%E5%85%A5-279083778801670?itemId=279081761325063&vendorItemId=279083778801665&sourceType=search&rank=13&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"Barcozel 手提可愛迷你捲尺 Rainbow, 1個, 1.5m",$118,https://www.tw.coupang.com/products/Barcozel-%E6%89%8B%E6%8F%90%E5%8F%AF%E6%84%9B%E8%BF%B7%E4%BD%A0%E6%8D%B2%E5%B0%BA-Rainbow-21008206538961?itemId=21023541915218&vendorItemId=21090568136500&sourceType=search&rank=14&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"Eye Candy 熱捲翹根卷刷, 混色, 1個",$352,https://www.tw.coupang.com/products/Eye-Candy-%E7%86%B1%E6%8D%B2%E7%BF%B9%E6%A0%B9%E5%8D%B7%E5%88%B7-21007073064820?itemId=21017571074245&vendorItemId=21084737817575&sourceType=search&rank=15&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
"rate Easy Lab 自動捲髮器 JL-100, 混合顏色","$1,548",https://www.tw.coupang.com/products/rate-Easy-Lab-%E8%87%AA%E5%8B%95%E6%8D%B2%E9%AB%AE%E5%99%A8-JL-100-21006689419068?itemId=21015454060022&vendorItemId=21082673651559&sourceType=search&rank=16&searchId=042290d4dbf74c2fa72f43be0efc72a0&q=%E6%AF%9B%E6%8D%B2%E7%BF%B9%E5%99%A8
