product_name,product_price,product_url
"裸廚房 大寶寶粥 全素, 陽光彩蔬, 160g, 2包",$314,https://www.tw.coupang.com/products/%E8%A3%B8%E5%BB%9A%E6%88%BF-%E5%A4%A7%E5%AF%B6%E5%AF%B6%E7%B2%A5-%E5%85%A8%E7%B4%A0-226854401179649?itemId=226852861853696&vendorItemId=226853671387136&sourceType=search&rank=&searchId=5cb79f10dc5a4240896a8496951f21e7&q=%E6%AF%9B%E8%B1%86%E4%BB%81
"義美 濃蒜青豆, 178g, 3袋",$119,https://www.tw.coupang.com/products/%E7%BE%A9%E7%BE%8E-%E6%BF%83%E8%92%9C%E9%9D%92%E8%B1%86-159576372527124?itemId=272591688253447&vendorItemId=272593684758530&sourceType=search&rank=1&searchId=5cb79f10dc5a4240896a8496951f21e7&q=%E6%AF%9B%E8%B1%86%E4%BB%81
"盛香珍 芥茉青豆, 240g, 2包",$82,https://www.tw.coupang.com/products/%E7%9B%9B%E9%A6%99%E7%8F%8D-%E8%8A%A5%E8%8C%89%E9%9D%92%E8%B1%86-167518228430852?itemId=384955754430467&vendorItemId=384955754463232&sourceType=search&rank=2&searchId=5cb79f10dc5a4240896a8496951f21e7&q=%E6%AF%9B%E8%B1%86%E4%BB%81
"SEAPOINT FARMS 烘烤毛豆 海鹽口味, 1包, 113g",$118,https://www.tw.coupang.com/products/SEAPOINT-FARMS-%E7%83%98%E7%83%A4%E6%AF%9B%E8%B1%86-%E6%B5%B7%E9%B9%BD%E5%8F%A3%E5%91%B3-21000003248424?itemId=21000000070243&vendorItemId=21003273085333&sourceType=search&rank=3&searchId=5cb79f10dc5a4240896a8496951f21e7&q=%E6%AF%9B%E8%B1%86%E4%BB%81
"惠香食品 活力豆, 350g, 1罐",$106,https://www.tw.coupang.com/products/%E6%83%A0%E9%A6%99%E9%A3%9F%E5%93%81-%E6%B4%BB%E5%8A%9B%E8%B1%86-159064898125838?itemId=159065309151239&vendorItemId=159064898125828&sourceType=search&rank=4&searchId=5cb79f10dc5a4240896a8496951f21e7&q=%E6%AF%9B%E8%B1%86%E4%BB%81
"裸廚房 大寶寶粥 全素, 陽光彩蔬, 160g, 4包",$439,https://www.tw.coupang.com/products/%E8%A3%B8%E5%BB%9A%E6%88%BF-%E5%A4%A7%E5%AF%B6%E5%AF%B6%E7%B2%A5-%E5%85%A8%E7%B4%A0-226854401179649?itemId=398362352254983&vendorItemId=398362352222216&sourceType=search&rank=5&searchId=5cb79f10dc5a4240896a8496951f21e7&q=%E6%AF%9B%E8%B1%86%E4%BB%81
"耆盛食品 毛綠豆, 500g, 2包",$110,https://www.tw.coupang.com/products/%E8%80%86%E7%9B%9B%E9%A3%9F%E5%93%81-%E6%AF%9B%E7%B6%A0%E8%B1%86-277628829286402?itemId=182292441939996&vendorItemId=182292441939982&sourceType=search&rank=6&searchId=5cb79f10dc5a4240896a8496951f21e7&q=%E6%AF%9B%E8%B1%86%E4%BB%81
"茂喜食品 進口嚴選商品 緬甸綠豆仁, 400g, 2包",$119,https://www.tw.coupang.com/products/%E8%8C%82%E5%96%9C%E9%A3%9F%E5%93%81-%E9%80%B2%E5%8F%A3%E5%9A%B4%E9%81%B8%E5%95%86%E5%93%81-%E7%B7%AC%E7%94%B8%E7%B6%A0%E8%B1%86%E4%BB%81-283847354712079?itemId=283845328846865&vendorItemId=201478073434137&sourceType=search&rank=7&searchId=5cb79f10dc5a4240896a8496951f21e7&q=%E6%AF%9B%E8%B1%86%E4%BB%81
"盛香珍 紅配綠麻辣青豆, 220g, 10包",$413,https://www.tw.coupang.com/products/%E7%9B%9B%E9%A6%99%E7%8F%8D-%E7%B4%85%E9%85%8D%E7%B6%A0%E9%BA%BB%E8%BE%A3%E9%9D%92%E8%B1%86-277597388750866?itemId=270753941372932&vendorItemId=270754994176000&sourceType=search&rank=8&searchId=5cb79f10dc5a4240896a8496951f21e7&q=%E6%AF%9B%E8%B1%86%E4%BB%81
"裸廚房 大寶寶粥 全素, 陽光彩蔬, 160g, 10包","$1,255",https://www.tw.coupang.com/products/%E8%A3%B8%E5%BB%9A%E6%88%BF-%E5%A4%A7%E5%AF%B6%E5%AF%B6%E7%B2%A5-%E5%85%A8%E7%B4%A0-226854401179649?itemId=398362352238601&vendorItemId=398362352238597&sourceType=search&rank=9&searchId=5cb79f10dc5a4240896a8496951f21e7&q=%E6%AF%9B%E8%B1%86%E4%BB%81
