product_name,product_price,product_url
"KC 黃玉米 2p, 500g, 1個",$119,https://www.tw.coupang.com/products/KC-%E9%BB%83%E7%8E%89%E7%B1%B3-2p-21008170151003?itemId=21018645218242&vendorItemId=21085780227567&sourceType=search&rank=&searchId=555da94fb6b44a49965c159c502d3bd2&q=%E6%B0%B4%E6%9E%9C%E7%8E%89%E7%B1%B3
"即食甜玉米, 600g, 1個",$82,https://www.tw.coupang.com/products/%E5%8D%B3%E9%A3%9F%E7%94%9C%E7%8E%89%E7%B1%B3-21007799923155?itemId=21021122130582&vendorItemId=21088183919236&sourceType=search&rank=1&searchId=555da94fb6b44a49965c159c502d3bd2&q=%E6%B0%B4%E6%9E%9C%E7%8E%89%E7%B1%B3
"即食玉米+蒜味奶油調味粉 6份入, 936g, 1套",$331,https://www.tw.coupang.com/products/%E5%8D%B3%E9%A3%9F%E7%8E%89%E7%B1%B3%2B%E8%92%9C%E5%91%B3%E5%A5%B6%E6%B2%B9%E8%AA%BF%E5%91%B3%E7%B2%89-6%E4%BB%BD%E5%85%A5-21007812274131?itemId=21021193797360&vendorItemId=21088255111749&sourceType=search&rank=2&searchId=555da94fb6b44a49965c159c502d3bd2&q=%E6%B0%B4%E6%9E%9C%E7%8E%89%E7%B1%B3
"Baro de siong 即食甜味蒸煮玉米, 250g, 3入",$184,https://www.tw.coupang.com/products/Baro-de-siong-%E5%8D%B3%E9%A3%9F%E7%94%9C%E5%91%B3%E8%92%B8%E7%85%AE%E7%8E%89%E7%B1%B3-21007105102153?itemId=21018914996369&vendorItemId=21085413254613&sourceType=search&rank=3&searchId=555da94fb6b44a49965c159c502d3bd2&q=%E6%B0%B4%E6%9E%9C%E7%8E%89%E7%B1%B3
"KC烤玉米, 500g, 2組",$183,https://www.tw.coupang.com/products/KC%E7%83%A4%E7%8E%89%E7%B1%B3-21005381064566?itemId=21019394301785&vendorItemId=21086506478909&sourceType=search&rank=4&searchId=555da94fb6b44a49965c159c502d3bd2&q=%E6%B0%B4%E6%9E%9C%E7%8E%89%E7%B1%B3
"ICHIBIYA 冷凍乾燥水果片玉米, 30g, 8個",$681,https://www.tw.coupang.com/products/ICHIBIYA-%E5%86%B7%E5%87%8D%E4%B9%BE%E7%87%A5%E6%B0%B4%E6%9E%9C%E7%89%87%E7%8E%89%E7%B1%B3-21001423527094?itemId=21018775338517&vendorItemId=21085906862589&sourceType=search&rank=5&searchId=555da94fb6b44a49965c159c502d3bd2&q=%E6%B0%B4%E6%9E%9C%E7%8E%89%E7%B1%B3
"即食玉米+蒜味奶油調味粉 6份入, 936g, 2組",$430,https://www.tw.coupang.com/products/%E5%8D%B3%E9%A3%9F%E7%8E%89%E7%B1%B3%2B%E8%92%9C%E5%91%B3%E5%A5%B6%E6%B2%B9%E8%AA%BF%E5%91%B3%E7%B2%89-6%E4%BB%BD%E5%85%A5-21007812274131?itemId=21021259946788&vendorItemId=21088320311965&sourceType=search&rank=6&searchId=555da94fb6b44a49965c159c502d3bd2&q=%E6%B0%B4%E6%9E%9C%E7%8E%89%E7%B1%B3
"kingofcorn 黃玉米雙玉米玉米8包, 4公斤, 1個",$667,https://www.tw.coupang.com/products/kingofcorn-%E9%BB%83%E7%8E%89%E7%B1%B3%E9%9B%99%E7%8E%89%E7%B1%B3%E7%8E%89%E7%B1%B38%E5%8C%85-21006060811755?itemId=21011144093835&vendorItemId=21078422479316&sourceType=search&rank=7&searchId=555da94fb6b44a49965c159c502d3bd2&q=%E6%B0%B4%E6%9E%9C%E7%8E%89%E7%B1%B3
"Baro de siong 即食甜味蒸煮玉米, 250g, 6入",$356,https://www.tw.coupang.com/products/Baro-de-siong-%E5%8D%B3%E9%A3%9F%E7%94%9C%E5%91%B3%E8%92%B8%E7%85%AE%E7%8E%89%E7%B1%B3-21007105102153?itemId=21019307440871&vendorItemId=21085326976280&sourceType=search&rank=8&searchId=555da94fb6b44a49965c159c502d3bd2&q=%E6%B0%B4%E6%9E%9C%E7%8E%89%E7%B1%B3
"KC烤玉米2p, 500g, 1組",$103,https://www.tw.coupang.com/products/KC%E7%83%A4%E7%8E%89%E7%B1%B32p-21005381064566?itemId=21007992547371&vendorItemId=21086182390334&sourceType=search&rank=9&searchId=555da94fb6b44a49965c159c502d3bd2&q=%E6%B0%B4%E6%9E%9C%E7%8E%89%E7%B1%B3
