product_name,product_price,product_url
"ILKWANG 綜合甜點水果風味糖 9種口味, 2kg, 1袋",$338,https://www.tw.coupang.com/products/ILKWANG-%E7%B6%9C%E5%90%88%E7%94%9C%E9%BB%9E%E6%B0%B4%E6%9E%9C%E9%A2%A8%E5%91%B3%E7%B3%96-9%E7%A8%AE%E5%8F%A3%E5%91%B3-21008169364525?itemId=21019200558016&vendorItemId=21003000055963&sourceType=search&rank=&searchId=6ff5e447de334fd48e8c9a74de6f908a&q=%E6%B0%B4%E6%9E%9C%E7%94%9C%E9%BB%9E
"法國白甜品水果叉, 銀霜, 4個",$232,https://www.tw.coupang.com/products/%E6%B3%95%E5%9C%8B%E7%99%BD%E7%94%9C%E5%93%81%E6%B0%B4%E6%9E%9C%E5%8F%89-21007200848570?itemId=21018201561737&vendorItemId=21085350011420&sourceType=search&rank=1&searchId=6ff5e447de334fd48e8c9a74de6f908a&q=%E6%B0%B4%E6%9E%9C%E7%94%9C%E9%BB%9E
"ILKWANG 綜合甜點水果風味糖 9種口味, 2g, 2袋",$676,https://www.tw.coupang.com/products/ILKWANG-%E7%B6%9C%E5%90%88%E7%94%9C%E9%BB%9E%E6%B0%B4%E6%9E%9C%E9%A2%A8%E5%91%B3%E7%B3%96-9%E7%A8%AE%E5%8F%A3%E5%91%B3-21007410702042?itemId=21018038629928&vendorItemId=21085192997653&sourceType=search&rank=2&searchId=6ff5e447de334fd48e8c9a74de6f908a&q=%E6%B0%B4%E6%9E%9C%E7%94%9C%E9%BB%9E
"ACACIA 24K鍍金水果叉 4入, 單色, 1組",$327,https://www.tw.coupang.com/products/ACACIA-24K%E9%8D%8D%E9%87%91%E6%B0%B4%E6%9E%9C%E5%8F%89-4%E5%85%A5-21000204251435?itemId=21000600428111&vendorItemId=21004572542270&sourceType=search&rank=3&searchId=6ff5e447de334fd48e8c9a74de6f908a&q=%E6%B0%B4%E6%9E%9C%E7%94%9C%E9%BB%9E
"ILKWANG 綜合甜點水果風味糖 9種口味, 3kg, 1袋",$508,https://www.tw.coupang.com/products/ILKWANG-%E7%B6%9C%E5%90%88%E7%94%9C%E9%BB%9E%E6%B0%B4%E6%9E%9C%E9%A2%A8%E5%91%B3%E7%B3%96-9%E7%A8%AE%E5%8F%A3%E5%91%B3-21008169364525?itemId=21000546037628&vendorItemId=21004431545695&sourceType=search&rank=4&searchId=6ff5e447de334fd48e8c9a74de6f908a&q=%E6%B0%B4%E6%9E%9C%E7%94%9C%E9%BB%9E
"FRESCO 水果雞尾酒罐頭, 820g, 1罐",$100,https://www.tw.coupang.com/products/FRESCO-%E6%B0%B4%E6%9E%9C%E9%9B%9E%E5%B0%BE%E9%85%92%E7%BD%90%E9%A0%AD-21000000522238?itemId=21000001571656&vendorItemId=21003001555747&sourceType=search&rank=5&searchId=6ff5e447de334fd48e8c9a74de6f908a&q=%E6%B0%B4%E6%9E%9C%E7%94%9C%E9%BB%9E
"Tutto 水果混合果凍, 230g, 12個",$501,https://www.tw.coupang.com/products/Tutto-%E6%B0%B4%E6%9E%9C%E6%B7%B7%E5%90%88%E6%9E%9C%E5%87%8D-21005503983760?itemId=21018763847491&vendorItemId=21085895654002&sourceType=search&rank=6&searchId=6ff5e447de334fd48e8c9a74de6f908a&q=%E6%B0%B4%E6%9E%9C%E7%94%9C%E9%BB%9E
"法國白甜品水果叉, 銀黑色, 4個",$232,https://www.tw.coupang.com/products/%E6%B3%95%E5%9C%8B%E7%99%BD%E7%94%9C%E5%93%81%E6%B0%B4%E6%9E%9C%E5%8F%89-21007200848570?itemId=21015419044233&vendorItemId=21082638854424&sourceType=search&rank=7&searchId=6ff5e447de334fd48e8c9a74de6f908a&q=%E6%B0%B4%E6%9E%9C%E7%94%9C%E9%BB%9E
"邸家本舖 歐風純色餐具 304不鏽鋼 甜點叉, 土豪金, 3支",$96,https://www.tw.coupang.com/products/%E9%82%B8%E5%AE%B6%E6%9C%AC%E8%88%96-%E6%AD%90%E9%A2%A8%E7%B4%94%E8%89%B2%E9%A4%90%E5%85%B7-304%E4%B8%8D%E9%8F%BD%E9%8B%BC-%E7%94%9C%E9%BB%9E%E5%8F%89-277691580235782?itemId=277691580235783&vendorItemId=277693593518082&sourceType=search&rank=8&searchId=6ff5e447de334fd48e8c9a74de6f908a&q=%E6%B0%B4%E6%9E%9C%E7%94%9C%E9%BB%9E
"Anela 水果泥, 蘋果李子口味, 200g, 2盒",$222,https://www.tw.coupang.com/products/Anela-%E6%B0%B4%E6%9E%9C%E6%B3%A5-21000022170850?itemId=21019062990895&vendorItemId=21086185868151&sourceType=search&rank=9&searchId=6ff5e447de334fd48e8c9a74de6f908a&q=%E6%B0%B4%E6%9E%9C%E7%94%9C%E9%BB%9E
