product_name,product_price,product_url
"Boryung 葉黃素+玉米黃素+蝦青素+Omega 3魚油膠囊 48g, 60顆, 1盒",$448,https://www.tw.coupang.com/products/Boryung-%E8%91%89%E9%BB%83%E7%B4%A0%2B%E7%8E%89%E7%B1%B3%E9%BB%83%E7%B4%A0%2B%E8%9D%A6%E9%9D%92%E7%B4%A0%2BOmega-3%E9%AD%9A%E6%B2%B9%E8%86%A0%E5%9B%8A-48g-21006453820540?itemId=21014020415588&vendorItemId=21081268931494&sourceType=search&rank=&searchId=065fd961b0ea4b9593f03d403b0c086e&q=%E6%B2%B9%E7%85%99
"OTTOGI 不倒翁 碗裝魷魚五花肉蓋飯, 310g, 2入",$128,https://www.tw.coupang.com/products/OTTOGI-%E4%B8%8D%E5%80%92%E7%BF%81-%E7%A2%97%E8%A3%9D%E9%AD%B7%E9%AD%9A%E4%BA%94%E8%8A%B1%E8%82%89%E8%93%8B%E9%A3%AF-21000059119541?itemId=21018625028497&vendorItemId=21085760411565&sourceType=search&rank=1&searchId=065fd961b0ea4b9593f03d403b0c086e&q=%E6%B2%B9%E7%85%99
"NutriD-Day 7種口味代餐奶昔組, 25g, 14包",$312,https://www.tw.coupang.com/products/NutriD-Day-7%E7%A8%AE%E5%8F%A3%E5%91%B3%E4%BB%A3%E9%A4%90%E5%A5%B6%E6%98%94%E7%B5%84-21007787761605?itemId=21021325846391&vendorItemId=21088384715486&sourceType=search&rank=2&searchId=065fd961b0ea4b9593f03d403b0c086e&q=%E6%B2%B9%E7%85%99
"NutriD-Day 鈣鎂鋅維生素D口含錠, 180顆, 2罐",$699,https://www.tw.coupang.com/products/NutriD-Day-%E9%88%A3%E9%8E%82%E9%8B%85%E7%B6%AD%E7%94%9F%E7%B4%A0D%E5%8F%A3%E5%90%AB%E9%8C%A0-21007370197808?itemId=21019220448401&vendorItemId=21086337251471&sourceType=search&rank=3&searchId=065fd961b0ea4b9593f03d403b0c086e&q=%E6%B2%B9%E7%85%99
"無油玉米片, 5個, 60g",$208,https://www.tw.coupang.com/products/%E7%84%A1%E6%B2%B9%E7%8E%89%E7%B1%B3%E7%89%87-21007518574972?itemId=21019714967021&vendorItemId=21086819250271&sourceType=search&rank=4&searchId=065fd961b0ea4b9593f03d403b0c086e&q=%E6%B2%B9%E7%85%99
"Webblyz Optima Immune 19 種多種維生素和礦物質 10 片, 10份, 1個",$799,https://www.tw.coupang.com/products/Webblyz-Optima-Immune-19-%E7%A8%AE%E5%A4%9A%E7%A8%AE%E7%B6%AD%E7%94%9F%E7%B4%A0%E5%92%8C%E7%A4%A6%E7%89%A9%E8%B3%AA-10-%E7%89%87-21008026311320?itemId=21022432688859&vendorItemId=21086625332288&sourceType=search&rank=5&searchId=065fd961b0ea4b9593f03d403b0c086e&q=%E6%B2%B9%E7%85%99
"NutriD-Day 7種口味代餐奶昔組, 350g, 2盒",$602,https://www.tw.coupang.com/products/NutriD-Day-7%E7%A8%AE%E5%8F%A3%E5%91%B3%E4%BB%A3%E9%A4%90%E5%A5%B6%E6%98%94%E7%B5%84-21007787761605?itemId=21021062247197&vendorItemId=21088124560271&sourceType=search&rank=6&searchId=065fd961b0ea4b9593f03d403b0c086e&q=%E6%B2%B9%E7%85%99
"OTTOGI 不倒翁 碗裝魷魚五花肉蓋飯, 310g, 3入",$180,https://www.tw.coupang.com/products/OTTOGI-%E4%B8%8D%E5%80%92%E7%BF%81-%E7%A2%97%E8%A3%9D%E9%AD%B7%E9%AD%9A%E4%BA%94%E8%8A%B1%E8%82%89%E8%93%8B%E9%A3%AF-21000059119541?itemId=21018625030624&vendorItemId=21085760414174&sourceType=search&rank=7&searchId=065fd961b0ea4b9593f03d403b0c086e&q=%E6%B2%B9%E7%85%99
"INNERLAB Celltrion 餐後血糖抑制巴巴葉鉻 30 克, 60顆, 1個",$336,https://www.tw.coupang.com/products/INNERLAB-Celltrion-%E9%A4%90%E5%BE%8C%E8%A1%80%E7%B3%96%E6%8A%91%E5%88%B6%E5%B7%B4%E5%B7%B4%E8%91%89%E9%89%BB-30-%E5%85%8B-21008128638219?itemId=21023080637713&vendorItemId=21090415276661&sourceType=search&rank=8&searchId=065fd961b0ea4b9593f03d403b0c086e&q=%E6%B2%B9%E7%85%99
"無油玉米片, 10個, 60g",$415,https://www.tw.coupang.com/products/%E7%84%A1%E6%B2%B9%E7%8E%89%E7%B1%B3%E7%89%87-21007518574972?itemId=21020657870714&vendorItemId=21086892630549&sourceType=search&rank=9&searchId=065fd961b0ea4b9593f03d403b0c086e&q=%E6%B2%B9%E7%85%99
