product_name,product_price,product_url
"MAISONDECOMMEMA 長虹玻璃櫃, 白色",$820,https://www.tw.coupang.com/products/MAISONDECOMMEMA-%E9%95%B7%E8%99%B9%E7%8E%BB%E7%92%83%E6%AB%83-21007679770260?itemId=21018141312606&vendorItemId=21086531775348&sourceType=search&rank=&searchId=19bbf7bb142848cb8e8586b6ee7eb184&q=%E6%B6%88%E6%AF%92%E6%AB%83
"MAISONDECOMMEMA 長虹玻璃櫃, 白色",$602,https://www.tw.coupang.com/products/MAISONDECOMMEMA-%E9%95%B7%E8%99%B9%E7%8E%BB%E7%92%83%E6%AB%83-21007455521910?itemId=21018141312605&vendorItemId=21086508139826&sourceType=search&rank=1&searchId=19bbf7bb142848cb8e8586b6ee7eb184&q=%E6%B6%88%E6%AF%92%E6%AB%83
"IRIS OHYAMA 收納櫃 BC-500 L號, 淺褐色",$337,https://www.tw.coupang.com/products/IRIS-OHYAMA-%E6%94%B6%E7%B4%8D%E6%AB%83-BC-500-L%E8%99%9F-21005275935497?itemId=21007533532752&vendorItemId=21074824201545&sourceType=search&rank=2&searchId=19bbf7bb142848cb8e8586b6ee7eb184&q=%E6%B6%88%E6%AF%92%E6%AB%83
"MAMORU 一空櫃 3.6kg, 木紋白",$249,https://www.tw.coupang.com/products/MAMORU-%E4%B8%80%E7%A9%BA%E6%AB%83-3.6kg-163455042535431?itemId=163455491358727&vendorItemId=163455923355651&sourceType=search&rank=3&searchId=19bbf7bb142848cb8e8586b6ee7eb184&q=%E6%B6%88%E6%AF%92%E6%AB%83
"iFam 儲藏收納櫃, 白色, 1個","$1,326",https://www.tw.coupang.com/products/iFam-%E5%84%B2%E8%97%8F%E6%94%B6%E7%B4%8D%E6%AB%83-21001661498877?itemId=21002830976143&vendorItemId=21070820416278&sourceType=search&rank=4&searchId=19bbf7bb142848cb8e8586b6ee7eb184&q=%E6%B6%88%E6%AF%92%E6%AB%83
"HouseRecipe 多功能手機4-tier機櫃, 米色, 1個",$626,https://www.tw.coupang.com/products/HouseRecipe-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%89%8B%E6%A9%9F4-tier%E6%A9%9F%E6%AB%83-21000000043106?itemId=21016120516314&vendorItemId=21083317352555&sourceType=search&rank=5&searchId=19bbf7bb142848cb8e8586b6ee7eb184&q=%E6%B6%88%E6%AF%92%E6%AB%83
"PMU 必美優 無毒紙家具 二格收納櫃, 綠色, 1組",$476,https://www.tw.coupang.com/products/PMU-%E5%BF%85%E7%BE%8E%E5%84%AA-%E7%84%A1%E6%AF%92%E7%B4%99%E5%AE%B6%E5%85%B7-%E4%BA%8C%E6%A0%BC%E6%94%B6%E7%B4%8D%E6%AB%83-165972824522761?itemId=165971914342410&vendorItemId=165972824522754&sourceType=search&rank=6&searchId=19bbf7bb142848cb8e8586b6ee7eb184&q=%E6%B6%88%E6%AF%92%E6%AB%83
"ZEUS 開放式收納櫃 A型, 楓白",$619,https://www.tw.coupang.com/products/ZEUS-%E9%96%8B%E6%94%BE%E5%BC%8F%E6%94%B6%E7%B4%8D%E6%AB%83-A%E5%9E%8B-21000164487842?itemId=21000471761509&vendorItemId=21004179398824&sourceType=search&rank=7&searchId=19bbf7bb142848cb8e8586b6ee7eb184&q=%E6%B6%88%E6%AF%92%E6%AB%83
"JEJ Slim小物抽屜櫃 S3M2, 1個","$1,147",https://www.tw.coupang.com/products/JEJ-Slim%E5%B0%8F%E7%89%A9%E6%8A%BD%E5%B1%9C%E6%AB%83-S3M2-318932950941701?itemId=318930543394822&vendorItemId=318932950941698&sourceType=search&rank=8&searchId=19bbf7bb142848cb8e8586b6ee7eb184&q=%E6%B6%88%E6%AF%92%E6%AB%83
"MAMORU 玩具櫃, 木紋白, 1個",$470,https://www.tw.coupang.com/products/MAMORU-%E7%8E%A9%E5%85%B7%E6%AB%83-163455042535438?itemId=163455923355663&vendorItemId=163455491358728&sourceType=search&rank=9&searchId=19bbf7bb142848cb8e8586b6ee7eb184&q=%E6%B6%88%E6%AF%92%E6%AB%83
