product_name,product_price,product_url
"奈森克林 葉形牙籤組 附攜帶盒, 650支, 3組",$128,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E8%91%89%E5%BD%A2%E7%89%99%E7%B1%A4%E7%B5%84-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-277630142087174?itemId=277630142087175&vendorItemId=277629181607938&sourceType=search&rank=&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 柔滑齒間刷 附攜帶盒 4S-SS, 40支, 2組",$82,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E6%9F%94%E6%BB%91%E9%BD%92%E9%96%93%E5%88%B7-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-4S-SS-214182167281668?itemId=273221580472335&vendorItemId=273222528368649&sourceType=search&rank=1&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 柔滑齒間刷 附攜帶盒 SS-M, 40支, 2組",$79,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E6%9F%94%E6%BB%91%E9%BD%92%E9%96%93%E5%88%B7-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-SS-M-214181500403723?itemId=273221593055242&vendorItemId=273222540951555&sourceType=search&rank=2&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 細滑牙線棒 附攜帶盒, 1000支, 1袋",$238,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E7%B4%B0%E6%BB%91%E7%89%99%E7%B7%9A%E6%A3%92-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-214180762173444?itemId=214182167281671&vendorItemId=214182167281664&sourceType=search&rank=3&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 葉形牙籤組 附攜帶盒, 650支, 2組",$85,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E8%91%89%E5%BD%A2%E7%89%99%E7%B1%A4%E7%B5%84-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-277630142087174?itemId=400527053488139&vendorItemId=400527053520899&sourceType=search&rank=4&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 柔滑齒間刷 附攜帶盒 4S-SS, 40支, 5組",$206,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E6%9F%94%E6%BB%91%E9%BD%92%E9%96%93%E5%88%B7-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-4S-SS-214182167281668?itemId=394372176642059&vendorItemId=394372176625669&sourceType=search&rank=5&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 柔滑齒間刷 附攜帶盒 SS-M, 40支, 5組",$177,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E6%9F%94%E6%BB%91%E9%BD%92%E9%96%93%E5%88%B7-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-SS-M-214181500403723?itemId=394372176625673&vendorItemId=394372176642055&sourceType=search&rank=6&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"花旗高級清潔義齒盒, 1個",$89,https://www.tw.coupang.com/products/%E8%8A%B1%E6%97%97%E9%AB%98%E7%B4%9A%E6%B8%85%E6%BD%94%E7%BE%A9%E9%BD%92%E7%9B%92-21007060283357?itemId=21017503842387&vendorItemId=21082211523851&sourceType=search&rank=7&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
Sanrio Cinnamoroll 眼鏡盒 + 眼鏡清潔套裝,$191,https://www.tw.coupang.com/products/Sanrio-Cinnamoroll-%E7%9C%BC%E9%8F%A1%E7%9B%92-%2B-%E7%9C%BC%E9%8F%A1%E6%B8%85%E6%BD%94%E5%A5%97%E8%A3%9D-21007870264606?itemId=21021498055358&vendorItemId=21088750267780&sourceType=search&rank=8&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 細滑牙線棒 附攜帶盒, 1000支, 2袋",$476,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E7%B4%B0%E6%BB%91%E7%89%99%E7%B7%9A%E6%A3%92-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-214180762173444?itemId=383152094642183&vendorItemId=383152094674945&sourceType=search&rank=9&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 柔滑齒間刷 附攜帶盒 4S-SS, 40支, 4組",$165,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E6%9F%94%E6%BB%91%E9%BD%92%E9%96%93%E5%88%B7-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-4S-SS-214182167281668?itemId=273222511591430&vendorItemId=273220510892046&sourceType=search&rank=10&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 葉形牙籤組 附攜帶盒, 650支, 4組",$170,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E8%91%89%E5%BD%A2%E7%89%99%E7%B1%A4%E7%B5%84-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-277630142087174?itemId=400527053520905&vendorItemId=400527053504514&sourceType=search&rank=11&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
Sanrio Kuromi 眼鏡盒 + 眼鏡清潔套裝,$239,https://www.tw.coupang.com/products/Sanrio-Kuromi-%E7%9C%BC%E9%8F%A1%E7%9B%92-%2B-%E7%9C%BC%E9%8F%A1%E6%B8%85%E6%BD%94%E5%A5%97%E8%A3%9D-21007870383670?itemId=21021498572433&vendorItemId=21088750267776&sourceType=search&rank=12&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"Mr.GOOD TOOTH 固特齒 超咕溜牙線棒 附隨身盒, 300支, 1組",$117,https://www.tw.coupang.com/products/Mr.GOOD-TOOTH-%E5%9B%BA%E7%89%B9%E9%BD%92-%E8%B6%85%E5%92%95%E6%BA%9C%E7%89%99%E7%B7%9A%E6%A3%92-%E9%99%84%E9%9A%A8%E8%BA%AB%E7%9B%92-149688493752341?itemId=149688871272449&vendorItemId=152310206414849&sourceType=search&rank=13&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 細滑牙線棒 附攜帶盒, 1000支, 3袋",$645,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E7%B4%B0%E6%BB%91%E7%89%99%E7%B7%9A%E6%A3%92-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-214180762173444?itemId=383152094642180&vendorItemId=383152094674944&sourceType=search&rank=14&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 柔滑齒間刷 附攜帶盒 4S-SS, 40支, 6組",$247,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E6%9F%94%E6%BB%91%E9%BD%92%E9%96%93%E5%88%B7-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-4S-SS-214182167281668?itemId=273221559500809&vendorItemId=273220510892038&sourceType=search&rank=15&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 葉形牙籤組 附攜帶盒, 650支, 5組",$213,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E8%91%89%E5%BD%A2%E7%89%99%E7%B1%A4%E7%B5%84-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-277630142087174?itemId=400527057682436&vendorItemId=400527057715200&sourceType=search&rank=16&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"花旗高級清潔義齒盒, 1個, 粉色",$89,https://www.tw.coupang.com/products/%E8%8A%B1%E6%97%97%E9%AB%98%E7%B4%9A%E6%B8%85%E6%BD%94%E7%BE%A9%E9%BD%92%E7%9B%92-21007060283357?itemId=21017503842385&vendorItemId=21082211523797&sourceType=search&rank=17&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"comet 家庭清潔工具掛勾, 白色, 4入",$159,https://www.tw.coupang.com/products/comet-%E5%AE%B6%E5%BA%AD%E6%B8%85%E6%BD%94%E5%B7%A5%E5%85%B7%E6%8E%9B%E5%8B%BE-158424482414608?itemId=158423651926037&vendorItemId=158423651926026&sourceType=search&rank=18&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"comet 家庭清潔工具掛勾, 白色, 4入",$118,https://www.tw.coupang.com/products/comet-%E5%AE%B6%E5%BA%AD%E6%B8%85%E6%BD%94%E5%B7%A5%E5%85%B7%E6%8E%9B%E5%8B%BE-21006235460924?itemId=21012555103906&vendorItemId=21079823415699&sourceType=search&rank=19&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"奈森克林 葉形牙籤組 附攜帶盒, 650支, 6組",$256,https://www.tw.coupang.com/products/%E5%A5%88%E6%A3%AE%E5%85%8B%E6%9E%97-%E8%91%89%E5%BD%A2%E7%89%99%E7%B1%A4%E7%B5%84-%E9%99%84%E6%94%9C%E5%B8%B6%E7%9B%92-277630142087174?itemId=400527061909505&vendorItemId=400527057682439&sourceType=search&rank=20&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
"BG Angel國產兒童牙線510支+盒, 510支, 2組",$513,https://www.tw.coupang.com/products/BG-Angel%E5%9C%8B%E7%94%A2%E5%85%92%E7%AB%A5%E7%89%99%E7%B7%9A510%E6%94%AF%2B%E7%9B%92-21006585470796?itemId=21019013513205&vendorItemId=21086138122447&sourceType=search&rank=21&searchId=69d3212c52a842ac8b4b87d10779e46c&q=%E6%B8%85%E6%BD%94%E7%9B%92
