product_name,product_price,product_url
橘之屋 日式滴水碗籃 附瀝水筷籠,$167,https://www.tw.coupang.com/products/%E6%A9%98%E4%B9%8B%E5%B1%8B-%E6%97%A5%E5%BC%8F%E6%BB%B4%E6%B0%B4%E7%A2%97%E7%B1%83-%E9%99%84%E7%80%9D%E6%B0%B4%E7%AD%B7%E7%B1%A0-154838268608512?itemId=154837475868673&vendorItemId=154838264414212&sourceType=search&rank=&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"natureahn 兩層式瀝水洗菜籃, 綠色",$181,https://www.tw.coupang.com/products/natureahn-%E5%85%A9%E5%B1%A4%E5%BC%8F%E7%80%9D%E6%B0%B4%E6%B4%97%E8%8F%9C%E7%B1%83-21000306198294?itemId=21000965436699&vendorItemId=21071228813973&sourceType=search&rank=1&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"長大雙滴水盤, 黃色+藍色 圓形款",$382,https://www.tw.coupang.com/products/%E9%95%B7%E5%A4%A7%E9%9B%99%E6%BB%B4%E6%B0%B4%E7%9B%A4-21005679079574?itemId=21009373923116&vendorItemId=21076659087711&sourceType=search&rank=2&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"STA AMI 餐盤瀝水籃, 混色, 1個",$611,https://www.tw.coupang.com/products/STA-AMI-%E9%A4%90%E7%9B%A4%E7%80%9D%E6%B0%B4%E7%B1%83-21000020951441?itemId=21000081794168&vendorItemId=21003139196086&sourceType=search&rank=3&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"ASVEL 流理台伸縮瀝水架, 1個",$559,https://www.tw.coupang.com/products/ASVEL-%E6%B5%81%E7%90%86%E5%8F%B0%E4%BC%B8%E7%B8%AE%E7%80%9D%E6%B0%B4%E6%9E%B6-164556798115845?itemId=164557255327750&vendorItemId=164557255327745&sourceType=search&rank=4&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"橘之屋 ST瀝水籃, 2個",$109,https://www.tw.coupang.com/products/%E6%A9%98%E4%B9%8B%E5%B1%8B-ST%E7%80%9D%E6%B0%B4%E7%B1%83-279082952540163?itemId=279083913019403&vendorItemId=279081895542795&sourceType=search&rank=5&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"Tree Maki 滴水盤式浴籃, 1個",$176,https://www.tw.coupang.com/products/Tree-Maki-%E6%BB%B4%E6%B0%B4%E7%9B%A4%E5%BC%8F%E6%B5%B4%E7%B1%83-21000089799773?itemId=21000280132584&vendorItemId=21003684126371&sourceType=search&rank=6&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"長大雙滴水盤, 綠白方塊",$381,https://www.tw.coupang.com/products/%E9%95%B7%E5%A4%A7%E9%9B%99%E6%BB%B4%E6%B0%B4%E7%9B%A4-21005714755254?itemId=21009539493984&vendorItemId=21076824212636&sourceType=search&rank=7&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"長大雙滴水盤, 黃色藍色方塊",$325,https://www.tw.coupang.com/products/%E9%95%B7%E5%A4%A7%E9%9B%99%E6%BB%B4%E6%B0%B4%E7%9B%A4-21005673013144?itemId=21009346953191&vendorItemId=21076632197745&sourceType=search&rank=8&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"長大雙滴水盤, 抹茶綠廣場",$368,https://www.tw.coupang.com/products/%E9%95%B7%E5%A4%A7%E9%9B%99%E6%BB%B4%E6%B0%B4%E7%9B%A4-21005678624680?itemId=21009372085136&vendorItemId=21076657264419&sourceType=search&rank=9&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"MOOL Maki 滴水盤式浴籃小, 2件",$186,https://www.tw.coupang.com/products/MOOL-Maki-%E6%BB%B4%E6%B0%B4%E7%9B%A4%E5%BC%8F%E6%B5%B4%E7%B1%83%E5%B0%8F-21000092572768?itemId=21000287503580&vendorItemId=21003705953144&sourceType=search&rank=10&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"長大廚房雙滴水盤, 綠色白色圓形",$356,https://www.tw.coupang.com/products/%E9%95%B7%E5%A4%A7%E5%BB%9A%E6%88%BF%E9%9B%99%E6%BB%B4%E6%B0%B4%E7%9B%A4-21005678621843?itemId=21009372071727&vendorItemId=21076657250871&sourceType=search&rank=11&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"用於洗車清潔的折疊折疊多用途籃, 灰色的, 1個",$356,https://www.tw.coupang.com/products/%E7%94%A8%E6%96%BC%E6%B4%97%E8%BB%8A%E6%B8%85%E6%BD%94%E7%9A%84%E6%8A%98%E7%96%8A%E6%8A%98%E7%96%8A%E5%A4%9A%E7%94%A8%E9%80%94%E7%B1%83-21001712741839?itemId=21002914813769&vendorItemId=21070903500998&sourceType=search&rank=12&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"長大雙滴水盤, 抹茶綠圓",$356,https://www.tw.coupang.com/products/%E9%95%B7%E5%A4%A7%E9%9B%99%E6%BB%B4%E6%B0%B4%E7%9B%A4-21005672996130?itemId=21009346896294&vendorItemId=21076632141831&sourceType=search&rank=13&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"Kaebi House Collander 廣場, 2個, 薄荷",$183,https://www.tw.coupang.com/products/Kaebi-House-Collander-%E5%BB%A3%E5%A0%B4-21000004573903?itemId=21000032307558&vendorItemId=21003047852098&sourceType=search&rank=14&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
"natureahn 排水盤 1 盤, 灰色的",$230,https://www.tw.coupang.com/products/natureahn-%E6%8E%92%E6%B0%B4%E7%9B%A4-1-%E7%9B%A4-21001195021602?itemId=21002177960108&vendorItemId=21070176033179&sourceType=search&rank=15&searchId=dbbd3c94cbe3466abe84fabc064fd314&q=%E6%BB%B4%E6%B0%B4%E7%B1%83
