product_name,product_price,product_url
"漸進式鎖扣沙拉碗午餐盒, 透明+綠色, 1個",$357,https://www.tw.coupang.com/products/%E6%BC%B8%E9%80%B2%E5%BC%8F%E9%8E%96%E6%89%A3%E6%B2%99%E6%8B%89%E7%A2%97%E5%8D%88%E9%A4%90%E7%9B%92-21007342926240?itemId=21018877591244&vendorItemId=21086006147164&sourceType=search&rank=&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"Progressive 漸進式磁性開罐器, 1個, 黑色",$532,https://www.tw.coupang.com/products/Progressive-%E6%BC%B8%E9%80%B2%E5%BC%8F%E7%A3%81%E6%80%A7%E9%96%8B%E7%BD%90%E5%99%A8-21000150383672?itemId=21000434358883&vendorItemId=21004072613808&sourceType=search&rank=1&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"prepworks 漸進式骰子和切片斬波器多功能清潔套組, 綠色,紅色,黃色, 1個","$1,037",https://www.tw.coupang.com/products/prepworks-%E6%BC%B8%E9%80%B2%E5%BC%8F%E9%AA%B0%E5%AD%90%E5%92%8C%E5%88%87%E7%89%87%E6%96%AC%E6%B3%A2%E5%99%A8%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B8%85%E6%BD%94%E5%A5%97%E7%B5%84-21000144802123?itemId=21000419937523&vendorItemId=21004032753865&sourceType=search&rank=2&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"prepworks 漸進式打蛋器 30.5 厘米, 銀",$271,https://www.tw.coupang.com/products/prepworks-%E6%BC%B8%E9%80%B2%E5%BC%8F%E6%89%93%E8%9B%8B%E5%99%A8-30.5-%E5%8E%98%E7%B1%B3-21000144802067?itemId=21000419937442&vendorItemId=21004032753684&sourceType=search&rank=3&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"prep solUtions 漸進式起司刨絲器, 1個",$479,https://www.tw.coupang.com/products/prep-solUtions-%E6%BC%B8%E9%80%B2%E5%BC%8F%E8%B5%B7%E5%8F%B8%E5%88%A8%E7%B5%B2%E5%99%A8-21008075102333?itemId=21022745515664&vendorItemId=21089780740711&sourceType=search&rank=4&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"3M LED調光式桌燈 LD6000, 亮透白, 1個","$1,824",https://www.tw.coupang.com/products/3M-LED%E8%AA%BF%E5%85%89%E5%BC%8F%E6%A1%8C%E7%87%88-LD6000-154819826253835?itemId=154819830448130&vendorItemId=154819037708290&sourceType=search&rank=5&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"prep solutions 漸進式快速釋放餅乾勺 44.3ml, 1個, 單色",$394,https://www.tw.coupang.com/products/prep-solutions-%E6%BC%B8%E9%80%B2%E5%BC%8F%E5%BF%AB%E9%80%9F%E9%87%8B%E6%94%BE%E9%A4%85%E4%B9%BE%E5%8B%BA-44.3ml-21000144802114?itemId=21000419937505&vendorItemId=21004032753828&sourceType=search&rank=6&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"prep solutions 漸進式糖粉保持器內置矯直機調味盒, 1個",$376,https://www.tw.coupang.com/products/prep-solutions-%E6%BC%B8%E9%80%B2%E5%BC%8F%E7%B3%96%E7%B2%89%E4%BF%9D%E6%8C%81%E5%99%A8%E5%85%A7%E7%BD%AE%E7%9F%AF%E7%9B%B4%E6%A9%9F%E8%AA%BF%E5%91%B3%E7%9B%92-21000144802118?itemId=21000419937514&vendorItemId=21004032753844&sourceType=search&rank=7&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"prep solutions 漸進式早餐三明治煮蛋器微波爐容器, 1個, 單色",$264,https://www.tw.coupang.com/products/prep-solutions-%E6%BC%B8%E9%80%B2%E5%BC%8F%E6%97%A9%E9%A4%90%E4%B8%89%E6%98%8E%E6%B2%BB%E7%85%AE%E8%9B%8B%E5%99%A8%E5%BE%AE%E6%B3%A2%E7%88%90%E5%AE%B9%E5%99%A8-21000145710931?itemId=21000422282239&vendorItemId=21004039288869&sourceType=search&rank=8&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"Prepworks 6 件組漸進式量杯, 白色, 1組",$236,https://www.tw.coupang.com/products/Prepworks-6-%E4%BB%B6%E7%B5%84%E6%BC%B8%E9%80%B2%E5%BC%8F%E9%87%8F%E6%9D%AF-21008190655941?itemId=21023438432218&vendorItemId=21090465306924&sourceType=search&rank=9&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"prep solutions 方案漸進式冰淇淋勺, 1個",$429,https://www.tw.coupang.com/products/prep-solutions-%E6%96%B9%E6%A1%88%E6%BC%B8%E9%80%B2%E5%BC%8F%E5%86%B0%E6%B7%87%E6%B7%8B%E5%8B%BA-21000145752768?itemId=21000422391065&vendorItemId=21004039549738&sourceType=search&rank=10&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"3M LED調光式桌燈 LD6000, 晶耀黑, 1個","$1,824",https://www.tw.coupang.com/products/3M-LED%E8%AA%BF%E5%85%89%E5%BC%8F%E6%A1%8C%E7%87%88-LD6000-154819826253835?itemId=154819037708296&vendorItemId=154819440394243&sourceType=search&rank=11&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"Progressive 蘋果切片器, 1組",$307,https://www.tw.coupang.com/products/Progressive-%E8%98%8B%E6%9E%9C%E5%88%87%E7%89%87%E5%99%A8-21000320317575?itemId=21001024989035&vendorItemId=21005467589526&sourceType=search&rank=12&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"prep solutions 漸進式蔬菜切割機 水果切割機, 1個",$366,https://www.tw.coupang.com/products/prep-solutions-%E6%BC%B8%E9%80%B2%E5%BC%8F%E8%94%AC%E8%8F%9C%E5%88%87%E5%89%B2%E6%A9%9F-%E6%B0%B4%E6%9E%9C%E5%88%87%E5%89%B2%E6%A9%9F-21000144802079?itemId=21000419937459&vendorItemId=21004032753714&sourceType=search&rank=13&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
"prepworks 漸進式輪轂球注入器, 不銹鋼",$248,https://www.tw.coupang.com/products/prepworks-%E6%BC%B8%E9%80%B2%E5%BC%8F%E8%BC%AA%E8%BD%82%E7%90%83%E6%B3%A8%E5%85%A5%E5%99%A8-21000144802540?itemId=21000419938304&vendorItemId=21004032755323&sourceType=search&rank=14&searchId=e283dfd04a2e49fc97ae552e54fd90a3&q=%E6%BC%B8%E9%80%B2%E5%BC%8F
