product_name,product_price,product_url
"ORION 好麗友 鯛魚燒蛋糕 麻糬紅豆巧克力口味 12入+韓式糖餅口味 12入, 720g, 1組",$242,https://www.tw.coupang.com/products/ORION-%E5%A5%BD%E9%BA%97%E5%8F%8B-%E9%AF%9B%E9%AD%9A%E7%87%92%E8%9B%8B%E7%B3%95-%E9%BA%BB%E7%B3%AC%E7%B4%85%E8%B1%86%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3-12%E5%85%A5%2B%E9%9F%93%E5%BC%8F%E7%B3%96%E9%A4%85%E5%8F%A3%E5%91%B3-12%E5%85%A5-21007251609768?itemId=21018447746800&vendorItemId=21085588617708&sourceType=search&rank=&searchId=b80f58099bbf4e83acb0bf80cfb28eda&q=%E6%BF%B1%E9%AF%9B%E9%AD%9A%E7%89%87
"STYLEON 鯛魚燒模, 18cm, 1個",$268,https://www.tw.coupang.com/products/STYLEON-%E9%AF%9B%E9%AD%9A%E7%87%92%E6%A8%A1-265344681738243?itemId=265342739759106&vendorItemId=265344681738240&sourceType=search&rank=1&searchId=b80f58099bbf4e83acb0bf80cfb28eda&q=%E6%BF%B1%E9%AF%9B%E9%AD%9A%E7%89%87
"Cookingstory 鯛魚燒麵糊預拌粉, 1kg, 1包",$118,https://www.tw.coupang.com/products/Cookingstory-%E9%AF%9B%E9%AD%9A%E7%87%92%E9%BA%B5%E7%B3%8A%E9%A0%90%E6%8B%8C%E7%B2%89-21006308552675?itemId=21013081518710&vendorItemId=21080343103979&sourceType=search&rank=2&searchId=b80f58099bbf4e83acb0bf80cfb28eda&q=%E6%BF%B1%E9%AF%9B%E9%AD%9A%E7%89%87
"Bestom 2格鯊魚造型 鯛魚燒模 17*18*3.8cm, 1個",$319,https://www.tw.coupang.com/products/Bestom-2%E6%A0%BC%E9%AF%8A%E9%AD%9A%E9%80%A0%E5%9E%8B-%E9%AF%9B%E9%AD%9A%E7%87%92%E6%A8%A1-17*18*3.8cm-265344715292674?itemId=265342773313538&vendorItemId=265342773313536&sourceType=search&rank=3&searchId=b80f58099bbf4e83acb0bf80cfb28eda&q=%E6%BF%B1%E9%AF%9B%E9%AD%9A%E7%89%87
"BRUnO 鯛魚烤盤 BOE044-FISH 250 x 141 x 11mm 380g, 1個",$298,https://www.tw.coupang.com/products/BRUnO-%E9%AF%9B%E9%AD%9A%E7%83%A4%E7%9B%A4-BOE044-FISH-250-x-141-x-11mm-380g-458113882767365?itemId=458113882734594&vendorItemId=458113882718211&sourceType=search&rank=4&searchId=b80f58099bbf4e83acb0bf80cfb28eda&q=%E6%BF%B1%E9%AF%9B%E9%AD%9A%E7%89%87
"鯨魚造型 鯛魚燒模 160 x 180 x 38mm, 180mm, 1個",$336,https://www.tw.coupang.com/products/%E9%AF%A8%E9%AD%9A%E9%80%A0%E5%9E%8B-%E9%AF%9B%E9%AD%9A%E7%87%92%E6%A8%A1-160-x-180-x-38mm-265271881220099?itemId=265272795561989&vendorItemId=265271881220096&sourceType=search&rank=5&searchId=b80f58099bbf4e83acb0bf80cfb28eda&q=%E6%BF%B1%E9%AF%9B%E9%AD%9A%E7%89%87
"Gompyo 鯛魚燒混合, 1個, 1kg",$94,https://www.tw.coupang.com/products/Gompyo-%E9%AF%9B%E9%AD%9A%E7%87%92%E6%B7%B7%E5%90%88-21007737263995?itemId=21020848919009&vendorItemId=21089461820428&sourceType=search&rank=6&searchId=b80f58099bbf4e83acb0bf80cfb28eda&q=%E6%BF%B1%E9%AF%9B%E9%AD%9A%E7%89%87
"Easy cooker 4格鯛魚燒烤盤, 橫22cm*高15cm, 1入",$556,https://www.tw.coupang.com/products/Easy-cooker-4%E6%A0%BC%E9%AF%9B%E9%AD%9A%E7%87%92%E7%83%A4%E7%9B%A4-21001944930237?itemId=21003302152714&vendorItemId=21071289075352&sourceType=search&rank=7&searchId=b80f58099bbf4e83acb0bf80cfb28eda&q=%E6%BF%B1%E9%AF%9B%E9%AD%9A%E7%89%87
"Bread Garden 鯛魚燒材料組, 500g, 1盒",$235,https://www.tw.coupang.com/products/Bread-Garden-%E9%AF%9B%E9%AD%9A%E7%87%92%E6%9D%90%E6%96%99%E7%B5%84-21004574988341?itemId=21005597076063&vendorItemId=21072896335180&sourceType=search&rank=8&searchId=b80f58099bbf4e83acb0bf80cfb28eda&q=%E6%BF%B1%E9%AF%9B%E9%AD%9A%E7%89%87
"Bestom 2格鯊魚造型 鯛魚燒模, 17*18*3.8cm, 1入",$376,https://www.tw.coupang.com/products/Bestom-2%E6%A0%BC%E9%AF%8A%E9%AD%9A%E9%80%A0%E5%9E%8B-%E9%AF%9B%E9%AD%9A%E7%87%92%E6%A8%A1-21002118279836?itemId=21003596668542&vendorItemId=21071582397392&sourceType=search&rank=9&searchId=b80f58099bbf4e83acb0bf80cfb28eda&q=%E6%BF%B1%E9%AF%9B%E9%AD%9A%E7%89%87
