product_name,product_price,product_url
"Heimchef 高級餐具烘乾機, HTD-350","$1,675",https://www.tw.coupang.com/products/Heimchef-%E9%AB%98%E7%B4%9A%E9%A4%90%E5%85%B7%E7%83%98%E4%B9%BE%E6%A9%9F-21002348008179?itemId=21004071906572&vendorItemId=21072055975513&sourceType=search&rank=&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"KALDIN 可拆卸電動咖啡研磨機 KWG-120C, 銀, 1個",$658,https://www.tw.coupang.com/products/KALDIN-%E5%8F%AF%E6%8B%86%E5%8D%B8%E9%9B%BB%E5%8B%95%E5%92%96%E5%95%A1%E7%A0%94%E7%A3%A8%E6%A9%9F-KWG-120C-21001409843318?itemId=21002446206944&vendorItemId=21070439920986&sourceType=search&rank=1&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
Ruvek 6層食品乾燥機 RU-251N,$817,https://www.tw.coupang.com/products/Ruvek-6%E5%B1%A4%E9%A3%9F%E5%93%81%E4%B9%BE%E7%87%A5%E6%A9%9F-RU-251N-21005612379040?itemId=21009073691574&vendorItemId=21076359985647&sourceType=search&rank=2&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
Kitchen-Art 五段式食品烘乾機 KNT-202,"$1,045",https://www.tw.coupang.com/products/Kitchen-Art-%E4%BA%94%E6%AE%B5%E5%BC%8F%E9%A3%9F%E5%93%81%E7%83%98%E4%B9%BE%E6%A9%9F-KNT-202-21000064624190?itemId=21000218764340&vendorItemId=21003007413279&sourceType=search&rank=3&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
Shinil 信一 五段式家用食品烘乾機 SFD-A230KP,"$1,159",https://www.tw.coupang.com/products/Shinil-%E4%BF%A1%E4%B8%80-%E4%BA%94%E6%AE%B5%E5%BC%8F%E5%AE%B6%E7%94%A8%E9%A3%9F%E5%93%81%E7%83%98%E4%B9%BE%E6%A9%9F-SFD-A230KP-21006729280511?itemId=21015674526507&vendorItemId=21082890021951&sourceType=search&rank=4&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
IRIS OHYAMA 自己安裝多功能烘乾機 FK-C2 白色,"$1,009",https://www.tw.coupang.com/products/IRIS-OHYAMA-%E8%87%AA%E5%B7%B1%E5%AE%89%E8%A3%9D%E5%A4%9A%E5%8A%9F%E8%83%BD%E7%83%98%E4%B9%BE%E6%A9%9F-FK-C2-%E7%99%BD%E8%89%B2-21000062025954?itemId=21000212000267&vendorItemId=21003504364140&sourceType=search&rank=5&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"danmi 熱壓吐司機 白色, DA-SAN02",$963,https://www.tw.coupang.com/products/danmi-%E7%86%B1%E5%A3%93%E5%90%90%E5%8F%B8%E6%A9%9F-%E7%99%BD%E8%89%B2-21004803514537?itemId=21006169320702&vendorItemId=21073465392374&sourceType=search&rank=6&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"domus 烤土司機+蓋子組 黑紫色, ET-853EB",$594,https://www.tw.coupang.com/products/domus-%E7%83%A4%E5%9C%9F%E5%8F%B8%E6%A9%9F%2B%E8%93%8B%E5%AD%90%E7%B5%84-%E9%BB%91%E7%B4%AB%E8%89%B2-21006285484560?itemId=21012926125098&vendorItemId=21080190647061&sourceType=search&rank=7&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
delluce 五層食物烘乾機 DFD-630NK,"$1,038",https://www.tw.coupang.com/products/delluce-%E4%BA%94%E5%B1%A4%E9%A3%9F%E7%89%A9%E7%83%98%E4%B9%BE%E6%A9%9F-DFD-630NK-21006310106826?itemId=21013093120112&vendorItemId=21080354171943&sourceType=search&rank=8&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"voar 家休息圈咖啡機, VCM-003WH","$1,908",https://www.tw.coupang.com/products/voar-%E5%AE%B6%E4%BC%91%E6%81%AF%E5%9C%88%E5%92%96%E5%95%A1%E6%A9%9F-21005871769731?itemId=21010275605159&vendorItemId=21077557986537&sourceType=search&rank=9&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"UNIX 折疊離子基本護理烘乾機, UN-A3020, 午夜黑",$711,https://www.tw.coupang.com/products/UNIX-%E6%8A%98%E7%96%8A%E9%9B%A2%E5%AD%90%E5%9F%BA%E6%9C%AC%E8%AD%B7%E7%90%86%E7%83%98%E4%B9%BE%E6%A9%9F-21005155855159?itemId=21007092651191&vendorItemId=21074384664611&sourceType=search&rank=10&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"Kitchen-Art 電動多功能食物調理機 2L, KSJ-MCH1800",$810,https://www.tw.coupang.com/products/Kitchen-Art-%E9%9B%BB%E5%8B%95%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%A3%9F%E7%89%A9%E8%AA%BF%E7%90%86%E6%A9%9F-2L-21001947917723?itemId=21003307765549&vendorItemId=21071294665837&sourceType=search&rank=11&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"cooing 迷你除濕機 300ml, MDH-03W","$1,029",https://www.tw.coupang.com/products/cooing-%E8%BF%B7%E4%BD%A0%E9%99%A4%E6%BF%95%E6%A9%9F-300ml-21006585489675?itemId=21014837753384&vendorItemId=21082077040213&sourceType=search&rank=12&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"UNIX 折疊式烘乾機 UN-A1309 2200W, 黑色的",$496,https://www.tw.coupang.com/products/UNIX-%E6%8A%98%E7%96%8A%E5%BC%8F%E7%83%98%E4%B9%BE%E6%A9%9F-UN-A1309-2200W-21006990675099?itemId=21017108691880&vendorItemId=21084282402128&sourceType=search&rank=13&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"Camamo 滑盤烘乾機迷你, 白色的",$380,https://www.tw.coupang.com/products/Camamo-%E6%BB%91%E7%9B%A4%E7%83%98%E4%B9%BE%E6%A9%9F%E8%BF%B7%E4%BD%A0-21007009380303?itemId=21017219006826&vendorItemId=21084390848007&sourceType=search&rank=14&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
Shinil 信一 家用食品烘乾機 SFD-E25KP,"$1,351",https://www.tw.coupang.com/products/Shinil-%E4%BF%A1%E4%B8%80-%E5%AE%B6%E7%94%A8%E9%A3%9F%E5%93%81%E7%83%98%E4%B9%BE%E6%A9%9F-SFD-E25KP-21006729617902?itemId=21015675934801&vendorItemId=21082891399413&sourceType=search&rank=15&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"HERAN 禾聯 除濕機 12L 14.6kg, HDH-24DY03W","$7,857",https://www.tw.coupang.com/products/HERAN-%E7%A6%BE%E8%81%AF-%E9%99%A4%E6%BF%95%E6%A9%9F-12L-14.6kg-450911981780996?itemId=450911981764611&vendorItemId=450911981731842&sourceType=search&rank=16&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"KOSELIG 身體烘乾機 SBD-137W 1200W, 白色","$5,057",https://www.tw.coupang.com/products/KOSELIG-%E8%BA%AB%E9%AB%94%E7%83%98%E4%B9%BE%E6%A9%9F-SBD-137W-1200W-21006310418283?itemId=21013095120959&vendorItemId=21080355998842&sourceType=search&rank=17&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
"domus 電動食物調理機組, EC-385KJ","$1,234",https://www.tw.coupang.com/products/domus-%E9%9B%BB%E5%8B%95%E9%A3%9F%E7%89%A9%E8%AA%BF%E7%90%86%E6%A9%9F%E7%B5%84-21005715328024?itemId=21008751019056&vendorItemId=21076037977863&sourceType=search&rank=18&searchId=769f5c887f094864b63d362cf5343371&q=%E7%83%98%E8%85%B3%E6%A9%9F
