product_name,product_price,product_url
"Accen 進階 Micro SD 卡 + 轉接器套件 MSD22, 128GB",$278,https://www.tw.coupang.com/products/Accen-%E9%80%B2%E9%9A%8E-Micro-SD-%E5%8D%A1-%2B-%E8%BD%89%E6%8E%A5%E5%99%A8%E5%A5%97%E4%BB%B6-MSD22-21007770041274?itemId=21020974117188&vendorItemId=21088039114242&sourceType=search&rank=&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
"FECA 非卡 S1 旋轉, 白色的, 1個",$290,https://www.tw.coupang.com/products/FECA-%E9%9D%9E%E5%8D%A1-S1-%E6%97%8B%E8%BD%89-21000021403348?itemId=21000083647310&vendorItemId=21003142417109&sourceType=search&rank=1&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
"首頁 Planet 8K DP 轉 DP 1.4v 電纜, 1個, 2m",$178,https://www.tw.coupang.com/products/%E9%A6%96%E9%A0%81-Planet-8K-DP-%E8%BD%89-DP-1.4v-%E9%9B%BB%E7%BA%9C-21007511187040?itemId=21019680938741&vendorItemId=21086786307676&sourceType=search&rank=2&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
"HIKVISION micro SD卡C1轉接頭附送, 16GB",$93,https://www.tw.coupang.com/products/HIKVISION-micro-SD%E5%8D%A1C1%E8%BD%89%E6%8E%A5%E9%A0%AD%E9%99%84%E9%80%81-21006899325287?itemId=21016588655648&vendorItemId=21083773791610&sourceType=search&rank=3&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
"NEXT PCI-E轉2埠RS232擴充卡, NEXT-2Serial EX",$341,https://www.tw.coupang.com/products/NEXT-PCI-E%E8%BD%892%E5%9F%A0RS232%E6%93%B4%E5%85%85%E5%8D%A1-21001061004179?itemId=21002279484068&vendorItemId=21070276624909&sourceType=search&rank=4&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
"Coms USB C 型轉 RJ45 千兆位有線 LAN 卡性別類型, FW408",$352,https://www.tw.coupang.com/products/Coms-USB-C-%E5%9E%8B%E8%BD%89-RJ45-%E5%8D%83%E5%85%86%E4%BD%8D%E6%9C%89%E7%B7%9A-LAN-%E5%8D%A1%E6%80%A7%E5%88%A5%E9%A1%9E%E5%9E%8B-21007425420552?itemId=21019273124056&vendorItemId=21086388272455&sourceType=search&rank=5&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
"HNET 多功能轉換轉接器 M05 + 袋套裝, 1組",$89,https://www.tw.coupang.com/products/HNET-%E5%A4%9A%E5%8A%9F%E8%83%BD%E8%BD%89%E6%8F%9B%E8%BD%89%E6%8E%A5%E5%99%A8-M05-%2B-%E8%A2%8B%E5%A5%97%E8%A3%9D-21007958998675?itemId=21022001300889&vendorItemId=21089048826416&sourceType=search&rank=6&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
"UNiCORN USB2.0有線網卡+3口集線器, ULAN-203H",$276,https://www.tw.coupang.com/products/UNiCORN-USB2.0%E6%9C%89%E7%B7%9A%E7%B6%B2%E5%8D%A1%2B3%E5%8F%A3%E9%9B%86%E7%B7%9A%E5%99%A8-21000104182469?itemId=21000316106509&vendorItemId=21003776418676&sourceType=search&rank=7&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
"UGREEN 綠聯 USB聲卡外置轉接器, CM383",$339,https://www.tw.coupang.com/products/UGREEN-%E7%B6%A0%E8%81%AF-USB%E8%81%B2%E5%8D%A1%E5%A4%96%E7%BD%AE%E8%BD%89%E6%8E%A5%E5%99%A8-21006233708443?itemId=21012542771331&vendorItemId=21079811171464&sourceType=search&rank=8&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
"ipTIME USB 3.0轉千兆網卡, U1G",$372,https://www.tw.coupang.com/products/ipTIME-USB-3.0%E8%BD%89%E5%8D%83%E5%85%86%E7%B6%B2%E5%8D%A1-21001316144485?itemId=21002335001804&vendorItemId=21003558519446&sourceType=search&rank=9&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
"MSL Wire Tidy USB 數據線多接頭保護套 16mm x 2m + 讀卡器套組, 白色, 1套",$124,https://www.tw.coupang.com/products/MSL-Wire-Tidy-USB-%E6%95%B8%E6%93%9A%E7%B7%9A%E5%A4%9A%E6%8E%A5%E9%A0%AD%E4%BF%9D%E8%AD%B7%E5%A5%97-16mm-x-2m-%2B-%E8%AE%80%E5%8D%A1%E5%99%A8%E5%A5%97%E7%B5%84-21007144667899?itemId=21017948703137&vendorItemId=21085106418501&sourceType=search&rank=10&searchId=035f7cfe84e4464b9fd5279d6aa53423&q=%E7%84%A1%E7%B7%9A%E5%88%86%E4%BA%AB%E8%BD%89%E5%8D%A1
