product_name,product_price,product_url
"Viviemo 度假勝地度假造型性感反領掛脖迷你連體衣 02873, 均碼",$796,https://www.tw.coupang.com/products/Viviemo-%E5%BA%A6%E5%81%87%E5%8B%9D%E5%9C%B0%E5%BA%A6%E5%81%87%E9%80%A0%E5%9E%8B%E6%80%A7%E6%84%9F%E5%8F%8D%E9%A0%98%E6%8E%9B%E8%84%96%E8%BF%B7%E4%BD%A0%E9%80%A3%E9%AB%94%E8%A1%A3-02873-21007229691902?itemId=21018342056673&vendorItemId=21085486257158&sourceType=search&rank=&searchId=5d7262a3fd6c411d98d44d049e3db3ef&q=%E7%84%A1%E7%B7%9A%E9%80%A3%E4%BE%9B
"AUDIOTRAK 動圈有線麥克風+連接線+轉換插孔, AT-2500 加",$599,https://www.tw.coupang.com/products/AUDIOTRAK-%E5%8B%95%E5%9C%88%E6%9C%89%E7%B7%9A%E9%BA%A5%E5%85%8B%E9%A2%A8%2B%E9%80%A3%E6%8E%A5%E7%B7%9A%2B%E8%BD%89%E6%8F%9B%E6%8F%92%E5%AD%94-21000146100234?itemId=21000423251266&vendorItemId=21004041769852&sourceType=search&rank=1&searchId=5d7262a3fd6c411d98d44d049e3db3ef&q=%E7%84%A1%E7%B7%9A%E9%80%A3%E4%BE%9B
BEBENIZ 全按扣背網圖案短袖連身衣,$278,https://www.tw.coupang.com/products/BEBENIZ-%E5%85%A8%E6%8C%89%E6%89%A3%E8%83%8C%E7%B6%B2%E5%9C%96%E6%A1%88%E7%9F%AD%E8%A2%96%E9%80%A3%E8%BA%AB%E8%A1%A3-21008032140650?itemId=21022462260676&vendorItemId=21089505422760&sourceType=search&rank=2&searchId=5d7262a3fd6c411d98d44d049e3db3ef&q=%E7%84%A1%E7%B7%9A%E9%80%A3%E4%BE%9B
"Paperments 復古荷葉邊 V 領雙扣魚尾修身迷你連體衣 03035, 黑色","$1,197",https://www.tw.coupang.com/products/Paperments-%E5%BE%A9%E5%8F%A4%E8%8D%B7%E8%91%89%E9%82%8A-V-%E9%A0%98%E9%9B%99%E6%89%A3%E9%AD%9A%E5%B0%BE%E4%BF%AE%E8%BA%AB%E8%BF%B7%E4%BD%A0%E9%80%A3%E9%AB%94%E8%A1%A3-03035-21007170024161?itemId=21018061543326&vendorItemId=21085215310601&sourceType=search&rank=3&searchId=5d7262a3fd6c411d98d44d049e3db3ef&q=%E7%84%A1%E7%B7%9A%E9%80%A3%E4%BE%9B
"AlphaO 無帶瞬時線連接器 AC 5 種 x 10p 套組 2, 1套",$604,https://www.tw.coupang.com/products/AlphaO-%E7%84%A1%E5%B8%B6%E7%9E%AC%E6%99%82%E7%B7%9A%E9%80%A3%E6%8E%A5%E5%99%A8-AC-5-%E7%A8%AE-x-10p-%E5%A5%97%E7%B5%84-2-21001666837369?itemId=21002840042448&vendorItemId=21074499693343&sourceType=search&rank=4&searchId=5d7262a3fd6c411d98d44d049e3db3ef&q=%E7%84%A1%E7%B7%9A%E9%80%A3%E4%BE%9B
"COMICA 相機連接麥克風轉接線 3.5mm, CVM-CPX, 1個",$221,https://www.tw.coupang.com/products/COMICA-%E7%9B%B8%E6%A9%9F%E9%80%A3%E6%8E%A5%E9%BA%A5%E5%85%8B%E9%A2%A8%E8%BD%89%E6%8E%A5%E7%B7%9A-3.5mm-21001187557499?itemId=21002168411164&vendorItemId=21070166544053&sourceType=search&rank=5&searchId=5d7262a3fd6c411d98d44d049e3db3ef&q=%E7%84%A1%E7%B7%9A%E9%80%A3%E4%BE%9B
"PAPERMENTS 真皮背心一體式三扣長款連體衣 03568, 棕色",$945,https://www.tw.coupang.com/products/PAPERMENTS-%E7%9C%9F%E7%9A%AE%E8%83%8C%E5%BF%83%E4%B8%80%E9%AB%94%E5%BC%8F%E4%B8%89%E6%89%A3%E9%95%B7%E6%AC%BE%E9%80%A3%E9%AB%94%E8%A1%A3-03568-21006993766806?itemId=21017125586517&vendorItemId=21084298843252&sourceType=search&rank=6&searchId=5d7262a3fd6c411d98d44d049e3db3ef&q=%E7%84%A1%E7%B7%9A%E9%80%A3%E4%BE%9B
"MeiChel 雙領鈕扣風衣迷你連體衣 01627, 咖啡","$1,404",https://www.tw.coupang.com/products/MeiChel-%E9%9B%99%E9%A0%98%E9%88%95%E6%89%A3%E9%A2%A8%E8%A1%A3%E8%BF%B7%E4%BD%A0%E9%80%A3%E9%AB%94%E8%A1%A3-01627-21006874839572?itemId=21016458349959&vendorItemId=21083648588945&sourceType=search&rank=7&searchId=5d7262a3fd6c411d98d44d049e3db3ef&q=%E7%84%A1%E7%B7%9A%E9%80%A3%E4%BE%9B
"Morning Glory 2000 無線綜合 A 無線, 隨機出貨, 3個",$103,https://www.tw.coupang.com/products/Morning-Glory-2000-%E7%84%A1%E7%B7%9A%E7%B6%9C%E5%90%88-A-%E7%84%A1%E7%B7%9A-21007573031623?itemId=21019975874106&vendorItemId=21087074273882&sourceType=search&rank=8&searchId=5d7262a3fd6c411d98d44d049e3db3ef&q=%E7%84%A1%E7%B7%9A%E9%80%A3%E4%BE%9B
"Maichel 休閒綠色版型正面口袋吊帶長款連體衣 02121, 綠色",$720,https://www.tw.coupang.com/products/Maichel-%E4%BC%91%E9%96%92%E7%B6%A0%E8%89%B2%E7%89%88%E5%9E%8B%E6%AD%A3%E9%9D%A2%E5%8F%A3%E8%A2%8B%E5%90%8A%E5%B8%B6%E9%95%B7%E6%AC%BE%E9%80%A3%E9%AB%94%E8%A1%A3-02121-21007228142229?itemId=21018334095608&vendorItemId=21085478561926&sourceType=search&rank=9&searchId=5d7262a3fd6c411d98d44d049e3db3ef&q=%E7%84%A1%E7%B7%9A%E9%80%A3%E4%BE%9B
