product_name,product_price,product_url
"Magnet 曼寧 有機蜜蘋舒緩茶, 2g, 20入, 1盒",$96,https://www.tw.coupang.com/products/Magnet-%E6%9B%BC%E5%AF%A7-%E6%9C%89%E6%A9%9F%E8%9C%9C%E8%98%8B%E8%88%92%E7%B7%A9%E8%8C%B6-201835214258223?itemId=163899932360718&vendorItemId=163899932360707&sourceType=search&rank=&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"御茶園 特上檸檬茶, 300ml, 24入",$127,https://www.tw.coupang.com/products/%E5%BE%A1%E8%8C%B6%E5%9C%92-%E7%89%B9%E4%B8%8A%E6%AA%B8%E6%AA%AC%E8%8C%B6-263088242638851?itemId=263089257693187&vendorItemId=171782275301376&sourceType=search&rank=1&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"Magnet 曼寧 有機蜜桃國寶茶, 2g, 20入, 1盒",$96,https://www.tw.coupang.com/products/Magnet-%E6%9B%BC%E5%AF%A7-%E6%9C%89%E6%A9%9F%E8%9C%9C%E6%A1%83%E5%9C%8B%E5%AF%B6%E8%8C%B6-201835243618326?itemId=163900389572612&vendorItemId=163900385378307&sourceType=search&rank=2&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"Magnet 曼寧 有機檸香康福茶, 2g, 20入, 1盒",$96,https://www.tw.coupang.com/products/Magnet-%E6%9B%BC%E5%AF%A7-%E6%9C%89%E6%A9%9F%E6%AA%B8%E9%A6%99%E5%BA%B7%E7%A6%8F%E8%8C%B6-201834543136815?itemId=163900821569546&vendorItemId=163899932360708&sourceType=search&rank=3&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"味丹 心茶道冬瓜茶, 560ml, 24瓶",$302,https://www.tw.coupang.com/products/%E5%91%B3%E4%B8%B9-%E5%BF%83%E8%8C%B6%E9%81%93%E5%86%AC%E7%93%9C%E8%8C%B6-181552109535238?itemId=181553179099144&vendorItemId=181552663216129&sourceType=search&rank=4&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"fuzetea 飛想茶 檸檬紅茶, 300ml, 24入",$121,https://www.tw.coupang.com/products/fuzetea-%E9%A3%9B%E6%83%B3%E8%8C%B6-%E6%AA%B8%E6%AA%AC%E7%B4%85%E8%8C%B6-258458527973386?itemId=258458527973387&vendorItemId=258457538084866&sourceType=search&rank=5&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"CELESTIAL SEASONINGS 詩尚草本 覆盆子活力茶, 2.25g, 20包, 1盒",$86,https://www.tw.coupang.com/products/CELESTIAL-SEASONINGS-%E8%A9%A9%E5%B0%9A%E8%8D%89%E6%9C%AC-%E8%A6%86%E7%9B%86%E5%AD%90%E6%B4%BB%E5%8A%9B%E8%8C%B6-161727123537920?itemId=161727542951938&vendorItemId=161727542951936&sourceType=search&rank=6&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"nulife 生活 泡沫紅茶, 300ml, 24入",$129,https://www.tw.coupang.com/products/nulife-%E7%94%9F%E6%B4%BB-%E6%B3%A1%E6%B2%AB%E7%B4%85%E8%8C%B6-210244034592769?itemId=210244034592785&vendorItemId=210242671427594&sourceType=search&rank=7&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"nulife 生活 泡沫紅茶, 590ml, 24瓶",$270,https://www.tw.coupang.com/products/nulife-%E7%94%9F%E6%B4%BB-%E6%B3%A1%E6%B2%AB%E7%B4%85%E8%8C%B6-268592960471044?itemId=268592960471045&vendorItemId=268592960471041&sourceType=search&rank=8&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"軒記台灣肉乾王 蜜汁肉乾, 200g, 1包",$108,https://www.tw.coupang.com/products/%E8%BB%92%E8%A8%98%E5%8F%B0%E7%81%A3%E8%82%89%E4%B9%BE%E7%8E%8B-%E8%9C%9C%E6%B1%81%E8%82%89%E4%B9%BE-168870341984256?itemId=168870824361985&vendorItemId=168870824361984&sourceType=search&rank=9&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"natural BOX 紅肉柳橙康普茶, 6g, 40條, 1袋",$268,https://www.tw.coupang.com/products/natural-BOX-%E7%B4%85%E8%82%89%E6%9F%B3%E6%A9%99%E5%BA%B7%E6%99%AE%E8%8C%B6-21007387278421?itemId=21018423192500&vendorItemId=21085813410636&sourceType=search&rank=10&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"Teascovery 發現茶 棗尋國寶茶 熱泡, 4g, 15包, 1袋",$153,https://www.tw.coupang.com/products/Teascovery-%E7%99%BC%E7%8F%BE%E8%8C%B6-%E6%A3%97%E5%B0%8B%E5%9C%8B%E5%AF%B6%E8%8C%B6-%E7%86%B1%E6%B3%A1-163834006306820?itemId=163834006306821&vendorItemId=163834006306816&sourceType=search&rank=11&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"元本山 朝鮮9切9張 3包, 12袋",$352,https://www.tw.coupang.com/products/%E5%85%83%E6%9C%AC%E5%B1%B1-%E6%9C%9D%E9%AE%AE9%E5%88%879%E5%BC%B5-3%E5%8C%85-266356087816192?itemId=266356087816193&vendorItemId=266356083621895&sourceType=search&rank=12&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"Damtuh 丹特 蜂蜜紅棗茶沖泡果醬, 1kg, 1瓶, 1瓶",$191,https://www.tw.coupang.com/products/Damtuh-%E4%B8%B9%E7%89%B9-%E8%9C%82%E8%9C%9C%E7%B4%85%E6%A3%97%E8%8C%B6%E6%B2%96%E6%B3%A1%E6%9E%9C%E9%86%AC-21004400892594?itemId=21021258683491&vendorItemId=21003000141726&sourceType=search&rank=13&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"Damtuh 丹特 檸檬冰茶沖泡粉條, 14g, 80條, 1盒",$241,https://www.tw.coupang.com/products/Damtuh-%E4%B8%B9%E7%89%B9-%E6%AA%B8%E6%AA%AC%E5%86%B0%E8%8C%B6%E6%B2%96%E6%B3%A1%E7%B2%89%E6%A2%9D-21006380681443?itemId=21013554937916&vendorItemId=21071093737045&sourceType=search&rank=14&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
"古道 白桃紅茶, 550ml, 24瓶",$331,https://www.tw.coupang.com/products/%E5%8F%A4%E9%81%93-%E7%99%BD%E6%A1%83%E7%B4%85%E8%8C%B6-456289259864066?itemId=456289259847682&vendorItemId=456289259847681&sourceType=search&rank=15&searchId=6a86ca4d23cc49e2917e16403816f8e2&q=%E7%84%A1%E9%8C%AB%E5%AD%90%E6%8E%92
