product_name,product_price,product_url
"Sempio 膳府 調味醬油, 860ml, 1瓶",$138,https://www.tw.coupang.com/products/Sempio-%E8%86%B3%E5%BA%9C-%E8%AA%BF%E5%91%B3%E9%86%AC%E6%B2%B9-21005938042035?itemId=21000000071589&vendorItemId=21003000036027&sourceType=search&rank=&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"Home Planet 3合1多功能鬆餅機, AC-402",$578,https://www.tw.coupang.com/products/Home-Planet-3%E5%90%881%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%AC%86%E9%A4%85%E6%A9%9F-21004883062265?itemId=21006359391822&vendorItemId=21073654661550&sourceType=search&rank=1&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"普洱龍珠茶, 6g, 20顆, 1組",$588,https://www.tw.coupang.com/products/%E6%99%AE%E6%B4%B1%E9%BE%8D%E7%8F%A0%E8%8C%B6-21000212808302?itemId=21000642743553&vendorItemId=21004675346744&sourceType=search&rank=2&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"Sempio 膳府 調味醬油, 860ml, 2個",$239,https://www.tw.coupang.com/products/Sempio-%E8%86%B3%E5%BA%9C-%E8%AA%BF%E5%91%B3%E9%86%AC%E6%B2%B9-21005938042035?itemId=21020841809304&vendorItemId=21085321163434&sourceType=search&rank=3&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"Naturalness 韓式糯米蔘雞湯材料包, 200g, 3包",$392,https://www.tw.coupang.com/products/Naturalness-%E9%9F%93%E5%BC%8F%E7%B3%AF%E7%B1%B3%E8%94%98%E9%9B%9E%E6%B9%AF%E6%9D%90%E6%96%99%E5%8C%85-21005541949235?itemId=21008731017265&vendorItemId=21076018037584&sourceType=search&rank=4&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"sillymann 鉑金矽膠翻炒勺 WSK3304, 皇家藍, 1支",$364,https://www.tw.coupang.com/products/sillymann-%E9%89%91%E9%87%91%E7%9F%BD%E8%86%A0%E7%BF%BB%E7%82%92%E5%8B%BA-WSK3304-21000000071990?itemId=21000000153564&vendorItemId=21003000079858&sourceType=search&rank=5&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"Sempio 膳府 調味醬油, 500ml, 1瓶",$130,https://www.tw.coupang.com/products/Sempio-%E8%86%B3%E5%BA%9C-%E8%AA%BF%E5%91%B3%E9%86%AC%E6%B2%B9-21005938042035?itemId=21000000114687&vendorItemId=21003000059491&sourceType=search&rank=6&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"雲南普洱熟茶茶餅, 357g, 1個","$2,722",https://www.tw.coupang.com/products/%E9%9B%B2%E5%8D%97%E6%99%AE%E6%B4%B1%E7%86%9F%E8%8C%B6%E8%8C%B6%E9%A4%85-21008288679161?itemId=21000642743568&vendorItemId=21004675346802&sourceType=search&rank=7&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"Sempio 膳府 調味醬油, 500ml, 2個",$219,https://www.tw.coupang.com/products/Sempio-%E8%86%B3%E5%BA%9C-%E8%AA%BF%E5%91%B3%E9%86%AC%E6%B2%B9-21005938042035?itemId=21018171808917&vendorItemId=21085321150456&sourceType=search&rank=8&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"GOMO PET FOOD 鮮食餐包 貓犬專用, 四季紅藜煨牛雞, 150g, 1包",$129,https://www.tw.coupang.com/products/GOMO-PET-FOOD-%E9%AE%AE%E9%A3%9F%E9%A4%90%E5%8C%85-%E8%B2%93%E7%8A%AC%E5%B0%88%E7%94%A8-392520697626624?itemId=392520697626625&vendorItemId=392520693415936&sourceType=search&rank=9&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"BROOKLYN DELHI 馬薩拉醬, 1罐, 347g",$239,https://www.tw.coupang.com/products/BROOKLYN-DELHI-%E9%A6%AC%E8%96%A9%E6%8B%89%E9%86%AC-21006728811052?itemId=21015672234737&vendorItemId=21082887775618&sourceType=search&rank=10&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"Sempio 膳府 調味醬油, 860ml, 3個",$344,https://www.tw.coupang.com/products/Sempio-%E8%86%B3%E5%BA%9C-%E8%AA%BF%E5%91%B3%E9%86%AC%E6%B2%B9-21005938042035?itemId=21018171821992&vendorItemId=21085321163365&sourceType=search&rank=11&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"普洱茶, 357g, 1個","$2,580",https://www.tw.coupang.com/products/%E6%99%AE%E6%B4%B1%E8%8C%B6-21008293262114?itemId=21000349394688&vendorItemId=21004680608916&sourceType=search&rank=12&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"普洱花茶 菊花, 100g, 1入, 1盒",$725,https://www.tw.coupang.com/products/%E6%99%AE%E6%B4%B1%E8%8A%B1%E8%8C%B6-%E8%8F%8A%E8%8A%B1-21006424505479?itemId=21000346794159&vendorItemId=21004679873066&sourceType=search&rank=13&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
"Sempio 膳府 調味醬油, 500ml, 3個",$311,https://www.tw.coupang.com/products/Sempio-%E8%86%B3%E5%BA%9C-%E8%AA%BF%E5%91%B3%E9%86%AC%E6%B2%B9-21005938042035?itemId=21018171808412&vendorItemId=21085321150042&sourceType=search&rank=14&searchId=b9038db237d94452aafb6abcfa891bc0&q=%E7%85%A8
