product_name,product_price,product_url
"台灣尋味錄 澎湖灣鐵板燒, 110g, 3包",$88,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3%E5%B0%8B%E5%91%B3%E9%8C%84-%E6%BE%8E%E6%B9%96%E7%81%A3%E9%90%B5%E6%9D%BF%E7%87%92-167425295237124?itemId=367548512010253&vendorItemId=367548512043014&sourceType=search&rank=&searchId=ac427cef6e9d414d8d199e5521c94eff&q=%E7%87%92%E9%90%B5
"海洋館 小卷風味鐵板燒, 60g, 3包",$46,https://www.tw.coupang.com/products/%E6%B5%B7%E6%B4%8B%E9%A4%A8-%E5%B0%8F%E5%8D%B7%E9%A2%A8%E5%91%B3%E9%90%B5%E6%9D%BF%E7%87%92-164540259975168?itemId=371880091385860&vendorItemId=371880091402241&sourceType=search&rank=1&searchId=ac427cef6e9d414d8d199e5521c94eff&q=%E7%87%92%E9%90%B5
"DHC 紅嫩鐵素 90日份 180粒 台灣公司貨, 70.3g, 1包",$378,https://www.tw.coupang.com/products/DHC-%E7%B4%85%E5%AB%A9%E9%90%B5%E7%B4%A0-90%E6%97%A5%E4%BB%BD-180%E7%B2%92-%E5%8F%B0%E7%81%A3%E5%85%AC%E5%8F%B8%E8%B2%A8-176845555187712?itemId=176846578614272&vendorItemId=176846083702784&sourceType=search&rank=2&searchId=ac427cef6e9d414d8d199e5521c94eff&q=%E7%87%92%E9%90%B5
"Lovita 當歸亞鐵素食膠囊, 60顆, 33g, 1罐",$273,https://www.tw.coupang.com/products/Lovita-%E7%95%B6%E6%AD%B8%E4%BA%9E%E9%90%B5%E7%B4%A0%E9%A3%9F%E8%86%A0%E5%9B%8A-229385390997519?itemId=229386217308176&vendorItemId=229386217308170&sourceType=search&rank=3&searchId=ac427cef6e9d414d8d199e5521c94eff&q=%E7%87%92%E9%90%B5
"台灣尋味錄 澎湖灣燒烤魚板, 60g, 3包",$88,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3%E5%B0%8B%E5%91%B3%E9%8C%84-%E6%BE%8E%E6%B9%96%E7%81%A3%E7%87%92%E7%83%A4%E9%AD%9A%E6%9D%BF-167425744011271?itemId=367548516253709&vendorItemId=367548516220935&sourceType=search&rank=4&searchId=ac427cef6e9d414d8d199e5521c94eff&q=%E7%87%92%E9%90%B5
"PERFECT 理想 日式黑金鋼鐵板燒, 36cm, 1個","$1,019",https://www.tw.coupang.com/products/PERFECT-%E7%90%86%E6%83%B3-%E6%97%A5%E5%BC%8F%E9%BB%91%E9%87%91%E9%8B%BC%E9%90%B5%E6%9D%BF%E7%87%92-164198000607236?itemId=164197543395334&vendorItemId=164198432604161&sourceType=search&rank=5&searchId=ac427cef6e9d414d8d199e5521c94eff&q=%E7%87%92%E9%90%B5
"nutricost 鐵錠, 1瓶, 240顆",$417,https://www.tw.coupang.com/products/nutricost-%E9%90%B5%E9%8C%A0-21008203854589?itemId=21014369679376&vendorItemId=21081614048396&sourceType=search&rank=6&searchId=ac427cef6e9d414d8d199e5521c94eff&q=%E7%87%92%E9%90%B5
"TAKUMI 匠 岩紋玉子燒鐵鍋 附木把手, W147*L362*H64mm, 1個","$1,086",https://www.tw.coupang.com/products/TAKUMI-%E5%8C%A0-%E5%B2%A9%E7%B4%8B%E7%8E%89%E5%AD%90%E7%87%92%E9%90%B5%E9%8D%8B-%E9%99%84%E6%9C%A8%E6%8A%8A%E6%89%8B-169655020797952?itemId=169655482155008&vendorItemId=169655016603649&sourceType=search&rank=7&searchId=ac427cef6e9d414d8d199e5521c94eff&q=%E7%87%92%E9%90%B5
"hokua 北陸 輕量級木柄黑鐵不挑爐具玉子燒鍋 大 14 x 18cm, 1個",$570,https://www.tw.coupang.com/products/hokua-%E5%8C%97%E9%99%B8-%E8%BC%95%E9%87%8F%E7%B4%9A%E6%9C%A8%E6%9F%84%E9%BB%91%E9%90%B5%E4%B8%8D%E6%8C%91%E7%88%90%E5%85%B7%E7%8E%89%E5%AD%90%E7%87%92%E9%8D%8B-%E5%A4%A7-14-x-18cm-425516544786434?itemId=425516544770050&vendorItemId=425516544770049&sourceType=search&rank=8&searchId=ac427cef6e9d414d8d199e5521c94eff&q=%E7%87%92%E9%90%B5
"SNOW 雪印 葉酸鐵營養錠, 60顆, 2包",$533,https://www.tw.coupang.com/products/SNOW-%E9%9B%AA%E5%8D%B0-%E8%91%89%E9%85%B8%E9%90%B5%E7%87%9F%E9%A4%8A%E9%8C%A0-200047371173890?itemId=395468030803991&vendorItemId=395468030836752&sourceType=search&rank=9&searchId=ac427cef6e9d414d8d199e5521c94eff&q=%E7%87%92%E9%90%B5
