product_name,product_price,product_url
"紙百貨 牛皮紙 300g, 45張",$172,https://www.tw.coupang.com/products/%E7%B4%99%E7%99%BE%E8%B2%A8-%E7%89%9B%E7%9A%AE%E7%B4%99-300g-21001436291569?itemId=21002479133098&vendorItemId=21070472459249&sourceType=search&rank=&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"Paper Village 小包裝生態牛皮紙 80g, 1000入",$396,https://www.tw.coupang.com/products/Paper-Village-%E5%B0%8F%E5%8C%85%E8%A3%9D%E7%94%9F%E6%85%8B%E7%89%9B%E7%9A%AE%E7%B4%99-80g-21004326751627?itemId=21005043760192&vendorItemId=21072116540871&sourceType=search&rank=1&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"紙百貨 牛皮紙 120g, 80張",$196,https://www.tw.coupang.com/products/%E7%B4%99%E7%99%BE%E8%B2%A8-%E7%89%9B%E7%9A%AE%E7%B4%99-120g-21001436291616?itemId=21002479133149&vendorItemId=21070472459417&sourceType=search&rank=2&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"3M Scotch 牛皮紙膠帶 48mm*40Y, 2捲",$130,https://www.tw.coupang.com/products/3M-Scotch-%E7%89%9B%E7%9A%AE%E7%B4%99%E8%86%A0%E5%B8%B6-48mm*40Y-156523401543687?itemId=395804036530189&vendorItemId=395804036513796&sourceType=search&rank=3&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
包裝紙的世界 牛皮紙 1捲,$154,https://www.tw.coupang.com/products/%E5%8C%85%E8%A3%9D%E7%B4%99%E7%9A%84%E4%B8%96%E7%95%8C-%E7%89%9B%E7%9A%AE%E7%B4%99-1%E6%8D%B2-21000002217943?itemId=21000010119698&vendorItemId=21003014840228&sourceType=search&rank=4&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"comet 料理包裝牛皮紙, 100張, 1包",$109,https://www.tw.coupang.com/products/comet-%E6%96%99%E7%90%86%E5%8C%85%E8%A3%9D%E7%89%9B%E7%9A%AE%E7%B4%99-169999230517248?itemId=169999721283585&vendorItemId=169999721283584&sourceType=search&rank=5&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
afinar 優質牛皮簡約腰帶,$248,https://www.tw.coupang.com/products/afinar-%E5%84%AA%E8%B3%AA%E7%89%9B%E7%9A%AE%E7%B0%A1%E7%B4%84%E8%85%B0%E5%B8%B6-21007892454646?itemId=21021611550600&vendorItemId=21088662775278&sourceType=search&rank=6&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"3M Scotch 牛皮紙膠帶 48mm*40Y, 3捲",$195,https://www.tw.coupang.com/products/3M-Scotch-%E7%89%9B%E7%9A%AE%E7%B4%99%E8%86%A0%E5%B8%B6-48mm*40Y-156523401543687?itemId=316773387714562&vendorItemId=316774339805185&sourceType=search&rank=7&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"牛皮紙袋 M號, 單色, 300入",$368,https://www.tw.coupang.com/products/%E7%89%9B%E7%9A%AE%E7%B4%99%E8%A2%8B-M%E8%99%9F-21001518612382?itemId=21002605975491&vendorItemId=21070597142067&sourceType=search&rank=8&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
LULU Duo 牛皮中性手提包,$380,https://www.tw.coupang.com/products/LULU-Duo-%E7%89%9B%E7%9A%AE%E4%B8%AD%E6%80%A7%E6%89%8B%E6%8F%90%E5%8C%85-21000038180944?itemId=21000140756872&vendorItemId=21005627735433&sourceType=search&rank=9&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"彗星多用途牛皮紙袋, 牛皮紙顏色, 100個",$173,https://www.tw.coupang.com/products/%E5%BD%97%E6%98%9F%E5%A4%9A%E7%94%A8%E9%80%94%E7%89%9B%E7%9A%AE%E7%B4%99%E8%A2%8B-21007521304817?itemId=21019727055956&vendorItemId=21086831073446&sourceType=search&rank=10&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"3M Scotch 牛皮紙膠帶 48mm*40Y, 4捲",$260,https://www.tw.coupang.com/products/3M-Scotch-%E7%89%9B%E7%9A%AE%E7%B4%99%E8%86%A0%E5%B8%B6-48mm*40Y-156523401543687?itemId=247522631057425&vendorItemId=247522631057411&sourceType=search&rank=11&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"comet 牛皮紙封箱膠帶 48mm*40m, 棕色, 6捲",$268,https://www.tw.coupang.com/products/comet-%E7%89%9B%E7%9A%AE%E7%B4%99%E5%B0%81%E7%AE%B1%E8%86%A0%E5%B8%B6-48mm*40m-21004705268795?itemId=21005931391963&vendorItemId=21073229389062&sourceType=search&rank=12&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
BLANC FLEUR 牛皮掛繩式錢包,$711,https://www.tw.coupang.com/products/BLANC-FLEUR-%E7%89%9B%E7%9A%AE%E6%8E%9B%E7%B9%A9%E5%BC%8F%E9%8C%A2%E5%8C%85-21000298399519?itemId=21000939731075&vendorItemId=21005325074730&sourceType=search&rank=13&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
BLANC FLEUR 基本款牛皮超薄短夾,$663,https://www.tw.coupang.com/products/BLANC-FLEUR-%E5%9F%BA%E6%9C%AC%E6%AC%BE%E7%89%9B%E7%9A%AE%E8%B6%85%E8%96%84%E7%9F%AD%E5%A4%BE-21000077752177?itemId=21000251367601&vendorItemId=21005376130670&sourceType=search&rank=14&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
BLANC FLEUR 牛皮掛繩式錢包,$711,https://www.tw.coupang.com/products/BLANC-FLEUR-%E7%89%9B%E7%9A%AE%E6%8E%9B%E7%B9%A9%E5%BC%8F%E9%8C%A2%E5%8C%85-21000298399542?itemId=21000939731199&vendorItemId=21005325074863&sourceType=search&rank=15&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"3M Scotch 牛皮紙膠帶 48mm*40Y, 6捲",$390,https://www.tw.coupang.com/products/3M-Scotch-%E7%89%9B%E7%9A%AE%E7%B4%99%E8%86%A0%E5%B8%B6-48mm*40Y-156523401543687?itemId=395804036530176&vendorItemId=395804032335884&sourceType=search&rank=16&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"牛皮購物袋, 卡其色",$278,https://www.tw.coupang.com/products/%E7%89%9B%E7%9A%AE%E8%B3%BC%E7%89%A9%E8%A2%8B-21001806722485?itemId=21003074191524&vendorItemId=21071062076959&sourceType=search&rank=17&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"comet 料理包裝牛皮紙, 100張",$176,https://www.tw.coupang.com/products/comet-%E6%96%99%E7%90%86%E5%8C%85%E8%A3%9D%E7%89%9B%E7%9A%AE%E7%B4%99-21006209464989?itemId=21012369212975&vendorItemId=21079639001206&sourceType=search&rank=18&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"PACKAGE HERO 牛皮紙餐盒 1號, 100入, 1組",$218,https://www.tw.coupang.com/products/PACKAGE-HERO-%E7%89%9B%E7%9A%AE%E7%B4%99%E9%A4%90%E7%9B%92-1%E8%99%9F-21002044366980?itemId=21003475583194&vendorItemId=21071461902948&sourceType=search&rank=19&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"J SHOE 簡約牛皮坡跟涼鞋, 駝色, 250mm",$582,https://www.tw.coupang.com/products/J-SHOE-%E7%B0%A1%E7%B4%84%E7%89%9B%E7%9A%AE%E5%9D%A1%E8%B7%9F%E6%B6%BC%E9%9E%8B-21001577705165?itemId=21002697805215&vendorItemId=21070688205492&sourceType=search&rank=20&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
Lachic 薄型牛皮信用卡夾 LC19WM0001-1,$453,https://www.tw.coupang.com/products/Lachic-%E8%96%84%E5%9E%8B%E7%89%9B%E7%9A%AE%E4%BF%A1%E7%94%A8%E5%8D%A1%E5%A4%BE-LC19WM0001-1-21000241721942?itemId=21000768161365&vendorItemId=21004939320922&sourceType=search&rank=21&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"Popofancy 牛皮紙提袋, 隨機出貨, 10份",$215,https://www.tw.coupang.com/products/Popofancy-%E7%89%9B%E7%9A%AE%E7%B4%99%E6%8F%90%E8%A2%8B-21000009742445?itemId=21000043045772&vendorItemId=21003067198629&sourceType=search&rank=22&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"Popofancy Heart 牛皮紙購物袋 5p, 微笑花",$143,https://www.tw.coupang.com/products/Popofancy-Heart-%E7%89%9B%E7%9A%AE%E7%B4%99%E8%B3%BC%E7%89%A9%E8%A2%8B-5p-21000108437562?itemId=21000328266687&vendorItemId=21003804928013&sourceType=search&rank=23&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"牛皮提手購物袋, 混色, 100個",$520,https://www.tw.coupang.com/products/%E7%89%9B%E7%9A%AE%E6%8F%90%E6%89%8B%E8%B3%BC%E7%89%A9%E8%A2%8B-21001505207862?itemId=21002584248664&vendorItemId=21070576458519&sourceType=search&rank=24&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"J SHOE 簡約牛皮坡跟涼鞋, 駱駝, 235",$582,https://www.tw.coupang.com/products/J-SHOE-%E7%B0%A1%E7%B4%84%E7%89%9B%E7%9A%AE%E5%9D%A1%E8%B7%9F%E6%B6%BC%E9%9E%8B-21001577705165?itemId=21002697805225&vendorItemId=21070688205673&sourceType=search&rank=25&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"在牛皮紙袋中, 單色, 600件",$690,https://www.tw.coupang.com/products/%E5%9C%A8%E7%89%9B%E7%9A%AE%E7%B4%99%E8%A2%8B%E4%B8%AD-21001518612382?itemId=21020064044012&vendorItemId=21087159966589&sourceType=search&rank=26&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
牛皮紙袋 + 謝謝字樣封口貼 顏色隨機,$198,https://www.tw.coupang.com/products/%E7%89%9B%E7%9A%AE%E7%B4%99%E8%A2%8B-%2B-%E8%AC%9D%E8%AC%9D%E5%AD%97%E6%A8%A3%E5%B0%81%E5%8F%A3%E8%B2%BC-%E9%A1%8F%E8%89%B2%E9%9A%A8%E6%A9%9F-21000113751963?itemId=21000341472035&vendorItemId=21003836998898&sourceType=search&rank=27&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"Hello Morris牛皮紙手提購物袋, 單色",$344,https://www.tw.coupang.com/products/Hello-Morris%E7%89%9B%E7%9A%AE%E7%B4%99%E6%89%8B%E6%8F%90%E8%B3%BC%E7%89%A9%E8%A2%8B-21000111158078?itemId=21000334828683&vendorItemId=21003821642528&sourceType=search&rank=28&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"POPO FANCY 純牛皮紙提袋 10入, 棕色",$165,https://www.tw.coupang.com/products/POPO-FANCY-%E7%B4%94%E7%89%9B%E7%9A%AE%E7%B4%99%E6%8F%90%E8%A2%8B-10%E5%85%A5-21000009808581?itemId=21000043387939&vendorItemId=21003067831396&sourceType=search&rank=29&searchId=4f4dd46a8d4542c2ad22360d15759425&q=%E7%89%9B%E7%9A%AE
"LULU 迷你牛皮條紋手拿斜背包+硬殼 隨機出貨, 黑色的",$384,https://www.tw.coupang.com/products/LULU-%E8%BF%B7%E4%BD%A0%E7%89%9B%E7%9A%AE%E6%A2%9D%E7%B4%8B%E6%89%8B%E6%8B%BF%E6%96%9C%E8%83%8C%E5%8C%85%2B%E7%A1%AC%E6%AE%BC-%E9%9A%A8%E6%A9%9F%E5%87%BA%E8%B2%A8-21000037847866?itemId=21000139684206&vendorItemId=21005627736801&sourceType=search&rank=&searchId=dd026b621ba243c5a56c96fe817a21c9&q=%E7%89%9B%E7%9A%AE
"牛皮防震氣泡袋, 50個",$302,https://www.tw.coupang.com/products/%E7%89%9B%E7%9A%AE%E9%98%B2%E9%9C%87%E6%B0%A3%E6%B3%A1%E8%A2%8B-21002021332628?itemId=21003438461912&vendorItemId=21071424948691&sourceType=search&rank=1&searchId=dd026b621ba243c5a56c96fe817a21c9&q=%E7%89%9B%E7%9A%AE
"3M Scotch 牛皮紙膠帶 48mm*40Y, 5捲",$325,https://www.tw.coupang.com/products/3M-Scotch-%E7%89%9B%E7%9A%AE%E7%B4%99%E8%86%A0%E5%B8%B6-48mm*40Y-156523401543687?itemId=395804036513793&vendorItemId=395804032352273&sourceType=search&rank=2&searchId=dd026b621ba243c5a56c96fe817a21c9&q=%E7%89%9B%E7%9A%AE
"LULU 迷你牛皮條紋手拿斜背包+硬殼 隨機出貨, 灰色的",$384,https://www.tw.coupang.com/products/LULU-%E8%BF%B7%E4%BD%A0%E7%89%9B%E7%9A%AE%E6%A2%9D%E7%B4%8B%E6%89%8B%E6%8B%BF%E6%96%9C%E8%83%8C%E5%8C%85%2B%E7%A1%AC%E6%AE%BC-%E9%9A%A8%E6%A9%9F%E5%87%BA%E8%B2%A8-21000037847866?itemId=21000139684207&vendorItemId=21005627736824&sourceType=search&rank=3&searchId=dd026b621ba243c5a56c96fe817a21c9&q=%E7%89%9B%E7%9A%AE
