product_name,product_price,product_url
"大夢STEAM蒸氣科學學校LED飛行直升機, 隨機發貨",$199,https://www.tw.coupang.com/products/%E5%A4%A7%E5%A4%A2STEAM%E8%92%B8%E6%B0%A3%E7%A7%91%E5%AD%B8%E5%AD%B8%E6%A0%A1LED%E9%A3%9B%E8%A1%8C%E7%9B%B4%E5%8D%87%E6%A9%9F-21000132065284?itemId=21000388435503&vendorItemId=21003944866313&sourceType=search&rank=&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"4M 迪士尼 巴斯光年 太陽能星球儀, 1盒",$490,https://www.tw.coupang.com/products/4M-%E8%BF%AA%E5%A3%AB%E5%B0%BC-%E5%B7%B4%E6%96%AF%E5%85%89%E5%B9%B4-%E5%A4%AA%E9%99%BD%E8%83%BD%E6%98%9F%E7%90%83%E5%84%80-286023732903940?itemId=286023732903941&vendorItemId=286023732903937&sourceType=search&rank=1&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"Roywing 夜光熒光礫石, 隨機出貨, 300個",$234,https://www.tw.coupang.com/products/Roywing-%E5%A4%9C%E5%85%89%E7%86%92%E5%85%89%E7%A4%AB%E7%9F%B3-21007077374991?itemId=21017595123852&vendorItemId=21084761492337&sourceType=search&rank=2&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"NAVIR Eco Explorer光學奇蹟科學多教區, 1個",$428,https://www.tw.coupang.com/products/NAVIR-Eco-Explorer%E5%85%89%E5%AD%B8%E5%A5%87%E8%B9%9F%E7%A7%91%E5%AD%B8%E5%A4%9A%E6%95%99%E5%8D%80-21004347780331?itemId=21005096806856&vendorItemId=21072406384567&sourceType=search&rank=3&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"JY books Sing It Say It! 2-9 Set : Tomorrows Alphabet, JYBooks, 1套",$504,https://www.tw.coupang.com/products/JY-books-Sing-It-Say-It!-2-9-Set-%3A-Tomorrows-Alphabet-197581065912354?itemId=197579832770562&vendorItemId=197579828576276&sourceType=search&rank=4&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"CHEMICAL GUYS 化學小子 Hybrid V7 Wax Carnauba 光學增光劑, 473ml, 1個","$1,038",https://www.tw.coupang.com/products/CHEMICAL-GUYS-%E5%8C%96%E5%AD%B8%E5%B0%8F%E5%AD%90-Hybrid-V7-Wax-Carnauba-%E5%85%89%E5%AD%B8%E5%A2%9E%E5%85%89%E5%8A%91-21005499129144?itemId=21008538242992&vendorItemId=21075825646984&sourceType=search&rank=5&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"CHEMICAL GUYS 化學小子 輝煌的光澤鏡面光澤蠟, 473ml, 1個",$885,https://www.tw.coupang.com/products/CHEMICAL-GUYS-%E5%8C%96%E5%AD%B8%E5%B0%8F%E5%AD%90-%E8%BC%9D%E7%85%8C%E7%9A%84%E5%85%89%E6%BE%A4%E9%8F%A1%E9%9D%A2%E5%85%89%E6%BE%A4%E8%A0%9F-21005499129333?itemId=21008538243717&vendorItemId=21075825647569&sourceType=search&rank=6&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"2Way夜光水平儀, 1個, KPA-08G",$826,https://www.tw.coupang.com/products/2Way%E5%A4%9C%E5%85%89%E6%B0%B4%E5%B9%B3%E5%84%80-21007592933387?itemId=21020068099861&vendorItemId=21087921077869&sourceType=search&rank=7&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"CHEMICAL GUYS 化學小子 自然光芒, 473ml, 1個",$467,https://www.tw.coupang.com/products/CHEMICAL-GUYS-%E5%8C%96%E5%AD%B8%E5%B0%8F%E5%AD%90-%E8%87%AA%E7%84%B6%E5%85%89%E8%8A%92-21005499129416?itemId=21008538244043&vendorItemId=21075825647975&sourceType=search&rank=8&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"JY books Sing It Say It! 1-7 Set : Mary Wore Her Red Dress, JYBooks",$477,https://www.tw.coupang.com/products/JY-books-Sing-It-Say-It!-1-7-Set-%3A-Mary-Wore-Her-Red-Dress-197505568423937?itemId=197506214379545&vendorItemId=197506214379526&sourceType=search&rank=9&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"Carex X 夜光兩用快速美容儀, 1個, 500ml",$280,https://www.tw.coupang.com/products/Carex-X-%E5%A4%9C%E5%85%89%E5%85%A9%E7%94%A8%E5%BF%AB%E9%80%9F%E7%BE%8E%E5%AE%B9%E5%84%80-21008115904510?itemId=21023008961521&vendorItemId=21090042812917&sourceType=search&rank=10&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"CHEMICAL GUYS 化學小子 黑色淡灰色釉光澤, 473ml, 1個",$944,https://www.tw.coupang.com/products/CHEMICAL-GUYS-%E5%8C%96%E5%AD%B8%E5%B0%8F%E5%AD%90-%E9%BB%91%E8%89%B2%E6%B7%A1%E7%81%B0%E8%89%B2%E9%87%89%E5%85%89%E6%BE%A4-21004322504806?itemId=21005033319762&vendorItemId=21072343114545&sourceType=search&rank=11&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"Sein 激光水平儀, 1個",$250,https://www.tw.coupang.com/products/Sein-%E6%BF%80%E5%85%89%E6%B0%B4%E5%B9%B3%E5%84%80-21000002788825?itemId=21000012893218&vendorItemId=21003019700808&sourceType=search&rank=12&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"Saint F 袖珍測試儀, 1組",$227,https://www.tw.coupang.com/products/Saint-F-%E8%A2%96%E7%8F%8D%E6%B8%AC%E8%A9%A6%E5%84%80-21008176843500?itemId=21023368195860&vendorItemId=21082835039700&sourceType=search&rank=13&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"Gold Ruth 夜光交替溫度閃光 10g, 堇青石, 1個",$847,https://www.tw.coupang.com/products/Gold-Ruth-%E5%A4%9C%E5%85%89%E4%BA%A4%E6%9B%BF%E6%BA%AB%E5%BA%A6%E9%96%83%E5%85%89-10g-21008215585780?itemId=21010673208698&vendorItemId=21077953996666&sourceType=search&rank=14&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"CHEMICAL GUYS 化學小子 液體極端光澤橡膠管理系統, 473ml, 1個",$430,https://www.tw.coupang.com/products/CHEMICAL-GUYS-%E5%8C%96%E5%AD%B8%E5%B0%8F%E5%AD%90-%E6%B6%B2%E9%AB%94%E6%A5%B5%E7%AB%AF%E5%85%89%E6%BE%A4%E6%A9%A1%E8%86%A0%E7%AE%A1%E7%90%86%E7%B3%BB%E7%B5%B1-21005499129149?itemId=21008538243005&vendorItemId=21075825647004&sourceType=search&rank=15&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
"巴可光電子化學超綠色, 2個",$104,https://www.tw.coupang.com/products/%E5%B7%B4%E5%8F%AF%E5%85%89%E9%9B%BB%E5%AD%90%E5%8C%96%E5%AD%B8%E8%B6%85%E7%B6%A0%E8%89%B2-21005647983020?itemId=21009233665808&vendorItemId=21076519316322&sourceType=search&rank=16&searchId=6c448f69a4f24b2780f7cf649d1ddbd9&q=%E7%9C%9F%E5%85%89%E5%AD%B8
