product_name,product_price,product_url
"百特兔 強力粘著滾筒膠黏紙補充包 160mm*38mm, 4個, 2袋",$140,https://www.tw.coupang.com/products/%E7%99%BE%E7%89%B9%E5%85%94-%E5%BC%B7%E5%8A%9B%E7%B2%98%E8%91%97%E6%BB%BE%E7%AD%92%E8%86%A0%E9%BB%8F%E7%B4%99%E8%A3%9C%E5%85%85%E5%8C%85-160mm*38mm-279081740353547?itemId=279082797350915&vendorItemId=279081740353544&sourceType=search&rank=&searchId=cc89dd14695343b4b31dc1584281fcc4&q=%E7%9C%9F%E7%A9%BA%20%E9%BB%8F%E6%80%A7%E5%90%B8%E7%9B%A4
"YOUHA 優合 新一代吸盤式真空集乳器 YH-2002, 1個",$160,https://www.tw.coupang.com/products/YOUHA-%E5%84%AA%E5%90%88-%E6%96%B0%E4%B8%80%E4%BB%A3%E5%90%B8%E7%9B%A4%E5%BC%8F%E7%9C%9F%E7%A9%BA%E9%9B%86%E4%B9%B3%E5%99%A8-YH-2002-242882506096643?itemId=242880798998531&vendorItemId=242882506096640&sourceType=search&rank=1&searchId=cc89dd14695343b4b31dc1584281fcc4&q=%E7%9C%9F%E7%A9%BA%20%E9%BB%8F%E6%80%A7%E5%90%B8%E7%9B%A4
"3M 隨手黏毛絮補充包 居家用 70張 2入, 1包",$104,https://www.tw.coupang.com/products/3M-%E9%9A%A8%E6%89%8B%E9%BB%8F%E6%AF%9B%E7%B5%AE%E8%A3%9C%E5%85%85%E5%8C%85-%E5%B1%85%E5%AE%B6%E7%94%A8-70%E5%BC%B5-2%E5%85%A5-260299793858561?itemId=260299793858562&vendorItemId=260299793858560&sourceType=search&rank=2&searchId=cc89dd14695343b4b31dc1584281fcc4&q=%E7%9C%9F%E7%A9%BA%20%E9%BB%8F%E6%80%A7%E5%90%B8%E7%9B%A4
"Home&Me 強力斜線除塵黏把組 黏把手柄*1支+收納外殼*1個+補充包*4個, 1組",$140,https://www.tw.coupang.com/products/Home%26Me-%E5%BC%B7%E5%8A%9B%E6%96%9C%E7%B7%9A%E9%99%A4%E5%A1%B5%E9%BB%8F%E6%8A%8A%E7%B5%84-%E9%BB%8F%E6%8A%8A%E6%89%8B%E6%9F%84*1%E6%94%AF%2B%E6%94%B6%E7%B4%8D%E5%A4%96%E6%AE%BC*1%E5%80%8B%2B%E8%A3%9C%E5%85%85%E5%8C%85*4%E5%80%8B-160904846983170?itemId=160905283223560&vendorItemId=160904842788870&sourceType=search&rank=3&searchId=cc89dd14695343b4b31dc1584281fcc4&q=%E7%9C%9F%E7%A9%BA%20%E9%BB%8F%E6%80%A7%E5%90%B8%E7%9B%A4
"3M 隨手黏毛絮補充 衣物用 2捲 56張, 1包",$104,https://www.tw.coupang.com/products/3M-%E9%9A%A8%E6%89%8B%E9%BB%8F%E6%AF%9B%E7%B5%AE%E8%A3%9C%E5%85%85-%E8%A1%A3%E7%89%A9%E7%94%A8-2%E6%8D%B2-56%E5%BC%B5-260297864462336?itemId=260298858545154&vendorItemId=260297860268032&sourceType=search&rank=4&searchId=cc89dd14695343b4b31dc1584281fcc4&q=%E7%9C%9F%E7%A9%BA%20%E9%BB%8F%E6%80%A7%E5%90%B8%E7%9B%A4
"Home&Me 超強力斜切3段毛絮黏把*1+補充包*3, 1組",$228,https://www.tw.coupang.com/products/Home%26Me-%E8%B6%85%E5%BC%B7%E5%8A%9B%E6%96%9C%E5%88%873%E6%AE%B5%E6%AF%9B%E7%B5%AE%E9%BB%8F%E6%8A%8A*1%2B%E8%A3%9C%E5%85%85%E5%8C%85*3-169292779732995?itemId=169292297355264&vendorItemId=169293236895745&sourceType=search&rank=5&searchId=cc89dd14695343b4b31dc1584281fcc4&q=%E7%9C%9F%E7%A9%BA%20%E9%BB%8F%E6%80%A7%E5%90%B8%E7%9B%A4
"3M 隨手黏毛絮黏把 居家用56張, 1支",$97,https://www.tw.coupang.com/products/3M-%E9%9A%A8%E6%89%8B%E9%BB%8F%E6%AF%9B%E7%B5%AE%E9%BB%8F%E6%8A%8A-%E5%B1%85%E5%AE%B6%E7%94%A856%E5%BC%B5-277627680014348?itemId=168491667636224&vendorItemId=168492150013952&sourceType=search&rank=6&searchId=cc89dd14695343b4b31dc1584281fcc4&q=%E7%9C%9F%E7%A9%BA%20%E9%BB%8F%E6%80%A7%E5%90%B8%E7%9B%A4
"Supamop 好神拖 專用超吸水布盤 藍色, 1個",$118,https://www.tw.coupang.com/products/Supamop-%E5%A5%BD%E7%A5%9E%E6%8B%96-%E5%B0%88%E7%94%A8%E8%B6%85%E5%90%B8%E6%B0%B4%E5%B8%83%E7%9B%A4-%E8%97%8D%E8%89%B2-258810815938564?itemId=258810815938565&vendorItemId=258808945262594&sourceType=search&rank=7&searchId=cc89dd14695343b4b31dc1584281fcc4&q=%E7%9C%9F%E7%A9%BA%20%E9%BB%8F%E6%80%A7%E5%90%B8%E7%9B%A4
"3M 隨手黏衣物用毛絮黏把 56張 10cm*9.1m, 1支",$77,https://www.tw.coupang.com/products/3M-%E9%9A%A8%E6%89%8B%E9%BB%8F%E8%A1%A3%E7%89%A9%E7%94%A8%E6%AF%9B%E7%B5%AE%E9%BB%8F%E6%8A%8A-56%E5%BC%B5-10cm*9.1m-277598512857089?itemId=168496927326209&vendorItemId=168496927326208&sourceType=search&rank=8&searchId=cc89dd14695343b4b31dc1584281fcc4&q=%E7%9C%9F%E7%A9%BA%20%E9%BB%8F%E6%80%A7%E5%90%B8%E7%9B%A4
"comet 隨手黏斜撕清潔滾輪組 清潔滾輪 + 補充包 10個, 1組",$242,https://www.tw.coupang.com/products/comet-%E9%9A%A8%E6%89%8B%E9%BB%8F%E6%96%9C%E6%92%95%E6%B8%85%E6%BD%94%E6%BB%BE%E8%BC%AA%E7%B5%84-%E6%B8%85%E6%BD%94%E6%BB%BE%E8%BC%AA-%2B-%E8%A3%9C%E5%85%85%E5%8C%85-10%E5%80%8B-161804382601222?itemId=161803958992903&vendorItemId=161803958992896&sourceType=search&rank=9&searchId=cc89dd14695343b4b31dc1584281fcc4&q=%E7%9C%9F%E7%A9%BA%20%E9%BB%8F%E6%80%A7%E5%90%B8%E7%9B%A4
