product_name,product_price,product_url
"benepom C Rest肩頸肩部按摩按摩枕, 灰色",$701,https://www.tw.coupang.com/products/benepom-C-Rest%E8%82%A9%E9%A0%B8%E8%82%A9%E9%83%A8%E6%8C%89%E6%91%A9%E6%8C%89%E6%91%A9%E6%9E%95-21006889618161?itemId=21016536740595&vendorItemId=21083723519293&sourceType=search&rank=&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"ZESPA 睡眠枕按摩器通用適配器BC10101, ZL-012BL1261000EK01",$562,https://www.tw.coupang.com/products/ZESPA-%E7%9D%A1%E7%9C%A0%E6%9E%95%E6%8C%89%E6%91%A9%E5%99%A8%E9%80%9A%E7%94%A8%E9%81%A9%E9%85%8D%E5%99%A8BC10101-21007991725441?itemId=21022215058027&vendorItemId=21089261051775&sourceType=search&rank=1&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"VitaGRAM 深度睡眠枕頭按摩器 WGT-802, WGT-802W","$1,173",https://www.tw.coupang.com/products/VitaGRAM-%E6%B7%B1%E5%BA%A6%E7%9D%A1%E7%9C%A0%E6%9E%95%E9%A0%AD%E6%8C%89%E6%91%A9%E5%99%A8-WGT-802-21001940246306?itemId=21003293975342&vendorItemId=21071280930149&sourceType=search&rank=2&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"甜甜圈按摩臉枕, Gray, 1入",$202,https://www.tw.coupang.com/products/%E7%94%9C%E7%94%9C%E5%9C%88%E6%8C%89%E6%91%A9%E8%87%89%E6%9E%95-21005790763580?itemId=21009899856349&vendorItemId=21077183183391&sourceType=search&rank=3&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"晚安睡眠科學無線熱拉伸按摩枕 GOOD-A30, 灰色, 1個","$3,605",https://www.tw.coupang.com/products/%E6%99%9A%E5%AE%89%E7%9D%A1%E7%9C%A0%E7%A7%91%E5%AD%B8%E7%84%A1%E7%B7%9A%E7%86%B1%E6%8B%89%E4%BC%B8%E6%8C%89%E6%91%A9%E6%9E%95-GOOD-A30-21007230341056?itemId=21018345050461&vendorItemId=21085489163259&sourceType=search&rank=4&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"Queen's Nest 按摩C型枕, 黑色",$280,https://www.tw.coupang.com/products/Queen's-Nest-%E6%8C%89%E6%91%A9C%E5%9E%8B%E6%9E%95-21008222321968?itemId=21023637851636&vendorItemId=21085317390717&sourceType=search&rank=5&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"首頁 高級頸部頭枕指壓按摩枕, 藍色",$998,https://www.tw.coupang.com/products/%E9%A6%96%E9%A0%81-%E9%AB%98%E7%B4%9A%E9%A0%B8%E9%83%A8%E9%A0%AD%E6%9E%95%E6%8C%87%E5%A3%93%E6%8C%89%E6%91%A9%E6%9E%95-21006107670113?itemId=21011490412888&vendorItemId=21078765712304&sourceType=search&rank=6&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"甜甜圈按摩臉枕, Purple, 1入",$202,https://www.tw.coupang.com/products/%E7%94%9C%E7%94%9C%E5%9C%88%E6%8C%89%E6%91%A9%E8%87%89%E6%9E%95-21005790763580?itemId=21009899856354&vendorItemId=21077183183415&sourceType=search&rank=7&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"Nature Farmer 方形超細纖維按摩枕, 灰色",$195,https://www.tw.coupang.com/products/Nature-Farmer-%E6%96%B9%E5%BD%A2%E8%B6%85%E7%B4%B0%E7%BA%96%E7%B6%AD%E6%8C%89%E6%91%A9%E6%9E%95-21007115564822?itemId=21017801640330&vendorItemId=21084965707052&sourceType=search&rank=8&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"彈力頸枕, 黑色, 1個",$237,https://www.tw.coupang.com/products/%E5%BD%88%E5%8A%9B%E9%A0%B8%E6%9E%95-21006837800485?itemId=21016251107845&vendorItemId=21083444299314&sourceType=search&rank=9&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"SLEEPSPA 按摩枕頭, 象牙","$1,314",https://www.tw.coupang.com/products/SLEEPSPA-%E6%8C%89%E6%91%A9%E6%9E%95%E9%A0%AD-21004501130438?itemId=21005403718757&vendorItemId=21072703694977&sourceType=search&rank=10&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"BED!DEA 乳膠頸枕+被套, 橄欖",$388,https://www.tw.coupang.com/products/BED!DEA-%E4%B9%B3%E8%86%A0%E9%A0%B8%E6%9E%95%2B%E8%A2%AB%E5%A5%97-21000072853666?itemId=21000242874399&vendorItemId=21003597854841&sourceType=search&rank=11&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"彈力頸枕, 藍色, 1個",$239,https://www.tw.coupang.com/products/%E5%BD%88%E5%8A%9B%E9%A0%B8%E6%9E%95-21006837800485?itemId=21016251107852&vendorItemId=21083444299329&sourceType=search&rank=12&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"CARENECK 頸枕, 黃色的",$810,https://www.tw.coupang.com/products/CARENECK-%E9%A0%B8%E6%9E%95-21001298942929?itemId=21002311953047&vendorItemId=21070308716041&sourceType=search&rank=13&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
"Nature Farmer 方形超細纖維按摩枕, 粉色",$195,https://www.tw.coupang.com/products/Nature-Farmer-%E6%96%B9%E5%BD%A2%E8%B6%85%E7%B4%B0%E7%BA%96%E7%B6%AD%E6%8C%89%E6%91%A9%E6%9E%95-21007115564822?itemId=21017801640329&vendorItemId=21084965707046&sourceType=search&rank=14&searchId=f10f5244a0a644a3bece1178cf1a778b&q=%E7%9D%A1%E7%9C%A0%E6%8C%89%E6%91%A9%E6%9E%95
