product_name,product_price,product_url
"橘之屋 快速磨刀器, 顏色隨機, 2個",$138,https://www.tw.coupang.com/products/%E6%A9%98%E4%B9%8B%E5%B1%8B-%E5%BF%AB%E9%80%9F%E7%A3%A8%E5%88%80%E5%99%A8-277692561735686?itemId=277693522214919&vendorItemId=277692561735681&sourceType=search&rank=&searchId=7af05e0545d64e7c82676924c71eada0&q=%E7%A3%A8%E5%88%80%20%E9%88%8D%20%E5%88%80%E5%85%B7
"德國熱銷鑽石紋刀六件組 904g, 1組",$312,https://www.tw.coupang.com/products/%E5%BE%B7%E5%9C%8B%E7%86%B1%E9%8A%B7%E9%91%BD%E7%9F%B3%E7%B4%8B%E5%88%80%E5%85%AD%E4%BB%B6%E7%B5%84-904g-167158868836355?itemId=167158868836356&vendorItemId=167158420062209&sourceType=search&rank=1&searchId=7af05e0545d64e7c82676924c71eada0&q=%E7%A3%A8%E5%88%80%20%E9%88%8D%20%E5%88%80%E5%85%B7
"SHIMOMURA 下村工業 職人專用不鏽鋼三德刀, 1支",$486,https://www.tw.coupang.com/products/SHIMOMURA-%E4%B8%8B%E6%9D%91%E5%B7%A5%E6%A5%AD-%E8%81%B7%E4%BA%BA%E5%B0%88%E7%94%A8%E4%B8%8D%E9%8F%BD%E9%8B%BC%E4%B8%89%E5%BE%B7%E5%88%80-156208203776007?itemId=156208614850569&vendorItemId=156209009098754&sourceType=search&rank=2&searchId=7af05e0545d64e7c82676924c71eada0&q=%E7%A3%A8%E5%88%80%20%E9%88%8D%20%E5%88%80%E5%85%B7
"SHIMOMURA 下村工業 職人專用一體成型不鏽鋼三德刀, 1支",$766,https://www.tw.coupang.com/products/SHIMOMURA-%E4%B8%8B%E6%9D%91%E5%B7%A5%E6%A5%AD-%E8%81%B7%E4%BA%BA%E5%B0%88%E7%94%A8%E4%B8%80%E9%AB%94%E6%88%90%E5%9E%8B%E4%B8%8D%E9%8F%BD%E9%8B%BC%E4%B8%89%E5%BE%B7%E5%88%80-156208614850575?itemId=156209009098767&vendorItemId=156208614850567&sourceType=search&rank=3&searchId=7af05e0545d64e7c82676924c71eada0&q=%E7%A3%A8%E5%88%80%20%E9%88%8D%20%E5%88%80%E5%85%B7
"PERFECT 理想 鈦金刀 切片刀, 1支",$113,https://www.tw.coupang.com/products/PERFECT-%E7%90%86%E6%83%B3-%E9%88%A6%E9%87%91%E5%88%80-%E5%88%87%E7%89%87%E5%88%80-162088299233282?itemId=162087430995970&vendorItemId=162087875624960&sourceType=search&rank=4&searchId=7af05e0545d64e7c82676924c71eada0&q=%E7%A3%A8%E5%88%80%20%E9%88%8D%20%E5%88%80%E5%85%B7
"triangle 三角牌 寬版高麗菜刨絲刀, 銀色, 1個",$534,https://www.tw.coupang.com/products/triangle-%E4%B8%89%E8%A7%92%E7%89%8C-%E5%AF%AC%E7%89%88%E9%AB%98%E9%BA%97%E8%8F%9C%E5%88%A8%E7%B5%B2%E5%88%80-259191553884167?itemId=259190668902407&vendorItemId=259191549689860&sourceType=search&rank=5&searchId=7af05e0545d64e7c82676924c71eada0&q=%E7%A3%A8%E5%88%80%20%E9%88%8D%20%E5%88%80%E5%85%B7
"SHIMOMURA 下村工業 日本製職人專用不鏽鋼三德刀 120g, 1支",$542,https://www.tw.coupang.com/products/SHIMOMURA-%E4%B8%8B%E6%9D%91%E5%B7%A5%E6%A5%AD-%E6%97%A5%E6%9C%AC%E8%A3%BD%E8%81%B7%E4%BA%BA%E5%B0%88%E7%94%A8%E4%B8%8D%E9%8F%BD%E9%8B%BC%E4%B8%89%E5%BE%B7%E5%88%80-120g-156208203776012?itemId=156208614850574&vendorItemId=156209009098759&sourceType=search&rank=6&searchId=7af05e0545d64e7c82676924c71eada0&q=%E7%A3%A8%E5%88%80%20%E9%88%8D%20%E5%88%80%E5%85%B7
"ALLEX 林刃物 多用途窄版刮刀, 1支",$162,https://www.tw.coupang.com/products/ALLEX-%E6%9E%97%E5%88%83%E7%89%A9-%E5%A4%9A%E7%94%A8%E9%80%94%E7%AA%84%E7%89%88%E5%88%AE%E5%88%80-160969078554631?itemId=160969514795014&vendorItemId=160969934209027&sourceType=search&rank=7&searchId=7af05e0545d64e7c82676924c71eada0&q=%E7%A3%A8%E5%88%80%20%E9%88%8D%20%E5%88%80%E5%85%B7
"SHIMOMURA 下村工業 日本製職人專用不鏽鋼中華菜刀 410g, 1支","$1,057",https://www.tw.coupang.com/products/SHIMOMURA-%E4%B8%8B%E6%9D%91%E5%B7%A5%E6%A5%AD-%E6%97%A5%E6%9C%AC%E8%A3%BD%E8%81%B7%E4%BA%BA%E5%B0%88%E7%94%A8%E4%B8%8D%E9%8F%BD%E9%8B%BC%E4%B8%AD%E8%8F%AF%E8%8F%9C%E5%88%80-410g-159555061252100?itemId=159554222374913&vendorItemId=159554650226688&sourceType=search&rank=8&searchId=7af05e0545d64e7c82676924c71eada0&q=%E7%A3%A8%E5%88%80%20%E9%88%8D%20%E5%88%80%E5%85%B7
"金永利鋼刀 電木系列 日式切刀 F9, 1支",$938,https://www.tw.coupang.com/products/%E9%87%91%E6%B0%B8%E5%88%A9%E9%8B%BC%E5%88%80-%E9%9B%BB%E6%9C%A8%E7%B3%BB%E5%88%97-%E6%97%A5%E5%BC%8F%E5%88%87%E5%88%80-F9-155805420584964?itemId=155805420584966&vendorItemId=155804619456513&sourceType=search&rank=9&searchId=7af05e0545d64e7c82676924c71eada0&q=%E7%A3%A8%E5%88%80%20%E9%88%8D%20%E5%88%80%E5%85%B7
