product_name,product_price,product_url
"femfresh 芳芯 私密潔膚露 長效清新, 250ml, 1入",$94,https://www.tw.coupang.com/products/femfresh-%E8%8A%B3%E8%8A%AF-%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2-%E9%95%B7%E6%95%88%E6%B8%85%E6%96%B0-253749352169476?itemId=253749352169478&vendorItemId=253749347975169&sourceType=search&rank=&searchId=2f1901f29fa04f0db61334e2f4002712&q=%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2
"AYODELE 保加利亞玫瑰女性私密潔膚露, 1瓶, 1000ml",$368,https://www.tw.coupang.com/products/AYODELE-%E4%BF%9D%E5%8A%A0%E5%88%A9%E4%BA%9E%E7%8E%AB%E7%91%B0%E5%A5%B3%E6%80%A7%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2-21006161530734?itemId=21011961432896&vendorItemId=21079234013438&sourceType=search&rank=1&searchId=2f1901f29fa04f0db61334e2f4002712&q=%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2
"femfresh 芳芯 私密潔膚露 長效清新, 250ml, 2入",$189,https://www.tw.coupang.com/products/femfresh-%E8%8A%B3%E8%8A%AF-%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2-%E9%95%B7%E6%95%88%E6%B8%85%E6%96%B0-253749352169476?itemId=326504298790915&vendorItemId=326504298790912&sourceType=search&rank=2&searchId=2f1901f29fa04f0db61334e2f4002712&q=%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2
"Summer's Eve 舒摩兒 5合1無味女性私密處潔膚露, 1入, 444ml",$264,https://www.tw.coupang.com/products/Summer's-Eve-%E8%88%92%E6%91%A9%E5%85%92-5%E5%90%881%E7%84%A1%E5%91%B3%E5%A5%B3%E6%80%A7%E7%A7%81%E5%AF%86%E8%99%95%E6%BD%94%E8%86%9A%E9%9C%B2-21005275337188?itemId=21007530242533&vendorItemId=21074821686934&sourceType=search&rank=3&searchId=2f1901f29fa04f0db61334e2f4002712&q=%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2
"femfresh 芳芯 私密潔膚露 長效清新, 250ml, 3入",$283,https://www.tw.coupang.com/products/femfresh-%E8%8A%B3%E8%8A%AF-%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2-%E9%95%B7%E6%95%88%E6%B8%85%E6%96%B0-253749352169476?itemId=326504294613004&vendorItemId=326504294596614&sourceType=search&rank=4&searchId=2f1901f29fa04f0db61334e2f4002712&q=%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2
"PEDISON 蘆薈膠原蛋白女性私密清潔露, 300ml, 2瓶",$317,https://www.tw.coupang.com/products/PEDISON-%E8%98%86%E8%96%88%E8%86%A0%E5%8E%9F%E8%9B%8B%E7%99%BD%E5%A5%B3%E6%80%A7%E7%A7%81%E5%AF%86%E6%B8%85%E6%BD%94%E9%9C%B2-283845182046212?itemId=283846239043588&vendorItemId=283846239043584&sourceType=search&rank=5&searchId=2f1901f29fa04f0db61334e2f4002712&q=%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2
"femfresh 芳芯 私密潔膚露 長效清新, 250ml, 5入",$472,https://www.tw.coupang.com/products/femfresh-%E8%8A%B3%E8%8A%AF-%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2-%E9%95%B7%E6%95%88%E6%B8%85%E6%96%B0-253749352169476?itemId=326504294613001&vendorItemId=326504294612997&sourceType=search&rank=6&searchId=2f1901f29fa04f0db61334e2f4002712&q=%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2
"femfresh 芳芯 私密潔膚露 長效清新, 250ml, 4入",$378,https://www.tw.coupang.com/products/femfresh-%E8%8A%B3%E8%8A%AF-%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2-%E9%95%B7%E6%95%88%E6%B8%85%E6%96%B0-253749352169476?itemId=326504302985216&vendorItemId=326504303001600&sourceType=search&rank=7&searchId=2f1901f29fa04f0db61334e2f4002712&q=%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2
"UNICAT 變臉貓 PH4私密呵護潔淨露 淡雅梔子花香氛, 200ml, 1瓶",$205,https://www.tw.coupang.com/products/UNICAT-%E8%AE%8A%E8%87%89%E8%B2%93-PH4%E7%A7%81%E5%AF%86%E5%91%B5%E8%AD%B7%E6%BD%94%E6%B7%A8%E9%9C%B2-%E6%B7%A1%E9%9B%85%E6%A2%94%E5%AD%90%E8%8A%B1%E9%A6%99%E6%B0%9B-154475318722565?itemId=154475704582149&vendorItemId=154474916036609&sourceType=search&rank=8&searchId=2f1901f29fa04f0db61334e2f4002712&q=%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2
"femfresh 芳芯 私密潔膚露 長效清新, 250ml, 6入",$567,https://www.tw.coupang.com/products/femfresh-%E8%8A%B3%E8%8A%AF-%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2-%E9%95%B7%E6%95%88%E6%B8%85%E6%96%B0-253749352169476?itemId=326504554659843&vendorItemId=326504554676224&sourceType=search&rank=9&searchId=2f1901f29fa04f0db61334e2f4002712&q=%E7%A7%81%E5%AF%86%E6%BD%94%E8%86%9A%E9%9C%B2
