product_name,product_price,product_url
"ingenuity 孩童學習餐桌椅, Cashmere","$1,086",https://www.tw.coupang.com/products/ingenuity-%E5%AD%A9%E7%AB%A5%E5%AD%B8%E7%BF%92%E9%A4%90%E6%A1%8C%E6%A4%85-21005546748784?itemId=21008751990292&vendorItemId=21076038943901&sourceType=search&rank=&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY 小百合止滑摺合椅, 1個",$115,https://www.tw.coupang.com/products/KEYWAY-%E5%B0%8F%E7%99%BE%E5%90%88%E6%AD%A2%E6%BB%91%E6%91%BA%E5%90%88%E6%A4%85-279081731964930?itemId=160989471293442&vendorItemId=160989471293441&sourceType=search&rank=1&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"comet Home 摺疊可攜式圓凳 30 x 30 x 46cm, 1個, 白色",$262,https://www.tw.coupang.com/products/comet-Home-%E6%91%BA%E7%96%8A%E5%8F%AF%E6%94%9C%E5%BC%8F%E5%9C%93%E5%87%B3-30-x-30-x-46cm-447606777937921?itemId=447606777921540&vendorItemId=447606777905156&sourceType=search&rank=2&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY 聯府 金剛摺合椅 39cm, 咖啡色, 1個",$319,https://www.tw.coupang.com/products/KEYWAY-%E8%81%AF%E5%BA%9C-%E9%87%91%E5%89%9B%E6%91%BA%E5%90%88%E6%A4%85-39cm-160989882318849?itemId=160989026664448&vendorItemId=160989882318848&sourceType=search&rank=3&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY 聯府 金剛摺合椅 23cm, 咖啡, 1個",$223,https://www.tw.coupang.com/products/KEYWAY-%E8%81%AF%E5%BA%9C-%E9%87%91%E5%89%9B%E6%91%BA%E5%90%88%E6%A4%85-23cm-160989953622016?itemId=160989097967616&vendorItemId=160989534208000&sourceType=search&rank=4&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY 聯府 金剛摺合椅, 藍色, 2個",$446,https://www.tw.coupang.com/products/KEYWAY-%E8%81%AF%E5%BA%9C-%E9%87%91%E5%89%9B%E6%91%BA%E5%90%88%E6%A4%85-160989576134660?itemId=323707385921541&vendorItemId=323707385905153&sourceType=search&rank=5&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"HOO 孩童木質餐桌椅, 原木色","$1,645",https://www.tw.coupang.com/products/HOO-%E5%AD%A9%E7%AB%A5%E6%9C%A8%E8%B3%AA%E9%A4%90%E6%A1%8C%E6%A4%85-21006086975022?itemId=21011318598796&vendorItemId=21078595133374&sourceType=search&rank=6&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY 小當家摺合椅 286*225*205mm, 顏色隨機, 2個",$147,https://www.tw.coupang.com/products/KEYWAY-%E5%B0%8F%E7%95%B6%E5%AE%B6%E6%91%BA%E5%90%88%E6%A4%85-286*225*205mm-279083908825091?itemId=279081891348482&vendorItemId=279081887154187&sourceType=search&rank=7&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY 23cm金剛摺合椅 RC810-1 L347*W275*H234mm, 藍, 1個",$223,https://www.tw.coupang.com/products/KEYWAY-23cm%E9%87%91%E5%89%9B%E6%91%BA%E5%90%88%E6%A4%85-RC810-1-L347*W275*H234mm-160989462904832?itemId=160989462904833&vendorItemId=160989022470144&sourceType=search&rank=8&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY SUV 止滑摺合椅 SF-8222 22.5cm 340*272*229mm, 藍, 1個",$147,https://www.tw.coupang.com/products/KEYWAY-SUV-%E6%AD%A2%E6%BB%91%E6%91%BA%E5%90%88%E6%A4%85-SF-8222-22.5cm-340*272*229mm-155803835138050?itemId=155803835138051&vendorItemId=155803034009601&sourceType=search&rank=9&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"Kiyodo 麗緻專利折疊椅, 粉/藍顏色隨機, 1個",$349,https://www.tw.coupang.com/products/Kiyodo-%E9%BA%97%E7%B7%BB%E5%B0%88%E5%88%A9%E6%8A%98%E7%96%8A%E6%A4%85-374398158569474?itemId=374398158602241&vendorItemId=374398158618624&sourceType=search&rank=10&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY 金剛摺合椅 RC850-2 39cm, 紅色, 1個",$350,https://www.tw.coupang.com/products/KEYWAY-%E9%87%91%E5%89%9B%E6%91%BA%E5%90%88%E6%A4%85-RC850-2-39cm-160989928456194?itemId=160989513236481&vendorItemId=160989072801792&sourceType=search&rank=11&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY 金剛摺合椅 342*275*234mm, 紅色, 1個",$236,https://www.tw.coupang.com/products/KEYWAY-%E9%87%91%E5%89%9B%E6%91%BA%E5%90%88%E6%A4%85-342*275*234mm-160989030858752?itemId=160989886513152&vendorItemId=160989471293440&sourceType=search&rank=12&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY 大當家寬型摺合椅 445*310*303mm, 橘色, 1個",$304,https://www.tw.coupang.com/products/KEYWAY-%E5%A4%A7%E7%95%B6%E5%AE%B6%E5%AF%AC%E5%9E%8B%E6%91%BA%E5%90%88%E6%A4%85-445*310*303mm-154762594959363?itemId=154763387699203&vendorItemId=154762997645313&sourceType=search&rank=13&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"KEYWAY SUV止滑摺合椅 22.5cm 990g, 綠色, 1個",$219,https://www.tw.coupang.com/products/KEYWAY-SUV%E6%AD%A2%E6%BB%91%E6%91%BA%E5%90%88%E6%A4%85-22.5cm-990g-160989559357449?itemId=160988703703046&vendorItemId=160988703703041&sourceType=search&rank=14&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"孩童椅子, 灰色",$404,https://www.tw.coupang.com/products/%E5%AD%A9%E7%AB%A5%E6%A4%85%E5%AD%90-21005381035646?itemId=21007992353537&vendorItemId=21075281211729&sourceType=search&rank=15&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"DHOLIC Tori實木三層高度可調式可愛嬰兒椅, 1個, 藍色","$1,110",https://www.tw.coupang.com/products/DHOLIC-Tori%E5%AF%A6%E6%9C%A8%E4%B8%89%E5%B1%A4%E9%AB%98%E5%BA%A6%E5%8F%AF%E8%AA%BF%E5%BC%8F%E5%8F%AF%E6%84%9B%E5%AC%B0%E5%85%92%E6%A4%85-21007905275027?itemId=21021676759335&vendorItemId=21089520599096&sourceType=search&rank=16&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"BANFF 主椅桌套組 4 CC067, 象牙白",$867,https://www.tw.coupang.com/products/BANFF-%E4%B8%BB%E6%A4%85%E6%A1%8C%E5%A5%97%E7%B5%84-4-CC067-21006210591218?itemId=21012377612264&vendorItemId=21079647347884&sourceType=search&rank=17&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"Letusto 可折疊一體成型彩色底座桌椅, 1個, 紅色",$895,https://www.tw.coupang.com/products/Letusto-%E5%8F%AF%E6%8A%98%E7%96%8A%E4%B8%80%E9%AB%94%E6%88%90%E5%9E%8B%E5%BD%A9%E8%89%B2%E5%BA%95%E5%BA%A7%E6%A1%8C%E6%A4%85-21006750248147?itemId=21015785479386&vendorItemId=21086940285931&sourceType=search&rank=18&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"孩童木質椅子, 木棕色",$844,https://www.tw.coupang.com/products/%E5%AD%A9%E7%AB%A5%E6%9C%A8%E8%B3%AA%E6%A4%85%E5%AD%90-21005231137145?itemId=21007365987246&vendorItemId=21074657153386&sourceType=search&rank=19&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"Nuby 可攜兩用兒童餐椅, 耀眼紅, 1個","$1,231",https://www.tw.coupang.com/products/Nuby-%E5%8F%AF%E6%94%9C%E5%85%A9%E7%94%A8%E5%85%92%E7%AB%A5%E9%A4%90%E6%A4%85-287794521915394?itemId=287795583107074&vendorItemId=287794521915393&sourceType=search&rank=20&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"Leesun 牛津折疊凳 大號, 象牙白, 1個",$436,https://www.tw.coupang.com/products/Leesun-%E7%89%9B%E6%B4%A5%E6%8A%98%E7%96%8A%E5%87%B3-%E5%A4%A7%E8%99%9F-21007429677576?itemId=21019293667830&vendorItemId=21086408352106&sourceType=search&rank=21&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"孩童單人英文學習桌+椅子, 白色 灰色","$1,192",https://www.tw.coupang.com/products/%E5%AD%A9%E7%AB%A5%E5%96%AE%E4%BA%BA%E8%8B%B1%E6%96%87%E5%AD%B8%E7%BF%92%E6%A1%8C%2B%E6%A4%85%E5%AD%90-21005166085538?itemId=21007116820884&vendorItemId=21074408663727&sourceType=search&rank=22&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"YaYa Pororo桌子+Patty椅子, 混色","$1,428",https://www.tw.coupang.com/products/YaYa-Pororo%E6%A1%8C%E5%AD%90%2BPatty%E6%A4%85%E5%AD%90-21001523909229?itemId=21002614819039&vendorItemId=21070605877367&sourceType=search&rank=23&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"An's House 扁柏木椅凳 L號, 1個",$992,https://www.tw.coupang.com/products/An's-House-%E6%89%81%E6%9F%8F%E6%9C%A8%E6%A4%85%E5%87%B3-L%E8%99%9F-21001694047210?itemId=21002884073519&vendorItemId=21070873171909&sourceType=search&rank=24&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"lieto 幼兒圓形桌凳, 棕色","$1,213",https://www.tw.coupang.com/products/lieto-%E5%B9%BC%E5%85%92%E5%9C%93%E5%BD%A2%E6%A1%8C%E5%87%B3-21000252175218?itemId=21000794725169&vendorItemId=21005017536586&sourceType=search&rank=25&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
"第二佳折疊凳, 象牙白, 1個",$309,https://www.tw.coupang.com/products/%E7%AC%AC%E4%BA%8C%E4%BD%B3%E6%8A%98%E7%96%8A%E5%87%B3-21007320291742?itemId=21018773622070&vendorItemId=21085905183227&sourceType=search&rank=26&searchId=4fe2fc8e4a1a4f86b876bf26d43e08b5&q=%E7%AB%A5%E8%AA%B2%E6%A1%8C%E6%A4%85
