product_name,product_price,product_url
"竹串燒, 1包, 100支",$31,https://www.tw.coupang.com/products/%E7%AB%B9%E4%B8%B2%E7%87%92-21007327658221?itemId=21018806305601&vendorItemId=21085936952576&sourceType=search&rank=&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"竹柄串18cm, 50支, 2包",$52,https://www.tw.coupang.com/products/%E7%AB%B9%E6%9F%84%E4%B8%B218cm-21007353008694?itemId=21018926327053&vendorItemId=21086053276376&sourceType=search&rank=1&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"竹柄串, 50支, 2包",$52,https://www.tw.coupang.com/products/%E7%AB%B9%E6%9F%84%E4%B8%B2-21007354949623?itemId=21018935647218&vendorItemId=21086062277065&sourceType=search&rank=2&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"萬用料理夾, 單色, 2支",$462,https://www.tw.coupang.com/products/%E8%90%AC%E7%94%A8%E6%96%99%E7%90%86%E5%A4%BE-21004875073878?itemId=21006341089687&vendorItemId=21073636441768&sourceType=search&rank=3&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"E-Home烤葉野餐夾, 8個, 1套",$132,https://www.tw.coupang.com/products/E-Home%E7%83%A4%E8%91%89%E9%87%8E%E9%A4%90%E5%A4%BE-21007268717419?itemId=21018532393052&vendorItemId=21085670750816&sourceType=search&rank=4&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"竹柄串15cm, 50支, 2包",$83,https://www.tw.coupang.com/products/%E7%AB%B9%E6%9F%84%E4%B8%B215cm-21007353033899?itemId=21018926406318&vendorItemId=21086053352343&sourceType=search&rank=5&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"Seeknit 竹製圓頭針 6.5cm, 1包, 淺木色",$169,https://www.tw.coupang.com/products/Seeknit-%E7%AB%B9%E8%A3%BD%E5%9C%93%E9%A0%AD%E9%87%9D-6.5cm-21006629134856?itemId=21015106025952&vendorItemId=21082327954619&sourceType=search&rank=6&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
莫蘭迪色三角水滴鏤空bb夾組 10個入,$304,https://www.tw.coupang.com/products/%E8%8E%AB%E8%98%AD%E8%BF%AA%E8%89%B2%E4%B8%89%E8%A7%92%E6%B0%B4%E6%BB%B4%E9%8F%A4%E7%A9%BAbb%E5%A4%BE%E7%B5%84-10%E5%80%8B%E5%85%A5-21006641352519?itemId=21015182625455&vendorItemId=21082403880394&sourceType=search&rank=7&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
Swanique 金屬美人魚髮夾,$140,https://www.tw.coupang.com/products/Swanique-%E9%87%91%E5%B1%AC%E7%BE%8E%E4%BA%BA%E9%AD%9A%E9%AB%AE%E5%A4%BE-21007122231551?itemId=21017835924121&vendorItemId=21084999609638&sourceType=search&rank=8&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"Babion 鱷魚夾髮夾 6入, 2入, 隨機出貨",$169,https://www.tw.coupang.com/products/Babion-%E9%B1%B7%E9%AD%9A%E5%A4%BE%E9%AB%AE%E5%A4%BE-6%E5%85%A5-21006475317523?itemId=21014150745275&vendorItemId=21079927020235&sourceType=search&rank=9&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"竹魚餅串30cm, 30入, 2個",$66,https://www.tw.coupang.com/products/%E7%AB%B9%E9%AD%9A%E9%A4%85%E4%B8%B230cm-21007449828157?itemId=21019391783719&vendorItemId=21086504059698&sourceType=search&rank=10&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
brg girl story 霧面鯊魚夾 2件組,$195,https://www.tw.coupang.com/products/brg-girl-story-%E9%9C%A7%E9%9D%A2%E9%AF%8A%E9%AD%9A%E5%A4%BE-2%E4%BB%B6%E7%B5%84-21006372915471?itemId=21013506758343&vendorItemId=21080760849207&sourceType=search&rank=11&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"aryko 鱷魚夾 6入, 粉色的, 2個",$187,https://www.tw.coupang.com/products/aryko-%E9%B1%B7%E9%AD%9A%E5%A4%BE-6%E5%85%A5-21005767039587?itemId=21009786166222&vendorItemId=21077070108282&sourceType=search&rank=12&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"Stembee 多功能鱷魚食物夾, 1個, 銀色",$103,https://www.tw.coupang.com/products/Stembee-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%B1%B7%E9%AD%9A%E9%A3%9F%E7%89%A9%E5%A4%BE-21007219319486?itemId=21018290451899&vendorItemId=21090408639484&sourceType=search&rank=13&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
"TORUNE Mimi&O 魚鎬6件套, 1組",$215,https://www.tw.coupang.com/products/TORUNE-Mimi%26O-%E9%AD%9A%E9%8E%AC6%E4%BB%B6%E5%A5%97-21007877251681?itemId=21021532932920&vendorItemId=21088586184642&sourceType=search&rank=14&searchId=ac2283dee765494f8b3330b9514ed4c0&q=%E7%AB%B9%E5%A4%BE%E9%AD%9A
