product_name,product_price,product_url
"OON 園藝剪刀 彎款+直款 2入組, 1組",$125,https://www.tw.coupang.com/products/OON-%E5%9C%92%E8%97%9D%E5%89%AA%E5%88%80-%E5%BD%8E%E6%AC%BE%2B%E7%9B%B4%E6%AC%BE-2%E5%85%A5%E7%B5%84-263477893513217?itemId=263476878458881&vendorItemId=263478799466497&sourceType=search&rank=&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"VIIDA Glow系列 多功能食物剪, 黑色, 1支",$372,https://www.tw.coupang.com/products/VIIDA-Glow%E7%B3%BB%E5%88%97-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%A3%9F%E7%89%A9%E5%89%AA-242425314361347?itemId=242425314361348&vendorItemId=242425314361345&sourceType=search&rank=1&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"MEKO 專業不鏽鋼磨砂鼻毛剪 X-082, 1支",$83,https://www.tw.coupang.com/products/MEKO-%E5%B0%88%E6%A5%AD%E4%B8%8D%E9%8F%BD%E9%8B%BC%E7%A3%A8%E7%A0%82%E9%BC%BB%E6%AF%9B%E5%89%AA-X-082-178738159386644?itemId=178737656086551&vendorItemId=178738159386641&sourceType=search&rank=2&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"ShowSee 迷你鼻毛修剪器 C1-BK, 混合顏色",$181,https://www.tw.coupang.com/products/ShowSee-%E8%BF%B7%E4%BD%A0%E9%BC%BB%E6%AF%9B%E4%BF%AE%E5%89%AA%E5%99%A8-C1-BK-21005761129679?itemId=21009756968026&vendorItemId=21077040685244&sourceType=search&rank=3&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"3M Scotch 多用途不鏽鋼料理專用剪刀 剪切蔬果 KS-P100, 1支",$146,https://www.tw.coupang.com/products/3M-Scotch-%E5%A4%9A%E7%94%A8%E9%80%94%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%96%99%E7%90%86%E5%B0%88%E7%94%A8%E5%89%AA%E5%88%80-%E5%89%AA%E5%88%87%E8%94%AC%E6%9E%9C-KS-P100-154789803442190?itemId=154789400756238&vendorItemId=154789400756225&sourceType=search&rank=4&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Paris Spring 巴黎春天 輕時尚職人級打薄剪刀, 冰湖藍, 1支",$209,https://www.tw.coupang.com/products/Paris-Spring-%E5%B7%B4%E9%BB%8E%E6%98%A5%E5%A4%A9-%E8%BC%95%E6%99%82%E5%B0%9A%E8%81%B7%E4%BA%BA%E7%B4%9A%E6%89%93%E8%96%84%E5%89%AA%E5%88%80-150773669249037?itemId=150774420045838&vendorItemId=150774420045826&sourceType=search&rank=5&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Paris Spring 巴黎春天 輕時尚職人級打薄剪刀, 流沙金, 1個",$209,https://www.tw.coupang.com/products/Paris-Spring-%E5%B7%B4%E9%BB%8E%E6%98%A5%E5%A4%A9-%E8%BC%95%E6%99%82%E5%B0%9A%E8%81%B7%E4%BA%BA%E7%B4%9A%E6%89%93%E8%96%84%E5%89%AA%E5%88%80-150774050963471?itemId=150774420045839&vendorItemId=150774050963460&sourceType=search&rank=6&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"blak 塊體修剪器黑色+橙色套組, 1套",$473,https://www.tw.coupang.com/products/blak-%E5%A1%8A%E9%AB%94%E4%BF%AE%E5%89%AA%E5%99%A8%E9%BB%91%E8%89%B2%2B%E6%A9%99%E8%89%B2%E5%A5%97%E7%B5%84-21005844550685?itemId=21010152817749&vendorItemId=21077435505807&sourceType=search&rank=7&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"comet 美容理髮剪刀, 1支",$171,https://www.tw.coupang.com/products/comet-%E7%BE%8E%E5%AE%B9%E7%90%86%E9%AB%AE%E5%89%AA%E5%88%80-21006726559460?itemId=21015659593709&vendorItemId=21082875482118&sourceType=search&rank=8&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Paris Spring 巴黎春天 輕時尚職人級剪刀, 1支",$209,https://www.tw.coupang.com/products/Paris-Spring-%E5%B7%B4%E9%BB%8E%E6%98%A5%E5%A4%A9-%E8%BC%95%E6%99%82%E5%B0%9A%E8%81%B7%E4%BA%BA%E7%B4%9A%E5%89%AA%E5%88%80-150774420045836?itemId=150774050963470&vendorItemId=150774420045824&sourceType=search&rank=9&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"T125 高級修剪器, 296ml, 1瓶",$376,https://www.tw.coupang.com/products/T125-%E9%AB%98%E7%B4%9A%E4%BF%AE%E5%89%AA%E5%99%A8-21000012307818?itemId=21000052360082&vendorItemId=21003000074747&sourceType=search&rank=10&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"便攜式圓形鼻毛修剪鑷子, 單一顏色, 1個",$162,https://www.tw.coupang.com/products/%E4%BE%BF%E6%94%9C%E5%BC%8F%E5%9C%93%E5%BD%A2%E9%BC%BB%E6%AF%9B%E4%BF%AE%E5%89%AA%E9%91%B7%E5%AD%90-21007268377755?itemId=21018530858873&vendorItemId=21085669257843&sourceType=search&rank=11&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Silky 頂級手工藝剪刀 加強握柄 150mm, 1支",$975,https://www.tw.coupang.com/products/Silky-%E9%A0%82%E7%B4%9A%E6%89%8B%E5%B7%A5%E8%97%9D%E5%89%AA%E5%88%80-%E5%8A%A0%E5%BC%B7%E6%8F%A1%E6%9F%84-150mm-160969544155152?itemId=160969963569165&vendorItemId=160969107914757&sourceType=search&rank=12&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"不鏽鋼手動鼻毛修剪器, 1個, 銀色",$343,https://www.tw.coupang.com/products/%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%89%8B%E5%8B%95%E9%BC%BB%E6%AF%9B%E4%BF%AE%E5%89%AA%E5%99%A8-21006683174580?itemId=21015418663828&vendorItemId=21082638475813&sourceType=search&rank=13&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"slice 極細尖刃陶瓷剪刀 34g, 1支","$1,083",https://www.tw.coupang.com/products/slice-%E6%A5%B5%E7%B4%B0%E5%B0%96%E5%88%83%E9%99%B6%E7%93%B7%E5%89%AA%E5%88%80-34g-160969107914759?itemId=160969963569160&vendorItemId=160969544155141&sourceType=search&rank=14&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Lifesweet 果園修剪園林綠化園藝修枝剪小型, 1個",$330,https://www.tw.coupang.com/products/Lifesweet-%E6%9E%9C%E5%9C%92%E4%BF%AE%E5%89%AA%E5%9C%92%E6%9E%97%E7%B6%A0%E5%8C%96%E5%9C%92%E8%97%9D%E4%BF%AE%E6%9E%9D%E5%89%AA%E5%B0%8F%E5%9E%8B-21007319960127?itemId=21018772135261&vendorItemId=21085903759530&sourceType=search&rank=15&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"高強度5段可調長度雙手修枝剪, 1個",$486,https://www.tw.coupang.com/products/%E9%AB%98%E5%BC%B7%E5%BA%A65%E6%AE%B5%E5%8F%AF%E8%AA%BF%E9%95%B7%E5%BA%A6%E9%9B%99%E6%89%8B%E4%BF%AE%E6%9E%9D%E5%89%AA-21002118970535?itemId=21003597489391&vendorItemId=21071583213126&sourceType=search&rank=16&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Mingsham Life 阪神修枝剪紅色 K1200D, 1個",$384,https://www.tw.coupang.com/products/Mingsham-Life-%E9%98%AA%E7%A5%9E%E4%BF%AE%E6%9E%9D%E5%89%AA%E7%B4%85%E8%89%B2-K1200D-21007273681267?itemId=21018556332076&vendorItemId=21085694107437&sourceType=search&rank=17&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"小瀨園藝修枝剪黑色, 1個",$504,https://www.tw.coupang.com/products/%E5%B0%8F%E7%80%A8%E5%9C%92%E8%97%9D%E4%BF%AE%E6%9E%9D%E5%89%AA%E9%BB%91%E8%89%B2-21007319929965?itemId=21018772014784&vendorItemId=21085903641310&sourceType=search&rank=18&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"KDy 旁路修枝剪 180mm KPS-180B, 1個",$135,https://www.tw.coupang.com/products/KDy-%E6%97%81%E8%B7%AF%E4%BF%AE%E6%9E%9D%E5%89%AA-180mm-KPS-180B-21007699454598?itemId=21020610680184&vendorItemId=21088562507605&sourceType=search&rank=19&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"ETShop超大長度可調棘輪修枝剪（橙色）/雙手剪刀雙手修枝剪修枝剪園藝用品園藝用品, 1個",$644,https://www.tw.coupang.com/products/ETShop%E8%B6%85%E5%A4%A7%E9%95%B7%E5%BA%A6%E5%8F%AF%E8%AA%BF%E6%A3%98%E8%BC%AA%E4%BF%AE%E6%9E%9D%E5%89%AA%EF%BC%88%E6%A9%99%E8%89%B2%EF%BC%89%2F%E9%9B%99%E6%89%8B%E5%89%AA%E5%88%80%E9%9B%99%E6%89%8B%E4%BF%AE%E6%9E%9D%E5%89%AA%E4%BF%AE%E6%9E%9D%E5%89%AA%E5%9C%92%E8%97%9D%E7%94%A8%E5%93%81%E5%9C%92%E8%97%9D%E7%94%A8%E5%93%81-21006374773954?itemId=21013517776815&vendorItemId=21085511186104&sourceType=search&rank=20&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Deli Easy Graduation 便攜式修剪器 修剪器 白色, A5, TD801",$430,https://www.tw.coupang.com/products/Deli-Easy-Graduation-%E4%BE%BF%E6%94%9C%E5%BC%8F%E4%BF%AE%E5%89%AA%E5%99%A8-%E4%BF%AE%E5%89%AA%E5%99%A8-%E7%99%BD%E8%89%B2-21007248211718?itemId=21018431798016&vendorItemId=21085573302885&sourceType=search&rank=21&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"ETShop 棘輪修枝剪 園藝剪 黑色 / 花剪 園藝用品 花園用品 修枝剪 多功能剪刀, 1個",$310,https://www.tw.coupang.com/products/ETShop-%E6%A3%98%E8%BC%AA%E4%BF%AE%E6%9E%9D%E5%89%AA-%E5%9C%92%E8%97%9D%E5%89%AA-%E9%BB%91%E8%89%B2-%2F-%E8%8A%B1%E5%89%AA-%E5%9C%92%E8%97%9D%E7%94%A8%E5%93%81-%E8%8A%B1%E5%9C%92%E7%94%A8%E5%93%81-%E4%BF%AE%E6%9E%9D%E5%89%AA-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%89%AA%E5%88%80-21006374783177?itemId=21013517830589&vendorItemId=21085433701747&sourceType=search&rank=22&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Dr.Tools 高強度鋼軟修枝園藝修枝剪, 1個",$332,https://www.tw.coupang.com/products/Dr.Tools-%E9%AB%98%E5%BC%B7%E5%BA%A6%E9%8B%BC%E8%BB%9F%E4%BF%AE%E6%9E%9D%E5%9C%92%E8%97%9D%E4%BF%AE%E6%9E%9D%E5%89%AA-21007235573387?itemId=21018371038532&vendorItemId=21085514538956&sourceType=search&rank=23&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"ETShop 棘輪修枝剪 園藝剪 黃色/花卉剪 園藝用品 園藝用品 修枝剪 多用途剪, 1個",$310,https://www.tw.coupang.com/products/ETShop-%E6%A3%98%E8%BC%AA%E4%BF%AE%E6%9E%9D%E5%89%AA-%E5%9C%92%E8%97%9D%E5%89%AA-%E9%BB%83%E8%89%B2%2F%E8%8A%B1%E5%8D%89%E5%89%AA-%E5%9C%92%E8%97%9D%E7%94%A8%E5%93%81-%E5%9C%92%E8%97%9D%E7%94%A8%E5%93%81-%E4%BF%AE%E6%9E%9D%E5%89%AA-%E5%A4%9A%E7%94%A8%E9%80%94%E5%89%AA-21006374781398?itemId=21013517820877&vendorItemId=21085433515999&sourceType=search&rank=24&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Neoline 園藝園林修枝剪 V218, 1個",$714,https://www.tw.coupang.com/products/Neoline-%E5%9C%92%E8%97%9D%E5%9C%92%E6%9E%97%E4%BF%AE%E6%9E%9D%E5%89%AA-V218-21007224763621?itemId=21018317952129&vendorItemId=21085462800347&sourceType=search&rank=25&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Neoline 園藝園林修枝剪 V308, 1個",$803,https://www.tw.coupang.com/products/Neoline-%E5%9C%92%E8%97%9D%E5%9C%92%E6%9E%97%E4%BF%AE%E6%9E%9D%E5%89%AA-V308-21007217707465?itemId=21018282225744&vendorItemId=21085428144075&sourceType=search&rank=26&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"JOINAU電池園藝花卉多用途剪刀, 1個",$227,https://www.tw.coupang.com/products/JOINAU%E9%9B%BB%E6%B1%A0%E5%9C%92%E8%97%9D%E8%8A%B1%E5%8D%89%E5%A4%9A%E7%94%A8%E9%80%94%E5%89%AA%E5%88%80-21007315173242?itemId=21018749081244&vendorItemId=21085881111039&sourceType=search&rank=27&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"slice 厚刃人體工學陶瓷剪刀, 1個","$1,540",https://www.tw.coupang.com/products/slice-%E5%8E%9A%E5%88%83%E4%BA%BA%E9%AB%94%E5%B7%A5%E5%AD%B8%E9%99%B6%E7%93%B7%E5%89%AA%E5%88%80-160969795813377?itemId=160970211033099&vendorItemId=160970211033093&sourceType=search&rank=28&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Paris Spring 巴黎春天 輕時尚職人級剪刀, 流沙金, 1支",$167,https://www.tw.coupang.com/products/Paris-Spring-%E5%B7%B4%E9%BB%8E%E6%98%A5%E5%A4%A9-%E8%BC%95%E6%99%82%E5%B0%9A%E8%81%B7%E4%BA%BA%E7%B4%9A%E5%89%AA%E5%88%80-150774420045846?itemId=150773673443334&vendorItemId=150773669249038&sourceType=search&rank=29&searchId=46f4bf2c1e674ad78b26268302f4e088&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Neoline 園藝園林修枝剪 V208, 1個",$448,https://www.tw.coupang.com/products/Neoline-%E5%9C%92%E8%97%9D%E5%9C%92%E6%9E%97%E4%BF%AE%E6%9E%9D%E5%89%AA-V208-21007217707314?itemId=21018282225179&vendorItemId=21085428143491&sourceType=search&rank=&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"彩虹粗木一步強力修枝剪, 1個",$816,https://www.tw.coupang.com/products/%E5%BD%A9%E8%99%B9%E7%B2%97%E6%9C%A8%E4%B8%80%E6%AD%A5%E5%BC%B7%E5%8A%9B%E4%BF%AE%E6%9E%9D%E5%89%AA-21007218780776?itemId=21018288125968&vendorItemId=21085433938288&sourceType=search&rank=1&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"WORX 無繩迷你修枝剪裸工具 WD801.9 20V, 1個","$2,396",https://www.tw.coupang.com/products/WORX-%E7%84%A1%E7%B9%A9%E8%BF%B7%E4%BD%A0%E4%BF%AE%E6%9E%9D%E5%89%AA%E8%A3%B8%E5%B7%A5%E5%85%B7-WD801.9-20V-21007375739648?itemId=21019036531450&vendorItemId=21086409152472&sourceType=search&rank=2&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Panasonic 眉毛修剪器, ER-GM40",$944,https://www.tw.coupang.com/products/Panasonic-%E7%9C%89%E6%AF%9B%E4%BF%AE%E5%89%AA%E5%99%A8-21005574517485?itemId=21008889471414&vendorItemId=21076176120367&sourceType=search&rank=3&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Panasonic 鼻毛修剪器, ER430, 混色",$385,https://www.tw.coupang.com/products/Panasonic-%E9%BC%BB%E6%AF%9B%E4%BF%AE%E5%89%AA%E5%99%A8-21000009526733?itemId=21000041892052&vendorItemId=21003064580123&sourceType=search&rank=4&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"ROYAL 鼻毛修剪器, Golden Buddy, 1入",$559,https://www.tw.coupang.com/products/ROYAL-%E9%BC%BB%E6%AF%9B%E4%BF%AE%E5%89%AA%E5%99%A8-21007295722079?itemId=21017597918030&vendorItemId=21076515014291&sourceType=search&rank=5&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"KOKUYO SAXA 空氣彈力剪刀 174*75mm, 標準霧藍, 2支",$232,https://www.tw.coupang.com/products/KOKUYO-SAXA-%E7%A9%BA%E6%B0%A3%E5%BD%88%E5%8A%9B%E5%89%AA%E5%88%80-174*75mm-182292999815204?itemId=182296325881868&vendorItemId=182295805804548&sourceType=search&rank=6&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Maru 園藝修枝剪黑色, 1個",$289,https://www.tw.coupang.com/products/Maru-%E5%9C%92%E8%97%9D%E4%BF%AE%E6%9E%9D%E5%89%AA%E9%BB%91%E8%89%B2-21007273468672?itemId=21018555442944&vendorItemId=21085693241040&sourceType=search&rank=7&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Zino 硬質合金修剪刀片 12 毫米 x 12 件套 ZRT-12S, 1套",$635,https://www.tw.coupang.com/products/Zino-%E7%A1%AC%E8%B3%AA%E5%90%88%E9%87%91%E4%BF%AE%E5%89%AA%E5%88%80%E7%89%87-12-%E6%AF%AB%E7%B1%B3-x-12-%E4%BB%B6%E5%A5%97-ZRT-12S-21002297285383?itemId=21003957406885&vendorItemId=21071941820523&sourceType=search&rank=8&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"CHIKAMASA 花剪 CRI-360SFBK, 1個",$415,https://www.tw.coupang.com/products/CHIKAMASA-%E8%8A%B1%E5%89%AA-CRI-360SFBK-21001796183209?itemId=21003055774391&vendorItemId=21071043771593&sourceType=search&rank=9&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Lifesweet 舒適握把修剪嫁接修剪園藝花園剪刀黑色, 1個",$503,https://www.tw.coupang.com/products/Lifesweet-%E8%88%92%E9%81%A9%E6%8F%A1%E6%8A%8A%E4%BF%AE%E5%89%AA%E5%AB%81%E6%8E%A5%E4%BF%AE%E5%89%AA%E5%9C%92%E8%97%9D%E8%8A%B1%E5%9C%92%E5%89%AA%E5%88%80%E9%BB%91%E8%89%B2-21007319960177?itemId=21018772135475&vendorItemId=21085903759732&sourceType=search&rank=10&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"多用途園藝修枝剪綠色, 1個",$133,https://www.tw.coupang.com/products/%E5%A4%9A%E7%94%A8%E9%80%94%E5%9C%92%E8%97%9D%E4%BF%AE%E6%9E%9D%E5%89%AA%E7%B6%A0%E8%89%B2-21007315169252?itemId=21018749066433&vendorItemId=21085881097062&sourceType=search&rank=11&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"修枝剪, 1個","$1,265",https://www.tw.coupang.com/products/%E4%BF%AE%E6%9E%9D%E5%89%AA-21007218765469?itemId=21018288064881&vendorItemId=21085433879382&sourceType=search&rank=12&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Life Love Gardening 園林綠化修枝剪黑色, 1個",$511,https://www.tw.coupang.com/products/Life-Love-Gardening-%E5%9C%92%E6%9E%97%E7%B6%A0%E5%8C%96%E4%BF%AE%E6%9E%9D%E5%89%AA%E9%BB%91%E8%89%B2-21007224601920?itemId=21018317218926&vendorItemId=21085462078941&sourceType=search&rank=13&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Life Love Gardening 園林綠化修枝剪黑色, 1個",$256,https://www.tw.coupang.com/products/Life-Love-Gardening-%E5%9C%92%E6%9E%97%E7%B6%A0%E5%8C%96%E4%BF%AE%E6%9E%9D%E5%89%AA%E9%BB%91%E8%89%B2-21007170136341?itemId=21018062066463&vendorItemId=21085215814953&sourceType=search&rank=14&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"bella cuisine 廚房剪刀, 混合顏色, 1支",$120,https://www.tw.coupang.com/products/bella-cuisine-%E5%BB%9A%E6%88%BF%E5%89%AA%E5%88%80-263154252595222?itemId=263155267649560&vendorItemId=263156173602818&sourceType=search&rank=15&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Royal 鼻毛修剪器好友套組 + 彈簧, Silver, 1組, Birdie Set",$532,https://www.tw.coupang.com/products/Royal-%E9%BC%BB%E6%AF%9B%E4%BF%AE%E5%89%AA%E5%99%A8%E5%A5%BD%E5%8F%8B%E5%A5%97%E7%B5%84-%2B-%E5%BD%88%E7%B0%A7-21008059966684?itemId=21006352279945&vendorItemId=21076010637057&sourceType=search&rank=16&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"多用途園藝修枝剪綠色, 2個",$238,https://www.tw.coupang.com/products/%E5%A4%9A%E7%94%A8%E9%80%94%E5%9C%92%E8%97%9D%E4%BF%AE%E6%9E%9D%E5%89%AA%E7%B6%A0%E8%89%B2-21007320121776?itemId=21018772855055&vendorItemId=21085904442961&sourceType=search&rank=17&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"多用途園藝修枝剪綠色, 2個",$237,https://www.tw.coupang.com/products/%E5%A4%9A%E7%94%A8%E9%80%94%E5%9C%92%E8%97%9D%E4%BF%AE%E6%9E%9D%E5%89%AA%E7%B6%A0%E8%89%B2-21007319892035?itemId=21018771875887&vendorItemId=21085903505887&sourceType=search&rank=18&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Comery 鼻毛剪 B0768, 單一顏色, 1個",$267,https://www.tw.coupang.com/products/Comery-%E9%BC%BB%E6%AF%9B%E5%89%AA-B0768-21006997054412?itemId=21017145504078&vendorItemId=21084318274761&sourceType=search&rank=19&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Nagaku 日本修枝剪 25 毫米, 1個","$2,175",https://www.tw.coupang.com/products/Nagaku-%E6%97%A5%E6%9C%AC%E4%BF%AE%E6%9E%9D%E5%89%AA-25-%E6%AF%AB%E7%B1%B3-21007180459678?itemId=21018108842584&vendorItemId=21085260589041&sourceType=search&rank=20&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
"Missander 修枝園藝美化剪, 1個","$2,875",https://www.tw.coupang.com/products/Missander-%E4%BF%AE%E6%9E%9D%E5%9C%92%E8%97%9D%E7%BE%8E%E5%8C%96%E5%89%AA-21007230900322?itemId=21018347608667&vendorItemId=21085491657490&sourceType=search&rank=21&searchId=416a9e258aa74fde8473375858b095df&q=%E7%AB%B9%E7%89%87%E4%BF%AE%E5%89%AA%E5%99%A8
