product_name,product_price,product_url
ADDEDIT 後背筆電包,$696,https://www.tw.coupang.com/products/ADDEDIT-%E5%BE%8C%E8%83%8C%E7%AD%86%E9%9B%BB%E5%8C%85-21005876810289?itemId=21010297413871&vendorItemId=21070005414885&sourceType=search&rank=&searchId=b71800e7714b458793d4c46726d5a6ae&q=%E7%AD%86%E9%9B%BB%E9%9B%BB%E8%85%A6%E5%8C%85
"Dest 筆記型電腦包, 黑色的",$339,https://www.tw.coupang.com/products/Dest-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E5%8C%85-21000129865830?itemId=21000382237151&vendorItemId=21003927542549&sourceType=search&rank=1&searchId=b71800e7714b458793d4c46726d5a6ae&q=%E7%AD%86%E9%9B%BB%E9%9B%BB%E8%85%A6%E5%8C%85
"LG Gram真皮筆記型電腦包, Brown+Beige",$235,https://www.tw.coupang.com/products/LG-Gram%E7%9C%9F%E7%9A%AE%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E5%8C%85-21001898279500?itemId=21003224715897&vendorItemId=21004399787510&sourceType=search&rank=2&searchId=b71800e7714b458793d4c46726d5a6ae&q=%E7%AD%86%E9%9B%BB%E9%9B%BB%E8%85%A6%E5%8C%85
"Pinkfoot 橫式Dancing Bear筆電包, 黑色(Friends)",$648,https://www.tw.coupang.com/products/Pinkfoot-%E6%A9%AB%E5%BC%8FDancing-Bear%E7%AD%86%E9%9B%BB%E5%8C%85-21006723402786?itemId=21006374881664&vendorItemId=21073670025463&sourceType=search&rank=3&searchId=b71800e7714b458793d4c46726d5a6ae&q=%E7%AD%86%E9%9B%BB%E9%9B%BB%E8%85%A6%E5%8C%85
ADDEDIT Ravina 壓紋筆記本電腦包,$599,https://www.tw.coupang.com/products/ADDEDIT-Ravina-%E5%A3%93%E7%B4%8B%E7%AD%86%E8%A8%98%E6%9C%AC%E9%9B%BB%E8%85%A6%E5%8C%85-21006928284465?itemId=21016755883928&vendorItemId=21083937410108&sourceType=search&rank=4&searchId=b71800e7714b458793d4c46726d5a6ae&q=%E7%AD%86%E9%9B%BB%E9%9B%BB%E8%85%A6%E5%8C%85
"MUZIK TIGER 平板電腦包 15-16吋適用, 粉紅色","$1,810",https://www.tw.coupang.com/products/MUZIK-TIGER-%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E5%8C%85-15-16%E5%90%8B%E9%81%A9%E7%94%A8-225020097839117?itemId=225020097839119&vendorItemId=225020815048707&sourceType=search&rank=5&searchId=b71800e7714b458793d4c46726d5a6ae&q=%E7%AD%86%E9%9B%BB%E9%9B%BB%E8%85%A6%E5%8C%85
"Romane corp. DONATDONAT 13吋平板電腦包, Donat Friends, 1個",$626,https://www.tw.coupang.com/products/Romane-corp.-DONATDONAT-13%E5%90%8B%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E5%8C%85-225019296694281?itemId=225019296694282&vendorItemId=225020810854414&sourceType=search&rank=6&searchId=b71800e7714b458793d4c46726d5a6ae&q=%E7%AD%86%E9%9B%BB%E9%9B%BB%E8%85%A6%E5%8C%85
"Dest 筆記型電腦包, 灰色的",$339,https://www.tw.coupang.com/products/Dest-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E5%8C%85-21000129865830?itemId=21000382237153&vendorItemId=21003927542564&sourceType=search&rank=7&searchId=b71800e7714b458793d4c46726d5a6ae&q=%E7%AD%86%E9%9B%BB%E9%9B%BB%E8%85%A6%E5%8C%85
"aryko 筆電收納包, 灰色的, 14英寸",$163,https://www.tw.coupang.com/products/aryko-%E7%AD%86%E9%9B%BB%E6%94%B6%E7%B4%8D%E5%8C%85-21000130644105?itemId=21000384553485&vendorItemId=21003933835168&sourceType=search&rank=8&searchId=b71800e7714b458793d4c46726d5a6ae&q=%E7%AD%86%E9%9B%BB%E9%9B%BB%E8%85%A6%E5%8C%85
"MUZIK TIGER 平板電腦包 9.7-11吋適用, 粉紅色","$1,380",https://www.tw.coupang.com/products/MUZIK-TIGER-%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E5%8C%85-9.7-11%E5%90%8B%E9%81%A9%E7%94%A8-225020815048712?itemId=225019296694284&vendorItemId=225020097839104&sourceType=search&rank=9&searchId=b71800e7714b458793d4c46726d5a6ae&q=%E7%AD%86%E9%9B%BB%E9%9B%BB%E8%85%A6%E5%8C%85
