product_name,product_price,product_url
"LION 獅王 PAIR 沛醫亞 皮脂調理化妝水, 160ml, 1瓶",$176,https://www.tw.coupang.com/products/LION-%E7%8D%85%E7%8E%8B-PAIR-%E6%B2%9B%E9%86%AB%E4%BA%9E-%E7%9A%AE%E8%84%82%E8%AA%BF%E7%90%86%E5%8C%96%E5%A6%9D%E6%B0%B4-258752246693900?itemId=258753127481357&vendorItemId=258752246693891&sourceType=search&rank=&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"OLAY 歐蕾 水感透白光曜精華水150ML, 150ml, 1瓶",$461,https://www.tw.coupang.com/products/OLAY-%E6%AD%90%E8%95%BE-%E6%B0%B4%E6%84%9F%E9%80%8F%E7%99%BD%E5%85%89%E6%9B%9C%E7%B2%BE%E8%8F%AF%E6%B0%B4150ML-276161242284035?itemId=276162290892802&vendorItemId=276161242284032&sourceType=search&rank=1&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"eunyul 水光保濕萬用精華棒, 10g, 1支",$247,https://www.tw.coupang.com/products/eunyul-%E6%B0%B4%E5%85%89%E4%BF%9D%E6%BF%95%E8%90%AC%E7%94%A8%E7%B2%BE%E8%8F%AF%E6%A3%92-152283689992195?itemId=152284080095237&vendorItemId=152284457566208&sourceType=search&rank=2&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"achoa 頭髮保濕精華, 200g, 1條",$88,https://www.tw.coupang.com/products/achoa-%E9%A0%AD%E9%AB%AE%E4%BF%9D%E6%BF%95%E7%B2%BE%E8%8F%AF-21000001202002?itemId=21000005203669&vendorItemId=21003006489540&sourceType=search&rank=3&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"KOSE 高絲 極上活 凍齡撫紋抗皺化妝水, 180ml, 1瓶",$528,https://www.tw.coupang.com/products/KOSE-%E9%AB%98%E7%B5%B2-%E6%A5%B5%E4%B8%8A%E6%B4%BB-%E5%87%8D%E9%BD%A1%E6%92%AB%E7%B4%8B%E6%8A%97%E7%9A%BA%E5%8C%96%E5%A6%9D%E6%B0%B4-153705898819584?itemId=153706284679168&vendorItemId=153705504522240&sourceType=search&rank=4&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"MARSHIQUE 緊緻撫紋護理貼片, 55片, 1包",$472,https://www.tw.coupang.com/products/MARSHIQUE-%E7%B7%8A%E7%B7%BB%E6%92%AB%E7%B4%8B%E8%AD%B7%E7%90%86%E8%B2%BC%E7%89%87-21007322760799?itemId=21014137947937&vendorItemId=21081384666377&sourceType=search&rank=5&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"CANNAMELA 肉荳蔻, 14g, 1瓶",$99,https://www.tw.coupang.com/products/CANNAMELA-%E8%82%89%E8%8D%B3%E8%94%BB-21007119052443?itemId=21017819753010&vendorItemId=21003000138260&sourceType=search&rank=6&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"Lupart 日雅 好孕撫平細紋霜, 150ml, 1條",$394,https://www.tw.coupang.com/products/Lupart-%E6%97%A5%E9%9B%85-%E5%A5%BD%E5%AD%95%E6%92%AB%E5%B9%B3%E7%B4%B0%E7%B4%8B%E9%9C%9C-168971227578370?itemId=168971709956097&vendorItemId=168971709956096&sourceType=search&rank=7&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"THALGO 岱蔻兒 Sterburn 消脂霜專家修正, 150ml, 1入","$1,173",https://www.tw.coupang.com/products/THALGO-%E5%B2%B1%E8%94%BB%E5%85%92-Sterburn-%E6%B6%88%E8%84%82%E9%9C%9C%E5%B0%88%E5%AE%B6%E4%BF%AE%E6%AD%A3-21000113591288?itemId=21000340987337&vendorItemId=21003836297829&sourceType=search&rank=8&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"DEWYTREE 奇蹟補水緊緻精華, 30ml, 1瓶",$471,https://www.tw.coupang.com/products/DEWYTREE-%E5%A5%87%E8%B9%9F%E8%A3%9C%E6%B0%B4%E7%B7%8A%E7%B7%BB%E7%B2%BE%E8%8F%AF-21000320326636?itemId=21001025020657&vendorItemId=21005467675708&sourceType=search&rank=9&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"CAS 溫濕度計 T-013, 1個, 白色",$220,https://www.tw.coupang.com/products/CAS-%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88-T-013-21005308745493?itemId=21007685470834&vendorItemId=21074975759213&sourceType=search&rank=10&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
"Schwarzkopf 施華蔻 髮膠, 1個, 35克",$175,https://www.tw.coupang.com/products/Schwarzkopf-%E6%96%BD%E8%8F%AF%E8%94%BB-%E9%AB%AE%E8%86%A0-21000003549653?itemId=21000016907766&vendorItemId=21003278832819&sourceType=search&rank=11&searchId=eb0670bd5fa0406fbafe48f725d35b2d&q=%E7%B4%B0%E7%B7%BB%E5%BA%A6
