product_name,product_price,product_url
"Melissa&Doug 瑪莉莎 益智 綁鞋帶練習鞋, 1組",$382,https://www.tw.coupang.com/products/Melissa%26Doug-%E7%91%AA%E8%8E%89%E8%8E%8E-%E7%9B%8A%E6%99%BA-%E7%B6%81%E9%9E%8B%E5%B8%B6%E7%B7%B4%E7%BF%92%E9%9E%8B-286662252773381?itemId=286663309770763&vendorItemId=286664278638596&sourceType=search&rank=&searchId=3b5f63c73bbb468dbdf5b6de6ecaaf49&q=%E7%B6%81%E9%9E%8B%E5%B8%B6
GISSE 拼色綁繩運動鞋,"$2,508",https://www.tw.coupang.com/products/GISSE-%E6%8B%BC%E8%89%B2%E7%B6%81%E7%B9%A9%E9%81%8B%E5%8B%95%E9%9E%8B-21006773619790?itemId=21015910795095&vendorItemId=21083118339267&sourceType=search&rank=1&searchId=3b5f63c73bbb468dbdf5b6de6ecaaf49&q=%E7%B6%81%E9%9E%8B%E5%B8%B6
"Melting9 女式時尚鞋跟繫帶涼鞋 8 厘米 PICK122, 白色的, 225","$1,033",https://www.tw.coupang.com/products/Melting9-%E5%A5%B3%E5%BC%8F%E6%99%82%E5%B0%9A%E9%9E%8B%E8%B7%9F%E7%B9%AB%E5%B8%B6%E6%B6%BC%E9%9E%8B-8-%E5%8E%98%E7%B1%B3-PICK122-21001654723457?itemId=21002819085327&vendorItemId=21070808575402&sourceType=search&rank=2&searchId=3b5f63c73bbb468dbdf5b6de6ecaaf49&q=%E7%B6%81%E9%9E%8B%E5%B8%B6
Herten 男士輕便鞋,"$1,258",https://www.tw.coupang.com/products/Herten-%E7%94%B7%E5%A3%AB%E8%BC%95%E4%BE%BF%E9%9E%8B-21006699466022?itemId=21015512470165&vendorItemId=21082731764785&sourceType=search&rank=3&searchId=3b5f63c73bbb468dbdf5b6de6ecaaf49&q=%E7%B6%81%E9%9E%8B%E5%B8%B6
"Melting9 女式時尚鞋跟繫帶涼鞋 8 厘米 PICK122, 米色, 240","$1,033",https://www.tw.coupang.com/products/Melting9-%E5%A5%B3%E5%BC%8F%E6%99%82%E5%B0%9A%E9%9E%8B%E8%B7%9F%E7%B9%AB%E5%B8%B6%E6%B6%BC%E9%9E%8B-8-%E5%8E%98%E7%B1%B3-PICK122-21001654723457?itemId=21002819085337&vendorItemId=21070808575479&sourceType=search&rank=4&searchId=3b5f63c73bbb468dbdf5b6de6ecaaf49&q=%E7%B6%81%E9%9E%8B%E5%B8%B6
"Melting9 女式時尚鞋跟繫帶涼鞋 8 厘米 PICK122, 黑色, 235","$1,033",https://www.tw.coupang.com/products/Melting9-%E5%A5%B3%E5%BC%8F%E6%99%82%E5%B0%9A%E9%9E%8B%E8%B7%9F%E7%B9%AB%E5%B8%B6%E6%B6%BC%E9%9E%8B-8-%E5%8E%98%E7%B1%B3-PICK122-21001654723457?itemId=21002819085333&vendorItemId=21070808575450&sourceType=search&rank=5&searchId=3b5f63c73bbb468dbdf5b6de6ecaaf49&q=%E7%B6%81%E9%9E%8B%E5%B8%B6
"PLAN TOYS 原木認知玩具, 我會綁鞋帶 清新藍, 1個",$195,https://www.tw.coupang.com/products/PLAN-TOYS-%E5%8E%9F%E6%9C%A8%E8%AA%8D%E7%9F%A5%E7%8E%A9%E5%85%B7-235995500855319?itemId=235997132455958&vendorItemId=235996364914699&sourceType=search&rank=6&searchId=3b5f63c73bbb468dbdf5b6de6ecaaf49&q=%E7%B6%81%E9%9E%8B%E5%B8%B6
"NS_我的生活學習遊戲書-綁鞋帶, 1個",$193,https://www.tw.coupang.com/products/NS_%E6%88%91%E7%9A%84%E7%94%9F%E6%B4%BB%E5%AD%B8%E7%BF%92%E9%81%8A%E6%88%B2%E6%9B%B8-%E7%B6%81%E9%9E%8B%E5%B8%B6-466458970669059?itemId=466458970669060&vendorItemId=466458970636290&sourceType=search&rank=7&searchId=3b5f63c73bbb468dbdf5b6de6ecaaf49&q=%E7%B6%81%E9%9E%8B%E5%B8%B6
CHERRYVILLE 走你的心 綁鞋帶,$793,https://www.tw.coupang.com/products/CHERRYVILLE-%E8%B5%B0%E4%BD%A0%E7%9A%84%E5%BF%83-%E7%B6%81%E9%9E%8B%E5%B8%B6-21006139131775?itemId=21011762073215&vendorItemId=21079035885314&sourceType=search&rank=8&searchId=3b5f63c73bbb468dbdf5b6de6ecaaf49&q=%E7%B6%81%E9%9E%8B%E5%B8%B6
"Melting9 女式時尚鞋跟繫帶涼鞋 8 厘米 PICK122, 黑色, 245","$1,408",https://www.tw.coupang.com/products/Melting9-%E5%A5%B3%E5%BC%8F%E6%99%82%E5%B0%9A%E9%9E%8B%E8%B7%9F%E7%B9%AB%E5%B8%B6%E6%B6%BC%E9%9E%8B-8-%E5%8E%98%E7%B1%B3-PICK122-21001654723457?itemId=21002819085335&vendorItemId=21070808575464&sourceType=search&rank=9&searchId=3b5f63c73bbb468dbdf5b6de6ecaaf49&q=%E7%B6%81%E9%9E%8B%E5%B8%B6
