product_name,product_price,product_url
"3M Scotch 多用途瞬間膠接著劑 7004T, 2個",$119,https://www.tw.coupang.com/products/3M-Scotch-%E5%A4%9A%E7%94%A8%E9%80%94%E7%9E%AC%E9%96%93%E8%86%A0%E6%8E%A5%E8%91%97%E5%8A%91-7004T-154783293865995?itemId=278362203340804&vendorItemId=278361146343432&sourceType=search&rank=&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"3M Scotch 膠狀瞬間接著劑 7005T, 1個",$69,https://www.tw.coupang.com/products/3M-Scotch-%E8%86%A0%E7%8B%80%E7%9E%AC%E9%96%93%E6%8E%A5%E8%91%97%E5%8A%91-7005T-277693190864900?itemId=154782509514758&vendorItemId=154783302254592&sourceType=search&rank=1&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"3M Scotch 強力瞬間接著劑 耐衝擊型 #7056, 1個",$107,https://www.tw.coupang.com/products/3M-Scotch-%E5%BC%B7%E5%8A%9B%E7%9E%AC%E9%96%93%E6%8E%A5%E8%91%97%E5%8A%91-%E8%80%90%E8%A1%9D%E6%93%8A%E5%9E%8B-%237056-277693480271876?itemId=154783302254611&vendorItemId=154782916395016&sourceType=search&rank=2&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"3M Scotch 強力接著劑 塑膠專用 6225N, 2條",$131,https://www.tw.coupang.com/products/3M-Scotch-%E5%BC%B7%E5%8A%9B%E6%8E%A5%E8%91%97%E5%8A%91-%E5%A1%91%E8%86%A0%E5%B0%88%E7%94%A8-6225N-268901791285248?itemId=280499436109827&vendorItemId=280498379112449&sourceType=search&rank=3&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"3M Scotch 強力瞬間接著劑 凝膠型 #7055, 1個",$107,https://www.tw.coupang.com/products/3M-Scotch-%E5%BC%B7%E5%8A%9B%E7%9E%AC%E9%96%93%E6%8E%A5%E8%91%97%E5%8A%91-%E5%87%9D%E8%86%A0%E5%9E%8B-%237055-277691181776906?itemId=154783302254610&vendorItemId=154783302254603&sourceType=search&rank=4&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"3M SCOTCH 液狀瞬間膠, 8條",$123,https://www.tw.coupang.com/products/3M-SCOTCH-%E6%B6%B2%E7%8B%80%E7%9E%AC%E9%96%93%E8%86%A0-283838827675666?itemId=277692209414146&vendorItemId=277693169893377&sourceType=search&rank=5&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"COTTONVILL 高級縫紉機 縫紉線, C002, 2捲",$119,https://www.tw.coupang.com/products/COTTONVILL-%E9%AB%98%E7%B4%9A%E7%B8%AB%E7%B4%89%E6%A9%9F-%E7%B8%AB%E7%B4%89%E7%B7%9A-263153069834250?itemId=263152067362820&vendorItemId=263153984176128&sourceType=search&rank=6&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"3M Scotch 超強力VHB雙面膠帶 凹凸專用 V1203 12mm*1.5m, 2捲",$188,https://www.tw.coupang.com/products/3M-Scotch-%E8%B6%85%E5%BC%B7%E5%8A%9BVHB%E9%9B%99%E9%9D%A2%E8%86%A0%E5%B8%B6-%E5%87%B9%E5%87%B8%E5%B0%88%E7%94%A8-V1203-12mm*1.5m-277692511404036?itemId=277693471883267&vendorItemId=277693471883264&sourceType=search&rank=7&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"brandyarn 棉線 18股, 素色, 1捲",$165,https://www.tw.coupang.com/products/brandyarn-%E6%A3%89%E7%B7%9A-18%E8%82%A1-263153095000069?itemId=263153996759054&vendorItemId=263153090805765&sourceType=search&rank=8&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"comet DIY 針織線組, 顏色隨機, 1組",$291,https://www.tw.coupang.com/products/comet-DIY-%E9%87%9D%E7%B9%94%E7%B7%9A%E7%B5%84-168570637991936?itemId=168571120369664&vendorItemId=168571573338112&sourceType=search&rank=9&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"Herb Plus 高級針線組 15*21*4cm, 黑色, 1組",$173,https://www.tw.coupang.com/products/Herb-Plus-%E9%AB%98%E7%B4%9A%E9%87%9D%E7%B7%9A%E7%B5%84-15*21*4cm-263434956406788?itemId=263434050453507&vendorItemId=263434956406785&sourceType=search&rank=10&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"COTTONVILL 高級縫紉機線10色組 45'S/2 1700m, 鮮豔系列, 1組",$766,https://www.tw.coupang.com/products/COTTONVILL-%E9%AB%98%E7%B4%9A%E7%B8%AB%E7%B4%89%E6%A9%9F%E7%B7%9A10%E8%89%B2%E7%B5%84-45'S%2F2-1700m-263152067362823?itemId=263153078222860&vendorItemId=263153984176129&sourceType=search&rank=11&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"Market Plan 圓形縫紉針線盒, 紫色, 1組",$118,https://www.tw.coupang.com/products/Market-Plan-%E5%9C%93%E5%BD%A2%E7%B8%AB%E7%B4%89%E9%87%9D%E7%B7%9A%E7%9B%92-21006455493084?itemId=21014031273761&vendorItemId=21081279639416&sourceType=search&rank=12&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"MONSTER Monster 透明凝膠超薄窄超強奈米矽膠雙面膠帶 15mm x 2m, 透明, 1個",$189,https://www.tw.coupang.com/products/MONSTER-Monster-%E9%80%8F%E6%98%8E%E5%87%9D%E8%86%A0%E8%B6%85%E8%96%84%E7%AA%84%E8%B6%85%E5%BC%B7%E5%A5%88%E7%B1%B3%E7%9F%BD%E8%86%A0%E9%9B%99%E9%9D%A2%E8%86%A0%E5%B8%B6-15mm-x-2m-21008103234214?itemId=21022929342649&vendorItemId=21090065878204&sourceType=search&rank=13&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"COTTONVILL 高級縫紉機線組 45'S/2(1700m), 黑色+白色, 10捲",$850,https://www.tw.coupang.com/products/COTTONVILL-%E9%AB%98%E7%B4%9A%E7%B8%AB%E7%B4%89%E6%A9%9F%E7%B7%9A%E7%B5%84-45'S%2F2(1700m)-263153090805764?itemId=263152079945735&vendorItemId=263152079945731&sourceType=search&rank=14&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"HAPPY BEARS 縫紉線, 黑色, 2捲",$132,https://www.tw.coupang.com/products/HAPPY-BEARS-%E7%B8%AB%E7%B4%89%E7%B7%9A-21000073166546?itemId=21000243853620&vendorItemId=21003600021521&sourceType=search&rank=15&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
"BRAVO 高級縫紉線 BST601T, 大赦, 5000米",$202,https://www.tw.coupang.com/products/BRAVO-%E9%AB%98%E7%B4%9A%E7%B8%AB%E7%B4%89%E7%B7%9A-BST601T-21005469798446?itemId=21008400776509&vendorItemId=21075688501891&sourceType=search&rank=16&searchId=fa9d492b50e948a88fd29334a047b76f&q=%E7%B8%AB%E7%B7%9A%E8%86%A0
