product_name,product_price,product_url
"玩美日記 去角質美足靴 20ml, 2入, 1組",$74,https://www.tw.coupang.com/products/%E7%8E%A9%E7%BE%8E%E6%97%A5%E8%A8%98-%E5%8E%BB%E8%A7%92%E8%B3%AA%E7%BE%8E%E8%B6%B3%E9%9D%B4-20ml-162043785101312?itemId=162044208709632&vendorItemId=162043340472320&sourceType=search&rank=&searchId=470cde7b63264279be6901933da07856&q=%E7%BE%8E%E8%B6%B3%E8%AD%B7%E7%90%86
"Baby Foot 寶貝腳 還原滑嫩美足高保濕霜, 100g, 2條",$507,https://www.tw.coupang.com/products/Baby-Foot-%E5%AF%B6%E8%B2%9D%E8%85%B3-%E9%82%84%E5%8E%9F%E6%BB%91%E5%AB%A9%E7%BE%8E%E8%B6%B3%E9%AB%98%E4%BF%9D%E6%BF%95%E9%9C%9C-159914873815044?itemId=433141579759618&vendorItemId=433141575532556&sourceType=search&rank=1&searchId=470cde7b63264279be6901933da07856&q=%E7%BE%8E%E8%B6%B3%E8%AD%B7%E7%90%86
"美足去角質板 2入組, 1套",$312,https://www.tw.coupang.com/products/%E7%BE%8E%E8%B6%B3%E5%8E%BB%E8%A7%92%E8%B3%AA%E6%9D%BF-2%E5%85%A5%E7%B5%84-21005613825439?itemId=21009078512589&vendorItemId=21076364780066&sourceType=search&rank=2&searchId=470cde7b63264279be6901933da07856&q=%E7%BE%8E%E8%B6%B3%E8%AD%B7%E7%90%86
"玩美日記 去角質美足靴 20ml, 2入, 3組",$216,https://www.tw.coupang.com/products/%E7%8E%A9%E7%BE%8E%E6%97%A5%E8%A8%98-%E5%8E%BB%E8%A7%92%E8%B3%AA%E7%BE%8E%E8%B6%B3%E9%9D%B4-20ml-162043785101312?itemId=319276242157586&vendorItemId=319276242157579&sourceType=search&rank=3&searchId=470cde7b63264279be6901933da07856&q=%E7%BE%8E%E8%B6%B3%E8%AD%B7%E7%90%86
"Baby Foot 寶貝腳 還原滑嫩美足高保濕霜, 100g, 1條",$262,https://www.tw.coupang.com/products/Baby-Foot-%E5%AF%B6%E8%B2%9D%E8%85%B3-%E9%82%84%E5%8E%9F%E6%BB%91%E5%AB%A9%E7%BE%8E%E8%B6%B3%E9%AB%98%E4%BF%9D%E6%BF%95%E9%9C%9C-159914873815044?itemId=159914026549272&vendorItemId=159914458595352&sourceType=search&rank=4&searchId=470cde7b63264279be6901933da07856&q=%E7%BE%8E%E8%B6%B3%E8%AD%B7%E7%90%86
"MY SCHEMING 我的心機 去皮嫩膚黑足膜, 30ml, 1雙, 2包",$110,https://www.tw.coupang.com/products/MY-SCHEMING-%E6%88%91%E7%9A%84%E5%BF%83%E6%A9%9F-%E5%8E%BB%E7%9A%AE%E5%AB%A9%E8%86%9A%E9%BB%91%E8%B6%B3%E8%86%9C-163505118330883?itemId=182296325881897&vendorItemId=182295247929350&sourceType=search&rank=5&searchId=470cde7b63264279be6901933da07856&q=%E7%BE%8E%E8%B6%B3%E8%AD%B7%E7%90%86
"Baby Foot 寶貝腳 還原滑嫩美足高保濕霜, 100g, 3條",$775,https://www.tw.coupang.com/products/Baby-Foot-%E5%AF%B6%E8%B2%9D%E8%85%B3-%E9%82%84%E5%8E%9F%E6%BB%91%E5%AB%A9%E7%BE%8E%E8%B6%B3%E9%AB%98%E4%BF%9D%E6%BF%95%E9%9C%9C-159914873815044?itemId=433141579710468&vendorItemId=433141579726849&sourceType=search&rank=6&searchId=470cde7b63264279be6901933da07856&q=%E7%BE%8E%E8%B6%B3%E8%AD%B7%E7%90%86
"玩美日記 去角質美足靴 20ml, 2入, 5組",$360,https://www.tw.coupang.com/products/%E7%8E%A9%E7%BE%8E%E6%97%A5%E8%A8%98-%E5%8E%BB%E8%A7%92%E8%B3%AA%E7%BE%8E%E8%B6%B3%E9%9D%B4-20ml-162043785101312?itemId=215602761269259&vendorItemId=215602086002722&sourceType=search&rank=7&searchId=470cde7b63264279be6901933da07856&q=%E7%BE%8E%E8%B6%B3%E8%AD%B7%E7%90%86
"COGIT 4in1 美足銼去角質, 單品, 1個",$282,https://www.tw.coupang.com/products/COGIT-4in1-%E7%BE%8E%E8%B6%B3%E9%8A%BC%E5%8E%BB%E8%A7%92%E8%B3%AA-21000087043743?itemId=21000273492308&vendorItemId=21003661784667&sourceType=search&rank=8&searchId=470cde7b63264279be6901933da07856&q=%E7%BE%8E%E8%B6%B3%E8%AD%B7%E7%90%86
"玩美日記 去角質美足靴 20ml, 2入, 4組",$288,https://www.tw.coupang.com/products/%E7%8E%A9%E7%BE%8E%E6%97%A5%E8%A8%98-%E5%8E%BB%E8%A7%92%E8%B3%AA%E7%BE%8E%E8%B6%B3%E9%9D%B4-20ml-162043785101312?itemId=392563756318722&vendorItemId=392563756302336&sourceType=search&rank=9&searchId=470cde7b63264279be6901933da07856&q=%E7%BE%8E%E8%B6%B3%E8%AD%B7%E7%90%86
