product_name,product_price,product_url
"聖祖食品 上古厝 麻辣醬, 220g, 1罐",$90,https://www.tw.coupang.com/products/%E8%81%96%E7%A5%96%E9%A3%9F%E5%93%81-%E4%B8%8A%E5%8F%A4%E5%8E%9D-%E9%BA%BB%E8%BE%A3%E9%86%AC-202944502775841?itemId=164263834370048&vendorItemId=164264291581952&sourceType=search&rank=&searchId=af42705c6fa14cb7ab6cb47528d05511&q=%E8%80%81%E4%BA%8C%E5%A5%97
"義美 小羊羹 8個, 264g, 2袋",$131,https://www.tw.coupang.com/products/%E7%BE%A9%E7%BE%8E-%E5%B0%8F%E7%BE%8A%E7%BE%B9-8%E5%80%8B-280113564319752?itemId=280111546843141&vendorItemId=280111542648839&sourceType=search&rank=1&searchId=af42705c6fa14cb7ab6cb47528d05511&q=%E8%80%81%E4%BA%8C%E5%A5%97
"老中醫 黑糖, 300g, 2罐",$86,https://www.tw.coupang.com/products/%E8%80%81%E4%B8%AD%E9%86%AB-%E9%BB%91%E7%B3%96-149025131036675?itemId=384959286050819&vendorItemId=384959286034432&sourceType=search&rank=2&searchId=af42705c6fa14cb7ab6cb47528d05511&q=%E8%80%81%E4%BA%8C%E5%A5%97
Akachan 阿卡將 日本嬰兒護手套,$162,https://www.tw.coupang.com/products/Akachan-%E9%98%BF%E5%8D%A1%E5%B0%87-%E6%97%A5%E6%9C%AC%E5%AC%B0%E5%85%92%E8%AD%B7%E6%89%8B%E5%A5%97-215359177064452?itemId=215358505992199&vendorItemId=215359177064448&sourceType=search&rank=3&searchId=af42705c6fa14cb7ab6cb47528d05511&q=%E8%80%81%E4%BA%8C%E5%A5%97
"義美 小羊羹 桂圓 8入, 264g, 2袋",$131,https://www.tw.coupang.com/products/%E7%BE%A9%E7%BE%8E-%E5%B0%8F%E7%BE%8A%E7%BE%B9-%E6%A1%82%E5%9C%93-8%E5%85%A5-280113530765324?itemId=280111513288716&vendorItemId=280113530765315&sourceType=search&rank=4&searchId=af42705c6fa14cb7ab6cb47528d05511&q=%E8%80%81%E4%BA%8C%E5%A5%97
"義美 黑糖薑母茶, 14g, 12包, 1盒",$88,https://www.tw.coupang.com/products/%E7%BE%A9%E7%BE%8E-%E9%BB%91%E7%B3%96%E8%96%91%E6%AF%8D%E8%8C%B6-164594647547910?itemId=164594190336006&vendorItemId=164595083739136&sourceType=search&rank=5&searchId=af42705c6fa14cb7ab6cb47528d05511&q=%E8%80%81%E4%BA%8C%E5%A5%97
"順天本草 芙蓉之四物養美計畫 減糖版, 10包, 24g, 1盒",$204,https://www.tw.coupang.com/products/%E9%A0%86%E5%A4%A9%E6%9C%AC%E8%8D%89-%E8%8A%99%E8%93%89%E4%B9%8B%E5%9B%9B%E7%89%A9%E9%A4%8A%E7%BE%8E%E8%A8%88%E7%95%AB-%E6%B8%9B%E7%B3%96%E7%89%88-280913363550210?itemId=280914420547586&vendorItemId=280913363550208&sourceType=search&rank=6&searchId=af42705c6fa14cb7ab6cb47528d05511&q=%E8%80%81%E4%BA%8C%E5%A5%97
"ST 雞仔牌 指尖強化手套 絨裡/中厚型, M, 粉色, 2包",$97,https://www.tw.coupang.com/products/ST-%E9%9B%9E%E4%BB%94%E7%89%8C-%E6%8C%87%E5%B0%96%E5%BC%B7%E5%8C%96%E6%89%8B%E5%A5%97-%E7%B5%A8%E8%A3%A1%2F%E4%B8%AD%E5%8E%9A%E5%9E%8B-153685577416709?itemId=281261352402964&vendorItemId=281262317076495&sourceType=search&rank=7&searchId=af42705c6fa14cb7ab6cb47528d05511&q=%E8%80%81%E4%BA%8C%E5%A5%97
KU.KU Duckbill 酷咕鴨 造型護手套,$223,https://www.tw.coupang.com/products/KU.KU-Duckbill-%E9%85%B7%E5%92%95%E9%B4%A8-%E9%80%A0%E5%9E%8B%E8%AD%B7%E6%89%8B%E5%A5%97-181983061688324?itemId=321462103670784&vendorItemId=321462099476488&sourceType=search&rank=8&searchId=af42705c6fa14cb7ab6cb47528d05511&q=%E8%80%81%E4%BA%8C%E5%A5%97
"瓦厝家 黑糖牛奶棒, 120g, 2罐",$105,https://www.tw.coupang.com/products/%E7%93%A6%E5%8E%9D%E5%AE%B6-%E9%BB%91%E7%B3%96%E7%89%9B%E5%A5%B6%E6%A3%92-159884532203524?itemId=411081004498955&vendorItemId=411081004482568&sourceType=search&rank=9&searchId=af42705c6fa14cb7ab6cb47528d05511&q=%E8%80%81%E4%BA%8C%E5%A5%97
