product_name,product_price,product_url
"Kinyo 紫外線刀具滅菌機, KGL-300",$373,https://www.tw.coupang.com/products/Kinyo-%E7%B4%AB%E5%A4%96%E7%B7%9A%E5%88%80%E5%85%B7%E6%BB%85%E8%8F%8C%E6%A9%9F-219971988701184?itemId=219972760485888&vendorItemId=219973452529664&sourceType=search&rank=&searchId=0c810b53ca2c4c84982859f0318bc8d8&q=%E8%87%AD%E6%B0%A7%20
Silk Road兒童臭氧襪5件套,$220,https://www.tw.coupang.com/products/Silk-Road%E5%85%92%E7%AB%A5%E8%87%AD%E6%B0%A7%E8%A5%AA5%E4%BB%B6%E5%A5%97-21007578460791?itemId=21020000744554&vendorItemId=21087097867686&sourceType=search&rank=1&searchId=0c810b53ca2c4c84982859f0318bc8d8&q=%E8%87%AD%E6%B0%A7%20
"紫外線臭氧消毒器氙氣新鮮替換 AA, ISYS-ZC01",$827,https://www.tw.coupang.com/products/%E7%B4%AB%E5%A4%96%E7%B7%9A%E8%87%AD%E6%B0%A7%E6%B6%88%E6%AF%92%E5%99%A8%E6%B0%99%E6%B0%A3%E6%96%B0%E9%AE%AE%E6%9B%BF%E6%8F%9B-AA-21004564364542?itemId=21005565267959&vendorItemId=21072864638483&sourceType=search&rank=2&searchId=0c810b53ca2c4c84982859f0318bc8d8&q=%E8%87%AD%E6%B0%A7%20
"O-ZONE Nano Gold細毛牙刷, 10片, 1個",$187,https://www.tw.coupang.com/products/O-ZONE-Nano-Gold%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-21000019054095?itemId=21000076505594&vendorItemId=21003043721623&sourceType=search&rank=3&searchId=0c810b53ca2c4c84982859f0318bc8d8&q=%E8%87%AD%E6%B0%A7%20
"臭氧加木炭細牙刷 20 支, 3組, 20個","$1,446",https://www.tw.coupang.com/products/%E8%87%AD%E6%B0%A7%E5%8A%A0%E6%9C%A8%E7%82%AD%E7%B4%B0%E7%89%99%E5%88%B7-20-%E6%94%AF-21006690037666?itemId=21018868589677&vendorItemId=21085997402798&sourceType=search&rank=4&searchId=0c810b53ca2c4c84982859f0318bc8d8&q=%E8%87%AD%E6%B0%A7%20
"Nitto 臭氧氣體傳感器模塊 MQ131, 1個",$849,https://www.tw.coupang.com/products/Nitto-%E8%87%AD%E6%B0%A7%E6%B0%A3%E9%AB%94%E5%82%B3%E6%84%9F%E5%99%A8%E6%A8%A1%E5%A1%8A-MQ131-21002016105165?itemId=21003429542339&vendorItemId=21071416065817&sourceType=search&rank=5&searchId=0c810b53ca2c4c84982859f0318bc8d8&q=%E8%87%AD%E6%B0%A7%20
"ozone 孩童細毛牙刷8入組, 混色, 1組, 1件",$195,https://www.tw.coupang.com/products/ozone-%E5%AD%A9%E7%AB%A5%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B78%E5%85%A5%E7%B5%84-21000021544926?itemId=21000084126265&vendorItemId=21003143194575&sourceType=search&rank=6&searchId=0c810b53ca2c4c84982859f0318bc8d8&q=%E8%87%AD%E6%B0%A7%20
"8CLOTHE 多種設計壓克力 MagSafe 智慧通話, 1個, 臭氧警告",$401,https://www.tw.coupang.com/products/8CLOTHE-%E5%A4%9A%E7%A8%AE%E8%A8%AD%E8%A8%88%E5%A3%93%E5%85%8B%E5%8A%9B-MagSafe-%E6%99%BA%E6%85%A7%E9%80%9A%E8%A9%B1-21008104313625?itemId=21022933856274&vendorItemId=21089968198906&sourceType=search&rank=7&searchId=0c810b53ca2c4c84982859f0318bc8d8&q=%E8%87%AD%E6%B0%A7%20
"臭氧加木炭細牙刷 20 支, 2組, 20個",$948,https://www.tw.coupang.com/products/%E8%87%AD%E6%B0%A7%E5%8A%A0%E6%9C%A8%E7%82%AD%E7%B4%B0%E7%89%99%E5%88%B7-20-%E6%94%AF-21006690037666?itemId=21018868589235&vendorItemId=21085997402272&sourceType=search&rank=8&searchId=0c810b53ca2c4c84982859f0318bc8d8&q=%E8%87%AD%E6%B0%A7%20
"O-ZONE Plus Deluxe Gold 細毛牙刷, 1支, 20組",$460,https://www.tw.coupang.com/products/O-ZONE-Plus-Deluxe-Gold-%E7%B4%B0%E6%AF%9B%E7%89%99%E5%88%B7-21000019054082?itemId=21000076505542&vendorItemId=21003128436565&sourceType=search&rank=9&searchId=0c810b53ca2c4c84982859f0318bc8d8&q=%E8%87%AD%E6%B0%A7%20
