product_name,product_price,product_url
"超級瑪利歐 KB7 午餐袋 超級瑪利歐, 1個",$256,https://www.tw.coupang.com/products/%E8%B6%85%E7%B4%9A%E7%91%AA%E5%88%A9%E6%AD%90-KB7-%E5%8D%88%E9%A4%90%E8%A2%8B-%E8%B6%85%E7%B4%9A%E7%91%AA%E5%88%A9%E6%AD%90-21007695019673?itemId=21020587234468&vendorItemId=21087981275528&sourceType=search&rank=&searchId=16021bbe814f4086a777ff89a2a4a880&q=%E8%89%BE%E7%91%AA%E5%8C%85
可愛包包內袋,$189,https://www.tw.coupang.com/products/%E5%8F%AF%E6%84%9B%E5%8C%85%E5%8C%85%E5%85%A7%E8%A2%8B-21001499370140?itemId=21002574777132&vendorItemId=21070567083031&sourceType=search&rank=1&searchId=16021bbe814f4086a777ff89a2a4a880&q=%E8%89%BE%E7%91%AA%E5%8C%85
KIZTREE 女童兔心十字包 BB-342,$215,https://www.tw.coupang.com/products/KIZTREE-%E5%A5%B3%E7%AB%A5%E5%85%94%E5%BF%83%E5%8D%81%E5%AD%97%E5%8C%85-BB-342-21007837236663?itemId=21021326125379&vendorItemId=21088384934057&sourceType=search&rank=2&searchId=16021bbe814f4086a777ff89a2a4a880&q=%E8%89%BE%E7%91%AA%E5%8C%85
OSPREY 超包裝立方體輕質袋,$501,https://www.tw.coupang.com/products/OSPREY-%E8%B6%85%E5%8C%85%E8%A3%9D%E7%AB%8B%E6%96%B9%E9%AB%94%E8%BC%95%E8%B3%AA%E8%A2%8B-21008131579571?itemId=21023093259141&vendorItemId=21090126662722&sourceType=search&rank=3&searchId=16021bbe814f4086a777ff89a2a4a880&q=%E8%89%BE%E7%91%AA%E5%8C%85
Condor Annex 行政包黑色,$802,https://www.tw.coupang.com/products/Condor-Annex-%E8%A1%8C%E6%94%BF%E5%8C%85%E9%BB%91%E8%89%B2-21007284403481?itemId=21018604463044&vendorItemId=21085740415291&sourceType=search&rank=4&searchId=16021bbe814f4086a777ff89a2a4a880&q=%E8%89%BE%E7%91%AA%E5%8C%85
From Heaven Titima 單肩流浪漢包+小袋組 H902,$588,https://www.tw.coupang.com/products/From-Heaven-Titima-%E5%96%AE%E8%82%A9%E6%B5%81%E6%B5%AA%E6%BC%A2%E5%8C%85%2B%E5%B0%8F%E8%A2%8B%E7%B5%84-H902-21007708852140?itemId=21020658881939&vendorItemId=21087731710149&sourceType=search&rank=5&searchId=16021bbe814f4086a777ff89a2a4a880&q=%E8%89%BE%E7%91%AA%E5%8C%85
Catch Tiniping 糖醋十字袋,$477,https://www.tw.coupang.com/products/Catch-Tiniping-%E7%B3%96%E9%86%8B%E5%8D%81%E5%AD%97%E8%A2%8B-21007732956151?itemId=21020784376234&vendorItemId=21087854100891&sourceType=search&rank=6&searchId=16021bbe814f4086a777ff89a2a4a880&q=%E8%89%BE%E7%91%AA%E5%8C%85
EXPEAK 柔軟蓬鬆的小袋紅色,$345,https://www.tw.coupang.com/products/EXPEAK-%E6%9F%94%E8%BB%9F%E8%93%AC%E9%AC%86%E7%9A%84%E5%B0%8F%E8%A2%8B%E7%B4%85%E8%89%B2-21006075199456?itemId=21011234606316&vendorItemId=21078511911089&sourceType=search&rank=7&searchId=16021bbe814f4086a777ff89a2a4a880&q=%E8%89%BE%E7%91%AA%E5%8C%85
FIKER TACTICAL 側踢袋 黑色,$362,https://www.tw.coupang.com/products/FIKER-TACTICAL-%E5%81%B4%E8%B8%A2%E8%A2%8B-%E9%BB%91%E8%89%B2-21005967020806?itemId=21010708443045&vendorItemId=21077989130193&sourceType=search&rank=8&searchId=16021bbe814f4086a777ff89a2a4a880&q=%E8%89%BE%E7%91%AA%E5%8C%85
"3RE:MINDS 可拆卸大號史萊姆再生尼龍流浪包, 黑色的","$1,084",https://www.tw.coupang.com/products/3RE%3AMINDS-%E5%8F%AF%E6%8B%86%E5%8D%B8%E5%A4%A7%E8%99%9F%E5%8F%B2%E8%90%8A%E5%A7%86%E5%86%8D%E7%94%9F%E5%B0%BC%E9%BE%8D%E6%B5%81%E6%B5%AA%E5%8C%85-21006822228652?itemId=21016173702715&vendorItemId=21083369188167&sourceType=search&rank=9&searchId=16021bbe814f4086a777ff89a2a4a880&q=%E8%89%BE%E7%91%AA%E5%8C%85
