product_name,product_price,product_url
"maison VERTE 精油洗碗精 檸檬花, 500ml, 2瓶",$186,https://www.tw.coupang.com/products/maison-VERTE-%E7%B2%BE%E6%B2%B9%E6%B4%97%E7%A2%97%E7%B2%BE-%E6%AA%B8%E6%AA%AC%E8%8A%B1-159176516927490?itemId=348662173466629&vendorItemId=348662173515784&sourceType=search&rank=&searchId=b2138c1e513e43f4986881f2caff985f&q=%E8%8A%B1%E7%B2%BE%E6%B2%B9
"W.SKIN LABORATORY Adelaide Under Flower女性私密香氛精油, 5ml, 1瓶",$188,https://www.tw.coupang.com/products/W.SKIN-LABORATORY-Adelaide-Under-Flower%E5%A5%B3%E6%80%A7%E7%A7%81%E5%AF%86%E9%A6%99%E6%B0%9B%E7%B2%BE%E6%B2%B9-21000271211754?itemId=21000852129532&vendorItemId=21005270928131&sourceType=search&rank=1&searchId=b2138c1e513e43f4986881f2caff985f&q=%E8%8A%B1%E7%B2%BE%E6%B2%B9
"May Brown 手足舒緩皮油紅豆花精油 30 ml, 2個, 1件, 30ml","$2,284",https://www.tw.coupang.com/products/May-Brown-%E6%89%8B%E8%B6%B3%E8%88%92%E7%B7%A9%E7%9A%AE%E6%B2%B9%E7%B4%85%E8%B1%86%E8%8A%B1%E7%B2%BE%E6%B2%B9-30-ml-21007662281372?itemId=21020806734327&vendorItemId=21087875781560&sourceType=search&rank=2&searchId=b2138c1e513e43f4986881f2caff985f&q=%E8%8A%B1%E7%B2%BE%E6%B2%B9
"cocodor 珂珂朵爾 香氛精油迷你蠟燭, Cotton Flower, 10g, 25個",$141,https://www.tw.coupang.com/products/cocodor-%E7%8F%82%E7%8F%82%E6%9C%B5%E7%88%BE-%E9%A6%99%E6%B0%9B%E7%B2%BE%E6%B2%B9%E8%BF%B7%E4%BD%A0%E8%A0%9F%E7%87%AD-21006812612344?itemId=21016120933710&vendorItemId=21003349269607&sourceType=search&rank=3&searchId=b2138c1e513e43f4986881f2caff985f&q=%E8%8A%B1%E7%B2%BE%E6%B2%B9
"maison VERTE 綠墅 精油洗碗精 檸檬花, 500ml, 1瓶",$93,https://www.tw.coupang.com/products/maison-VERTE-%E7%B6%A0%E5%A2%85-%E7%B2%BE%E6%B2%B9%E6%B4%97%E7%A2%97%E7%B2%BE-%E6%AA%B8%E6%AA%AC%E8%8A%B1-159176516927490?itemId=159175682244612&vendorItemId=159175682244608&sourceType=search&rank=4&searchId=b2138c1e513e43f4986881f2caff985f&q=%E8%8A%B1%E7%B2%BE%E6%B2%B9
"The Herb Shop 擴香補充精油, Flower Market, 200ml, 2瓶",$439,https://www.tw.coupang.com/products/The-Herb-Shop-%E6%93%B4%E9%A6%99%E8%A3%9C%E5%85%85%E7%B2%BE%E6%B2%B9-21005339137112?itemId=21018725762313&vendorItemId=21085858470318&sourceType=search&rank=5&searchId=b2138c1e513e43f4986881f2caff985f&q=%E8%8A%B1%E7%B2%BE%E6%B2%B9
"May Brown 手足舒緩皮油紅豆花精油 30 ml, 1個, 1件, 30ml","$1,142",https://www.tw.coupang.com/products/May-Brown-%E6%89%8B%E8%B6%B3%E8%88%92%E7%B7%A9%E7%9A%AE%E6%B2%B9%E7%B4%85%E8%B1%86%E8%8A%B1%E7%B2%BE%E6%B2%B9-30-ml-21007662281372?itemId=21020416933613&vendorItemId=21087778750859&sourceType=search&rank=6&searchId=b2138c1e513e43f4986881f2caff985f&q=%E8%8A%B1%E7%B2%BE%E6%B2%B9
"W.SKIN LABORATORY Adelaide Under Flower女性私密香氛精油, 5ml, 2瓶",$376,https://www.tw.coupang.com/products/W.SKIN-LABORATORY-Adelaide-Under-Flower%E5%A5%B3%E6%80%A7%E7%A7%81%E5%AF%86%E9%A6%99%E6%B0%9B%E7%B2%BE%E6%B2%B9-21000271211754?itemId=21018775720978&vendorItemId=21085907231043&sourceType=search&rank=7&searchId=b2138c1e513e43f4986881f2caff985f&q=%E8%8A%B1%E7%B2%BE%E6%B2%B9
"MORIANN 精油擴香瓶+衣物香氛噴霧, Love&White Flower, 240ml, 1組",$380,https://www.tw.coupang.com/products/MORIANN-%E7%B2%BE%E6%B2%B9%E6%93%B4%E9%A6%99%E7%93%B6%2B%E8%A1%A3%E7%89%A9%E9%A6%99%E6%B0%9B%E5%99%B4%E9%9C%A7-21001930339345?itemId=21003276989543&vendorItemId=21071263984663&sourceType=search&rank=8&searchId=b2138c1e513e43f4986881f2caff985f&q=%E8%8A%B1%E7%B2%BE%E6%B2%B9
"TIFERET 芳香寶石玫瑰 Abs。花埃及, 1個, 5ml",$714,https://www.tw.coupang.com/products/TIFERET-%E8%8A%B3%E9%A6%99%E5%AF%B6%E7%9F%B3%E7%8E%AB%E7%91%B0-Abs%E3%80%82%E8%8A%B1%E5%9F%83%E5%8F%8A-21002176049796?itemId=21003702877592&vendorItemId=21071688153152&sourceType=search&rank=9&searchId=b2138c1e513e43f4986881f2caff985f&q=%E8%8A%B1%E7%B2%BE%E6%B2%B9
