product_name,product_price,product_url
"即室好物 簡約白色方形摺疊隨身鏡 大款, 2個",$176,https://www.tw.coupang.com/products/%E5%8D%B3%E5%AE%A4%E5%A5%BD%E7%89%A9-%E7%B0%A1%E7%B4%84%E7%99%BD%E8%89%B2%E6%96%B9%E5%BD%A2%E6%91%BA%E7%96%8A%E9%9A%A8%E8%BA%AB%E9%8F%A1-%E5%A4%A7%E6%AC%BE-277598970036230?itemId=277599930515461&vendorItemId=277598970036229&sourceType=search&rank=&searchId=4bfd4170a3504b879574867dd709f3f8&q=%E8%90%BD%E5%9C%B0%E9%8F%A1%20%E9%8F%A1%E5%AD%90
"即室好物 簡約白色方形摺疊隨身鏡 小款, 3個",$168,https://www.tw.coupang.com/products/%E5%8D%B3%E5%AE%A4%E5%A5%BD%E7%89%A9-%E7%B0%A1%E7%B4%84%E7%99%BD%E8%89%B2%E6%96%B9%E5%BD%A2%E6%91%BA%E7%96%8A%E9%9A%A8%E8%BA%AB%E9%8F%A1-%E5%B0%8F%E6%AC%BE-280112641589255?itemId=280111584591885&vendorItemId=279116980912150&sourceType=search&rank=1&searchId=4bfd4170a3504b879574867dd709f3f8&q=%E8%90%BD%E5%9C%B0%E9%8F%A1%20%E9%8F%A1%E5%AD%90
"即室好物 簡約白色方形摺疊隨身鏡 中款, 2個",$160,https://www.tw.coupang.com/products/%E5%8D%B3%E5%AE%A4%E5%A5%BD%E7%89%A9-%E7%B0%A1%E7%B4%84%E7%99%BD%E8%89%B2%E6%96%B9%E5%BD%A2%E6%91%BA%E7%96%8A%E9%9A%A8%E8%BA%AB%E9%8F%A1-%E4%B8%AD%E6%AC%BE-277597892067335?itemId=277599905349641&vendorItemId=277597892067329&sourceType=search&rank=2&searchId=4bfd4170a3504b879574867dd709f3f8&q=%E8%90%BD%E5%9C%B0%E9%8F%A1%20%E9%8F%A1%E5%AD%90
"Mudas PU材質折疊便攜式桌面鏡, 白色, 1個",$149,https://www.tw.coupang.com/products/Mudas-PU%E6%9D%90%E8%B3%AA%E6%8A%98%E7%96%8A%E4%BE%BF%E6%94%9C%E5%BC%8F%E6%A1%8C%E9%9D%A2%E9%8F%A1-265342714593283?itemId=265343742230532&vendorItemId=265344656572417&sourceType=search&rank=3&searchId=4bfd4170a3504b879574867dd709f3f8&q=%E8%90%BD%E5%9C%B0%E9%8F%A1%20%E9%8F%A1%E5%AD%90
"Inpouch 方形立鏡 中型, 白色+藍色, 2入",$113,https://www.tw.coupang.com/products/Inpouch-%E6%96%B9%E5%BD%A2%E7%AB%8B%E9%8F%A1-%E4%B8%AD%E5%9E%8B-21005207029629?itemId=21007271916007&vendorItemId=21074563414055&sourceType=search&rank=4&searchId=4bfd4170a3504b879574867dd709f3f8&q=%E8%90%BD%E5%9C%B0%E9%8F%A1%20%E9%8F%A1%E5%AD%90
"IMMUSE 室內梳妝台浴室圓形鏡子 500 毫米, 黑色的",$852,https://www.tw.coupang.com/products/IMMUSE-%E5%AE%A4%E5%85%A7%E6%A2%B3%E5%A6%9D%E5%8F%B0%E6%B5%B4%E5%AE%A4%E5%9C%93%E5%BD%A2%E9%8F%A1%E5%AD%90-500-%E6%AF%AB%E7%B1%B3-21006953369321?itemId=21016902912959&vendorItemId=21085350998856&sourceType=search&rank=5&searchId=4bfd4170a3504b879574867dd709f3f8&q=%E8%90%BD%E5%9C%B0%E9%8F%A1%20%E9%8F%A1%E5%AD%90
"comet 方形牆鏡 4入, 單一顏色",$357,https://www.tw.coupang.com/products/comet-%E6%96%B9%E5%BD%A2%E7%89%86%E9%8F%A1-4%E5%85%A5-21006439864328?itemId=21013935283064&vendorItemId=21081184612138&sourceType=search&rank=6&searchId=4bfd4170a3504b879574867dd709f3f8&q=%E8%90%BD%E5%9C%B0%E9%8F%A1%20%E9%8F%A1%E5%AD%90
"miro line 折疊浴室雙面鏡兼用小號, 銀",$194,https://www.tw.coupang.com/products/miro-line-%E6%8A%98%E7%96%8A%E6%B5%B4%E5%AE%A4%E9%9B%99%E9%9D%A2%E9%8F%A1%E5%85%BC%E7%94%A8%E5%B0%8F%E8%99%9F-21000002767062?itemId=21000012784528&vendorItemId=21003019519516&sourceType=search&rank=7&searchId=4bfd4170a3504b879574867dd709f3f8&q=%E8%90%BD%E5%9C%B0%E9%8F%A1%20%E9%8F%A1%E5%AD%90
"EVER HOUSE 桌面梳妝立鏡, 白色",$525,https://www.tw.coupang.com/products/EVER-HOUSE-%E6%A1%8C%E9%9D%A2%E6%A2%B3%E5%A6%9D%E7%AB%8B%E9%8F%A1-21007373214839?itemId=21019024654428&vendorItemId=21086148909841&sourceType=search&rank=8&searchId=4bfd4170a3504b879574867dd709f3f8&q=%E8%90%BD%E5%9C%B0%E9%8F%A1%20%E9%8F%A1%E5%AD%90
"woodrohaus LED觸控化妝放大鏡台鏡HMS-9483, 銀",$579,https://www.tw.coupang.com/products/woodrohaus-LED%E8%A7%B8%E6%8E%A7%E5%8C%96%E5%A6%9D%E6%94%BE%E5%A4%A7%E9%8F%A1%E5%8F%B0%E9%8F%A1HMS-9483-21001980872876?itemId=21003370275122&vendorItemId=21071356990640&sourceType=search&rank=9&searchId=4bfd4170a3504b879574867dd709f3f8&q=%E8%90%BD%E5%9C%B0%E9%8F%A1%20%E9%8F%A1%E5%AD%90
