product_name,product_price,product_url
"TULIP 淡鹽火腿餐肉, 340g, 2罐",$166,https://www.tw.coupang.com/products/TULIP-%E6%B7%A1%E9%B9%BD%E7%81%AB%E8%85%BF%E9%A4%90%E8%82%89-163854117994505?itemId=201834543136774&vendorItemId=201834538942491&sourceType=search&rank=&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"SPAM 經典火腿罐頭+低卡路里火腿罐頭禮盒, 2組","$1,301",https://www.tw.coupang.com/products/SPAM-%E7%B6%93%E5%85%B8%E7%81%AB%E8%85%BF%E7%BD%90%E9%A0%AD%2B%E4%BD%8E%E5%8D%A1%E8%B7%AF%E9%87%8C%E7%81%AB%E8%85%BF%E7%BD%90%E9%A0%AD%E7%A6%AE%E7%9B%92-21000034050118?itemId=21019421767909&vendorItemId=21086533232978&sourceType=search&rank=1&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"i-MATE 火腿切片器, 白色, 1個",$180,https://www.tw.coupang.com/products/i-MATE-%E7%81%AB%E8%85%BF%E5%88%87%E7%89%87%E5%99%A8-260253920772096?itemId=260253920772097&vendorItemId=260252922494976&sourceType=search&rank=2&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"拉出腿小腿跟腱拉伸板坡道, 薄荷",$309,https://www.tw.coupang.com/products/%E6%8B%89%E5%87%BA%E8%85%BF%E5%B0%8F%E8%85%BF%E8%B7%9F%E8%85%B1%E6%8B%89%E4%BC%B8%E6%9D%BF%E5%9D%A1%E9%81%93-21006269559295?itemId=21012813837182&vendorItemId=21080079725579&sourceType=search&rank=3&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"TRAHERE 腹部核心鍛鍊器材懸垂舉腿AB帶左右套裝, 1組, 黑色",$619,https://www.tw.coupang.com/products/TRAHERE-%E8%85%B9%E9%83%A8%E6%A0%B8%E5%BF%83%E9%8D%9B%E9%8D%8A%E5%99%A8%E6%9D%90%E6%87%B8%E5%9E%82%E8%88%89%E8%85%BFAB%E5%B8%B6%E5%B7%A6%E5%8F%B3%E5%A5%97%E8%A3%9D-21007956397628?itemId=21021983210678&vendorItemId=21089030820894&sourceType=search&rank=4&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
VitaGRAM 迷你小腿足底按摩器 LF-199,$961,https://www.tw.coupang.com/products/VitaGRAM-%E8%BF%B7%E4%BD%A0%E5%B0%8F%E8%85%BF%E8%B6%B3%E5%BA%95%E6%8C%89%E6%91%A9%E5%99%A8-LF-199-21006176581936?itemId=21012094638057&vendorItemId=21079366479922&sourceType=search&rank=5&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"Heyami 豐滿長腿，可以馬上吃, 200g, 2個",$558,https://www.tw.coupang.com/products/Heyami-%E8%B1%90%E6%BB%BF%E9%95%B7%E8%85%BF%EF%BC%8C%E5%8F%AF%E4%BB%A5%E9%A6%AC%E4%B8%8A%E5%90%83-21008056716119?itemId=21022617369962&vendorItemId=21089658943469&sourceType=search&rank=6&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"Arif 腿部放鬆小腿拉伸板, 乳白色",$469,https://www.tw.coupang.com/products/Arif-%E8%85%BF%E9%83%A8%E6%94%BE%E9%AC%86%E5%B0%8F%E8%85%BF%E6%8B%89%E4%BC%B8%E6%9D%BF-21000148615231?itemId=21018890257848&vendorItemId=21086018375052&sourceType=search&rank=7&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
APPLEHIP 腿部造型,$219,https://www.tw.coupang.com/products/APPLEHIP-%E8%85%BF%E9%83%A8%E9%80%A0%E5%9E%8B-21000059604533?itemId=21000205424753&vendorItemId=21003487285480&sourceType=search&rank=8&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"Daesang Chungjungwon It's Farm 火腿罐頭, 6個, 190g",$424,https://www.tw.coupang.com/products/Daesang-Chungjungwon-It's-Farm-%E7%81%AB%E8%85%BF%E7%BD%90%E9%A0%AD-21008289260656?itemId=21018171729422&vendorItemId=21085321071001&sourceType=search&rank=9&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"Join Made 修腿器 黑色, 2個, 1件",$208,https://www.tw.coupang.com/products/Join-Made-%E4%BF%AE%E8%85%BF%E5%99%A8-%E9%BB%91%E8%89%B2-21006630748320?itemId=21015114569999&vendorItemId=21082336371137&sourceType=search&rank=10&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"iWANNA 迷你足部拉筋板, 淺紫色",$391,https://www.tw.coupang.com/products/iWANNA-%E8%BF%B7%E4%BD%A0%E8%B6%B3%E9%83%A8%E6%8B%89%E7%AD%8B%E6%9D%BF-21001371396738?itemId=21002404000757&vendorItemId=21089503861518&sourceType=search&rank=11&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"KOKUBO 小久保工業所 火腿切片器, 黃色, 1入",$155,https://www.tw.coupang.com/products/KOKUBO-%E5%B0%8F%E4%B9%85%E4%BF%9D%E5%B7%A5%E6%A5%AD%E6%89%80-%E7%81%AB%E8%85%BF%E5%88%87%E7%89%87%E5%99%A8-21004804046039?itemId=21006170531674&vendorItemId=21070919709705&sourceType=search&rank=12&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"9段式伸展足底拉筋板 A型, 紫色的",$633,https://www.tw.coupang.com/products/9%E6%AE%B5%E5%BC%8F%E4%BC%B8%E5%B1%95%E8%B6%B3%E5%BA%95%E6%8B%89%E7%AD%8B%E6%9D%BF-A%E5%9E%8B-21006075331941?itemId=21011235341132&vendorItemId=21078512632131&sourceType=search&rank=13&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"Mokwoochon Prime Mokwoochon 火腿, 1.8kg, 1個",$572,https://www.tw.coupang.com/products/Mokwoochon-Prime-Mokwoochon-%E7%81%AB%E8%85%BF-21006872303878?itemId=21016444476962&vendorItemId=21083635162256&sourceType=search&rank=14&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
"Sun Sleep Non-slip 腳腿拉伸器 腿部放鬆器, 粉色",$120,https://www.tw.coupang.com/products/Sun-Sleep-Non-slip-%E8%85%B3%E8%85%BF%E6%8B%89%E4%BC%B8%E5%99%A8-%E8%85%BF%E9%83%A8%E6%94%BE%E9%AC%86%E5%99%A8-21007199034379?itemId=21018192578110&vendorItemId=21085341299170&sourceType=search&rank=15&searchId=8f52f0e46a874491a1b5cdce7b60e46a&q=%E8%94%97%E7%87%BB%E8%85%BF
