product_name,product_price,product_url
"Prime 優勝者 DIY 微型房屋套件復古臥室, 混色",$357,https://www.tw.coupang.com/products/Prime-%E5%84%AA%E5%8B%9D%E8%80%85-DIY-%E5%BE%AE%E5%9E%8B%E6%88%BF%E5%B1%8B%E5%A5%97%E4%BB%B6%E5%BE%A9%E5%8F%A4%E8%87%A5%E5%AE%A4-21000073741436?itemId=21000245175447&vendorItemId=21003603011979&sourceType=search&rank=&searchId=b42dac16c3d74ab89fecae860e01223f&q=%E8%A7%80%E5%A5%97%E6%88%BF
"Houmming 親愛的亞麻廚房手套, 淺粉色, 1個",$166,https://www.tw.coupang.com/products/Houmming-%E8%A6%AA%E6%84%9B%E7%9A%84%E4%BA%9E%E9%BA%BB%E5%BB%9A%E6%88%BF%E6%89%8B%E5%A5%97-21005683586148?itemId=21009393039493&vendorItemId=21076678068002&sourceType=search&rank=1&searchId=b42dac16c3d74ab89fecae860e01223f&q=%E8%A7%80%E5%A5%97%E6%88%BF
"靜音屋門隔音材料, 灰色, 1個","$2,904",https://www.tw.coupang.com/products/%E9%9D%9C%E9%9F%B3%E5%B1%8B%E9%96%80%E9%9A%94%E9%9F%B3%E6%9D%90%E6%96%99-21006893168346?itemId=21016554503350&vendorItemId=21085159744448&sourceType=search&rank=2&searchId=b42dac16c3d74ab89fecae860e01223f&q=%E8%A7%80%E5%A5%97%E6%88%BF
"ggoom duboo 厚棉設計廚房手套, 格子格子黑色, 2個",$242,https://www.tw.coupang.com/products/ggoom-duboo-%E5%8E%9A%E6%A3%89%E8%A8%AD%E8%A8%88%E5%BB%9A%E6%88%BF%E6%89%8B%E5%A5%97-21005347484158?itemId=21007855765927&vendorItemId=21075145431297&sourceType=search&rank=3&searchId=b42dac16c3d74ab89fecae860e01223f&q=%E8%A7%80%E5%A5%97%E6%88%BF
"我的房子表（同步房子）, 創作與批判",$232,https://www.tw.coupang.com/products/%E6%88%91%E7%9A%84%E6%88%BF%E5%AD%90%E8%A1%A8%EF%BC%88%E5%90%8C%E6%AD%A5%E6%88%BF%E5%AD%90%EF%BC%89-21000020514624?itemId=21000080686212&vendorItemId=21003284876696&sourceType=search&rank=4&searchId=b42dac16c3d74ab89fecae860e01223f&q=%E8%A7%80%E5%A5%97%E6%88%BF
"Konggi Rabbit 一&一可愛我的房間, 混色",$639,https://www.tw.coupang.com/products/Konggi-Rabbit-%E4%B8%80%26%E4%B8%80%E5%8F%AF%E6%84%9B%E6%88%91%E7%9A%84%E6%88%BF%E9%96%93-21007958285014?itemId=21021998250388&vendorItemId=21089045803714&sourceType=search&rank=5&searchId=b42dac16c3d74ab89fecae860e01223f&q=%E8%A7%80%E5%A5%97%E6%88%BF
"decotonik 老式廚房手套, 淺褐色的, 1個",$296,https://www.tw.coupang.com/products/decotonik-%E8%80%81%E5%BC%8F%E5%BB%9A%E6%88%BF%E6%89%8B%E5%A5%97-21001459952910?itemId=21002512042508&vendorItemId=21070505077025&sourceType=search&rank=6&searchId=b42dac16c3d74ab89fecae860e01223f&q=%E8%A7%80%E5%A5%97%E6%88%BF
"壽司餐廳滿屋微型 DIY 套件, 混色",$672,https://www.tw.coupang.com/products/%E5%A3%BD%E5%8F%B8%E9%A4%90%E5%BB%B3%E6%BB%BF%E5%B1%8B%E5%BE%AE%E5%9E%8B-DIY-%E5%A5%97%E4%BB%B6-21002004523672?itemId=21003410700254&vendorItemId=21071397295975&sourceType=search&rank=7&searchId=b42dac16c3d74ab89fecae860e01223f&q=%E8%A7%80%E5%A5%97%E6%88%BF
"Woori & Deco 迷你廚房手套, 莉齊, 2個",$212,https://www.tw.coupang.com/products/Woori-%26-Deco-%E8%BF%B7%E4%BD%A0%E5%BB%9A%E6%88%BF%E6%89%8B%E5%A5%97-21000006168046?itemId=21000032526557&vendorItemId=21003123315909&sourceType=search&rank=8&searchId=b42dac16c3d74ab89fecae860e01223f&q=%E8%A7%80%E5%A5%97%E6%88%BF
"Sillipot 矽膠房屋防水基礎知識, 灰褐色, 1個",$237,https://www.tw.coupang.com/products/Sillipot-%E7%9F%BD%E8%86%A0%E6%88%BF%E5%B1%8B%E9%98%B2%E6%B0%B4%E5%9F%BA%E7%A4%8E%E7%9F%A5%E8%AD%98-21007561097953?itemId=21019920070098&vendorItemId=21087019795482&sourceType=search&rank=9&searchId=b42dac16c3d74ab89fecae860e01223f&q=%E8%A7%80%E5%A5%97%E6%88%BF
