product_name,product_price,product_url
"3M Scotch 強力接著劑 玻璃專用 #6425, 4條",$249,https://www.tw.coupang.com/products/3M-Scotch-%E5%BC%B7%E5%8A%9B%E6%8E%A5%E8%91%97%E5%8A%91-%E7%8E%BB%E7%92%83%E5%B0%88%E7%94%A8-%236425-268941700071427?itemId=281265857052690&vendorItemId=281266914050060&sourceType=search&rank=&searchId=0b62ad15c4e1453ba2a4eb764ddd4300&q=%E8%AA%BF%E9%96%93%E8%B7%9D
"標準 Tobun Nature Original 15p, 單色",$233,https://www.tw.coupang.com/products/%E6%A8%99%E6%BA%96-Tobun-Nature-Original-15p-21005919517788?itemId=21010487982679&vendorItemId=21077769702106&sourceType=search&rank=1&searchId=0b62ad15c4e1453ba2a4eb764ddd4300&q=%E8%AA%BF%E9%96%93%E8%B7%9D
"Onmom 公司水晶線玻璃框架 3 3R, 透明, 1個",$82,https://www.tw.coupang.com/products/Onmom-%E5%85%AC%E5%8F%B8%E6%B0%B4%E6%99%B6%E7%B7%9A%E7%8E%BB%E7%92%83%E6%A1%86%E6%9E%B6-3-3R-21007632408689?itemId=21020260285603&vendorItemId=21087347850758&sourceType=search&rank=2&searchId=0b62ad15c4e1453ba2a4eb764ddd4300&q=%E8%AA%BF%E9%96%93%E8%B7%9D
"TODAS Donairoju玻璃穹頂, 單色, 1個",$564,https://www.tw.coupang.com/products/TODAS-Donairoju%E7%8E%BB%E7%92%83%E7%A9%B9%E9%A0%82-21001894231337?itemId=21003218167734&vendorItemId=21071205454684&sourceType=search&rank=3&searchId=0b62ad15c4e1453ba2a4eb764ddd4300&q=%E8%AA%BF%E9%96%93%E8%B7%9D
"Detailing Pro 防水 EP 線玻璃清潔劑, 500ml, 1個",$445,https://www.tw.coupang.com/products/Detailing-Pro-%E9%98%B2%E6%B0%B4-EP-%E7%B7%9A%E7%8E%BB%E7%92%83%E6%B8%85%E6%BD%94%E5%8A%91-21007674516559?itemId=21020482172169&vendorItemId=21087561129635&sourceType=search&rank=4&searchId=0b62ad15c4e1453ba2a4eb764ddd4300&q=%E8%AA%BF%E9%96%93%E8%B7%9D
"BAZAAR 透明防風密封貼條 0.2mm*35mm*5m, 2個",$131,https://www.tw.coupang.com/products/BAZAAR-%E9%80%8F%E6%98%8E%E9%98%B2%E9%A2%A8%E5%AF%86%E5%B0%81%E8%B2%BC%E6%A2%9D-0.2mm*35mm*5m-21000143546245?itemId=21000416903340&vendorItemId=21004024184151&sourceType=search&rank=5&searchId=0b62ad15c4e1453ba2a4eb764ddd4300&q=%E8%AA%BF%E9%96%93%E8%B7%9D
"KAN AR 鍍膜全罩後置攝像頭@@@鋼化玻璃膜 2p 套組, 1組",$223,https://www.tw.coupang.com/products/KAN-AR-%E9%8D%8D%E8%86%9C%E5%85%A8%E7%BD%A9%E5%BE%8C%E7%BD%AE%E6%94%9D%E5%83%8F%E9%A0%AD%40%40%40%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E8%86%9C-2p-%E5%A5%97%E7%B5%84-21001685165938?itemId=21002870311837&vendorItemId=21070859522239&sourceType=search&rank=6&searchId=0b62ad15c4e1453ba2a4eb764ddd4300&q=%E8%AA%BF%E9%96%93%E8%B7%9D
"Heemang Office Point Office Point Desk 大屏幕, 10個, 透明",$827,https://www.tw.coupang.com/products/Heemang-Office-Point-Office-Point-Desk-%E5%A4%A7%E5%B1%8F%E5%B9%95-21002111655527?itemId=21003586933191&vendorItemId=21071572727874&sourceType=search&rank=7&searchId=0b62ad15c4e1453ba2a4eb764ddd4300&q=%E8%AA%BF%E9%96%93%E8%B7%9D
"【Coupang進口】Coluna Denmark Memory Foam Spine Pillow Cushion Pillow, 白色, 1個",$402,https://www.tw.coupang.com/products/%E3%80%90Coupang%E9%80%B2%E5%8F%A3%E3%80%91Coluna-Denmark-Memory-Foam-Spine-Pillow-Cushion-Pillow-21006090191773?itemId=21011348127306&vendorItemId=21078624539613&sourceType=search&rank=8&searchId=0b62ad15c4e1453ba2a4eb764ddd4300&q=%E8%AA%BF%E9%96%93%E8%B7%9D
"Bandi LED 模具套件專用天窗型 5900K 白色室內燈 6 件套, 全新 Kona SX2 2023 型號, 1組",$319,https://www.tw.coupang.com/products/Bandi-LED-%E6%A8%A1%E5%85%B7%E5%A5%97%E4%BB%B6%E5%B0%88%E7%94%A8%E5%A4%A9%E7%AA%97%E5%9E%8B-5900K-%E7%99%BD%E8%89%B2%E5%AE%A4%E5%85%A7%E7%87%88-6-%E4%BB%B6%E5%A5%97-21007455858414?itemId=21019421839603&vendorItemId=21086533301121&sourceType=search&rank=9&searchId=0b62ad15c4e1453ba2a4eb764ddd4300&q=%E8%AA%BF%E9%96%93%E8%B7%9D
