product_name,product_price,product_url
"HOLIDAYS 諾麗果萃取錠, 120顆, 1罐",$215,https://www.tw.coupang.com/products/HOLIDAYS-%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%90%83%E5%8F%96%E9%8C%A0-21005484474266?itemId=21008471007085&vendorItemId=21004036606479&sourceType=search&rank=&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"Htfarm 諾麗果萃取飲, 70ml, 30包",$346,https://www.tw.coupang.com/products/Htfarm-%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%90%83%E5%8F%96%E9%A3%B2-21006214920654?itemId=21000400477433&vendorItemId=21003975725765&sourceType=search&rank=1&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"ESMOND NATURAL 愛司盟 潤華美姬複合錠, 60錠, 1瓶",$343,https://www.tw.coupang.com/products/ESMOND-NATURAL-%E6%84%9B%E5%8F%B8%E7%9B%9F-%E6%BD%A4%E8%8F%AF%E7%BE%8E%E5%A7%AC%E8%A4%87%E5%90%88%E9%8C%A0-163896925077505?itemId=163896467865611&vendorItemId=163897357074439&sourceType=search&rank=2&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"NutriD-Day 優質玫瑰果錠, 90顆, 1罐",$167,https://www.tw.coupang.com/products/NutriD-Day-%E5%84%AA%E8%B3%AA%E7%8E%AB%E7%91%B0%E6%9E%9C%E9%8C%A0-21006807703882?itemId=21016165697102&vendorItemId=21083361271669&sourceType=search&rank=3&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"諾麗果汁, 1L, 5瓶",$812,https://www.tw.coupang.com/products/%E8%AB%BE%E9%BA%97%E6%9E%9C%E6%B1%81-21007699526072?itemId=21017835208263&vendorItemId=21085928161333&sourceType=search&rank=4&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"All BIO 諾麗果汁, 1L, 1瓶",$796,https://www.tw.coupang.com/products/All-BIO-%E8%AB%BE%E9%BA%97%E6%9E%9C%E6%B1%81-21005806914003?itemId=21011408938983&vendorItemId=21078684881522&sourceType=search&rank=5&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"Doctor's BEST 諾麗果粉膠囊, 3個, 120入","$1,162",https://www.tw.coupang.com/products/Doctor's-BEST-%E8%AB%BE%E9%BA%97%E6%9E%9C%E7%B2%89%E8%86%A0%E5%9B%8A-21000303743416?itemId=21020165150043&vendorItemId=21081926558805&sourceType=search&rank=6&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"LIFETOCOL 諾麗果複合萃取物 99% 120 片, 1個, 120g",$269,https://www.tw.coupang.com/products/LIFETOCOL-%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E5%90%88%E8%90%83%E5%8F%96%E7%89%A9-99%25-120-%E7%89%87-21008042697922?itemId=21022524843879&vendorItemId=21089716875154&sourceType=search&rank=7&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"Doctor's BEST 諾麗果粉650mg素食膠囊, 2個, 120 件",$802,https://www.tw.coupang.com/products/Doctor's-BEST-%E8%AB%BE%E9%BA%97%E6%9E%9C%E7%B2%89650mg%E7%B4%A0%E9%A3%9F%E8%86%A0%E5%9B%8A-21008278465169?itemId=21007549620578&vendorItemId=21081926558773&sourceType=search&rank=8&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"Funeat 玫瑰果錠, 2個, 45g",$336,https://www.tw.coupang.com/products/Funeat-%E7%8E%AB%E7%91%B0%E6%9E%9C%E9%8C%A0-21006882501049?itemId=21016497759326&vendorItemId=21083685426787&sourceType=search&rank=9&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"Choeun Herb 諾麗果粉, 2罐, 200克",$392,https://www.tw.coupang.com/products/Choeun-Herb-%E8%AB%BE%E9%BA%97%E6%9E%9C%E7%B2%89-21000059607152?itemId=21020460736425&vendorItemId=21004383868344&sourceType=search&rank=10&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"SWANSON 斯旺森 綜合山竹石榴諾麗果膠囊, 1組, 90顆",$297,https://www.tw.coupang.com/products/SWANSON-%E6%96%AF%E6%97%BA%E6%A3%AE-%E7%B6%9C%E5%90%88%E5%B1%B1%E7%AB%B9%E7%9F%B3%E6%A6%B4%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%86%A0%E5%9B%8A-21000070128053?itemId=21000234549092&vendorItemId=21003574139156&sourceType=search&rank=11&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"good Life 得意人生 美妍晶亮口含錠, 60顆, 1罐",$112,https://www.tw.coupang.com/products/good-Life-%E5%BE%97%E6%84%8F%E4%BA%BA%E7%94%9F-%E7%BE%8E%E5%A6%8D%E6%99%B6%E4%BA%AE%E5%8F%A3%E5%90%AB%E9%8C%A0-168859533262848?itemId=168860015640576&vendorItemId=168860468609024&sourceType=search&rank=12&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"Dynamic Health Laboratories 綜合覆盆子諾麗果膳食補充液, 1個, 946毫升",$656,https://www.tw.coupang.com/products/Dynamic-Health-Laboratories-%E7%B6%9C%E5%90%88%E8%A6%86%E7%9B%86%E5%AD%90%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%86%B3%E9%A3%9F%E8%A3%9C%E5%85%85%E6%B6%B2-21000000351083?itemId=21000000492009&vendorItemId=21003275362572&sourceType=search&rank=13&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"GOODHERB 諾麗果丸, 300g, 1罐",$280,https://www.tw.coupang.com/products/GOODHERB-%E8%AB%BE%E9%BA%97%E6%9E%9C%E4%B8%B8-21008203685971?itemId=21000096590414&vendorItemId=21003174226194&sourceType=search&rank=14&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"good Life 得意人生 大溪地諾麗果酵素果粉, 200g, 3罐",$999,https://www.tw.coupang.com/products/good-Life-%E5%BE%97%E6%84%8F%E4%BA%BA%E7%94%9F-%E5%A4%A7%E6%BA%AA%E5%9C%B0%E8%AB%BE%E9%BA%97%E6%9E%9C%E9%85%B5%E7%B4%A0%E6%9E%9C%E7%B2%89-201834459250749?itemId=201835134566406&vendorItemId=201835738529829&sourceType=search&rank=15&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
"Rita 諾麗果汁, 1L, 2瓶",$547,https://www.tw.coupang.com/products/Rita-%E8%AB%BE%E9%BA%97%E6%9E%9C%E6%B1%81-21007429376059?itemId=21000378604122&vendorItemId=21086533231865&sourceType=search&rank=16&searchId=c97a6d9792ba4b3c9422010d43f5f893&q=%E8%AB%BE%E9%BA%97%E6%9E%9C%E8%A4%87%E6%96%B9%E9%8C%A0
