product_name,product_price,product_url
"Yoitch USB 3.0 SD讀卡器, YG-CR300, 黑色",$123,https://www.tw.coupang.com/products/Yoitch-USB-3.0-SD%E8%AE%80%E5%8D%A1%E5%99%A8-21002080574178?itemId=21003534550515&vendorItemId=21071520568767&sourceType=search&rank=&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"Axxen 超輕USB隨身碟 P50, 128GB",$208,https://www.tw.coupang.com/products/Axxen-%E8%B6%85%E8%BC%95USB%E9%9A%A8%E8%BA%AB%E7%A2%9F-P50-21005309101612?itemId=21007657172318&vendorItemId=21074947573873&sourceType=search&rank=1&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"BLAZE Micro SD + USB二合一PIN讀卡器, BZ-SDL201, 黑色",$544,https://www.tw.coupang.com/products/BLAZE-Micro-SD-%2B-USB%E4%BA%8C%E5%90%88%E4%B8%80PIN%E8%AE%80%E5%8D%A1%E5%99%A8-21006702327041?itemId=21015528943203&vendorItemId=21082748152181&sourceType=search&rank=2&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"GOOSPERY USB 3.0 SD 卡/TF 讀卡器, 白色, 單品",$132,https://www.tw.coupang.com/products/GOOSPERY-USB-3.0-SD-%E5%8D%A1%2FTF-%E8%AE%80%E5%8D%A1%E5%99%A8-21006498235550?itemId=21014294965574&vendorItemId=21081539853393&sourceType=search&rank=3&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"Coms USB 3.0 外置多合一多功能讀卡器, IF825, 單色",$224,https://www.tw.coupang.com/products/Coms-USB-3.0-%E5%A4%96%E7%BD%AE%E5%A4%9A%E5%90%88%E4%B8%80%E5%A4%9A%E5%8A%9F%E8%83%BD%E8%AE%80%E5%8D%A1%E5%99%A8-21005613896937?itemId=21009078839237&vendorItemId=21076365104889&sourceType=search&rank=4&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"Yoitch USB Type-C雙頭 讀卡器, 白色的, YG-CR300C",$191,https://www.tw.coupang.com/products/Yoitch-USB-Type-C%E9%9B%99%E9%A0%AD-%E8%AE%80%E5%8D%A1%E5%99%A8-21004842065171?itemId=21006258744594&vendorItemId=21073554429708&sourceType=search&rank=5&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"nexi USB3.1/3.0 OTG讀卡器 NX-U3130CR NX610, 黑色的, 1個",$205,https://www.tw.coupang.com/products/nexi-USB3.1%2F3.0-OTG%E8%AE%80%E5%8D%A1%E5%99%A8-NX-U3130CR-NX610-21000156978766?itemId=21000451838951&vendorItemId=21004119016840&sourceType=search&rank=6&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"DGG USB 2合1讀卡器, 白色的, YG-CR300",$124,https://www.tw.coupang.com/products/DGG-USB-2%E5%90%881%E8%AE%80%E5%8D%A1%E5%99%A8-21005885379461?itemId=21010334140937&vendorItemId=21077616353670&sourceType=search&rank=7&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"Ugreen Type C高速TF 3.0讀卡器, 混色, CM331",$324,https://www.tw.coupang.com/products/Ugreen-Type-C%E9%AB%98%E9%80%9FTF-3.0%E8%AE%80%E5%8D%A1%E5%99%A8-21007110259503?itemId=21017772959956&vendorItemId=21084937140533&sourceType=search&rank=8&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"Coms USB 3.0 讀卡器 1Port SD XQD, FW399, 單色",$673,https://www.tw.coupang.com/products/Coms-USB-3.0-%E8%AE%80%E5%8D%A1%E5%99%A8-1Port-SD-XQD-21000199772213?itemId=21000579274848&vendorItemId=21004517797787&sourceType=search&rank=9&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"actto TF SD卡USB 3.2隨身碟, OTG-10",$290,https://www.tw.coupang.com/products/actto-TF-SD%E5%8D%A1USB-3.2%E9%9A%A8%E8%BA%AB%E7%A2%9F-21006559234200?itemId=21014676730573&vendorItemId=21082581968810&sourceType=search&rank=10&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"COSY Type-C+OTG+Micro SD小型讀卡器 USB 3.0 CR3449C, 128GB",$248,https://www.tw.coupang.com/products/COSY-Type-C%2BOTG%2BMicro-SD%E5%B0%8F%E5%9E%8B%E8%AE%80%E5%8D%A1%E5%99%A8-USB-3.0-CR3449C-21001149625055?itemId=21002123254137&vendorItemId=21070121852276&sourceType=search&rank=11&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"nexi USB3.0 Type C OTG多功能讀卡機, NX887 NX-3IN1CRD, 深灰色",$174,https://www.tw.coupang.com/products/nexi-USB3.0-Type-C-OTG%E5%A4%9A%E5%8A%9F%E8%83%BD%E8%AE%80%E5%8D%A1%E6%A9%9F-21001335849378?itemId=21000968091337&vendorItemId=21005375300970&sourceType=search&rank=12&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"Anyport USB 3.0 SD 讀卡器, AP-U30W, 白色的",$152,https://www.tw.coupang.com/products/Anyport-USB-3.0-SD-%E8%AE%80%E5%8D%A1%E5%99%A8-21006565316610?itemId=21014715820992&vendorItemId=21081956540855&sourceType=search&rank=13&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"MuSt 卡片式USB隨身碟, 8GB",$129,https://www.tw.coupang.com/products/MuSt-%E5%8D%A1%E7%89%87%E5%BC%8FUSB%E9%9A%A8%E8%BA%AB%E7%A2%9F-21000237087442?itemId=21000739907049&vendorItemId=21004868450017&sourceType=search&rank=14&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"Coms USB Type-C OTG讀卡器, BT252, 單色",$297,https://www.tw.coupang.com/products/Coms-USB-Type-C-OTG%E8%AE%80%E5%8D%A1%E5%99%A8-21005613896933?itemId=21009078839220&vendorItemId=21076365104877&sourceType=search&rank=15&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"Verbatim 威寶 USB 3.0 迷你讀卡器, 單品, 白色的",$163,https://www.tw.coupang.com/products/Verbatim-%E5%A8%81%E5%AF%B6-USB-3.0-%E8%BF%B7%E4%BD%A0%E8%AE%80%E5%8D%A1%E5%99%A8-21005837619063?itemId=21009109550048&vendorItemId=21076396695396&sourceType=search&rank=16&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
"Anyport USB 3.0 SD 讀卡器 + USB 3.0 Type C OTG 性別, 白色的, AP-U30W（讀卡器）",$151,https://www.tw.coupang.com/products/Anyport-USB-3.0-SD-%E8%AE%80%E5%8D%A1%E5%99%A8-%2B-USB-3.0-Type-C-OTG-%E6%80%A7%E5%88%A5-21006565316608?itemId=21014715820989&vendorItemId=21081956540837&sourceType=search&rank=17&searchId=efc91f2445794eacb44b96b68fb261f4&q=%E8%AE%80%E5%8D%A1%E7%A2%9F
