product_name,product_price,product_url
"EXPERT 艾思柏 強效化毛保健 無穀貓食, 六種魚+膳食纖維, 1.5kg, 1袋",$245,https://www.tw.coupang.com/products/EXPERT-%E8%89%BE%E6%80%9D%E6%9F%8F-%E5%BC%B7%E6%95%88%E5%8C%96%E6%AF%9B%E4%BF%9D%E5%81%A5-%E7%84%A1%E7%A9%80%E8%B2%93%E9%A3%9F-269982097162242?itemId=269983145771018&vendorItemId=269984085278722&sourceType=search&rank=&searchId=a0e6a73fb4fe4a9bb6f73b45abbceb04&q=%E8%B2%93%E8%86%B3%E9%A3%9F
"ABSOLUTE HOLISTIC 主食貓罐 鮪魚+貝類, 80g, 3罐",$102,https://www.tw.coupang.com/products/ABSOLUTE-HOLISTIC-%E4%B8%BB%E9%A3%9F%E8%B2%93%E7%BD%90-%E9%AE%AA%E9%AD%9A%2B%E8%B2%9D%E9%A1%9E-277679995600898?itemId=367551657754635&vendorItemId=367551657771014&sourceType=search&rank=1&searchId=a0e6a73fb4fe4a9bb6f73b45abbceb04&q=%E8%B2%93%E8%86%B3%E9%A3%9F
"EXPERT 艾思柏 強效化毛保健 無穀貓食, 六種魚+膳食纖維, 1.5kg, 2袋",$471,https://www.tw.coupang.com/products/EXPERT-%E8%89%BE%E6%80%9D%E6%9F%8F-%E5%BC%B7%E6%95%88%E5%8C%96%E6%AF%9B%E4%BF%9D%E5%81%A5-%E7%84%A1%E7%A9%80%E8%B2%93%E9%A3%9F-269982097162242?itemId=359988576878596&vendorItemId=359988576862210&sourceType=search&rank=2&searchId=a0e6a73fb4fe4a9bb6f73b45abbceb04&q=%E8%B2%93%E8%86%B3%E9%A3%9F
"ABSOLUTE HOLISTIC 主食貓罐 野牧鮮雞, 80g, 3罐",$102,https://www.tw.coupang.com/products/ABSOLUTE-HOLISTIC-%E4%B8%BB%E9%A3%9F%E8%B2%93%E7%BD%90-%E9%87%8E%E7%89%A7%E9%AE%AE%E9%9B%9E-277678934409234?itemId=367551926222854&vendorItemId=367551926173696&sourceType=search&rank=3&searchId=a0e6a73fb4fe4a9bb6f73b45abbceb04&q=%E8%B2%93%E8%86%B3%E9%A3%9F
"EXPERT 艾思柏 強效化毛保健 無穀貓食, 六種魚+膳食纖維, 1.5kg, 3袋",$697,https://www.tw.coupang.com/products/EXPERT-%E8%89%BE%E6%80%9D%E6%9F%8F-%E5%BC%B7%E6%95%88%E5%8C%96%E6%AF%9B%E4%BF%9D%E5%81%A5-%E7%84%A1%E7%A9%80%E8%B2%93%E9%A3%9F-269982097162242?itemId=359988576862214&vendorItemId=359988576862209&sourceType=search&rank=4&searchId=a0e6a73fb4fe4a9bb6f73b45abbceb04&q=%E8%B2%93%E8%86%B3%E9%A3%9F
"ABSOLUTE HOLISTIC 主食貓罐 鮪魚+貝類, 80g, 6罐",$204,https://www.tw.coupang.com/products/ABSOLUTE-HOLISTIC-%E4%B8%BB%E9%A3%9F%E8%B2%93%E7%BD%90-%E9%AE%AA%E9%AD%9A%2B%E8%B2%9D%E9%A1%9E-277679995600898?itemId=367551661948937&vendorItemId=367551661932546&sourceType=search&rank=5&searchId=a0e6a73fb4fe4a9bb6f73b45abbceb04&q=%E8%B2%93%E8%86%B3%E9%A3%9F
"EXPERT 艾思柏 強效化毛保健 無穀貓食, 六種魚+膳食纖維, 1.5kg, 4袋","$1,018",https://www.tw.coupang.com/products/EXPERT-%E8%89%BE%E6%80%9D%E6%9F%8F-%E5%BC%B7%E6%95%88%E5%8C%96%E6%AF%9B%E4%BF%9D%E5%81%A5-%E7%84%A1%E7%A9%80%E8%B2%93%E9%A3%9F-269982097162242?itemId=359988576845832&vendorItemId=359988576845826&sourceType=search&rank=6&searchId=a0e6a73fb4fe4a9bb6f73b45abbceb04&q=%E8%B2%93%E8%86%B3%E9%A3%9F
"ABSOLUTE HOLISTIC 主食貓罐 野牧鮮雞, 80g, 6罐",$204,https://www.tw.coupang.com/products/ABSOLUTE-HOLISTIC-%E4%B8%BB%E9%A3%9F%E8%B2%93%E7%BD%90-%E9%87%8E%E7%89%A7%E9%AE%AE%E9%9B%9E-277678934409234?itemId=367551674515458&vendorItemId=367551674548225&sourceType=search&rank=7&searchId=a0e6a73fb4fe4a9bb6f73b45abbceb04&q=%E8%B2%93%E8%86%B3%E9%A3%9F
"ABSOLUTE HOLISTIC 主食貓罐 鮪魚+貝類, 80g, 4罐",$136,https://www.tw.coupang.com/products/ABSOLUTE-HOLISTIC-%E4%B8%BB%E9%A3%9F%E8%B2%93%E7%BD%90-%E9%AE%AA%E9%AD%9A%2B%E8%B2%9D%E9%A1%9E-277679995600898?itemId=367551657754636&vendorItemId=367551657738249&sourceType=search&rank=8&searchId=a0e6a73fb4fe4a9bb6f73b45abbceb04&q=%E8%B2%93%E8%86%B3%E9%A3%9F
"Farmina 法米納 全齡貓乾飼料 PC1, 無穀南瓜+鵪鶉+石榴, 5kg, 1袋","$2,474",https://www.tw.coupang.com/products/Farmina-%E6%B3%95%E7%B1%B3%E7%B4%8D-%E5%85%A8%E9%BD%A1%E8%B2%93%E4%B9%BE%E9%A3%BC%E6%96%99-PC1-259215012642837?itemId=259214022754326&vendorItemId=259215897624590&sourceType=search&rank=9&searchId=a0e6a73fb4fe4a9bb6f73b45abbceb04&q=%E8%B2%93%E8%86%B3%E9%A3%9F
