product_name,product_price,product_url
Coco Fluffy 女式柔軟方跟中長靴 C2467 + 後跟貼片,$628,https://www.tw.coupang.com/products/Coco-Fluffy-%E5%A5%B3%E5%BC%8F%E6%9F%94%E8%BB%9F%E6%96%B9%E8%B7%9F%E4%B8%AD%E9%95%B7%E9%9D%B4-C2467-%2B-%E5%BE%8C%E8%B7%9F%E8%B2%BC%E7%89%87-21006174987505?itemId=21012080398323&vendorItemId=21079352337851&sourceType=search&rank=&searchId=b5ebacd15ecd4ee699991ea709fd9f17&q=%E8%B2%BC%E5%B8%83%E9%9D%B4
Marvel 兒童蜘蛛俠貼片 PVC 靴子 KBMVB10004,$552,https://www.tw.coupang.com/products/Marvel-%E5%85%92%E7%AB%A5%E8%9C%98%E8%9B%9B%E4%BF%A0%E8%B2%BC%E7%89%87-PVC-%E9%9D%B4%E5%AD%90-KBMVB10004-21005641567826?itemId=21009205109034&vendorItemId=21076490870852&sourceType=search&rank=1&searchId=b5ebacd15ecd4ee699991ea709fd9f17&q=%E8%B2%BC%E5%B8%83%E9%9D%B4
Coco Soft 女款柔軟冬季冷墊皮草鞋 C9502 + 後跟貼片,$412,https://www.tw.coupang.com/products/Coco-Soft-%E5%A5%B3%E6%AC%BE%E6%9F%94%E8%BB%9F%E5%86%AC%E5%AD%A3%E5%86%B7%E5%A2%8A%E7%9A%AE%E8%8D%89%E9%9E%8B-C9502-%2B-%E5%BE%8C%E8%B7%9F%E8%B2%BC%E7%89%87-21006175342750?itemId=21012083016444&vendorItemId=21079354936240&sourceType=search&rank=2&searchId=b5ebacd15ecd4ee699991ea709fd9f17&q=%E8%B2%BC%E5%B8%83%E9%9D%B4
Coco 軟踝女式低跟舒適鞋 C2461 + 後跟貼片,$592,https://www.tw.coupang.com/products/Coco-%E8%BB%9F%E8%B8%9D%E5%A5%B3%E5%BC%8F%E4%BD%8E%E8%B7%9F%E8%88%92%E9%81%A9%E9%9E%8B-C2461-%2B-%E5%BE%8C%E8%B7%9F%E8%B2%BC%E7%89%87-21006126170376?itemId=21011648476307&vendorItemId=21078922930846&sourceType=search&rank=3&searchId=b5ebacd15ecd4ee699991ea709fd9f17&q=%E8%B2%BC%E5%B8%83%E9%9D%B4
HUNTER 兒童原創 First 經典天氣圖示貼布靴子 KFT5065RMAAQA,"$2,144",https://www.tw.coupang.com/products/HUNTER-%E5%85%92%E7%AB%A5%E5%8E%9F%E5%89%B5-First-%E7%B6%93%E5%85%B8%E5%A4%A9%E6%B0%A3%E5%9C%96%E7%A4%BA%E8%B2%BC%E5%B8%83%E9%9D%B4%E5%AD%90-KFT5065RMAAQA-21007940217716?itemId=21021867569381&vendorItemId=21088915745809&sourceType=search&rank=4&searchId=b5ebacd15ecd4ee699991ea709fd9f17&q=%E8%B2%BC%E5%B8%83%E9%9D%B4
Coco Foxin 簡單背面拉鍊羊皮靴子 C2209+後跟貼片,$459,https://www.tw.coupang.com/products/Coco-Foxin-%E7%B0%A1%E5%96%AE%E8%83%8C%E9%9D%A2%E6%8B%89%E9%8D%8A%E7%BE%8A%E7%9A%AE%E9%9D%B4%E5%AD%90-C2209%2B%E5%BE%8C%E8%B7%9F%E8%B2%BC%E7%89%87-21006155200742?itemId=21011909757559&vendorItemId=21079182676724&sourceType=search&rank=5&searchId=b5ebacd15ecd4ee699991ea709fd9f17&q=%E8%B2%BC%E5%B8%83%E9%9D%B4
Monspot 女式 Kinez 貼片絨面革抓絨靴 3cm YT_RB1005_AY,$951,https://www.tw.coupang.com/products/Monspot-%E5%A5%B3%E5%BC%8F-Kinez-%E8%B2%BC%E7%89%87%E7%B5%A8%E9%9D%A2%E9%9D%A9%E6%8A%93%E7%B5%A8%E9%9D%B4-3cm-YT_RB1005_AY-21006131271256?itemId=21011693906951&vendorItemId=21078968227272&sourceType=search&rank=6&searchId=b5ebacd15ecd4ee699991ea709fd9f17&q=%E8%B2%BC%E5%B8%83%E9%9D%B4
Coco Soft 女式長低跟舒適靴 C2463 + 後跟貼片,$638,https://www.tw.coupang.com/products/Coco-Soft-%E5%A5%B3%E5%BC%8F%E9%95%B7%E4%BD%8E%E8%B7%9F%E8%88%92%E9%81%A9%E9%9D%B4-C2463-%2B-%E5%BE%8C%E8%B7%9F%E8%B2%BC%E7%89%87-21006155200850?itemId=21011909758393&vendorItemId=21079182677443&sourceType=search&rank=7&searchId=b5ebacd15ecd4ee699991ea709fd9f17&q=%E8%B2%BC%E5%B8%83%E9%9D%B4
Coco Foxin Urban Chic 皮鞋跟靴 C2431 + 鞋跟貼片,$512,https://www.tw.coupang.com/products/Coco-Foxin-Urban-Chic-%E7%9A%AE%E9%9E%8B%E8%B7%9F%E9%9D%B4-C2431-%2B-%E9%9E%8B%E8%B7%9F%E8%B2%BC%E7%89%87-21006155200670?itemId=21011909757058&vendorItemId=21079182676194&sourceType=search&rank=8&searchId=b5ebacd15ecd4ee699991ea709fd9f17&q=%E8%B2%BC%E5%B8%83%E9%9D%B4
Coco Soft 女式長靴 靴子 高跟鞋 C0102 + 後跟貼片 2p,$572,https://www.tw.coupang.com/products/Coco-Soft-%E5%A5%B3%E5%BC%8F%E9%95%B7%E9%9D%B4-%E9%9D%B4%E5%AD%90-%E9%AB%98%E8%B7%9F%E9%9E%8B-C0102-%2B-%E5%BE%8C%E8%B7%9F%E8%B2%BC%E7%89%87-2p-21006107207175?itemId=21011486365950&vendorItemId=21078761686950&sourceType=search&rank=9&searchId=b5ebacd15ecd4ee699991ea709fd9f17&q=%E8%B2%BC%E5%B8%83%E9%9D%B4
