product_name,product_price,product_url
"Hello Living LED磁鐵接頭充電線+轉接頭 6件組, 紅色（電纜），混色（連接器）, 1套, 1m",$100,https://www.tw.coupang.com/products/Hello-Living-LED%E7%A3%81%E9%90%B5%E6%8E%A5%E9%A0%AD%E5%85%85%E9%9B%BB%E7%B7%9A%2B%E8%BD%89%E6%8E%A5%E9%A0%AD-6%E4%BB%B6%E7%B5%84-21005143296901?itemId=21007055336489&vendorItemId=21074347595081&sourceType=search&rank=&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"nexi 8K HDMI V2.1超高清螢幕轉接線, 1個, 0.5m",$69,https://www.tw.coupang.com/products/nexi-8K-HDMI-V2.1%E8%B6%85%E9%AB%98%E6%B8%85%E8%9E%A2%E5%B9%95%E8%BD%89%E6%8E%A5%E7%B7%9A-21001768219844?itemId=21003010860556&vendorItemId=21070999059433&sourceType=search&rank=1&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"iamdue 磁吸式Type-C快速充電傳輸線 M3 1100mm+Type-C轉接頭, 灰色, 1套",$190,https://www.tw.coupang.com/products/iamdue-%E7%A3%81%E5%90%B8%E5%BC%8FType-C%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%82%B3%E8%BC%B8%E7%B7%9A-M3-1100mm%2BType-C%E8%BD%89%E6%8E%A5%E9%A0%AD-21001403777694?itemId=21002438702423&vendorItemId=21070432511699&sourceType=search&rank=2&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"Mcdodo 麥多多 多功能傳輸充電線轉接頭+收納盒, 黑色, 1組",$504,https://www.tw.coupang.com/products/Mcdodo-%E9%BA%A5%E5%A4%9A%E5%A4%9A-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%82%B3%E8%BC%B8%E5%85%85%E9%9B%BB%E7%B7%9A%E8%BD%89%E6%8E%A5%E9%A0%AD%2B%E6%94%B6%E7%B4%8D%E7%9B%92-21006715970339?itemId=21015607806486&vendorItemId=21083107995269&sourceType=search&rank=3&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"codeway DP轉DVI影音轉接線 Full HD 1080P 60Hz, 1個, 1.5m",$306,https://www.tw.coupang.com/products/codeway-DP%E8%BD%89DVI%E5%BD%B1%E9%9F%B3%E8%BD%89%E6%8E%A5%E7%B7%9A-Full-HD-1080P-60Hz-21005264134075?itemId=21007485602016&vendorItemId=21074776393613&sourceType=search&rank=4&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"Next HDMI轉接線 1.4版 NEXT-1001HDCA, 1個, 2m",$49,https://www.tw.coupang.com/products/Next-HDMI%E8%BD%89%E6%8E%A5%E7%B7%9A-1.4%E7%89%88-NEXT-1001HDCA-21001491767748?itemId=21002560825207&vendorItemId=21070553307219&sourceType=search&rank=5&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"nexi COOL RGB螢幕轉接線, 1個, 1.8m",$60,https://www.tw.coupang.com/products/nexi-COOL-RGB%E8%9E%A2%E5%B9%95%E8%BD%89%E6%8E%A5%E7%B7%9A-21001801472778?itemId=21003065142452&vendorItemId=21071053087068&sourceType=search&rank=6&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"Gooseferry 快充轉接器 QC3.0 18W 充電線 1m 套裝, 白色, 1組",$249,https://www.tw.coupang.com/products/Gooseferry-%E5%BF%AB%E5%85%85%E8%BD%89%E6%8E%A5%E5%99%A8-QC3.0-18W-%E5%85%85%E9%9B%BB%E7%B7%9A-1m-%E5%A5%97%E8%A3%9D-21007327435957?itemId=21018805402120&vendorItemId=21085936064654&sourceType=search&rank=7&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"NEXT 顯示器轉接線 -DVI015, 1個, 1.5m",$91,https://www.tw.coupang.com/products/NEXT-%E9%A1%AF%E7%A4%BA%E5%99%A8%E8%BD%89%E6%8E%A5%E7%B7%9A--DVI015-21000333043406?itemId=21001063877017&vendorItemId=21005545207763&sourceType=search&rank=8&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"nexi 8K HDMI V2.1超高清螢幕轉接線, 1個, 1m",$84,https://www.tw.coupang.com/products/nexi-8K-HDMI-V2.1%E8%B6%85%E9%AB%98%E6%B8%85%E8%9E%A2%E5%B9%95%E8%BD%89%E6%8E%A5%E7%B7%9A-21001768219844?itemId=21003010860557&vendorItemId=21070999059451&sourceType=search&rank=9&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"Next HDMI轉接線 1.4版 NEXT-1001HDCA, 1個, 3m",$55,https://www.tw.coupang.com/products/Next-HDMI%E8%BD%89%E6%8E%A5%E7%B7%9A-1.4%E7%89%88-NEXT-1001HDCA-21001491767748?itemId=21002560825208&vendorItemId=21070553307241&sourceType=search&rank=10&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"nexi HDMI 2.0轉DVI轉接線2m, 1條, 2m",$112,https://www.tw.coupang.com/products/nexi-HDMI-2.0%E8%BD%89DVI%E8%BD%89%E6%8E%A5%E7%B7%9A2m-21001801473068?itemId=21000803119485&vendorItemId=21005041117299&sourceType=search&rank=11&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"Machlink Type-A轉Type-B USB 3.0傳輸線 1m, ML-U3B010",$96,https://www.tw.coupang.com/products/Machlink-Type-A%E8%BD%89Type-B-USB-3.0%E5%82%B3%E8%BC%B8%E7%B7%9A-1m-21000140307526?itemId=21000408860300&vendorItemId=21004001301158&sourceType=search&rank=12&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"nexi MICRO HDMI V2.0鏡像金屬轉接線 紅色, 1個, 1m",$76,https://www.tw.coupang.com/products/nexi-MICRO-HDMI-V2.0%E9%8F%A1%E5%83%8F%E9%87%91%E5%B1%AC%E8%BD%89%E6%8E%A5%E7%B7%9A-%E7%B4%85%E8%89%B2-21001768219916?itemId=21003010860681&vendorItemId=21070999059596&sourceType=search&rank=13&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
"nexi 8K HDMI V2.1超高清螢幕轉接線, 1個, 1.5m",$96,https://www.tw.coupang.com/products/nexi-8K-HDMI-V2.1%E8%B6%85%E9%AB%98%E6%B8%85%E8%9E%A2%E5%B9%95%E8%BD%89%E6%8E%A5%E7%B7%9A-21001768219844?itemId=21003010860558&vendorItemId=21070999059464&sourceType=search&rank=14&searchId=af0131bc196447769ea8a7f7fe7eda70&q=%E8%BD%89%E6%8E%A5%E5%82%B3%E8%BC%B8%E7%B7%9A
