product_name,product_price,product_url
"Dali 家用可連接迷你手推車, 黑色, 1個",$333,https://www.tw.coupang.com/products/Dali-%E5%AE%B6%E7%94%A8%E5%8F%AF%E9%80%A3%E6%8E%A5%E8%BF%B7%E4%BD%A0%E6%89%8B%E6%8E%A8%E8%BB%8A-21007300259960?itemId=21018679475448&vendorItemId=21085813671423&sourceType=search&rank=&searchId=cb473e28ce8a45dfbe11987823818f83&q=%E9%81%8B%E8%BC%B8%E6%89%8B%E6%8E%A8%E8%BB%8A
"plick 折疊推車 FMA-HC01S, 黑色的, 1個",$563,https://www.tw.coupang.com/products/plick-%E6%8A%98%E7%96%8A%E6%8E%A8%E8%BB%8A-FMA-HC01S-21006557481671?itemId=21014664945836&vendorItemId=21081906067984&sourceType=search&rank=1&searchId=cb473e28ce8a45dfbe11987823818f83&q=%E9%81%8B%E8%BC%B8%E6%89%8B%E6%8E%A8%E8%BB%8A
"平台手推車黑色版, 1個","$1,570",https://www.tw.coupang.com/products/%E5%B9%B3%E5%8F%B0%E6%89%8B%E6%8E%A8%E8%BB%8A%E9%BB%91%E8%89%B2%E7%89%88-21008308449725?itemId=21023972191457&vendorItemId=21089849147558&sourceType=search&rank=2&searchId=cb473e28ce8a45dfbe11987823818f83&q=%E9%81%8B%E8%BC%B8%E6%89%8B%E6%8E%A8%E8%BB%8A
"World Clean 折疊式無噪音小推車, 1個","$1,633",https://www.tw.coupang.com/products/World-Clean-%E6%8A%98%E7%96%8A%E5%BC%8F%E7%84%A1%E5%99%AA%E9%9F%B3%E5%B0%8F%E6%8E%A8%E8%BB%8A-21006155457211?itemId=21011912075328&vendorItemId=21079184985045&sourceType=search&rank=3&searchId=cb473e28ce8a45dfbe11987823818f83&q=%E9%81%8B%E8%BC%B8%E6%89%8B%E6%8E%A8%E8%BB%8A
"SEINTF 玻璃吸盤, 1個",$96,https://www.tw.coupang.com/products/SEINTF-%E7%8E%BB%E7%92%83%E5%90%B8%E7%9B%A4-21001727846825?itemId=21002940548910&vendorItemId=21074661356773&sourceType=search&rank=4&searchId=cb473e28ce8a45dfbe11987823818f83&q=%E9%81%8B%E8%BC%B8%E6%89%8B%E6%8E%A8%E8%BB%8A
"SMATO 雙頭玻璃吸盤, 1組",$291,https://www.tw.coupang.com/products/SMATO-%E9%9B%99%E9%A0%AD%E7%8E%BB%E7%92%83%E5%90%B8%E7%9B%A4-21004647848432?itemId=21005790741193&vendorItemId=21089275883389&sourceType=search&rank=5&searchId=cb473e28ce8a45dfbe11987823818f83&q=%E9%81%8B%E8%BC%B8%E6%89%8B%E6%8E%A8%E8%BB%8A
"Safe24 高彈性帶條 65mm x 18m, 1條",$326,https://www.tw.coupang.com/products/Safe24-%E9%AB%98%E5%BD%88%E6%80%A7%E5%B8%B6%E6%A2%9D-65mm-x-18m-21004581868509?itemId=21005616820956&vendorItemId=21072916007509&sourceType=search&rank=6&searchId=cb473e28ce8a45dfbe11987823818f83&q=%E9%81%8B%E8%BC%B8%E6%89%8B%E6%8E%A8%E8%BB%8A
"SUPO 低噪音車輪螺栓型通用, 4個",$383,https://www.tw.coupang.com/products/SUPO-%E4%BD%8E%E5%99%AA%E9%9F%B3%E8%BB%8A%E8%BC%AA%E8%9E%BA%E6%A0%93%E5%9E%8B%E9%80%9A%E7%94%A8-21005357883003?itemId=21007899283904&vendorItemId=21075188703530&sourceType=search&rank=7&searchId=cb473e28ce8a45dfbe11987823818f83&q=%E9%81%8B%E8%BC%B8%E6%89%8B%E6%8E%A8%E8%BB%8A
"Kalt 可連接移動輪 1件白色, 4個",$81,https://www.tw.coupang.com/products/Kalt-%E5%8F%AF%E9%80%A3%E6%8E%A5%E7%A7%BB%E5%8B%95%E8%BC%AA-1%E4%BB%B6%E7%99%BD%E8%89%B2-21007828246635?itemId=21021283373061&vendorItemId=21088343407592&sourceType=search&rank=8&searchId=cb473e28ce8a45dfbe11987823818f83&q=%E9%81%8B%E8%BC%B8%E6%89%8B%E6%8E%A8%E8%BB%8A
"MJ Auto Bar 頂鉤棘輪 50mm, 1個",$176,https://www.tw.coupang.com/products/MJ-Auto-Bar-%E9%A0%82%E9%89%A4%E6%A3%98%E8%BC%AA-50mm-21002227906389?itemId=21003800498136&vendorItemId=21071785476926&sourceType=search&rank=9&searchId=cb473e28ce8a45dfbe11987823818f83&q=%E9%81%8B%E8%BC%B8%E6%89%8B%E6%8E%A8%E8%BB%8A
