product_name,product_price,product_url
"SAPA Miracle 硬釣具盒 20L, 白色",$920,https://www.tw.coupang.com/products/SAPA-Miracle-%E7%A1%AC%E9%87%A3%E5%85%B7%E7%9B%92-20L-21005142444393?itemId=21010329135265&vendorItemId=21077611364386&sourceType=search&rank=&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"SAPA 13分區多功能多道具釣具箱H316, 混色",$96,https://www.tw.coupang.com/products/SAPA-13%E5%88%86%E5%8D%80%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%A4%9A%E9%81%93%E5%85%B7%E9%87%A3%E5%85%B7%E7%AE%B1H316-21000031584742?itemId=21000119021943&vendorItemId=21003240551992&sourceType=search&rank=1&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"2層釣魚工具箱, 單色",$227,https://www.tw.coupang.com/products/2%E5%B1%A4%E9%87%A3%E9%AD%9A%E5%B7%A5%E5%85%B7%E7%AE%B1-21005232739365?itemId=21007370417667&vendorItemId=21074661584960&sourceType=search&rank=2&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"Sapa Miracle X Carrier 硬釣具箱 28L STB-MCHT-28, 黑色, 1個","$1,816",https://www.tw.coupang.com/products/Sapa-Miracle-X-Carrier-%E7%A1%AC%E9%87%A3%E5%85%B7%E7%AE%B1-28L-STB-MCHT-28-21007584171879?itemId=21020088150551&vendorItemId=21087183572418&sourceType=search&rank=3&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"Safa 24 隔間 3 門滑車箱 H602, 卡其色",$140,https://www.tw.coupang.com/products/Safa-24-%E9%9A%94%E9%96%93-3-%E9%96%80%E6%BB%91%E8%BB%8A%E7%AE%B1-H602-21007101419365?itemId=21017727770913&vendorItemId=21084892536680&sourceType=search&rank=4&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"MEIHO 釣具箱 VS-908, 單色",$120,https://www.tw.coupang.com/products/MEIHO-%E9%87%A3%E5%85%B7%E7%AE%B1-VS-908-21004632876524?itemId=21005754006025&vendorItemId=21073052613915&sourceType=search&rank=5&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"SAPA 硬質釣具收納箱 20L, 藍色",$920,https://www.tw.coupang.com/products/SAPA-%E7%A1%AC%E8%B3%AA%E9%87%A3%E5%85%B7%E6%94%B6%E7%B4%8D%E7%AE%B1-20L-21005142444393?itemId=21007052320016&vendorItemId=21074344513518&sourceType=search&rank=6&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"利奧漁具箱 YX102, 黑色的",$392,https://www.tw.coupang.com/products/%E5%88%A9%E5%A5%A7%E6%BC%81%E5%85%B7%E7%AE%B1-YX102-21002021487240?itemId=21003438746952&vendorItemId=21071425232479&sourceType=search&rank=7&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"AMSAN 韓國黑色釣具盒, 黑+紅",$299,https://www.tw.coupang.com/products/AMSAN-%E9%9F%93%E5%9C%8B%E9%BB%91%E8%89%B2%E9%87%A3%E5%85%B7%E7%9B%92-21000174610100?itemId=21000498704931&vendorItemId=21004270536083&sourceType=search&rank=8&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"TSURINOYA 1197 雙面釣具盒, 藍色",$198,https://www.tw.coupang.com/products/TSURINOYA-1197-%E9%9B%99%E9%9D%A2%E9%87%A3%E5%85%B7%E7%9B%92-21006743451480?itemId=21015749782600&vendorItemId=21082963537214&sourceType=search&rank=9&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"SAPA Miracle 硬釣具盒 20L, 黑薄荷",$920,https://www.tw.coupang.com/products/SAPA-Miracle-%E7%A1%AC%E9%87%A3%E5%85%B7%E7%9B%92-20L-21005142444393?itemId=21010329135269&vendorItemId=21077611364400&sourceType=search&rank=10&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"多用途多道具釣具箱, 橘子",$400,https://www.tw.coupang.com/products/%E5%A4%9A%E7%94%A8%E9%80%94%E5%A4%9A%E9%81%93%E5%85%B7%E9%87%A3%E5%85%B7%E7%AE%B1-21000033436527?itemId=21000125415918&vendorItemId=21074430455016&sourceType=search&rank=11&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"MEIHO 鬥鼠釣具盒內托盤, 單色",$248,https://www.tw.coupang.com/products/MEIHO-%E9%AC%A5%E9%BC%A0%E9%87%A3%E5%85%B7%E7%9B%92%E5%85%A7%E6%89%98%E7%9B%A4-21004550633021?itemId=21005523764940&vendorItemId=21072823313334&sourceType=search&rank=12&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"SAPA 13分區多功能多道具釣具箱H496, 混色",$188,https://www.tw.coupang.com/products/SAPA-13%E5%88%86%E5%8D%80%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%A4%9A%E9%81%93%E5%85%B7%E9%87%A3%E5%85%B7%E7%AE%B1H496-21000030298502?itemId=21000115388494&vendorItemId=21003231007932&sourceType=search&rank=13&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"SAPA 硬質釣具收納箱 20L, 紅色",$976,https://www.tw.coupang.com/products/SAPA-%E7%A1%AC%E8%B3%AA%E9%87%A3%E5%85%B7%E6%94%B6%E7%B4%8D%E7%AE%B1-20L-21005142444393?itemId=21008885897574&vendorItemId=21076172560494&sourceType=search&rank=14&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"LikeMe 手機類型4-階段硬蓋鏟球箱儲物袋4任務鏟球盒, 灰色 黑色",$561,https://www.tw.coupang.com/products/LikeMe-%E6%89%8B%E6%A9%9F%E9%A1%9E%E5%9E%8B4-%E9%9A%8E%E6%AE%B5%E7%A1%AC%E8%93%8B%E9%8F%9F%E7%90%83%E7%AE%B1%E5%84%B2%E7%89%A9%E8%A2%8B4%E4%BB%BB%E5%8B%99%E9%8F%9F%E7%90%83%E7%9B%92-21000016410409?itemId=21000066856028&vendorItemId=21003623626787&sourceType=search&rank=15&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"Zenta Korea 多箱釣具箱, 單色",$227,https://www.tw.coupang.com/products/Zenta-Korea-%E5%A4%9A%E7%AE%B1%E9%87%A3%E5%85%B7%E7%AE%B1-21000016988940?itemId=21000068554962&vendorItemId=21003898532758&sourceType=search&rank=16&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
"Megadyne Max Lure 釣具箱 JT3008, 混色",$164,https://www.tw.coupang.com/products/Megadyne-Max-Lure-%E9%87%A3%E5%85%B7%E7%AE%B1-JT3008-21004521394075?itemId=21005451716990&vendorItemId=21072751543264&sourceType=search&rank=17&searchId=e64a53121f8c4a1aa86e65c7b0696196&q=%E9%87%A3%E5%85%B7%E7%AE%B1
