product_name,product_price,product_url
Daniel Wellington 女用嬌小夜光錶圈 5 鏈兩色金屬手錶 28 mm,"$7,423",https://www.tw.coupang.com/products/Daniel-Wellington-%E5%A5%B3%E7%94%A8%E5%AC%8C%E5%B0%8F%E5%A4%9C%E5%85%89%E9%8C%B6%E5%9C%88-5-%E9%8F%88%E5%85%A9%E8%89%B2%E9%87%91%E5%B1%AC%E6%89%8B%E9%8C%B6-28-mm-21007691635555?itemId=21020601052225&vendorItemId=21087675782132&sourceType=search&rank=&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
"PARA:D 錶鏈調整工具組, 1套",$386,https://www.tw.coupang.com/products/PARA%3AD-%E9%8C%B6%E9%8F%88%E8%AA%BF%E6%95%B4%E5%B7%A5%E5%85%B7%E7%B5%84-21006089689297?itemId=21011344033456&vendorItemId=21078620483817&sourceType=search&rank=1&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
女士日常簡約彩色雛菊分層鏈手鍊 JR495 + 錶殼,$309,https://www.tw.coupang.com/products/%E5%A5%B3%E5%A3%AB%E6%97%A5%E5%B8%B8%E7%B0%A1%E7%B4%84%E5%BD%A9%E8%89%B2%E9%9B%9B%E8%8F%8A%E5%88%86%E5%B1%A4%E9%8F%88%E6%89%8B%E9%8D%8A-JR495-%2B-%E9%8C%B6%E6%AE%BC-21006610559580?itemId=21014988043511&vendorItemId=21082890870340&sourceType=search&rank=2&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
女式立方鏈 Drop One Touch 金針 Espin 耳環 14K JR421 + 錶殼,$428,https://www.tw.coupang.com/products/%E5%A5%B3%E5%BC%8F%E7%AB%8B%E6%96%B9%E9%8F%88-Drop-One-Touch-%E9%87%91%E9%87%9D-Espin-%E8%80%B3%E7%92%B0-14K-JR421-%2B-%E9%8C%B6%E6%AE%BC-21005243576947?itemId=21007413831901&vendorItemId=21082890871740&sourceType=search&rank=3&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
迷你藝術女式手術大膽心形硬幣鏈手鍊 CH115 + 錶殼套組,$564,https://www.tw.coupang.com/products/%E8%BF%B7%E4%BD%A0%E8%97%9D%E8%A1%93%E5%A5%B3%E5%BC%8F%E6%89%8B%E8%A1%93%E5%A4%A7%E8%86%BD%E5%BF%83%E5%BD%A2%E7%A1%AC%E5%B9%A3%E9%8F%88%E6%89%8B%E9%8D%8A-CH115-%2B-%E9%8C%B6%E6%AE%BC%E5%A5%97%E7%B5%84-21006924526272?itemId=21016734310830&vendorItemId=21083916276943&sourceType=search&rank=4&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
迷你藝術手術鏈手鍊花,$402,https://www.tw.coupang.com/products/%E8%BF%B7%E4%BD%A0%E8%97%9D%E8%A1%93%E6%89%8B%E8%A1%93%E9%8F%88%E6%89%8B%E9%8D%8A%E8%8A%B1-21006922751029?itemId=21016723322225&vendorItemId=21083905469696&sourceType=search&rank=5&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
"SPACE SHIELD 智慧型手錶鑽石金屬鏈錶帶 40mm+防摔保護套組, 玫瑰粉",$616,https://www.tw.coupang.com/products/SPACE-SHIELD-%E6%99%BA%E6%85%A7%E5%9E%8B%E6%89%8B%E9%8C%B6%E9%91%BD%E7%9F%B3%E9%87%91%E5%B1%AC%E9%8F%88%E9%8C%B6%E5%B8%B6-40mm%2B%E9%98%B2%E6%91%94%E4%BF%9D%E8%AD%B7%E5%A5%97%E7%B5%84-21006581986858?itemId=21014815671915&vendorItemId=21082055297855&sourceType=search&rank=6&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
ROMANSON 女士R renata鏈接鏈金屬手錶RWRMLL1B030000RGSI0,"$2,385",https://www.tw.coupang.com/products/ROMANSON-%E5%A5%B3%E5%A3%ABR-renata%E9%8F%88%E6%8E%A5%E9%8F%88%E9%87%91%E5%B1%AC%E6%89%8B%E9%8C%B6RWRMLL1B030000RGSI0-21006586191162?itemId=21014841685440&vendorItemId=21082080945761&sourceType=search&rank=7&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
"SPACE SHIELD 智慧型手錶鑽石金屬鏈錶帶+防摔保護套 20mm組, 金色",$712,https://www.tw.coupang.com/products/SPACE-SHIELD-%E6%99%BA%E6%85%A7%E5%9E%8B%E6%89%8B%E9%8C%B6%E9%91%BD%E7%9F%B3%E9%87%91%E5%B1%AC%E9%8F%88%E9%8C%B6%E5%B8%B6%2B%E9%98%B2%E6%91%94%E4%BF%9D%E8%AD%B7%E5%A5%97-20mm%E7%B5%84-21006576954976?itemId=21014785626854&vendorItemId=21082025669195&sourceType=search&rank=8&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
Mini Art 92.5 銀幣鈴鐺雙線鏈 ANCHET SH135 + 錶殼套組,$532,https://www.tw.coupang.com/products/Mini-Art-92.5-%E9%8A%80%E5%B9%A3%E9%88%B4%E9%90%BA%E9%9B%99%E7%B7%9A%E9%8F%88-ANCHET-SH135-%2B-%E9%8C%B6%E6%AE%BC%E5%A5%97%E7%B5%84-21006850907417?itemId=21016320088999&vendorItemId=21083512188403&sourceType=search&rank=9&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
"SPACE SHIELD 智慧型手錶鑽石金屬鏈錶帶+防摔保護套 20mm組, 銀色",$712,https://www.tw.coupang.com/products/SPACE-SHIELD-%E6%99%BA%E6%85%A7%E5%9E%8B%E6%89%8B%E9%8C%B6%E9%91%BD%E7%9F%B3%E9%87%91%E5%B1%AC%E9%8F%88%E9%8C%B6%E5%B8%B6%2B%E9%98%B2%E6%91%94%E4%BF%9D%E8%AD%B7%E5%A5%97-20mm%E7%B5%84-21006576954976?itemId=21014785626855&vendorItemId=21082025669209&sourceType=search&rank=10&searchId=94b1e797810b43229406ed2a0512080a&q=%E9%8C%B6%E9%8F%88
