product_name,product_price,product_url
the brille 男女共款透明鏡框眼鏡,$460,https://www.tw.coupang.com/products/the-brille-%E7%94%B7%E5%A5%B3%E5%85%B1%E6%AC%BE%E9%80%8F%E6%98%8E%E9%8F%A1%E6%A1%86%E7%9C%BC%E9%8F%A1-21006200023265?itemId=21012295828139&vendorItemId=21086291979378&sourceType=search&rank=&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
Jeep Jeep 金屬框眼鏡 ZA1155_S5,"$1,914",https://www.tw.coupang.com/products/Jeep-Jeep-%E9%87%91%E5%B1%AC%E6%A1%86%E7%9C%BC%E9%8F%A1-ZA1155_S5-21007750486282?itemId=21020875365260&vendorItemId=21087942621609&sourceType=search&rank=1&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
"治癒盾相機鏡頭框強化玻璃膜套裝, 1個",$194,https://www.tw.coupang.com/products/%E6%B2%BB%E7%99%92%E7%9B%BE%E7%9B%B8%E6%A9%9F%E9%8F%A1%E9%A0%AD%E6%A1%86%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%83%E8%86%9C%E5%A5%97%E8%A3%9D-21007473944715?itemId=21023356996777&vendorItemId=21090387582901&sourceType=search&rank=2&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
MELACME 男士女士金屬多邊形圓形眼鏡框,$363,https://www.tw.coupang.com/products/MELACME-%E7%94%B7%E5%A3%AB%E5%A5%B3%E5%A3%AB%E9%87%91%E5%B1%AC%E5%A4%9A%E9%82%8A%E5%BD%A2%E5%9C%93%E5%BD%A2%E7%9C%BC%E9%8F%A1%E6%A1%86-21004340617317?itemId=21005080506801&vendorItemId=21086420495810&sourceType=search&rank=3&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
MELACME Daily Geek 別緻書呆子橢圓形金屬放大鏡框 5687,$384,https://www.tw.coupang.com/products/MELACME-Daily-Geek-%E5%88%A5%E7%B7%BB%E6%9B%B8%E5%91%86%E5%AD%90%E6%A9%A2%E5%9C%93%E5%BD%A2%E9%87%91%E5%B1%AC%E6%94%BE%E5%A4%A7%E9%8F%A1%E6%A1%86-5687-21008067975707?itemId=21022698317591&vendorItemId=21089733975131&sourceType=search&rank=4&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
"RORENTECH 阻擋光線模糊，全覆蓋相機鏡頭框，強化玻璃，手機保護膜套裝, 1組",$112,https://www.tw.coupang.com/products/RORENTECH-%E9%98%BB%E6%93%8B%E5%85%89%E7%B7%9A%E6%A8%A1%E7%B3%8A%EF%BC%8C%E5%85%A8%E8%A6%86%E8%93%8B%E7%9B%B8%E6%A9%9F%E9%8F%A1%E9%A0%AD%E6%A1%86%EF%BC%8C%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%83%EF%BC%8C%E6%89%8B%E6%A9%9F%E4%BF%9D%E8%AD%B7%E8%86%9C%E5%A5%97%E8%A3%9D-21007824476252?itemId=21021262066982&vendorItemId=21088396680308&sourceType=search&rank=5&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
MELACME 韓國產方形雙色眼鏡框,$552,https://www.tw.coupang.com/products/MELACME-%E9%9F%93%E5%9C%8B%E7%94%A2%E6%96%B9%E5%BD%A2%E9%9B%99%E8%89%B2%E7%9C%BC%E9%8F%A1%E6%A1%86-21006512004632?itemId=21014387677434&vendorItemId=21086434230163&sourceType=search&rank=6&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
"oaklans 運動太陽眼鏡框+3鏡片組QX70, 白色(框架)，紅色(鏡頭)",$637,https://www.tw.coupang.com/products/oaklans-%E9%81%8B%E5%8B%95%E5%A4%AA%E9%99%BD%E7%9C%BC%E9%8F%A1%E6%A1%86%2B3%E9%8F%A1%E7%89%87%E7%B5%84QX70-21007973152275?itemId=21022090303082&vendorItemId=21089137305432&sourceType=search&rank=7&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
"MECSEED Maxide 5CX優質鏡頭框相機強化玻璃2p+3CX外置液晶強化玻璃+手機螢幕保護貼2p套裝, 1組",$262,https://www.tw.coupang.com/products/MECSEED-Maxide-5CX%E5%84%AA%E8%B3%AA%E9%8F%A1%E9%A0%AD%E6%A1%86%E7%9B%B8%E6%A9%9F%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%832p%2B3CX%E5%A4%96%E7%BD%AE%E6%B6%B2%E6%99%B6%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%83%2B%E6%89%8B%E6%A9%9F%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%B2%BC2p%E5%A5%97%E8%A3%9D-21008194443047?itemId=21023464447443&vendorItemId=21090491113255&sourceType=search&rank=8&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
"Healing Shield 相機鏡頭框強化玻璃膜, 混色",$226,https://www.tw.coupang.com/products/Healing-Shield-%E7%9B%B8%E6%A9%9F%E9%8F%A1%E9%A0%AD%E6%A1%86%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%83%E8%86%9C-21008146856390?itemId=21023168578498&vendorItemId=21090559174320&sourceType=search&rank=9&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
MELACME 韓國產橢圓形雙色眼鏡框,$484,https://www.tw.coupang.com/products/MELACME-%E9%9F%93%E5%9C%8B%E7%94%A2%E6%A9%A2%E5%9C%93%E5%BD%A2%E9%9B%99%E8%89%B2%E7%9C%BC%E9%8F%A1%E6%A1%86-21006512004739?itemId=21014387678038&vendorItemId=21086337592368&sourceType=search&rank=10&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
2ditor 中性款金屬圓型眼鏡框 可添加鏡片,$387,https://www.tw.coupang.com/products/2ditor-%E4%B8%AD%E6%80%A7%E6%AC%BE%E9%87%91%E5%B1%AC%E5%9C%93%E5%9E%8B%E7%9C%BC%E9%8F%A1%E6%A1%86-%E5%8F%AF%E6%B7%BB%E5%8A%A0%E9%8F%A1%E7%89%87-21005775494820?itemId=21009827362702&vendorItemId=21086387778078&sourceType=search&rank=11&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
"治癒盾平板電腦相機鏡頭框強化玻璃膜套裝, 單色",$226,https://www.tw.coupang.com/products/%E6%B2%BB%E7%99%92%E7%9B%BE%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E7%9B%B8%E6%A9%9F%E9%8F%A1%E9%A0%AD%E6%A1%86%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%83%E8%86%9C%E5%A5%97%E8%A3%9D-21007508309685?itemId=21019668191765&vendorItemId=21086773818392&sourceType=search&rank=12&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
"oaklans 運動太陽眼鏡框+3鏡片組QX70, 黑色(鏡框)、紅色(鏡頭)",$643,https://www.tw.coupang.com/products/oaklans-%E9%81%8B%E5%8B%95%E5%A4%AA%E9%99%BD%E7%9C%BC%E9%8F%A1%E6%A1%86%2B3%E9%8F%A1%E7%89%87%E7%B5%84QX70-21007973152275?itemId=21022090303086&vendorItemId=21089137305442&sourceType=search&rank=13&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
"Healing Shield 相機鏡頭框強化玻璃膜套裝黑色, 1組",$224,https://www.tw.coupang.com/products/Healing-Shield-%E7%9B%B8%E6%A9%9F%E9%8F%A1%E9%A0%AD%E6%A1%86%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%83%E8%86%9C%E5%A5%97%E8%A3%9D%E9%BB%91%E8%89%B2-21007473944715?itemId=21021341224712&vendorItemId=21088399338436&sourceType=search&rank=14&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
MELACME 中性款超輕型透明喇叭框眼鏡 6g,$360,https://www.tw.coupang.com/products/MELACME-%E4%B8%AD%E6%80%A7%E6%AC%BE%E8%B6%85%E8%BC%95%E5%9E%8B%E9%80%8F%E6%98%8E%E5%96%87%E5%8F%AD%E6%A1%86%E7%9C%BC%E9%8F%A1-6g-21006048170111?itemId=21011077920453&vendorItemId=21086250015655&sourceType=search&rank=15&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
BEIMA 圓角框金屬框太陽眼鏡 A2285,$389,https://www.tw.coupang.com/products/BEIMA-%E5%9C%93%E8%A7%92%E6%A1%86%E9%87%91%E5%B1%AC%E6%A1%86%E5%A4%AA%E9%99%BD%E7%9C%BC%E9%8F%A1-A2285-21007092782926?itemId=21017680912224&vendorItemId=21084846146784&sourceType=search&rank=16&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
Melachme 男士女士圓形眼鏡棕色眼鏡框,$356,https://www.tw.coupang.com/products/Melachme-%E7%94%B7%E5%A3%AB%E5%A5%B3%E5%A3%AB%E5%9C%93%E5%BD%A2%E7%9C%BC%E9%8F%A1%E6%A3%95%E8%89%B2%E7%9C%BC%E9%8F%A1%E6%A1%86-21004343125148?itemId=21005086096450&vendorItemId=21086628108565&sourceType=search&rank=17&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
zeroskin iPhone 13 mini ALO鏡面手機殼+鏡頭裝飾框,$444,https://www.tw.coupang.com/products/zeroskin-iPhone-13-mini-ALO%E9%8F%A1%E9%9D%A2%E6%89%8B%E6%A9%9F%E6%AE%BC%2B%E9%8F%A1%E9%A0%AD%E8%A3%9D%E9%A3%BE%E6%A1%86-21006638686619?itemId=21015365350168&vendorItemId=21082585515664&sourceType=search&rank=18&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
momoket 合金框防撞手機殼+鏡頭保護貼+纖維擦拭布組,$423,https://www.tw.coupang.com/products/momoket-%E5%90%88%E9%87%91%E6%A1%86%E9%98%B2%E6%92%9E%E6%89%8B%E6%A9%9F%E6%AE%BC%2B%E9%8F%A1%E9%A0%AD%E4%BF%9D%E8%AD%B7%E8%B2%BC%2B%E7%BA%96%E7%B6%AD%E6%93%A6%E6%8B%AD%E5%B8%83%E7%B5%84-21006357036751?itemId=21013402569279&vendorItemId=21080657300299&sourceType=search&rank=19&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
"Healing Shield 相機鏡頭框強化玻璃膜套裝彩虹, 1組",$224,https://www.tw.coupang.com/products/Healing-Shield-%E7%9B%B8%E6%A9%9F%E9%8F%A1%E9%A0%AD%E6%A1%86%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%83%E8%86%9C%E5%A5%97%E8%A3%9D%E5%BD%A9%E8%99%B9-21007840139498?itemId=21021341224636&vendorItemId=21088399338268&sourceType=search&rank=20&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
Melachme 男士女士六角多邊形圓形 Beta 鈦黑色眼鏡框,$358,https://www.tw.coupang.com/products/Melachme-%E7%94%B7%E5%A3%AB%E5%A5%B3%E5%A3%AB%E5%85%AD%E8%A7%92%E5%A4%9A%E9%82%8A%E5%BD%A2%E5%9C%93%E5%BD%A2-Beta-%E9%88%A6%E9%BB%91%E8%89%B2%E7%9C%BC%E9%8F%A1%E6%A1%86-21002245357521?itemId=21003836992243&vendorItemId=21086261967687&sourceType=search&rank=21&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
Melachme 男士女士鈦金屬方形圓形雙橋波音眼鏡框,$377,https://www.tw.coupang.com/products/Melachme-%E7%94%B7%E5%A3%AB%E5%A5%B3%E5%A3%AB%E9%88%A6%E9%87%91%E5%B1%AC%E6%96%B9%E5%BD%A2%E5%9C%93%E5%BD%A2%E9%9B%99%E6%A9%8B%E6%B3%A2%E9%9F%B3%E7%9C%BC%E9%8F%A1%E6%A1%86-21004339724697?itemId=21005078627992&vendorItemId=21086262827152&sourceType=search&rank=22&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
MELACME 男女共款五角框眼鏡,$356,https://www.tw.coupang.com/products/MELACME-%E7%94%B7%E5%A5%B3%E5%85%B1%E6%AC%BE%E4%BA%94%E8%A7%92%E6%A1%86%E7%9C%BC%E9%8F%A1-21006055317761?itemId=21011113219173&vendorItemId=21086254494085&sourceType=search&rank=23&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
"harpoon 9H金屬框鏡頭保護貼 金色, 1套",$353,https://www.tw.coupang.com/products/harpoon-9H%E9%87%91%E5%B1%AC%E6%A1%86%E9%8F%A1%E9%A0%AD%E4%BF%9D%E8%AD%B7%E8%B2%BC-%E9%87%91%E8%89%B2-21002299626233?itemId=21003961559370&vendorItemId=21074973095420&sourceType=search&rank=24&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
MELACME 男式女式中性加密狗圓形喇叭框眼鏡,$361,https://www.tw.coupang.com/products/MELACME-%E7%94%B7%E5%BC%8F%E5%A5%B3%E5%BC%8F%E4%B8%AD%E6%80%A7%E5%8A%A0%E5%AF%86%E7%8B%97%E5%9C%93%E5%BD%A2%E5%96%87%E5%8F%AD%E6%A1%86%E7%9C%BC%E9%8F%A1-21004783704062?itemId=21006120762263&vendorItemId=21086531526834&sourceType=search&rank=25&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
Melachme 中性超薄圓形透明鏡框眼鏡,$356,https://www.tw.coupang.com/products/Melachme-%E4%B8%AD%E6%80%A7%E8%B6%85%E8%96%84%E5%9C%93%E5%BD%A2%E9%80%8F%E6%98%8E%E9%8F%A1%E6%A1%86%E7%9C%BC%E9%8F%A1-21004325965898?itemId=21005041681710&vendorItemId=21086409634475&sourceType=search&rank=26&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
DeBrille 纖細圓形牛角框金屬眼鏡框 5589,$381,https://www.tw.coupang.com/products/DeBrille-%E7%BA%96%E7%B4%B0%E5%9C%93%E5%BD%A2%E7%89%9B%E8%A7%92%E6%A1%86%E9%87%91%E5%B1%AC%E7%9C%BC%E9%8F%A1%E6%A1%86-5589-21008002484406?itemId=21022293543358&vendorItemId=21089339082260&sourceType=search&rank=27&searchId=5b2a831a9a0749f39bfe11ca677c6a9c&q=%E9%8F%A1%E9%A0%AD%E6%A1%86
