product_name,product_price,product_url
"加厚手提可堆疊牛津布皮提收納儲物箱 18L, 麥香黃, 2個",$214,https://www.tw.coupang.com/products/%E5%8A%A0%E5%8E%9A%E6%89%8B%E6%8F%90%E5%8F%AF%E5%A0%86%E7%96%8A%E7%89%9B%E6%B4%A5%E5%B8%83%E7%9A%AE%E6%8F%90%E6%94%B6%E7%B4%8D%E5%84%B2%E7%89%A9%E7%AE%B1-18L-159153007853570?itemId=440732397584389&vendorItemId=440732397568001&sourceType=search&rank=&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"FAmILyLIFE 生活 上掀式可疊加斜口磁吸收納箱 6.5L 超值3件組 附輪組 A-329 1.6kg, 米白色, 1組",$331,https://www.tw.coupang.com/products/FAmILyLIFE-%E7%94%9F%E6%B4%BB-%E4%B8%8A%E6%8E%80%E5%BC%8F%E5%8F%AF%E7%96%8A%E5%8A%A0%E6%96%9C%E5%8F%A3%E7%A3%81%E5%90%B8%E6%94%B6%E7%B4%8D%E7%AE%B1-6.5L-%E8%B6%85%E5%80%BC3%E4%BB%B6%E7%B5%84-%E9%99%84%E8%BC%AA%E7%B5%84-A-329-1.6kg-455216281387009?itemId=455216281387010&vendorItemId=455216281354241&sourceType=search&rank=1&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"KEYWAY 哈佛手提工具箱 2.2L, 1個",$105,https://www.tw.coupang.com/products/KEYWAY-%E5%93%88%E4%BD%9B%E6%89%8B%E6%8F%90%E5%B7%A5%E5%85%B7%E7%AE%B1-2.2L-160873217769473?itemId=160873637183489&vendorItemId=160873637183488&sourceType=search&rank=2&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"加厚手提可堆疊牛津布收納儲物箱 60L, 牛仔淺藍, 1個",$204,https://www.tw.coupang.com/products/%E5%8A%A0%E5%8E%9A%E6%89%8B%E6%8F%90%E5%8F%AF%E5%A0%86%E7%96%8A%E7%89%9B%E6%B4%A5%E5%B8%83%E6%94%B6%E7%B4%8D%E5%84%B2%E7%89%A9%E7%AE%B1-60L-159152596828170?itemId=159153003659285&vendorItemId=159153003659273&sourceType=search&rank=3&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"KEYWAY 大哈佛手提工具箱 大 4.5L, 1個",$152,https://www.tw.coupang.com/products/KEYWAY-%E5%A4%A7%E5%93%88%E4%BD%9B%E6%89%8B%E6%8F%90%E5%B7%A5%E5%85%B7%E7%AE%B1-%E5%A4%A7-4.5L-160873180020737?itemId=160873599434752&vendorItemId=160872743780352&sourceType=search&rank=4&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"livinbox 悠活置物箱 KD-2936A, 雪白, 1個",$259,https://www.tw.coupang.com/products/livinbox-%E6%82%A0%E6%B4%BB%E7%BD%AE%E7%89%A9%E7%AE%B1-KD-2936A-159447146020864?itemId=159446718169089&vendorItemId=159447557046272&sourceType=search&rank=5&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"OADESK 數字鈔槽保險箱17D, 黑色",$697,https://www.tw.coupang.com/products/OADESK-%E6%95%B8%E5%AD%97%E9%88%94%E6%A7%BD%E4%BF%9D%E9%9A%AA%E7%AE%B117D-21000051410424?itemId=21000181967830&vendorItemId=21003433394066&sourceType=search&rank=6&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"JEJ 黑武士鋼製雙層分隔式手提工具箱 TK-470, 1個",$747,https://www.tw.coupang.com/products/JEJ-%E9%BB%91%E6%AD%A6%E5%A3%AB%E9%8B%BC%E8%A3%BD%E9%9B%99%E5%B1%A4%E5%88%86%E9%9A%94%E5%BC%8F%E6%89%8B%E6%8F%90%E5%B7%A5%E5%85%B7%E7%AE%B1-TK-470-323677010739207?itemId=323677010771972&vendorItemId=323677010771970&sourceType=search&rank=7&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"KEYWAY 中傑森摺疊箱 0.7kg 14L, 藍色, 1個",$126,https://www.tw.coupang.com/products/KEYWAY-%E4%B8%AD%E5%82%91%E6%A3%AE%E6%91%BA%E7%96%8A%E7%AE%B1-0.7kg-14L-153754498203658?itemId=153754498203661&vendorItemId=153752979849222&sourceType=search&rank=8&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"FAmILyLIFE 生活 上掀式可疊加斜口磁吸收納箱 83L 超值3件組 附輪組 A-341 9760g, 米白色, 1組","$2,027",https://www.tw.coupang.com/products/FAmILyLIFE-%E7%94%9F%E6%B4%BB-%E4%B8%8A%E6%8E%80%E5%BC%8F%E5%8F%AF%E7%96%8A%E5%8A%A0%E6%96%9C%E5%8F%A3%E7%A3%81%E5%90%B8%E6%94%B6%E7%B4%8D%E7%AE%B1-83L-%E8%B6%85%E5%80%BC3%E4%BB%B6%E7%B5%84-%E9%99%84%E8%BC%AA%E7%B5%84-A-341-9760g-455557081186307?itemId=455557081169924&vendorItemId=455557081169922&sourceType=search&rank=9&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"FAmILyLIFE 生活 上掀式可疊加斜口磁吸收納箱3件組 附輪組, 米白色, 1組","$1,445",https://www.tw.coupang.com/products/FAmILyLIFE-%E7%94%9F%E6%B4%BB-%E4%B8%8A%E6%8E%80%E5%BC%8F%E5%8F%AF%E7%96%8A%E5%8A%A0%E6%96%9C%E5%8F%A3%E7%A3%81%E5%90%B8%E6%94%B6%E7%B4%8D%E7%AE%B13%E4%BB%B6%E7%B5%84-%E9%99%84%E8%BC%AA%E7%B5%84-455216281370629?itemId=455216281354245&vendorItemId=455216281403394&sourceType=search&rank=10&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"FAmILyLIFE 生活 上掀式可疊加斜口磁吸收納箱3入組附輪組 36L A-335 5260g, 米白色, 1組","$1,154",https://www.tw.coupang.com/products/FAmILyLIFE-%E7%94%9F%E6%B4%BB-%E4%B8%8A%E6%8E%80%E5%BC%8F%E5%8F%AF%E7%96%8A%E5%8A%A0%E6%96%9C%E5%8F%A3%E7%A3%81%E5%90%B8%E6%94%B6%E7%B4%8D%E7%AE%B13%E5%85%A5%E7%B5%84%E9%99%84%E8%BC%AA%E7%B5%84-36L-A-335-5260g-455216277209088?itemId=455216277159936&vendorItemId=455216272998404&sourceType=search&rank=11&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"復古造型鐵桶 L號, 象牙, 1個",$634,https://www.tw.coupang.com/products/%E5%BE%A9%E5%8F%A4%E9%80%A0%E5%9E%8B%E9%90%B5%E6%A1%B6-L%E8%99%9F-21000285975156?itemId=21000906882370&vendorItemId=21005271366026&sourceType=search&rank=12&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"家用鐵梭芯 25入+收納盒, 混色, 1套",$142,https://www.tw.coupang.com/products/%E5%AE%B6%E7%94%A8%E9%90%B5%E6%A2%AD%E8%8A%AF-25%E5%85%A5%2B%E6%94%B6%E7%B4%8D%E7%9B%92-21002373346624?itemId=21004133183323&vendorItemId=21072117102711&sourceType=search&rank=13&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"收銀現金箱, 1個",$758,https://www.tw.coupang.com/products/%E6%94%B6%E9%8A%80%E7%8F%BE%E9%87%91%E7%AE%B1-21005430235974?itemId=21008226504550&vendorItemId=21075514540617&sourceType=search&rank=14&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"MEO 送貨箱 240-140-100, 50個, 單色",$424,https://www.tw.coupang.com/products/MEO-%E9%80%81%E8%B2%A8%E7%AE%B1-240-140-100-21004569556875?itemId=21005580025400&vendorItemId=21072879336429&sourceType=search&rank=15&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"iep 數字家庭辦公室插入式迷你保險箱i3100, 黑色",$752,https://www.tw.coupang.com/products/iep-%E6%95%B8%E5%AD%97%E5%AE%B6%E5%BA%AD%E8%BE%A6%E5%85%AC%E5%AE%A4%E6%8F%92%E5%85%A5%E5%BC%8F%E8%BF%B7%E4%BD%A0%E4%BF%9D%E9%9A%AA%E7%AE%B1i3100-21006294030795?itemId=21012979530787&vendorItemId=21081014542198&sourceType=search&rank=16&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"長方形鐵盒 第3款 13*8.5*5cm 隨機出貨, 2個",$208,https://www.tw.coupang.com/products/%E9%95%B7%E6%96%B9%E5%BD%A2%E9%90%B5%E7%9B%92-%E7%AC%AC3%E6%AC%BE-13*8.5*5cm-%E9%9A%A8%E6%A9%9F%E5%87%BA%E8%B2%A8-21000067552655?itemId=21000225916891&vendorItemId=21003549057569&sourceType=search&rank=17&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
"OADESK 方形數字保險箱, 黑色的","$1,967",https://www.tw.coupang.com/products/OADESK-%E6%96%B9%E5%BD%A2%E6%95%B8%E5%AD%97%E4%BF%9D%E9%9A%AA%E7%AE%B1-21007410780721?itemId=21000181967863&vendorItemId=21003433394078&sourceType=search&rank=18&searchId=4e2153eca6f2405e913a644be85078ad&q=%E9%90%B5%E7%9A%AE%E7%AE%B1%E5%AD%90
