product_name,product_price,product_url
"Toolspia 10種基本硬體+彈匣式鑽頭更換螺絲起子6P顏色隨機+纖維鎚套裝, 17種, 1組",$357,https://www.tw.coupang.com/products/Toolspia-10%E7%A8%AE%E5%9F%BA%E6%9C%AC%E7%A1%AC%E9%AB%94%2B%E5%BD%88%E5%8C%A3%E5%BC%8F%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B%E8%9E%BA%E7%B5%B2%E8%B5%B7%E5%AD%906P%E9%A1%8F%E8%89%B2%E9%9A%A8%E6%A9%9F%2B%E7%BA%96%E7%B6%AD%E9%8E%9A%E5%A5%97%E8%A3%9D-21007457848823?itemId=21019431922438&vendorItemId=21086543162437&sourceType=search&rank=&searchId=95beff1edc6449e1b433aac747bb5990&q=%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B
"ZIO-BIZ 六角鑽頭架 5件套 / 鑽頭六角鑽頭套筒快速更換鑽頭架鑽頭套筒鑽頭存儲鑽頭連桿鑽頭架鑽頭鉤套筒登山扣, 1組",$344,https://www.tw.coupang.com/products/ZIO-BIZ-%E5%85%AD%E8%A7%92%E9%91%BD%E9%A0%AD%E6%9E%B6-5%E4%BB%B6%E5%A5%97-%2F-%E9%91%BD%E9%A0%AD%E5%85%AD%E8%A7%92%E9%91%BD%E9%A0%AD%E5%A5%97%E7%AD%92%E5%BF%AB%E9%80%9F%E6%9B%B4%E6%8F%9B%E9%91%BD%E9%A0%AD%E6%9E%B6%E9%91%BD%E9%A0%AD%E5%A5%97%E7%AD%92%E9%91%BD%E9%A0%AD%E5%AD%98%E5%84%B2%E9%91%BD%E9%A0%AD%E9%80%A3%E6%A1%BF%E9%91%BD%E9%A0%AD%E6%9E%B6%E9%91%BD%E9%A0%AD%E9%89%A4%E5%A5%97%E7%AD%92%E7%99%BB%E5%B1%B1%E6%89%A3-21006812689412?itemId=21016121232370&vendorItemId=21085151370568&sourceType=search&rank=1&searchId=95beff1edc6449e1b433aac747bb5990&q=%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B
"Power Line Longbit Vox 六角快速更換套筒可拆卸 13mm PL118-13, 1個",$184,https://www.tw.coupang.com/products/Power-Line-Longbit-Vox-%E5%85%AD%E8%A7%92%E5%BF%AB%E9%80%9F%E6%9B%B4%E6%8F%9B%E5%A5%97%E7%AD%92%E5%8F%AF%E6%8B%86%E5%8D%B8-13mm-PL118-13-21002354613599?itemId=21004085160613&vendorItemId=21072069161029&sourceType=search&rank=2&searchId=95beff1edc6449e1b433aac747bb5990&q=%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B
"Power Line 長位盒六角快速更換套筒可拆卸 10 毫米 PL118-10, 1個",$162,https://www.tw.coupang.com/products/Power-Line-%E9%95%B7%E4%BD%8D%E7%9B%92%E5%85%AD%E8%A7%92%E5%BF%AB%E9%80%9F%E6%9B%B4%E6%8F%9B%E5%A5%97%E7%AD%92%E5%8F%AF%E6%8B%86%E5%8D%B8-10-%E6%AF%AB%E7%B1%B3-PL118-10-21002354613337?itemId=21004085160039&vendorItemId=21072069160280&sourceType=search&rank=3&searchId=95beff1edc6449e1b433aac747bb5990&q=%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B
"Regens Corner 快速更換磁性批頭架 + 十字批頭組, 1套",$414,https://www.tw.coupang.com/products/Regens-Corner-%E5%BF%AB%E9%80%9F%E6%9B%B4%E6%8F%9B%E7%A3%81%E6%80%A7%E6%89%B9%E9%A0%AD%E6%9E%B6-%2B-%E5%8D%81%E5%AD%97%E6%89%B9%E9%A0%AD%E7%B5%84-21006213273454?itemId=21012395660249&vendorItemId=21084739393793&sourceType=search&rank=4&searchId=95beff1edc6449e1b433aac747bb5990&q=%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B
"SESHIN Buffalo 批頭適配器批頭可更換通用型 113-6296 QCBA38, 1個",$211,https://www.tw.coupang.com/products/SESHIN-Buffalo-%E6%89%B9%E9%A0%AD%E9%81%A9%E9%85%8D%E5%99%A8%E6%89%B9%E9%A0%AD%E5%8F%AF%E6%9B%B4%E6%8F%9B%E9%80%9A%E7%94%A8%E5%9E%8B-113-6296-QCBA38-21005455509286?itemId=21008337263405&vendorItemId=21075625085590&sourceType=search&rank=5&searchId=95beff1edc6449e1b433aac747bb5990&q=%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B
"Queens 帶方便鑽頭更換的驅動器, 2件",$168,https://www.tw.coupang.com/products/Queens-%E5%B8%B6%E6%96%B9%E4%BE%BF%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B%E7%9A%84%E9%A9%85%E5%8B%95%E5%99%A8-21000093519315?itemId=21000289852981&vendorItemId=21003712769132&sourceType=search&rank=6&searchId=95beff1edc6449e1b433aac747bb5990&q=%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B
"SESHIN Buffalo 快速更換鑽頭套筒 QCBS12 12 x 80 mm 112-7119, 1個",$190,https://www.tw.coupang.com/products/SESHIN-Buffalo-%E5%BF%AB%E9%80%9F%E6%9B%B4%E6%8F%9B%E9%91%BD%E9%A0%AD%E5%A5%97%E7%AD%92-QCBS12-12-x-80-mm-112-7119-21006232925178?itemId=21012536257673&vendorItemId=21079804680724&sourceType=search&rank=7&searchId=95beff1edc6449e1b433aac747bb5990&q=%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B
"SESHIN Buffalo 快速更換鑽頭套筒 QCBS08 8 x 80 mm 112-7094, 1個",$189,https://www.tw.coupang.com/products/SESHIN-Buffalo-%E5%BF%AB%E9%80%9F%E6%9B%B4%E6%8F%9B%E9%91%BD%E9%A0%AD%E5%A5%97%E7%AD%92-QCBS08-8-x-80-mm-112-7094-21006232925174?itemId=21012536257606&vendorItemId=21079804680680&sourceType=search&rank=8&searchId=95beff1edc6449e1b433aac747bb5990&q=%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B
"SESHIN Buffalo 快速更換鑽頭套筒 19 x 80 mm QCBS19, 1個",$224,https://www.tw.coupang.com/products/SESHIN-Buffalo-%E5%BF%AB%E9%80%9F%E6%9B%B4%E6%8F%9B%E9%91%BD%E9%A0%AD%E5%A5%97%E7%AD%92-19-x-80-mm-QCBS19-21006080598178?itemId=21011269811014&vendorItemId=21078546719864&sourceType=search&rank=9&searchId=95beff1edc6449e1b433aac747bb5990&q=%E9%91%BD%E9%A0%AD%E6%9B%B4%E6%8F%9B
