product_name,product_price,product_url
"Makemine太空人觸屏腰包手機防水包, 海軍藍, 1個",$331,https://www.tw.coupang.com/products/Makemine%E5%A4%AA%E7%A9%BA%E4%BA%BA%E8%A7%B8%E5%B1%8F%E8%85%B0%E5%8C%85%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-21007196690195?itemId=21018181383950&vendorItemId=21085330391976&sourceType=search&rank=&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"shagwang 4 縫紉遮光屏 5.5 x 8 m, 黑色, 1個","$1,088",https://www.tw.coupang.com/products/shagwang-4-%E7%B8%AB%E7%B4%89%E9%81%AE%E5%85%89%E5%B1%8F-5.5-x-8-m-21001739343484?itemId=21002961289640&vendorItemId=21070949807796&sourceType=search&rank=1&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"shagwang 4 棉籤 95% 遮光屏 5.5 x 8 m, 1個, 西瓜","$1,404",https://www.tw.coupang.com/products/shagwang-4-%E6%A3%89%E7%B1%A4-95%25-%E9%81%AE%E5%85%89%E5%B1%8F-5.5-x-8-m-21001739200172?itemId=21002961048874&vendorItemId=21070949546428&sourceType=search&rank=2&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"Makemine太空人觸屏腰包手機防水包, 粉色, 1個",$331,https://www.tw.coupang.com/products/Makemine%E5%A4%AA%E7%A9%BA%E4%BA%BA%E8%A7%B8%E5%B1%8F%E8%85%B0%E5%8C%85%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-21007196690195?itemId=21018181383971&vendorItemId=21085330392186&sourceType=search&rank=3&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"Lenwave 3層帳篷屋頂 2*2m, 藍色",$639,https://www.tw.coupang.com/products/Lenwave-3%E5%B1%A4%E5%B8%B3%E7%AF%B7%E5%B1%8B%E9%A0%82-2*2m-21000117580699?itemId=21000351480958&vendorItemId=21004275294392&sourceType=search&rank=4&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"Makemine太空人觸屏腰包手機防水包, 黃色, 1個",$331,https://www.tw.coupang.com/products/Makemine%E5%A4%AA%E7%A9%BA%E4%BA%BA%E8%A7%B8%E5%B1%8F%E8%85%B0%E5%8C%85%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-21007196690195?itemId=21018181383956&vendorItemId=21085330392085&sourceType=search&rank=5&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"Makemine太空人觸屏腰包手機防水包, 玫瑰, 1個",$331,https://www.tw.coupang.com/products/Makemine%E5%A4%AA%E7%A9%BA%E4%BA%BA%E8%A7%B8%E5%B1%8F%E8%85%B0%E5%8C%85%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-21007196690195?itemId=21018181383952&vendorItemId=21085330392019&sourceType=search&rank=6&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"Makemine太空人觸屏腰包手機防水包, 綠色, 1個",$331,https://www.tw.coupang.com/products/Makemine%E5%A4%AA%E7%A9%BA%E4%BA%BA%E8%A7%B8%E5%B1%8F%E8%85%B0%E5%8C%85%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-21007196690195?itemId=21018181383973&vendorItemId=21085330392211&sourceType=search&rank=7&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"Makemine太空人觸屏腰包手機防水包, 藍色, 1個",$331,https://www.tw.coupang.com/products/Makemine%E5%A4%AA%E7%A9%BA%E4%BA%BA%E8%A7%B8%E5%B1%8F%E8%85%B0%E5%8C%85%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-21007196690195?itemId=21018181383963&vendorItemId=21085330392139&sourceType=search&rank=8&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"Makemine太空人觸屏腰包手機防水包, 天藍色, 1個",$331,https://www.tw.coupang.com/products/Makemine%E5%A4%AA%E7%A9%BA%E4%BA%BA%E8%A7%B8%E5%B1%8F%E8%85%B0%E5%8C%85%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-21007196690195?itemId=21018181383961&vendorItemId=21085330392113&sourceType=search&rank=9&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
MNX15 男士防水 Flex 無釘球場練習屏男士 Boa 錶盤高爾夫鞋,"$3,546",https://www.tw.coupang.com/products/MNX15-%E7%94%B7%E5%A3%AB%E9%98%B2%E6%B0%B4-Flex-%E7%84%A1%E9%87%98%E7%90%83%E5%A0%B4%E7%B7%B4%E7%BF%92%E5%B1%8F%E7%94%B7%E5%A3%AB-Boa-%E9%8C%B6%E7%9B%A4%E9%AB%98%E7%88%BE%E5%A4%AB%E9%9E%8B-21007295551674?itemId=21018656238087&vendorItemId=21085790963272&sourceType=search&rank=10&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"Makemine太空人觸屏腰包手機防水包, 蜜桃色, 1個",$331,https://www.tw.coupang.com/products/Makemine%E5%A4%AA%E7%A9%BA%E4%BA%BA%E8%A7%B8%E5%B1%8F%E8%85%B0%E5%8C%85%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-21007196690195?itemId=21018181383967&vendorItemId=21085330392168&sourceType=search&rank=11&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"ALTTEURI 實木桌屏隔斷+防水紙套組4p, 核桃（隔板）","$1,920",https://www.tw.coupang.com/products/ALTTEURI-%E5%AF%A6%E6%9C%A8%E6%A1%8C%E5%B1%8F%E9%9A%94%E6%96%B7%2B%E9%98%B2%E6%B0%B4%E7%B4%99%E5%A5%97%E7%B5%844p-21006071317688?itemId=21011210670252&vendorItemId=21078488212109&sourceType=search&rank=12&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"ALTTEURI 實木桌屏隔斷+防水紙套組4p, 橡木（隔板）","$2,088",https://www.tw.coupang.com/products/ALTTEURI-%E5%AF%A6%E6%9C%A8%E6%A1%8C%E5%B1%8F%E9%9A%94%E6%96%B7%2B%E9%98%B2%E6%B0%B4%E7%B4%99%E5%A5%97%E7%B5%844p-21006071317688?itemId=21011210670250&vendorItemId=21078488212102&sourceType=search&rank=13&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"LARGO 可觸屏防水防寒手套, 360度手套黑色(LG-01)",$288,https://www.tw.coupang.com/products/LARGO-%E5%8F%AF%E8%A7%B8%E5%B1%8F%E9%98%B2%E6%B0%B4%E9%98%B2%E5%AF%92%E6%89%8B%E5%A5%97-21006143014229?itemId=21011799957087&vendorItemId=21079351160120&sourceType=search&rank=14&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"LARGO 可觸屏防水防寒手套, 黑色",$217,https://www.tw.coupang.com/products/LARGO-%E5%8F%AF%E8%A7%B8%E5%B1%8F%E9%98%B2%E6%B0%B4%E9%98%B2%E5%AF%92%E6%89%8B%E5%A5%97-21006143014229?itemId=21011799957091&vendorItemId=21085916774415&sourceType=search&rank=15&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"Black Smith 拉鍊款防水天幕, 1個, 燒焦","$1,572",https://www.tw.coupang.com/products/Black-Smith-%E6%8B%89%E9%8D%8A%E6%AC%BE%E9%98%B2%E6%B0%B4%E5%A4%A9%E5%B9%95-21006683530096?itemId=21015420247613&vendorItemId=21082640035720&sourceType=search&rank=16&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"ROTICAMP 輔助遮蔭 遮蔭 自然綠, 輔助遮光屏自然綠",$386,https://www.tw.coupang.com/products/ROTICAMP-%E8%BC%94%E5%8A%A9%E9%81%AE%E8%94%AD-%E9%81%AE%E8%94%AD-%E8%87%AA%E7%84%B6%E7%B6%A0-21000076735241?itemId=21000249042416&vendorItemId=21003607742082&sourceType=search&rank=17&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"遮光 Dangara 無縫遮光屏 95% 雙編織 3 x 10 m, 混合顏色, 1個",$460,https://www.tw.coupang.com/products/%E9%81%AE%E5%85%89-Dangara-%E7%84%A1%E7%B8%AB%E9%81%AE%E5%85%89%E5%B1%8F-95%25-%E9%9B%99%E7%B7%A8%E7%B9%94-3-x-10-m-21001740248379?itemId=21002962764251&vendorItemId=21070951221854&sourceType=search&rank=18&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
"Shakwang 4 棉遮光屏 5.5 x 8 m, 彩虹, 1個","$1,088",https://www.tw.coupang.com/products/Shakwang-4-%E6%A3%89%E9%81%AE%E5%85%89%E5%B1%8F-5.5-x-8-m-21001739343477?itemId=21002961289633&vendorItemId=21070949807781&sourceType=search&rank=19&searchId=3f2cc01ac43a4e32b033abbb2e651f49&q=%E9%98%B2%E6%B0%B4%E5%B1%8F
