product_name,product_price,product_url
"HANEE 雙層防水游泳包, 藍色",$218,https://www.tw.coupang.com/products/HANEE-%E9%9B%99%E5%B1%A4%E9%98%B2%E6%B0%B4%E6%B8%B8%E6%B3%B3%E5%8C%85-21007677003155?itemId=21020495273989&vendorItemId=21088946447147&sourceType=search&rank=&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
Pokemon 寶可夢 角色印花游泳用品透明防水包,$367,https://www.tw.coupang.com/products/Pokemon-%E5%AF%B6%E5%8F%AF%E5%A4%A2-%E8%A7%92%E8%89%B2%E5%8D%B0%E8%8A%B1%E6%B8%B8%E6%B3%B3%E7%94%A8%E5%93%81%E9%80%8F%E6%98%8E%E9%98%B2%E6%B0%B4%E5%8C%85-21006902595687?itemId=21016606607973&vendorItemId=21083382129555&sourceType=search&rank=1&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"insular 茵秀麗 多功能防水媽媽包 後背包, 藏青小熊, 1組","$1,242",https://www.tw.coupang.com/products/insular-%E8%8C%B5%E7%A7%80%E9%BA%97-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%98%B2%E6%B0%B4%E5%AA%BD%E5%AA%BD%E5%8C%85-%E5%BE%8C%E8%83%8C%E5%8C%85-234898572918784?itemId=234899428589569&vendorItemId=234900191936512&sourceType=search&rank=2&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"HANEE 雙層防水游泳包, 粉色",$218,https://www.tw.coupang.com/products/HANEE-%E9%9B%99%E5%B1%A4%E9%98%B2%E6%B0%B4%E6%B8%B8%E6%B3%B3%E5%8C%85-21007677003155?itemId=21020495273988&vendorItemId=21088946447065&sourceType=search&rank=3&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"Skywell 防水 IPX8 四鎖 360 度氣墊浮動高級智能手機觸摸防水包 + 頸帶, 黑色, 2個",$241,https://www.tw.coupang.com/products/Skywell-%E9%98%B2%E6%B0%B4-IPX8-%E5%9B%9B%E9%8E%96-360-%E5%BA%A6%E6%B0%A3%E5%A2%8A%E6%B5%AE%E5%8B%95%E9%AB%98%E7%B4%9A%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E8%A7%B8%E6%91%B8%E9%98%B2%E6%B0%B4%E5%8C%85-%2B-%E9%A0%B8%E5%B8%B6-21007252259421?itemId=21018450498428&vendorItemId=21085591284381&sourceType=search&rank=4&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"Shinjimoru 海綿管四重鎖智能手機防水包 + 交叉帶 + 臂帶 + 手帶套組, 白色, 1組",$239,https://www.tw.coupang.com/products/Shinjimoru-%E6%B5%B7%E7%B6%BF%E7%AE%A1%E5%9B%9B%E9%87%8D%E9%8E%96%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-%2B-%E4%BA%A4%E5%8F%89%E5%B8%B6-%2B-%E8%87%82%E5%B8%B6-%2B-%E6%89%8B%E5%B8%B6%E5%A5%97%E7%B5%84-21007342693694?itemId=21018876369675&vendorItemId=21086004954806&sourceType=search&rank=5&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"HANEE 雙層防水游泳包, 黑色",$218,https://www.tw.coupang.com/products/HANEE-%E9%9B%99%E5%B1%A4%E9%98%B2%E6%B0%B4%E6%B8%B8%E6%B3%B3%E5%8C%85-21007677003155?itemId=21020495273984&vendorItemId=21088946447163&sourceType=search&rank=6&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"Sinjimoru 多用途存儲氣墊智能手機防水包, 黑色, 1個",$375,https://www.tw.coupang.com/products/Sinjimoru-%E5%A4%9A%E7%94%A8%E9%80%94%E5%AD%98%E5%84%B2%E6%B0%A3%E5%A2%8A%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-21007330566805?itemId=21018819192460&vendorItemId=21085949561583&sourceType=search&rank=7&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"超值 M 高級智能手機防水包 L, 黑色, 2個",$288,https://www.tw.coupang.com/products/%E8%B6%85%E5%80%BC-M-%E9%AB%98%E7%B4%9A%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85-L-21008259551876?itemId=21023791715298&vendorItemId=21085487220308&sourceType=search&rank=8&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"Skywell 防水 IPX8 四鎖 360 度氣墊浮動高級智能手機觸摸防水包 + 頸帶, Clova White, 2個",$241,https://www.tw.coupang.com/products/Skywell-%E9%98%B2%E6%B0%B4-IPX8-%E5%9B%9B%E9%8E%96-360-%E5%BA%A6%E6%B0%A3%E5%A2%8A%E6%B5%AE%E5%8B%95%E9%AB%98%E7%B4%9A%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E8%A7%B8%E6%91%B8%E9%98%B2%E6%B0%B4%E5%8C%85-%2B-%E9%A0%B8%E5%B8%B6-21007252259421?itemId=21018450498426&vendorItemId=21085591284361&sourceType=search&rank=9&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"HANEE 雙層防水游泳包, 白色",$214,https://www.tw.coupang.com/products/HANEE-%E9%9B%99%E5%B1%A4%E9%98%B2%E6%B0%B4%E6%B8%B8%E6%B3%B3%E5%8C%85-21007677003155?itemId=21022680671463&vendorItemId=21089716881791&sourceType=search&rank=10&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"LULU 防水輕便手提斜背包+配件組, 黑色（包），隨機發貨（配件）",$405,https://www.tw.coupang.com/products/LULU-%E9%98%B2%E6%B0%B4%E8%BC%95%E4%BE%BF%E6%89%8B%E6%8F%90%E6%96%9C%E8%83%8C%E5%8C%85%2B%E9%85%8D%E4%BB%B6%E7%B5%84-21000230797327?itemId=21000731946746&vendorItemId=21084297771863&sourceType=search&rank=11&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"rorentech 多功能防水收納袋, 黑色",$193,https://www.tw.coupang.com/products/rorentech-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%98%B2%E6%B0%B4%E6%94%B6%E7%B4%8D%E8%A2%8B-21001909012773?itemId=21003241424264&vendorItemId=21071228616373&sourceType=search&rank=12&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"BEAUTE HOUSE 防水午睡被收納袋, 藍色 北極熊款, 1入",$239,https://www.tw.coupang.com/products/BEAUTE-HOUSE-%E9%98%B2%E6%B0%B4%E5%8D%88%E7%9D%A1%E8%A2%AB%E6%94%B6%E7%B4%8D%E8%A2%8B-21004729948461?itemId=21005992535968&vendorItemId=21073290336485&sourceType=search&rank=13&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"Skywell 防水 IPX8 四鎖 360 度氣墊浮動高級智能手機觸摸防水包 + 頸帶, Clova White, 1個",$141,https://www.tw.coupang.com/products/Skywell-%E9%98%B2%E6%B0%B4-IPX8-%E5%9B%9B%E9%8E%96-360-%E5%BA%A6%E6%B0%A3%E5%A2%8A%E6%B5%AE%E5%8B%95%E9%AB%98%E7%B4%9A%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E8%A7%B8%E6%91%B8%E9%98%B2%E6%B0%B4%E5%8C%85-%2B-%E9%A0%B8%E5%B8%B6-21007252259421?itemId=21018450498427&vendorItemId=21085591284372&sourceType=search&rank=14&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"LULU 女款素色防水雙肩包+配件 隨機出貨, 薄荷",$459,https://www.tw.coupang.com/products/LULU-%E5%A5%B3%E6%AC%BE%E7%B4%A0%E8%89%B2%E9%98%B2%E6%B0%B4%E9%9B%99%E8%82%A9%E5%8C%85%2B%E9%85%8D%E4%BB%B6-%E9%9A%A8%E6%A9%9F%E5%87%BA%E8%B2%A8-21006416900804?itemId=21013786949030&vendorItemId=21082402156362&sourceType=search&rank=15&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"大眼睛防水泳包, 黑色",$176,https://www.tw.coupang.com/products/%E5%A4%A7%E7%9C%BC%E7%9D%9B%E9%98%B2%E6%B0%B4%E6%B3%B3%E5%8C%85-21007530386215?itemId=21019770450766&vendorItemId=21086873550758&sourceType=search&rank=16&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"BEAUTE HOUSE 防水午睡被收納袋, 灰色 北極熊款, 1入",$239,https://www.tw.coupang.com/products/BEAUTE-HOUSE-%E9%98%B2%E6%B0%B4%E5%8D%88%E7%9D%A1%E8%A2%AB%E6%94%B6%E7%B4%8D%E8%A2%8B-21004729948461?itemId=21005992535947&vendorItemId=21073290336406&sourceType=search&rank=17&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"rorentech 多功能防水收納袋, 黃色",$193,https://www.tw.coupang.com/products/rorentech-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%98%B2%E6%B0%B4%E6%94%B6%E7%B4%8D%E8%A2%8B-21001909012773?itemId=21003241424262&vendorItemId=21071228616360&sourceType=search&rank=18&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"spigen 多功能收納背包防水包 Aqua Shield A620 AMP04532, 黑色",$436,https://www.tw.coupang.com/products/spigen-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%94%B6%E7%B4%8D%E8%83%8C%E5%8C%85%E9%98%B2%E6%B0%B4%E5%8C%85-Aqua-Shield-A620-AMP04532-21007488109439?itemId=21016772109027&vendorItemId=21083953314100&sourceType=search&rank=19&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"iMall 雙口袋雙鎖智慧型手機防水包+頸帶套裝, 1組, 黑色",$378,https://www.tw.coupang.com/products/iMall-%E9%9B%99%E5%8F%A3%E8%A2%8B%E9%9B%99%E9%8E%96%E6%99%BA%E6%85%A7%E5%9E%8B%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E5%8C%85%2B%E9%A0%B8%E5%B8%B6%E5%A5%97%E8%A3%9D-21007434886813?itemId=21019319137710&vendorItemId=21086532363500&sourceType=search&rank=20&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"LULU 輕便防水旅行後背包, 薄荷色(雙肩包)+隨機出貨(配件)",$493,https://www.tw.coupang.com/products/LULU-%E8%BC%95%E4%BE%BF%E9%98%B2%E6%B0%B4%E6%97%85%E8%A1%8C%E5%BE%8C%E8%83%8C%E5%8C%85-21006418072158?itemId=21013793348619&vendorItemId=21084373891819&sourceType=search&rank=21&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
"Arari 防水交叉包, 清除, 1個",$386,https://www.tw.coupang.com/products/Arari-%E9%98%B2%E6%B0%B4%E4%BA%A4%E5%8F%89%E5%8C%85-21007356185036?itemId=21018941345676&vendorItemId=21086067816924&sourceType=search&rank=22&searchId=142e8b45ac324208a38f9fcd4bf82e49&q=%E9%98%B2%E6%B0%B4%E9%85%8D%E4%BB%B6%E5%8C%85
