product_name,product_price,product_url
"stephan joseph 吸管杯, 空間, 1個, 280ml",$419,https://www.tw.coupang.com/products/stephan-joseph-%E5%90%B8%E7%AE%A1%E6%9D%AF-21005359198713?itemId=21019064113982&vendorItemId=21086186966191&sourceType=search&rank=&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
RAFFIDENT Adhesive Air Nose Rest (Domestic) 眼鏡墊片,$341,https://www.tw.coupang.com/products/RAFFIDENT-Adhesive-Air-Nose-Rest-(Domestic)-%E7%9C%BC%E9%8F%A1%E5%A2%8A%E7%89%87-21006566431211?itemId=21014722551771&vendorItemId=21086421077846&sourceType=search&rank=1&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"夏季手機防水袋, 黑色",$537,https://www.tw.coupang.com/products/%E5%A4%8F%E5%AD%A3%E6%89%8B%E6%A9%9F%E9%98%B2%E6%B0%B4%E8%A2%8B-21006643504617?itemId=21015195707480&vendorItemId=21085928889171&sourceType=search&rank=2&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"翻蓋幼兒吸管杯, 空間, 2個",$694,https://www.tw.coupang.com/products/%E7%BF%BB%E8%93%8B%E5%B9%BC%E5%85%92%E5%90%B8%E7%AE%A1%E6%9D%AF-21005359198713?itemId=21022931062447&vendorItemId=21089965432136&sourceType=search&rank=3&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"HONGWHASOO 紅花秀 玫瑰水潤肌膚護手霜, 60ml, 1入",$142,https://www.tw.coupang.com/products/HONGWHASOO-%E7%B4%85%E8%8A%B1%E7%A7%80-%E7%8E%AB%E7%91%B0%E6%B0%B4%E6%BD%A4%E8%82%8C%E8%86%9A%E8%AD%B7%E6%89%8B%E9%9C%9C-21000164863366?itemId=21000472853802&vendorItemId=21004183271678&sourceType=search&rank=4&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"stephan joseph 吸管杯, 樹懶, 1個, 280ml",$420,https://www.tw.coupang.com/products/stephan-joseph-%E5%90%B8%E7%AE%A1%E6%9D%AF-21005359198713?itemId=21019064113986&vendorItemId=21086186966203&sourceType=search&rank=5&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"翻蓋幼兒吸管杯, 空間, 3個","$1,040",https://www.tw.coupang.com/products/%E7%BF%BB%E8%93%8B%E5%B9%BC%E5%85%92%E5%90%B8%E7%AE%A1%E6%9D%AF-21005359198713?itemId=21022931062498&vendorItemId=21089965432199&sourceType=search&rank=6&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"金伯特側視鏡後視鏡雨罩雨罩, 碳A型, 1個",$280,https://www.tw.coupang.com/products/%E9%87%91%E4%BC%AF%E7%89%B9%E5%81%B4%E8%A6%96%E9%8F%A1%E5%BE%8C%E8%A6%96%E9%8F%A1%E9%9B%A8%E7%BD%A9%E9%9B%A8%E7%BD%A9-21006880972944?itemId=21016489267552&vendorItemId=21086703663695&sourceType=search&rank=7&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"輝煌的矽膠水槽拍板, 藍薄荷, 1個",$107,https://www.tw.coupang.com/products/%E8%BC%9D%E7%85%8C%E7%9A%84%E7%9F%BD%E8%86%A0%E6%B0%B4%E6%A7%BD%E6%8B%8D%E6%9D%BF-21000230019940?itemId=21000729447739&vendorItemId=21004844811435&sourceType=search&rank=8&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"bello 兩節防雨插座銀, 1個",$166,https://www.tw.coupang.com/products/bello-%E5%85%A9%E7%AF%80%E9%98%B2%E9%9B%A8%E6%8F%92%E5%BA%A7%E9%8A%80-21000037370264?itemId=21000137622300&vendorItemId=21003295742354&sourceType=search&rank=9&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"It's Living 防染色洗衣片, 1個, 100件",$236,https://www.tw.coupang.com/products/It's-Living-%E9%98%B2%E6%9F%93%E8%89%B2%E6%B4%97%E8%A1%A3%E7%89%87-21007193345612?itemId=21014638557228&vendorItemId=21081880059517&sourceType=search&rank=10&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"aru 防雨 2 孔插座型銀, 1個",$143,https://www.tw.coupang.com/products/aru-%E9%98%B2%E9%9B%A8-2-%E5%AD%94%E6%8F%92%E5%BA%A7%E5%9E%8B%E9%8A%80-21000028306342?itemId=21000108921169&vendorItemId=21003211749029&sourceType=search&rank=11&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"輝煌的矽膠水槽拍板, 粉色的, 1個",$107,https://www.tw.coupang.com/products/%E8%BC%9D%E7%85%8C%E7%9A%84%E7%9F%BD%E8%86%A0%E6%B0%B4%E6%A7%BD%E6%8B%8D%E6%9D%BF-21000230019940?itemId=21000729447754&vendorItemId=21004844811447&sourceType=search&rank=12&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
HELLO SIMPLE 孕婦素色緊身褲,$314,https://www.tw.coupang.com/products/HELLO-SIMPLE-%E5%AD%95%E5%A9%A6%E7%B4%A0%E8%89%B2%E7%B7%8A%E8%BA%AB%E8%A4%B2-21000039188295?itemId=21000144179012&vendorItemId=21003315272737&sourceType=search&rank=13&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
眼鏡防滑鼻墊貼組 80個入,$228,https://www.tw.coupang.com/products/%E7%9C%BC%E9%8F%A1%E9%98%B2%E6%BB%91%E9%BC%BB%E5%A2%8A%E8%B2%BC%E7%B5%84-80%E5%80%8B%E5%85%A5-21006699289439?itemId=21015511540433&vendorItemId=21085934930131&sourceType=search&rank=14&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
RAFFIDENT 矽膠鏡框防滑鼻墊,$292,https://www.tw.coupang.com/products/RAFFIDENT-%E7%9F%BD%E8%86%A0%E9%8F%A1%E6%A1%86%E9%98%B2%E6%BB%91%E9%BC%BB%E5%A2%8A-21006656519849?itemId=21015268862528&vendorItemId=21086419800012&sourceType=search&rank=15&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"翻蓋幼兒吸管杯, 樹懶, 3個","$1,045",https://www.tw.coupang.com/products/%E7%BF%BB%E8%93%8B%E5%B9%BC%E5%85%92%E5%90%B8%E7%AE%A1%E6%9D%AF-21005359198713?itemId=21022931062654&vendorItemId=21089965432303&sourceType=search&rank=16&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
"翻蓋幼兒吸管杯, 樹懶, 2個",$696,https://www.tw.coupang.com/products/%E7%BF%BB%E8%93%8B%E5%B9%BC%E5%85%92%E5%90%B8%E7%AE%A1%E6%9D%AF-21005359198713?itemId=21022931062581&vendorItemId=21089965432262&sourceType=search&rank=17&searchId=ec00262d342c47d695ae9b979bc7a2b8&q=%E9%98%B2%E6%BB%B4%E6%B0%B4
