product_name,product_price,product_url
"HOCHIKI 防災專家 10年型偵熱火災警報器, 白色, 1個",$458,https://www.tw.coupang.com/products/HOCHIKI-%E9%98%B2%E7%81%BD%E5%B0%88%E5%AE%B6-10%E5%B9%B4%E5%9E%8B%E5%81%B5%E7%86%B1%E7%81%AB%E7%81%BD%E8%AD%A6%E5%A0%B1%E5%99%A8-167123649282048?itemId=167124098056192&vendorItemId=167123175292928&sourceType=search&rank=&searchId=bd64c7f63dfd495582b17f9ce00b215b&q=%E9%98%B2%E7%81%BD%E7%B5%84%E5%90%88%E5%8C%85
"Winprice 急救 2 階段急救包小鈷, 1個",$150,https://www.tw.coupang.com/products/Winprice-%E6%80%A5%E6%95%91-2-%E9%9A%8E%E6%AE%B5%E6%80%A5%E6%95%91%E5%8C%85%E5%B0%8F%E9%88%B7-21005878583593?itemId=21010304369229&vendorItemId=21077586655348&sourceType=search&rank=1&searchId=bd64c7f63dfd495582b17f9ce00b215b&q=%E9%98%B2%E7%81%BD%E7%B5%84%E5%90%88%E5%8C%85
"Breezmoon 錐形高強度鍛造包 鍍鉻 8p + 收納蓋套裝, 1組",$144,https://www.tw.coupang.com/products/Breezmoon-%E9%8C%90%E5%BD%A2%E9%AB%98%E5%BC%B7%E5%BA%A6%E9%8D%9B%E9%80%A0%E5%8C%85-%E9%8D%8D%E9%89%BB-8p-%2B-%E6%94%B6%E7%B4%8D%E8%93%8B%E5%A5%97%E8%A3%9D-21007610630044?itemId=21020155526757&vendorItemId=21087248318891&sourceType=search&rank=2&searchId=bd64c7f63dfd495582b17f9ce00b215b&q=%E9%98%B2%E7%81%BD%E7%B5%84%E5%90%88%E5%8C%85
"MERIEL 攜帶式急救包 紅色, 1個",$136,https://www.tw.coupang.com/products/MERIEL-%E6%94%9C%E5%B8%B6%E5%BC%8F%E6%80%A5%E6%95%91%E5%8C%85-%E7%B4%85%E8%89%B2-21002136459488?itemId=21003627759125&vendorItemId=21071613341532&sourceType=search&rank=3&searchId=bd64c7f63dfd495582b17f9ce00b215b&q=%E9%98%B2%E7%81%BD%E7%B5%84%E5%90%88%E5%8C%85
"Breezmoon 魷魚甲板包 10 便士 + 容器 10 便士 + 收納袋套裝, 黑色（登山扣）, 1組",$234,https://www.tw.coupang.com/products/Breezmoon-%E9%AD%B7%E9%AD%9A%E7%94%B2%E6%9D%BF%E5%8C%85-10-%E4%BE%BF%E5%A3%AB-%2B-%E5%AE%B9%E5%99%A8-10-%E4%BE%BF%E5%A3%AB-%2B-%E6%94%B6%E7%B4%8D%E8%A2%8B%E5%A5%97%E8%A3%9D-21007657806136?itemId=21020393137920&vendorItemId=21087475828028&sourceType=search&rank=4&searchId=bd64c7f63dfd495582b17f9ce00b215b&q=%E9%98%B2%E7%81%BD%E7%B5%84%E5%90%88%E5%8C%85
"Afecto 鍛造包 10p + 鍛造包款 + 露營錘 + 發光環 10p + 袋套裝, 1組",$658,https://www.tw.coupang.com/products/Afecto-%E9%8D%9B%E9%80%A0%E5%8C%85-10p-%2B-%E9%8D%9B%E9%80%A0%E5%8C%85%E6%AC%BE-%2B-%E9%9C%B2%E7%87%9F%E9%8C%98-%2B-%E7%99%BC%E5%85%89%E7%92%B0-10p-%2B-%E8%A2%8B%E5%A5%97%E8%A3%9D-21007619810080?itemId=21020199420844&vendorItemId=21087290182813&sourceType=search&rank=5&searchId=bd64c7f63dfd495582b17f9ce00b215b&q=%E9%98%B2%E7%81%BD%E7%B5%84%E5%90%88%E5%8C%85
"gE 應急包 H4 1 套, 混色, 1套",$254,https://www.tw.coupang.com/products/gE-%E6%87%89%E6%80%A5%E5%8C%85-H4-1-%E5%A5%97-21000069178914?itemId=21000231573043&vendorItemId=21003565281296&sourceType=search&rank=6&searchId=bd64c7f63dfd495582b17f9ce00b215b&q=%E9%98%B2%E7%81%BD%E7%B5%84%E5%90%88%E5%8C%85
"ABM 急救包+郵袋套組, 1套, 綠色",$288,https://www.tw.coupang.com/products/ABM-%E6%80%A5%E6%95%91%E5%8C%85%2B%E9%83%B5%E8%A2%8B%E5%A5%97%E7%B5%84-21007216831844?itemId=21018278128664&vendorItemId=21085424142704&sourceType=search&rank=7&searchId=bd64c7f63dfd495582b17f9ce00b215b&q=%E9%98%B2%E7%81%BD%E7%B5%84%E5%90%88%E5%8C%85
"Next Safe Lifebook 救災包 急救用品 救災用品, 2個",$649,https://www.tw.coupang.com/products/Next-Safe-Lifebook-%E6%95%91%E7%81%BD%E5%8C%85-%E6%80%A5%E6%95%91%E7%94%A8%E5%93%81-%E6%95%91%E7%81%BD%E7%94%A8%E5%93%81-21000189261674?itemId=21020091410436&vendorItemId=21087186771216&sourceType=search&rank=8&searchId=bd64c7f63dfd495582b17f9ce00b215b&q=%E9%98%B2%E7%81%BD%E7%B5%84%E5%90%88%E5%8C%85
"Arico 多功能 3 層急救包 藍色 L, 1個",$311,https://www.tw.coupang.com/products/Arico-%E5%A4%9A%E5%8A%9F%E8%83%BD-3-%E5%B1%A4%E6%80%A5%E6%95%91%E5%8C%85-%E8%97%8D%E8%89%B2-L-21006682852313?itemId=21015417112171&vendorItemId=21082636929967&sourceType=search&rank=9&searchId=bd64c7f63dfd495582b17f9ce00b215b&q=%E9%98%B2%E7%81%BD%E7%B5%84%E5%90%88%E5%8C%85
