product_name,product_price,product_url
"3M 兒童安全防護邊條 #9950, 米白色, 1盒",$298,https://www.tw.coupang.com/products/3M-%E5%85%92%E7%AB%A5%E5%AE%89%E5%85%A8%E9%98%B2%E8%AD%B7%E9%82%8A%E6%A2%9D-%239950-158406409158670?itemId=158405578670093&vendorItemId=158406002327556&sourceType=search&rank=&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"CAR-BOY 尖角防護貼條, 白色, 2包",$198,https://www.tw.coupang.com/products/CAR-BOY-%E5%B0%96%E8%A7%92%E9%98%B2%E8%AD%B7%E8%B2%BC%E6%A2%9D-244969029746690?itemId=277697229979651&vendorItemId=277695212503041&sourceType=search&rank=1&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"3M 兒童安全防護邊條, 2m, 粉綠, 1盒",$300,https://www.tw.coupang.com/products/3M-%E5%85%92%E7%AB%A5%E5%AE%89%E5%85%A8%E9%98%B2%E8%AD%B7%E9%82%8A%E6%A2%9D-158406430130186?itemId=158406023299083&vendorItemId=158406023299074&sourceType=search&rank=2&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"YODA 優的寶貝 LINE FRIENDS加厚防撞角 4入, 熊大款, 2組",$198,https://www.tw.coupang.com/products/YODA-%E5%84%AA%E7%9A%84%E5%AF%B6%E8%B2%9D-LINE-FRIENDS%E5%8A%A0%E5%8E%9A%E9%98%B2%E6%92%9E%E8%A7%92-4%E5%85%A5-245344596115462?itemId=311654042550275&vendorItemId=311654042550272&sourceType=search&rank=3&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"vanibaby 雙色加厚安全防撞角, 灰色, 10個",$86,https://www.tw.coupang.com/products/vanibaby-%E9%9B%99%E8%89%B2%E5%8A%A0%E5%8E%9A%E5%AE%89%E5%85%A8%E9%98%B2%E6%92%9E%E8%A7%92-233457619812357?itemId=233458374770706&vendorItemId=233457619812354&sourceType=search&rank=4&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"vanibaby L型 雙色加厚防撞邊, 2m, 灰色, 2條",$288,https://www.tw.coupang.com/products/vanibaby-L%E5%9E%8B-%E9%9B%99%E8%89%B2%E5%8A%A0%E5%8E%9A%E9%98%B2%E6%92%9E%E9%82%8A-233457624006661?itemId=233458383159301&vendorItemId=233458383159298&sourceType=search&rank=5&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"vanibaby 矽膠小狗自黏防撞角4入組 款式隨機, 白色, 1組",$225,https://www.tw.coupang.com/products/vanibaby-%E7%9F%BD%E8%86%A0%E5%B0%8F%E7%8B%97%E8%87%AA%E9%BB%8F%E9%98%B2%E6%92%9E%E8%A7%924%E5%85%A5%E7%B5%84-%E6%AC%BE%E5%BC%8F%E9%9A%A8%E6%A9%9F-233102500675592?itemId=233101657587719&vendorItemId=233102500675585&sourceType=search&rank=6&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"vanibaby L型 雙色加厚防撞邊 2m+防撞角*4個, 木色組, 1組",$269,https://www.tw.coupang.com/products/vanibaby-L%E5%9E%8B-%E9%9B%99%E8%89%B2%E5%8A%A0%E5%8E%9A%E9%98%B2%E6%92%9E%E9%82%8A-2m%2B%E9%98%B2%E6%92%9E%E8%A7%92*4%E5%80%8B-233457624006663?itemId=233458383159303&vendorItemId=233456776724482&sourceType=search&rank=7&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"EASE 簡易淨 高效防護液, 500ml, 1瓶",$186,https://www.tw.coupang.com/products/EASE-%E7%B0%A1%E6%98%93%E6%B7%A8-%E9%AB%98%E6%95%88%E9%98%B2%E8%AD%B7%E6%B6%B2-455241161998340?itemId=455241161981957&vendorItemId=455241161965570&sourceType=search&rank=8&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"3M 兒童安全防撞護角, 灰色, 護角*4+膠條*16, 1個",$149,https://www.tw.coupang.com/products/3M-%E5%85%92%E7%AB%A5%E5%AE%89%E5%85%A8%E9%98%B2%E6%92%9E%E8%AD%B7%E8%A7%92-277693421551621?itemId=154732823805956&vendorItemId=154732823805953&sourceType=search&rank=9&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"3M Nexcare 克淋濕防水透氣繃 滅菌 膝蓋與手肘傷口用, 5片, 2盒",$124,https://www.tw.coupang.com/products/3M-Nexcare-%E5%85%8B%E6%B7%8B%E6%BF%95%E9%98%B2%E6%B0%B4%E9%80%8F%E6%B0%A3%E7%B9%83-%E6%BB%85%E8%8F%8C-%E8%86%9D%E8%93%8B%E8%88%87%E6%89%8B%E8%82%98%E5%82%B7%E5%8F%A3%E7%94%A8-260286065901581?itemId=271773186637827&vendorItemId=271773186637824&sourceType=search&rank=10&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"3M Scotch 中型室內隔音防撞棉 #6602, 2包",$138,https://www.tw.coupang.com/products/3M-Scotch-%E4%B8%AD%E5%9E%8B%E5%AE%A4%E5%85%A7%E9%9A%94%E9%9F%B3%E9%98%B2%E6%92%9E%E6%A3%89-%236602-154732437946372?itemId=278362182369286&vendorItemId=278362182369283&sourceType=search&rank=11&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
"CHIC CLUB 條紋共和國 環境滅菌防護液, 100ml, 1瓶",$191,https://www.tw.coupang.com/products/CHIC-CLUB-%E6%A2%9D%E7%B4%8B%E5%85%B1%E5%92%8C%E5%9C%8B-%E7%92%B0%E5%A2%83%E6%BB%85%E8%8F%8C%E9%98%B2%E8%AD%B7%E6%B6%B2-149701928140800?itemId=149702293028864&vendorItemId=150774826893314&sourceType=search&rank=12&searchId=64d746daeb484175a9dd9165ff0dbd6e&q=%E9%98%B2%E8%AD%B7%E5%85%A7%E8%A3%8F
