product_name,product_price,product_url
MONK Heritz 男士皮革雙皮帶綁帶手工鞋 HKR0034,"$3,572",https://www.tw.coupang.com/products/MONK-Heritz-%E7%94%B7%E5%A3%AB%E7%9A%AE%E9%9D%A9%E9%9B%99%E7%9A%AE%E5%B8%B6%E7%B6%81%E5%B8%B6%E6%89%8B%E5%B7%A5%E9%9E%8B-HKR0034-21006120039889?itemId=21011594675134&vendorItemId=21078869483657&sourceType=search&rank=&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
"Tamsaa 雙拉鍊慢跑運動腰帶, 單一顏色",$125,https://www.tw.coupang.com/products/Tamsaa-%E9%9B%99%E6%8B%89%E9%8D%8A%E6%85%A2%E8%B7%91%E9%81%8B%E5%8B%95%E8%85%B0%E5%B8%B6-21006613297557?itemId=21015004689105&vendorItemId=21082227510029&sourceType=search&rank=1&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
"boondog 寵物雙皮帶, 黑+紅",$726,https://www.tw.coupang.com/products/boondog-%E5%AF%B5%E7%89%A9%E9%9B%99%E7%9A%AE%E5%B8%B6-21001977011908?itemId=21003362995184&vendorItemId=21071349730931&sourceType=search&rank=2&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
TED BROWN 女式雙 Barbary Circle 皮革腰帶 15 毫米,$638,https://www.tw.coupang.com/products/TED-BROWN-%E5%A5%B3%E5%BC%8F%E9%9B%99-Barbary-Circle-%E7%9A%AE%E9%9D%A9%E8%85%B0%E5%B8%B6-15-%E6%AF%AB%E7%B1%B3-21006212788722?itemId=21012392900002&vendorItemId=21079662533309&sourceType=search&rank=3&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
"Orson 雙口袋跑步腰帶, 黑色",$356,https://www.tw.coupang.com/products/Orson-%E9%9B%99%E5%8F%A3%E8%A2%8B%E8%B7%91%E6%AD%A5%E8%85%B0%E5%B8%B6-21006532378893?itemId=21014513539662&vendorItemId=21081756436576&sourceType=search&rank=4&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
"VISVIVA 雙多功能衣架, 粉色, 1個",$104,https://www.tw.coupang.com/products/VISVIVA-%E9%9B%99%E5%A4%9A%E5%8A%9F%E8%83%BD%E8%A1%A3%E6%9E%B6-21000000349255?itemId=21000000858363&vendorItemId=21003000719994&sourceType=search&rank=5&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
"flexi 飛萊希 雙皮帶鉛繩深灰色, 1個",$166,https://www.tw.coupang.com/products/flexi-%E9%A3%9B%E8%90%8A%E5%B8%8C-%E9%9B%99%E7%9A%AE%E5%B8%B6%E9%89%9B%E7%B9%A9%E6%B7%B1%E7%81%B0%E8%89%B2-21000071261390?itemId=21000237818039&vendorItemId=21003583960996&sourceType=search&rank=6&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
PAPERMENTS 雙卡拉側鈕扣夾克 +皮帶褲套裝2套套件02714,"$2,417",https://www.tw.coupang.com/products/PAPERMENTS-%E9%9B%99%E5%8D%A1%E6%8B%89%E5%81%B4%E9%88%95%E6%89%A3%E5%A4%BE%E5%85%8B-%2B%E7%9A%AE%E5%B8%B6%E8%A4%B2%E5%A5%97%E8%A3%9D2%E5%A5%97%E5%A5%97%E4%BB%B602714-21006804009207?itemId=21016073525033&vendorItemId=21083273794708&sourceType=search&rank=7&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
"Orson 雙口袋跑步腰帶, 紅色",$356,https://www.tw.coupang.com/products/Orson-%E9%9B%99%E5%8F%A3%E8%A2%8B%E8%B7%91%E6%AD%A5%E8%85%B0%E5%B8%B6-21006532378893?itemId=21014513539661&vendorItemId=21081756436552&sourceType=search&rank=8&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
"boondog 寵物雙皮帶, 黑+白",$726,https://www.tw.coupang.com/products/boondog-%E5%AF%B5%E7%89%A9%E9%9B%99%E7%9A%AE%E5%B8%B6-21001977011908?itemId=21003372366328&vendorItemId=21071359073533&sourceType=search&rank=9&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
"VISVIVA 雙多功能衣架, 粉色, 2個",$208,https://www.tw.coupang.com/products/VISVIVA-%E9%9B%99%E5%A4%9A%E5%8A%9F%E8%83%BD%E8%A1%A3%E6%9E%B6-21000000349255?itemId=21000009483285&vendorItemId=21003013864289&sourceType=search&rank=10&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
"Orson 雙口袋跑步腰帶, 綠色",$356,https://www.tw.coupang.com/products/Orson-%E9%9B%99%E5%8F%A3%E8%A2%8B%E8%B7%91%E6%AD%A5%E8%85%B0%E5%B8%B6-21006532378893?itemId=21014513539664&vendorItemId=21081756436606&sourceType=search&rank=11&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
"Teachers VICDREAMDIY雙曲線模型S-10, 5個",$762,https://www.tw.coupang.com/products/Teachers-VICDREAMDIY%E9%9B%99%E6%9B%B2%E7%B7%9A%E6%A8%A1%E5%9E%8BS-10-21002122484846?itemId=21003601848409&vendorItemId=21071587553270&sourceType=search&rank=12&searchId=90a87774fed74d7aac78e87f74e3a2c7&q=%E9%9B%99%E7%9A%AE%E5%B8%B6
