product_name,product_price,product_url
"味王 麻油雞湯麵, 90g, 5包, 3袋",$134,https://www.tw.coupang.com/products/%E5%91%B3%E7%8E%8B-%E9%BA%BB%E6%B2%B9%E9%9B%9E%E6%B9%AF%E9%BA%B5-288091000504333?itemId=288088970444811&vendorItemId=288088970444807&sourceType=search&rank=&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"GYODONG 校洞食品 蔘雞湯, 1kg, 1包",$173,https://www.tw.coupang.com/products/GYODONG-%E6%A0%A1%E6%B4%9E%E9%A3%9F%E5%93%81-%E8%94%98%E9%9B%9E%E6%B9%AF-21001740452681?itemId=21000084205589&vendorItemId=21003000228518&sourceType=search&rank=1&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"KORMOSA 韓寶 人蔘雞湯麵, 110g, 4包, 2袋",$119,https://www.tw.coupang.com/products/KORMOSA-%E9%9F%93%E5%AF%B6-%E4%BA%BA%E8%94%98%E9%9B%9E%E6%B9%AF%E9%BA%B5-210242717581313?itemId=314210638610435&vendorItemId=314210634416130&sourceType=search&rank=2&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"味王 麻油雞湯麵 85g, 3入",$41,https://www.tw.coupang.com/products/%E5%91%B3%E7%8E%8B-%E9%BA%BB%E6%B2%B9%E9%9B%9E%E6%B9%AF%E9%BA%B5-85g-286016363528200?itemId=398361819545611&vendorItemId=398361819561991&sourceType=search&rank=3&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"OTTOGI 不倒翁 人蔘雞湯, 900g, 1包",$189,https://www.tw.coupang.com/products/OTTOGI-%E4%B8%8D%E5%80%92%E7%BF%81-%E4%BA%BA%E8%94%98%E9%9B%9E%E6%B9%AF-21005919983287?itemId=21010490127936&vendorItemId=21003729051600&sourceType=search&rank=4&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"味丹 味味A 排骨雞湯麵, 10包",$100,https://www.tw.coupang.com/products/%E5%91%B3%E4%B8%B9-%E5%91%B3%E5%91%B3A-%E6%8E%92%E9%AA%A8%E9%9B%9E%E6%B9%AF%E9%BA%B5-264960911310871?itemId=273686556803082&vendorItemId=273685604712455&sourceType=search&rank=5&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"味王 麻油雞湯麵, 90g, 5包, 2袋",$89,https://www.tw.coupang.com/products/%E5%91%B3%E7%8E%8B-%E9%BA%BB%E6%B2%B9%E9%9B%9E%E6%B9%AF%E9%BA%B5-288091000504333?itemId=426240532004875&vendorItemId=426240531955719&sourceType=search&rank=6&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"GYODONG 校洞食品 蔘雞湯, 1kg, 3包",$477,https://www.tw.coupang.com/products/GYODONG-%E6%A0%A1%E6%B4%9E%E9%A3%9F%E5%93%81-%E8%94%98%E9%9B%9E%E6%B9%AF-21001740452681?itemId=21002963111102&vendorItemId=21070951566655&sourceType=search&rank=7&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"Nongshim 農心 安城湯麵 雞湯風味, 10包",$169,https://www.tw.coupang.com/products/Nongshim-%E8%BE%B2%E5%BF%83-%E5%AE%89%E5%9F%8E%E6%B9%AF%E9%BA%B5-%E9%9B%9E%E6%B9%AF%E9%A2%A8%E5%91%B3-21007660572672?itemId=21020472321546&vendorItemId=21087551599380&sourceType=search&rank=8&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"史雲生 湯底 清雞湯, 500ml, 3盒",$86,https://www.tw.coupang.com/products/%E5%8F%B2%E9%9B%B2%E7%94%9F-%E6%B9%AF%E5%BA%95-%E6%B8%85%E9%9B%9E%E6%B9%AF-277629760405512?itemId=423364250238977&vendorItemId=423364246077449&sourceType=search&rank=9&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"SAMYANG 三養 辣雞湯麵, 4包",$114,https://www.tw.coupang.com/products/SAMYANG-%E4%B8%89%E9%A4%8A-%E8%BE%A3%E9%9B%9E%E6%B9%AF%E9%BA%B5-21000025502012?itemId=21019884219792&vendorItemId=21086635115995&sourceType=search&rank=10&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"Jinhan Food 蔘雞湯調理包, 1kg, 1包",$203,https://www.tw.coupang.com/products/Jinhan-Food-%E8%94%98%E9%9B%9E%E6%B9%AF%E8%AA%BF%E7%90%86%E5%8C%85-21005756914687?itemId=21003010699063&vendorItemId=21070998899125&sourceType=search&rank=11&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"味丹 味味A 排骨雞湯麵, 20包",$200,https://www.tw.coupang.com/products/%E5%91%B3%E4%B8%B9-%E5%91%B3%E5%91%B3A-%E6%8E%92%E9%AA%A8%E9%9B%9E%E6%B9%AF%E9%BA%B5-264960911310871?itemId=273685617295364&vendorItemId=273686565191684&sourceType=search&rank=12&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"Knorr 康寶 雞湯塊, 100g, 3盒",$83,https://www.tw.coupang.com/products/Knorr-%E5%BA%B7%E5%AF%B6-%E9%9B%9E%E6%B9%AF%E5%A1%8A-260923696562177?itemId=270061054967815&vendorItemId=270060006359042&sourceType=search&rank=13&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"史雲生 湯底 清雞湯, 500ml, 6盒",$172,https://www.tw.coupang.com/products/%E5%8F%B2%E9%9B%B2%E7%94%9F-%E6%B9%AF%E5%BA%95-%E6%B8%85%E9%9B%9E%E6%B9%AF-277629760405512?itemId=423364250238981&vendorItemId=423364250255361&sourceType=search&rank=14&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"味丹 味味A排骨雞湯麵, 30包",$301,https://www.tw.coupang.com/products/%E5%91%B3%E4%B8%B9-%E5%91%B3%E5%91%B3A%E6%8E%92%E9%AA%A8%E9%9B%9E%E6%B9%AF%E9%BA%B5-268519023280133?itemId=268518092161031&vendorItemId=268517047746565&sourceType=search&rank=15&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"paldo 八道 咕咕雞湯麵, 5包",$116,https://www.tw.coupang.com/products/paldo-%E5%85%AB%E9%81%93-%E5%92%95%E5%92%95%E9%9B%9E%E6%B9%AF%E9%BA%B5-21000002438000?itemId=21000000041997&vendorItemId=21003000014865&sourceType=search&rank=16&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"味丹 味味A 排骨雞湯麵, 15包",$150,https://www.tw.coupang.com/products/%E5%91%B3%E4%B8%B9-%E5%91%B3%E5%91%B3A-%E6%8E%92%E9%AA%A8%E9%9B%9E%E6%B9%AF%E9%BA%B5-264960911310871?itemId=316068329390085&vendorItemId=316068329390081&sourceType=search&rank=17&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"Harim 韓味不二 夏林人蔘雞湯, 1kg, 1袋",$350,https://www.tw.coupang.com/products/Harim-%E9%9F%93%E5%91%B3%E4%B8%8D%E4%BA%8C-%E5%A4%8F%E6%9E%97%E4%BA%BA%E8%94%98%E9%9B%9E%E6%B9%AF-163482544603143?itemId=163482112606218&vendorItemId=163482544603138&sourceType=search&rank=18&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"Knorr 康寶 雞湯塊, 100g, 4盒",$110,https://www.tw.coupang.com/products/Knorr-%E5%BA%B7%E5%AF%B6-%E9%9B%9E%E6%B9%AF%E5%A1%8A-260923696562177?itemId=270061998669829&vendorItemId=270061059162114&sourceType=search&rank=19&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"史雲生 湯底 清雞湯, 500ml, 4盒",$114,https://www.tw.coupang.com/products/%E5%8F%B2%E9%9B%B2%E7%94%9F-%E6%B9%AF%E5%BA%95-%E6%B8%85%E9%9B%9E%E6%B9%AF-277629760405512?itemId=277629760405513&vendorItemId=277629760405509&sourceType=search&rank=20&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"味丹 味味A 排骨雞湯麵, 30包",$294,https://www.tw.coupang.com/products/%E5%91%B3%E4%B8%B9-%E5%91%B3%E5%91%B3A-%E6%8E%92%E9%AA%A8%E9%9B%9E%E6%B9%AF%E9%BA%B5-264960911310871?itemId=273686586163203&vendorItemId=273686581968898&sourceType=search&rank=21&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"HARIM 匠人雞湯風味拉麵 辣味, 4包",$179,https://www.tw.coupang.com/products/HARIM-%E5%8C%A0%E4%BA%BA%E9%9B%9E%E6%B9%AF%E9%A2%A8%E5%91%B3%E6%8B%89%E9%BA%B5-%E8%BE%A3%E5%91%B3-21007061528085?itemId=21015326816161&vendorItemId=21078793711932&sourceType=search&rank=22&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"SAMYANG 三養 辣雞湯麵, 8包",$197,https://www.tw.coupang.com/products/SAMYANG-%E4%B8%89%E9%A4%8A-%E8%BE%A3%E9%9B%9E%E6%B9%AF%E9%BA%B5-21000025502012?itemId=21000257728752&vendorItemId=21003626748426&sourceType=search&rank=23&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"Knorr 康寶 雞湯塊, 100g, 6盒",$165,https://www.tw.coupang.com/products/Knorr-%E5%BA%B7%E5%AF%B6-%E9%9B%9E%E6%B9%AF%E5%A1%8A-260923696562177?itemId=270061998669828&vendorItemId=270061998669825&sourceType=search&rank=24&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"OTTOGI 不倒翁 人蔘雞湯, 900g, 2個",$350,https://www.tw.coupang.com/products/OTTOGI-%E4%B8%8D%E5%80%92%E7%BF%81-%E4%BA%BA%E8%94%98%E9%9B%9E%E6%B9%AF-21005919983287?itemId=21018039529127&vendorItemId=21085193878354&sourceType=search&rank=25&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"SUNI COOK 順伊奶奶 正宗清燉雞湯, 500g, 1包",$112,https://www.tw.coupang.com/products/SUNI-COOK-%E9%A0%86%E4%BC%8A%E5%A5%B6%E5%A5%B6-%E6%AD%A3%E5%AE%97%E6%B8%85%E7%87%89%E9%9B%9E%E6%B9%AF-428014697431040?itemId=428014697414657&vendorItemId=428014697414656&sourceType=search&rank=26&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"味丹 味味A 排骨雞湯麵, 90g, 5包, 6袋, 30包",$301,https://www.tw.coupang.com/products/%E5%91%B3%E4%B8%B9-%E5%91%B3%E5%91%B3A-%E6%8E%92%E9%AA%A8%E9%9B%9E%E6%B9%AF%E9%BA%B5-181552663216135?itemId=181552109535240&vendorItemId=181553179099138&sourceType=search&rank=27&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"史雲生 湯底 清雞湯, 500ml, 5盒",$143,https://www.tw.coupang.com/products/%E5%8F%B2%E9%9B%B2%E7%94%9F-%E6%B9%AF%E5%BA%95-%E6%B8%85%E9%9B%9E%E6%B9%AF-277629760405512?itemId=423364250288132&vendorItemId=423364250288131&sourceType=search&rank=28&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"蔘雞湯材料包, 3包, 100g",$250,https://www.tw.coupang.com/products/%E8%94%98%E9%9B%9E%E6%B9%AF%E6%9D%90%E6%96%99%E5%8C%85-21007992066049?itemId=21022216480003&vendorItemId=21089262455292&sourceType=search&rank=29&searchId=0a78018b37224f9dac60f83271d7db16&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"味王 大食客 酒香燒雞湯麵, 94g, 4包, 2袋",$105,https://www.tw.coupang.com/products/%E5%91%B3%E7%8E%8B-%E5%A4%A7%E9%A3%9F%E5%AE%A2-%E9%85%92%E9%A6%99%E7%87%92%E9%9B%9E%E6%B9%AF%E9%BA%B5-288089993887746?itemId=426245330255879&vendorItemId=426245330288642&sourceType=search&rank=&searchId=bbce267502784769802adca7c5145a3a&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"清淨園 蔘雞湯調理包, 1包, 800g",$190,https://www.tw.coupang.com/products/%E6%B8%85%E6%B7%A8%E5%9C%92-%E8%94%98%E9%9B%9E%E6%B9%AF%E8%AA%BF%E7%90%86%E5%8C%85-21006942548680?itemId=21016840089732&vendorItemId=21084019339679&sourceType=search&rank=1&searchId=bbce267502784769802adca7c5145a3a&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"Knorr 康寶 雞湯塊, 100g, 5盒",$137,https://www.tw.coupang.com/products/Knorr-%E5%BA%B7%E5%AF%B6-%E9%9B%9E%E6%B9%AF%E5%A1%8A-260923696562177?itemId=270061080133641&vendorItemId=270061080133634&sourceType=search&rank=2&searchId=bbce267502784769802adca7c5145a3a&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"味丹 味味A 排骨雞湯麵超值碗 90g, 12入",$197,https://www.tw.coupang.com/products/%E5%91%B3%E4%B8%B9-%E5%91%B3%E5%91%B3A-%E6%8E%92%E9%AA%A8%E9%9B%9E%E6%B9%AF%E9%BA%B5%E8%B6%85%E5%80%BC%E7%A2%97-90g-445385285795845?itemId=445385285812231&vendorItemId=445385285795844&sourceType=search&rank=3&searchId=bbce267502784769802adca7c5145a3a&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"Naturalness 一隻雞系列蔘雞湯材料包, 35g, 1包",$58,https://www.tw.coupang.com/products/Naturalness-%E4%B8%80%E9%9A%BB%E9%9B%9E%E7%B3%BB%E5%88%97%E8%94%98%E9%9B%9E%E6%B9%AF%E6%9D%90%E6%96%99%E5%8C%85-21007381344456?itemId=21008726291380&vendorItemId=21076013316575&sourceType=search&rank=4&searchId=bbce267502784769802adca7c5145a3a&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
"人蔘雞湯材料包, 300g, 1袋",$141,https://www.tw.coupang.com/products/%E4%BA%BA%E8%94%98%E9%9B%9E%E6%B9%AF%E6%9D%90%E6%96%99%E5%8C%85-21007335488374?itemId=21018817772114&vendorItemId=21090374680346&sourceType=search&rank=5&searchId=bbce267502784769802adca7c5145a3a&q=%E9%9B%9E%E9%9B%9E%E6%B9%AF
